run_id,pdb_id,kinase,seed,n_poses,n_near,n_far,roc_auc,spearman_rho,native_rank,native_ties
2026-09-16-3war-s0-n100,3war,CK2a1,0,95,12,61,0.9802,-0.8070,1,6
2026-09-16-3war-s0-n100-r1,3war,CK2a1,1,96,12,62,0.9630,-0.7504,1,7
2026-09-16-3war-s0-n100-r2,3war,CK2a1,2,97,12,63,0.9643,-0.7322,1,6
2026-09-16-3war-s0-n100-r3,3war,CK2a1,3,96,12,62,0.9657,-0.8333,1,6
2026-09-16-3war-s0-n100-r4,3war,CK2a1,4,97,12,63,0.9868,-0.7522,1,8
2026-09-16-3war-s0-n100-r5,3war,CK2a1,5,96,12,62,0.9731,-0.7413,1,3
2026-09-16-3war-s0-n100-r6,3war,CK2a1,6,96,12,62,0.9308,-0.7066,1,3
2026-09-16-3war-s0-n100-r7,3war,CK2a1,7,96,12,62,0.9691,-0.7104,1,3
2026-09-16-3war-s0-n100-r8,3war,CK2a1,8,97,12,63,0.9749,-0.7466,1,5
2026-09-16-3war-s0-n100-r9,3war,CK2a1,9,96,12,62,0.9825,-0.7796,1,6
2026-08-23-6tgu-s0-n100,6tgu,CK2a2,0,100,12,66,0.9975,-0.8014,1,4
2026-08-23-6tgu-s0-n100-r1,6tgu,CK2a2,1,100,12,66,0.9615,-0.7824,1,4
2026-08-23-6tgu-s0-n100-r2,6tgu,CK2a2,2,100,12,66,0.9905,-0.7706,1,4
2026-08-23-6tgu-s0-n100-r3,6tgu,CK2a2,3,100,12,66,0.9590,-0.7433,1,4
2026-08-23-6tgu-s0-n100-r4,6tgu,CK2a2,4,100,12,66,0.9697,-0.7140,1,4
2026-08-23-6tgu-s0-n100-r5,6tgu,CK2a2,5,100,12,66,0.9905,-0.7695,1,5
2026-08-23-6tgu-s0-n100-r6,6tgu,CK2a2,6,100,12,66,0.9691,-0.7770,1,3
2026-08-23-6tgu-s0-n100-r7,6tgu,CK2a2,7,100,12,66,0.9779,-0.7788,1,7
2026-08-23-6tgu-s0-n100-r8,6tgu,CK2a2,8,100,12,66,0.9937,-0.7555,1,6
2026-08-23-6tgu-s0-n100-r9,6tgu,CK2a2,9,100,12,66,0.9577,-0.7058,1,0
