kinase.klifs_name,species.klifs,n_structures,best_resolution,best_quality,kinase.group,kinase.family
CK2a2,Human,64,0.83,8.9,CMGC,CK2
CK2a1,Human,475,1.04,9.9,CMGC,CK2
DYRK1A,Human,243,1.05,9.8,CMGC,DYRK
EphB4,Human,33,1.05,9.7,TK,Eph
PDK1,Human,106,1.09,9.9,AGC,PDK1
EphA2,Human,81,1.1,8.4,TK,Eph
Erk2,Human,223,1.12,9.8,CMGC,MAPK
TNIK,Human,16,1.2,9.6,STE,STE20
DAPK3,Human,18,1.24,9.4,CAMK,DAPK
ALK2,Human,197,1.25,9.6,TKL,STKR
EphA3,Human,25,1.25,9.6,TK,Eph
CHK1,Human,226,1.3,9.9,CAMK,CAMKL
JAK2,Human,229,1.3,9.8,TK,JakA
DAPK1,Human,68,1.3,9.6,CAMK,DAPK
CK1g3,Human,16,1.3,8.7,CK1,CK1
SYK,Human,131,1.32,9.7,TK,Syk
JNK1,Human,33,1.33,9.8,CMGC,MAPK
JAK1,Human,137,1.33,9.6,TK,JakA
FAK,Human,62,1.361,8.4,TK,FAK
IRAK4,Human,271,1.4,9.9,TKL,IRAK
Haspin,Human,55,1.4,9.9,Other,Haspin
CK1d,Human,129,1.4,9.7,CK1,CK1
Erk1,Human,10,1.4,8.0,CMGC,MAPK
PAK6,Human,4,1.4,8.0,STE,STE20
CLK3,Human,49,1.42,9.7,CMGC,CLK
BTK,Human,13,1.42,9.6,TK,Tec
TTBK1,Human,22,1.42,9.2,CK1,TTBK
CDC7,Human,10,1.44,8.0,Other,CDC7
CLK1,Human,99,1.45,9.8,CMGC,CLK
TGFbR1,Human,49,1.45,9.8,TKL,STKR
MST3,Human,49,1.45,9.4,STE,STE20
AKT1,Human,22,1.49,8.0,AGC,Akt
MYT1,Human,19,1.5,9.7,Other,WEE
CaMKK2,Human,25,1.5,9.6,Other,CAMKK
KIT,Human,18,1.5,9.6,TK,PDGFR
TTBK2,Human,14,1.5,9.6,CK1,TTBK
HPK1,Human,23,1.5,9.4,STE,STE20
JAK2-b,Human,39,1.5,9.2,TK,JakB
TAO3,Human,2,1.5,8.0,STE,STE20
PI4KB,Human,13,1.506,9.4,Atypical,PIK
PAK3,Human,2,1.52,8.0,STE,STE20
Wee1,Human,28,1.53,9.0,Other,WEE
JAK3,Human,107,1.55,9.9,TK,JakA
PKACa,Human,60,1.55,9.7,AGC,PKA
ALK,Human,67,1.55,8.0,TK,ALK
