target,measurement,variant,metric,value,unit,measured_utc,source,notes
2qoc,klifs_rules,all,reference_bits,12,бит,2026-09-19,python scripts/klifs_rules.py --best-per-kinase,"правила FingerPrintLib, пороги: кольца 4.0 A и 30.0°, гидрофобный 4.5 A, водородная связь 3.5 A и 45.0°, ионный 4.0 A"
2qoc,klifs_rules,all,shared_bits,12,бит,2026-09-19,python scripts/klifs_rules.py --best-per-kinase,"правила FingerPrintLib, пороги: кольца 4.0 A и 30.0°, гидрофобный 4.5 A, водородная связь 3.5 A и 45.0°, ионный 4.0 A"
2yex,klifs_rules,all,reference_bits,17,бит,2026-09-19,python scripts/klifs_rules.py --best-per-kinase,"правила FingerPrintLib, пороги: кольца 4.0 A и 30.0°, гидрофобный 4.5 A, водородная связь 3.5 A и 45.0°, ионный 4.0 A"
2yex,klifs_rules,all,shared_bits,17,бит,2026-09-19,python scripts/klifs_rules.py --best-per-kinase,"правила FingerPrintLib, пороги: кольца 4.0 A и 30.0°, гидрофобный 4.5 A, водородная связь 3.5 A и 45.0°, ионный 4.0 A"
3bhy,klifs_rules,all,reference_bits,14,бит,2026-09-19,python scripts/klifs_rules.py --best-per-kinase,"правила FingerPrintLib, пороги: кольца 4.0 A и 30.0°, гидрофобный 4.5 A, водородная связь 3.5 A и 45.0°, ионный 4.0 A"
3bhy,klifs_rules,all,shared_bits,14,бит,2026-09-19,python scripts/klifs_rules.py --best-per-kinase,"правила FingerPrintLib, пороги: кольца 4.0 A и 30.0°, гидрофобный 4.5 A, водородная связь 3.5 A и 45.0°, ионный 4.0 A"
3war,calibration_smoke,explicit,bits_common,8,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,KLIFS ID 5429
3war,calibration_smoke,explicit,bits_extra,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,KLIFS ID 5429
3war,calibration_smoke,explicit,bits_ours,8,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,KLIFS ID 5429
3war,calibration_smoke,explicit,bits_reference,11,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,KLIFS ID 5429
3war,calibration_smoke,explicit,gross_failures,0,,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke,explicit,tanimoto_all,0.727,,2026-09-18,python scripts/calibrate_ifp.py --target 3war,KLIFS ID 5429
3war,calibration_smoke,explicit,tanimoto_scoring,1.000,,2026-09-18,python scripts/calibrate_ifp.py --target 3war,KLIFS ID 5429
3war,calibration_smoke,implicit-prolif,bits_common,6,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,KLIFS ID 5429
3war,calibration_smoke,implicit-prolif,bits_extra,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,KLIFS ID 5429
3war,calibration_smoke,implicit-prolif,bits_ours,6,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,KLIFS ID 5429
3war,calibration_smoke,implicit-prolif,bits_reference,11,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,KLIFS ID 5429
3war,calibration_smoke,implicit-prolif,tanimoto_all,0.545,,2026-09-18,python scripts/calibrate_ifp.py --target 3war,KLIFS ID 5429
3war,calibration_smoke,implicit-prolif,tanimoto_scoring,0.500,,2026-09-18,python scripts/calibrate_ifp.py --target 3war,KLIFS ID 5429
3war,calibration_smoke_by_type,explicit:ACC,bits_common,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:ACC,bits_extra,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:ACC,bits_missed,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:ACC,bits_ours,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:ACC,bits_reference,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:DON,bits_common,2,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:DON,bits_extra,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:DON,bits_missed,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:DON,bits_ours,2,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:DON,bits_reference,2,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:F-E,bits_common,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:F-E,bits_extra,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:F-E,bits_missed,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:F-E,bits_ours,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:F-E,bits_reference,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:F-F,bits_common,1,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:F-F,bits_extra,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:F-F,bits_missed,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:F-F,bits_ours,1,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:F-F,bits_reference,1,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:HYD,bits_common,4,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
3war,calibration_smoke_by_type,explicit:HYD,bits_extra,0,bit,2026-09-18,python scripts/calibrate_ifp.py --target 3war,
