metric,aggregation,condition,run_id,source,n,value,iqr_low,iqr_high,ci_low,ci_high
ifp_tanimoto,distribution,local-poses,2026-08-24-6tgu-s0-n100,local-poses,100,0.457516339869281,0.3529411764705882,0.5294117647058824,0.4117647058823529,0.4705882352941176
ifp_tanimoto,distribution,"local-poses, топ 20%",2026-08-24-6tgu-s0-n100,local-poses,20,0.6176470588235294,0.5882352941176471,0.6764705882352942,0.5882352941176471,0.6568627450980392
ifp_tanimoto,distribution,diffsbdd,2026-08-24-6tgu-s0-n100-seed1,diffsbdd,95,0.3529411764705882,0.2631578947368421,0.4444444444444444,0.3157894736842105,0.3888888888888889
ifp_tanimoto,distribution,"diffsbdd, топ 20%",2026-08-24-6tgu-s0-n100-seed1,diffsbdd,19,0.5,0.40588235294117647,0.542483660130719,0.4117647058823529,0.5294117647058824
ifp_tversky,distribution,local-poses,2026-08-24-6tgu-s0-n100,local-poses,100,0.4705882352941176,0.3529411764705882,0.5294117647058824,0.4117647058823529,0.4705882352941176
ifp_tversky,distribution,"local-poses, топ 20%",2026-08-24-6tgu-s0-n100,local-poses,20,0.6176470588235294,0.5882352941176471,0.7058823529411765,0.5882352941176471,0.6764705882352942
ifp_tversky,distribution,diffsbdd,2026-08-24-6tgu-s0-n100-seed1,diffsbdd,95,0.3529411764705882,0.2941176470588235,0.4705882352941176,0.3529411764705882,0.4117647058823529
ifp_tversky,distribution,"diffsbdd, топ 20%",2026-08-24-6tgu-s0-n100-seed1,diffsbdd,19,0.5294117647058824,0.4117647058823529,0.5588235294117647,0.4117647058823529,0.5294117647058824
hinge_hbond,share,local-poses,2026-08-24-6tgu-s0-n100,local-poses,100,0.4,,,0.3097500000000002,0.5
hinge_hbond,share,"local-poses, топ 20%",2026-08-24-6tgu-s0-n100,local-poses,20,0.9,,,0.75,1.0
hinge_hbond,share,diffsbdd,2026-08-24-6tgu-s0-n100-seed1,diffsbdd,95,0.8,,,0.7157894736842105,0.8736842105263158
hinge_hbond,share,"diffsbdd, топ 20%",2026-08-24-6tgu-s0-n100-seed1,diffsbdd,19,1.0,,,1.0,1.0
ifp_score,distribution,local-poses,2026-08-24-6tgu-s0-n100,local-poses,100,0.2,0.0,0.6,0.2,0.4
ifp_score,distribution,"local-poses, топ 20%",2026-08-24-6tgu-s0-n100,local-poses,20,0.8,0.75,0.8500000000000001,0.8,0.8
ifp_score,distribution,diffsbdd,2026-08-24-6tgu-s0-n100-seed1,diffsbdd,95,0.4,0.2,0.6,0.4,0.4
ifp_score,distribution,"diffsbdd, топ 20%",2026-08-24-6tgu-s0-n100-seed1,diffsbdd,19,0.6,0.6,0.8,0.6,0.8
ifp_score_norm,distribution,local-poses,2026-08-24-6tgu-s0-n100,local-poses,100,0.008696,0.0,0.026087,0.008696,0.017391
ifp_score_norm,distribution,"local-poses, топ 20%",2026-08-24-6tgu-s0-n100,local-poses,20,0.034783,0.032609,0.036956750000000003,0.034783,0.034783
