mol_id,vina_score_before,ligand_efficiency_before,vina_min_before,vina_score_after,ligand_efficiency_after,vina_min_after
0000,-6.196,0.1936,-6.933,-5.908,0.1846,-7.03
0001,-9.454,0.4297,-9.855,-6.436,0.2925,-9.804
0002,-7.57,0.3605,-7.57,-5.213,0.2482,-6.32
0003,-6.52,0.4657,-8.221,-6.39,0.4564,-7.983
0004,-7.772,0.4572,-7.898,-7.242,0.426,-7.742
0005,-8.187,0.2481,-9.068,-7.272,0.2204,-9.002
0006,-8.276,0.3448,-8.548,-6.923,0.2885,-8.57
0007,-8.619,0.4309,-9.183,-7.111,0.3555,-9.153
0008,-11.759,0.5113,-12.225,-6.738,0.293,-12.161
0009,-4.404,0.4004,-4.641,-3.993,0.363,-4.391
0010,-7.954,0.4419,-8.258,-4.026,0.2237,-7.734
0012,-9.132,0.4151,-9.355,-8.161,0.371,-9.405
0013,-6.576,0.3868,-6.776,-2.5,0.1471,-6.4
0014,-6.903,0.2876,-6.903,-6.903,0.2876,-6.903
0016,-5.196,0.1332,-5.795,-1.259,0.0323,-5.863
0017,-7.654,0.4784,-7.76,-5.903,0.3689,-7.79
0018,-9.117,0.4144,-9.573,-7.056,0.3207,-9.633
0019,-7.891,0.3758,-8.266,-6.708,0.3194,-7.932
0020,-12.009,0.4804,-12.414,-12.009,0.4804,-12.414
0022,-6.868,0.5283,-6.977,-6.868,0.5283,-6.977
0023,-6.33,0.2877,-7.596,-6.33,0.2877,-7.596
0024,-8.723,0.5131,-8.995,-7.386,0.4345,-9.107
0025,-6.21,0.3881,-6.85,-4.058,0.2536,-7.029
0026,-6.939,0.2168,-7.979,-4.311,0.1347,-8.371
0027,-1.085,0.0339,-8.195,-5.139,0.1606,-8.074
0028,3.432,-0.1009,0.887,-2.166,0.0637,-6.467
0029,-7.325,0.5635,-7.479,-6.236,0.4797,-7.3
0030,-6.233,0.4155,-6.283,-2.218,0.1479,-6.278
0031,-7.94,0.5293,-8.184,-6.265,0.4177,-8.143
0032,-7.038,0.4692,-7.077,-4.954,0.3303,-6.51
0033,-8.962,0.4268,-9.289,-6.96,0.3314,-9.046
0034,-7.565,0.3026,-7.78,-3.606,0.1442,-5.82
0035,-6.275,0.1609,-7.484,-1.194,0.0306,-7.399
0036,-5.027,0.3351,-5.027,-4.146,0.2764,-5.086
0037,-11.049,0.5261,-11.167,-9.896,0.4712,-10.638
0038,-7.328,0.2714,-7.514,-5.981,0.2215,-7.411
0039,-12.353,0.4941,-12.407,-11.27,0.4508,-12.313
0040,-6.488,0.2703,-6.488,-4.976,0.2073,-5.913
0041,-7.886,0.2319,-9.146,-3.77,0.1109,-9.752
0042,-9.282,0.442,-9.452,-2.704,0.1288,-8.943
0043,-8.655,0.2885,-9.248,-8.593,0.2864,-9.373
0044,-4.009,0.1084,-4.009,-2.76,0.0746,-6.284
0045,-9.337,0.3458,-10.508,-8.46,0.3133,-10.517
0046,-8.813,0.2592,-8.495,-7.656,0.2252,-8.342
0047,-8.624,0.4312,-9.0,-7.906,0.3953,-8.909
0048,-7.902,0.3436,-8.487,-7.902,0.3436,-8.487
0049,-5.748,0.5748,-5.74,-4.678,0.4678,-6.0
0050,-6.735,0.2806,-6.75,-4.181,0.1742,-6.637
0051,-8.371,0.364,-9.034,-5.843,0.254,-8.978
0052,-4.894,0.4078,-4.894,-2.672,0.2227,-4.599
0053,-5.927,0.3951,-6.216,-4.841,0.3227,-6.128
0054,-6.49,0.3818,-7.088,-4.477,0.2634,-6.854
0055,-8.574,0.3897,-9.321,-8.136,0.3698,-9.295
0056,-3.181,0.1272,-3.323,-1.904,0.0762,-3.723
0057,-8.187,0.4548,-8.605,-5.855,0.3253,-8.807
0058,-5.323,0.1971,-5.881,-3.3,0.1222,-6.133
0059,-7.312,0.457,-7.844,-3.946,0.2466,-7.313
0060,-5.903,0.2186,-9.376,-1.9,0.0704,-9.769
0061,-8.31,0.3324,-8.98,-8.088,0.3235,-9.25
0062,-2.225,0.0674,-4.493,-3.814,0.1156,-6.263
0063,-5.332,0.2539,-5.332,-4.758,0.2266,-4.758
0064,-6.736,0.5182,-6.805,-5.38,0.4138,-7.186
0065,-10.352,0.3982,-11.409,-8.995,0.346,-11.461
0066,-8.104,0.4767,-8.416,-7.554,0.4444,-8.159
0067,-7.83,0.4121,-8.664,-6.955,0.3661,-8.336
0068,-8.906,0.3071,-9.395,-8.906,0.3071,-9.395
0069,-3.236,0.1348,-4.523,-3.565,0.1485,-5.217
0071,-8.691,0.5112,-8.807,-4.6,0.2706,-8.174
0072,-4.907,0.2045,-7.848,-5.337,0.2224,-7.685
0073,-7.966,0.3463,-9.47,-4.433,0.1927,-10.027
0074,-8.776,0.2831,-10.533,-5.591,0.1804,-9.768
0075,-10.253,0.4101,-10.785,-8.5,0.34,-10.423
0076,-6.597,0.3881,-6.883,-3.482,0.2048,-6.95
0077,-7.239,0.3619,-7.827,-1.805,0.0902,-7.012
0078,-5.998,0.4284,-6.505,-5.283,0.3774,-6.603
0079,-7.316,0.3658,-7.42,-5.344,0.2672,-7.218
0080,-4.832,0.179,-9.599,-1.588,0.0588,-9.164
0082,-7.416,0.2472,-7.621,-7.416,0.2472,-7.621
0083,-6.113,0.2658,-6.113,-5.129,0.223,-6.633
0086,-6.584,0.3658,-6.584,-3.732,0.2073,-6.061
0087,-2.054,0.0571,-2.355,-2.054,0.0571,-2.355
0088,-7.133,0.3567,-7.133,-4.41,0.2205,-7.008
0089,-6.483,0.2401,-7.175,-6.483,0.2401,-7.175
0090,-7.259,0.3025,-7.608,-2.111,0.088,-7.133
0091,-5.801,0.3053,-5.905,-4.207,0.2214,-4.728
0092,-9.398,0.4699,-9.506,-4.475,0.2237,-8.774
0093,-8.221,0.4111,-9.405,-6.111,0.3055,-8.804
0094,-8.246,0.3927,-8.391,-8.246,0.3927,-8.391
0095,-7.346,0.4591,-7.674,-6.595,0.4122,-7.53
0096,-8.585,0.505,-8.601,-1.071,0.063,-8.236
0097,-7.263,0.5188,-7.342,-7.263,0.5188,-7.342
