mol_id,vina_score_before,ligand_efficiency_before,vina_min_before,vina_score_after,ligand_efficiency_after,vina_min_after
0000,-6.196,0.1936,-6.933,-2.301,0.0719,-5.944
0001,-9.454,0.4297,-9.855,0.94,-0.0427,-9.475
0002,-7.57,0.3605,-7.57,-3.332,0.1587,-3.916
0003,-6.52,0.4657,-8.221,-2.98,0.2129,-6.913
0004,-7.772,0.4572,-7.898,-6.12,0.36,-7.584
0005,-8.187,0.2481,-9.068,-1.509,0.0457,-4.309
0006,-8.276,0.3448,-8.548,-5.331,0.2221,-8.471
0007,-8.619,0.4309,-9.183,-6.195,0.3098,-9.419
0008,-11.759,0.5113,-12.225,-2.915,0.1267,-12.007
0009,-4.404,0.4004,-4.641,-4.375,0.3977,-4.52
0010,-7.954,0.4419,-8.258,-0.835,0.0464,-7.067
0012,-9.132,0.4151,-9.355,-5.225,0.2375,-9.298
0013,-6.576,0.3868,-6.776,-5.359,0.3152,-6.742
0014,-6.903,0.2876,-6.903,-0.68,0.0283,-7.85
0016,-5.196,0.1332,-5.795,2.151,-0.0552,-5.995
0017,-7.654,0.4784,-7.76,-7.008,0.438,-7.671
0018,-9.117,0.4144,-9.573,-7.405,0.3366,-9.648
0019,-7.891,0.3758,-8.266,-2.809,0.1338,-8.224
0020,-12.009,0.4804,-12.414,-12.009,0.4804,-12.414
0022,-6.868,0.5283,-6.977,-6.868,0.5283,-6.977
0023,-6.33,0.2877,-7.596,7.025,-0.3193,-8.123
0024,-8.723,0.5131,-8.995,-8.554,0.5032,-9.17
0025,-6.21,0.3881,-6.85,-4.007,0.2504,-6.709
0026,-6.939,0.2168,-7.979,7.957,-0.2487,-0.675
0027,-1.085,0.0339,-8.195,10.71,-0.3347,-7.915
0028,3.432,-0.1009,0.887,-3.6,0.1059,-7.975
0029,-7.325,0.5635,-7.479,2.733,-0.2102,-7.325
0030,-6.233,0.4155,-6.283,-2.741,0.1827,-5.806
0031,-7.94,0.5293,-8.184,-4.328,0.2885,-8.111
0032,-7.038,0.4692,-7.077,-2.034,0.1356,-5.978
0033,-8.962,0.4268,-9.289,-7.339,0.3495,-9.272
