mol_id,vina_score_before,ligand_efficiency_before,vina_min_before,vina_score_after,ligand_efficiency_after,vina_min_after
0000,-6.196,0.1936,-6.933,-2.582,0.0807,-6.764
0001,-9.454,0.4297,-9.855,-7.216,0.328,-9.49
0002,-7.57,0.3605,-7.57,-2.787,0.1327,-5.779
0003,-6.52,0.4657,-8.221,-5.913,0.4224,-7.738
0004,-7.772,0.4572,-7.898,-7.69,0.4524,-7.84
0005,-8.187,0.2481,-9.068,-1.751,0.0531,-8.269
0006,-8.276,0.3448,-8.548,-2.052,0.0855,-8.411
0007,-8.619,0.4309,-9.183,-4.879,0.2439,-9.224
0008,-11.759,0.5113,-12.225,-9.646,0.4194,-11.968
0009,-4.404,0.4004,-4.641,-4.174,0.3795,-4.313
0010,-7.954,0.4419,-8.258,-5.359,0.2977,-7.573
0012,-9.132,0.4151,-9.355,-7.811,0.355,-9.31
0013,-6.576,0.3868,-6.776,-4.786,0.2815,-6.787
0014,-6.903,0.2876,-6.903,-2.516,0.1048,-7.113
0016,-5.196,0.1332,-5.795,-2.38,0.061,-6.826
0017,-7.654,0.4784,-7.76,-6.795,0.4247,-7.539
0018,-9.117,0.4144,-9.573,-8.341,0.3791,-9.541
0019,-7.891,0.3758,-8.266,-5.78,0.2752,-8.274
0020,-12.009,0.4804,-12.414,-12.009,0.4804,-12.414
0022,-6.868,0.5283,-6.977,-6.868,0.5283,-6.977
0023,-6.33,0.2877,-7.596,-6.33,0.2877,-7.596
0024,-8.723,0.5131,-8.995,-7.351,0.4324,-9.24
0025,-6.21,0.3881,-6.85,-5.499,0.3437,-6.441
0026,-6.939,0.2168,-7.979,6.426,-0.2008,-2.348
0027,-1.085,0.0339,-8.195,8.678,-0.2712,-7.719
0028,3.432,-0.1009,0.887,4.241,-0.1247,0.533
0029,-7.325,0.5635,-7.479,-5.059,0.3892,-7.36
0030,-6.233,0.4155,-6.283,-2.689,0.1793,-5.555
0031,-7.94,0.5293,-8.184,-6.938,0.4625,-8.134
0032,-7.038,0.4692,-7.077,-4.922,0.3281,-7.007
0033,-8.962,0.4268,-9.289,-5.842,0.2782,-8.538
0034,-7.565,0.3026,-7.78,-3.967,0.1587,-7.325
0035,-6.275,0.1609,-7.484,-3.6,0.0923,-7.206
0036,-5.027,0.3351,-5.027,-2.378,0.1585,-4.597
0037,-11.049,0.5261,-11.167,-8.43,0.4014,-10.795
0038,-7.328,0.2714,-7.514,-7.328,0.2714,-7.514
0039,-12.353,0.4941,-12.407,-9.593,0.3837,-12.499
0040,-6.488,0.2703,-6.488,-5.289,0.2204,-6.269
0041,-7.886,0.2319,-9.146,-4.415,0.1299,-10.128
0042,-9.282,0.442,-9.452,-3.646,0.1736,-9.109
0043,-8.655,0.2885,-9.248,-7.986,0.2662,-9.261
0044,-4.009,0.1084,-4.009,-3.638,0.0983,-5.815
0045,-9.337,0.3458,-10.508,-8.673,0.3212,-10.23
0046,-8.813,0.2592,-8.495,-6.879,0.2023,-7.343
0047,-8.624,0.4312,-9.0,-7.637,0.3818,-8.961
0048,-7.902,0.3436,-8.487,-7.902,0.3436,-8.487
0049,-5.748,0.5748,-5.74,-5.443,0.5443,-5.93
0050,-6.735,0.2806,-6.75,-5.022,0.2093,-6.253
0051,-8.371,0.364,-9.034,-3.962,0.1723,-9.337
0052,-4.894,0.4078,-4.894,-0.227,0.0189,-4.582
0053,-5.927,0.3951,-6.216,-3.758,0.2505,-6.339
0054,-6.49,0.3818,-7.088,-4.94,0.2906,-6.975
0055,-8.574,0.3897,-9.321,-7.225,0.3284,-9.196
0056,-3.181,0.1272,-3.323,1.689,-0.0676,-3.438
0057,-8.187,0.4548,-8.605,-6.705,0.3725,-8.375
0058,-5.323,0.1971,-5.881,-2.604,0.0964,-5.709
0059,-7.312,0.457,-7.844,-0.969,0.0606,-6.979
0060,-5.903,0.2186,-9.376,-5.903,0.2186,-9.376
0061,-8.31,0.3324,-8.98,-4.314,0.1726,-9.485
0062,-2.225,0.0674,-4.493,-2.225,0.0674,-4.493
0063,-5.332,0.2539,-5.332,-4.764,0.2269,-4.764
0064,-6.736,0.5182,-6.805,-5.686,0.4374,-7.243
0065,-10.352,0.3982,-11.409,-9.08,0.3492,-10.616
0066,-8.104,0.4767,-8.416,-6.86,0.4035,-8.332
0067,-7.83,0.4121,-8.664,-2.534,0.1334,-8.632
0068,-8.906,0.3071,-9.395,-8.906,0.3071,-9.395
0069,-3.236,0.1348,-4.523,-2.525,0.1052,-5.568
0071,-8.691,0.5112,-8.807,-6.485,0.3815,-8.554
0072,-4.907,0.2045,-7.848,-0.138,0.0058,-6.63
0073,-7.966,0.3463,-9.47,-5.856,0.2546,-10.049
0074,-8.776,0.2831,-10.533,-6.059,0.1955,-10.367
0075,-10.253,0.4101,-10.785,-3.252,0.1301,-9.982
0076,-6.597,0.3881,-6.883,-4.134,0.2432,-6.727
0077,-7.239,0.3619,-7.827,-1.866,0.0933,-7.647
0078,-5.998,0.4284,-6.505,-5.283,0.3774,-6.603
0079,-7.316,0.3658,-7.42,-4.719,0.236,-7.218
0080,-4.832,0.179,-9.599,3.792,-0.1404,-9.075
0082,-7.416,0.2472,-7.621,-7.416,0.2472,-7.621
0083,-6.113,0.2658,-6.113,-3.144,0.1367,-6.349
0086,-6.584,0.3658,-6.584,-2.259,0.1255,-6.189
0087,-2.054,0.0571,-2.355,-1.394,0.0387,-5.374
0088,-7.133,0.3567,-7.133,-1.866,0.0933,-6.593
0089,-6.483,0.2401,-7.175,-6.483,0.2401,-7.175
0090,-7.259,0.3025,-7.608,-5.823,0.2426,-7.634
0091,-5.801,0.3053,-5.905,-3.118,0.1641,-4.606
0092,-9.398,0.4699,-9.506,-4.961,0.2481,-8.668
0093,-8.221,0.4111,-9.405,-7.439,0.372,-9.049
0094,-8.246,0.3927,-8.391,-8.246,0.3927,-8.391
0095,-7.346,0.4591,-7.674,-6.389,0.3993,-7.289
0096,-8.585,0.505,-8.601,-6.898,0.4058,-8.552
0097,-7.263,0.5188,-7.342,-7.263,0.5188,-7.342
