mol_id,vina_score_before,ligand_efficiency_before,vina_min_before,vina_score_after,ligand_efficiency_after,vina_min_after
0000,-8.117,0.3529,-8.978,-8.117,0.3529,-8.978
0001,-5.708,0.2482,-8.803,-5.724,0.2489,-8.639
0002,-6.158,0.2677,-8.92,-8.032,0.3492,-8.698
0003,-5.353,0.2327,-8.611,-5.353,0.2327,-8.611
0004,-6.533,0.284,-8.603,-7.567,0.329,-8.517
0005,-2.186,0.095,-9.039,-7.136,0.3103,-8.568
0006,-3.657,0.159,-8.346,-6.249,0.2717,-9.003
0007,11.544,-0.5019,-8.184,-5.132,0.2231,-8.708
0008,-7.337,0.319,-8.945,-4.812,0.2092,-8.806
0009,-7.046,0.3063,-8.847,-8.108,0.3525,-8.874
0010,13.175,-0.5728,-7.539,-4.782,0.2079,-8.094
0011,11.985,-0.5211,-7.825,2.45,-0.1065,-8.156
0012,-6.305,0.2741,-8.686,-3.931,0.1709,-8.707
0013,-3.594,0.1563,-8.098,-2.657,0.1155,-8.731
0014,18.821,-0.8183,-9.072,-6.685,0.2907,-8.814
0015,27.459,-1.1939,-7.81,-6.009,0.2613,-8.531
0016,16.875,-0.7337,-8.792,-1.574,0.0684,-8.519
0017,2.486,-0.1081,-8.193,-4.519,0.1965,-8.9
0018,22.531,-0.9796,-6.799,-5.229,0.2273,-8.752
0019,5.98,-0.26,-6.249,0.405,-0.0176,-5.753
0020,43.26,-1.8809,-8.777,-6.436,0.2798,-8.583
0021,7.697,-0.3347,-3.548,2.337,-0.1016,-5.716
0022,9.926,-0.4316,-8.202,-7.938,0.3451,-8.458
0023,25.052,-1.0892,-3.705,8.029,-0.3491,-5.576
0024,-1.052,0.0457,-8.772,-4.004,0.1741,-8.377
0025,9.17,-0.3987,-3.844,-0.069,0.003,-5.055
0026,3.341,-0.1453,-7.306,-5.833,0.2536,-8.501
0027,17.793,-0.7736,-3.108,3.011,-0.1309,-5.652
0028,9.923,-0.4314,-7.219,-6.045,0.2628,-8.15
0029,33.5,-1.4565,-2.907,1.222,-0.0531,-4.673
0030,27.138,-1.1799,-8.124,-5.887,0.256,-8.957
0031,19.214,-0.8354,-9.267,0.298,-0.013,-4.858
0032,28.553,-1.2414,-7.658,-7.451,0.324,-7.451
0033,11.81,-0.5135,-3.026,1.468,-0.0638,-3.444
0034,90.618,-3.9399,-5.443,-7.462,0.3244,-8.162
0035,26.146,-1.1368,-2.939,0.938,-0.0408,-6.684
0036,75.653,-3.2893,-2.032,7.607,-0.3307,-7.354
0037,31.238,-1.3582,-7.092,-0.056,0.0024,-4.713
0038,10.523,-0.4575,-8.092,-2.02,0.0878,-8.906
0039,17.614,-0.7658,-5.177,7.877,-0.3425,-3.096
0040,11.073,-0.4814,-8.054,-3.012,0.131,-8.6
0041,84.4,-3.6696,-3.412,0.514,-0.0223,-4.109
0042,18.015,-0.7833,-7.645,1.298,-0.0564,-8.108
0043,63.048,-2.7412,-2.395,11.675,-0.5076,-1.607
0044,48.637,-2.1147,-7.444,-2.525,0.1098,-8.22
0045,52.259,-2.2721,-5.377,7.316,-0.3181,-2.78
0046,89.147,-3.876,-7.001,66.697,-2.8999,42.046
0047,25.671,-1.1161,-2.239,5.536,-0.2407,-3.839
0048,54.086,-2.3516,-6.867,-4.779,0.2078,-8.797
0049,16.669,-0.7247,-7.941,4.903,-0.2132,-3.982
0050,86.188,-3.7473,-7.379,-2.493,0.1084,-8.124
0051,70.844,-3.0802,-6.032,1.666,-0.0724,-4.637
0052,72.358,-3.146,-2.479,-1.17,0.0509,-8.741
0053,35.673,-1.551,0.737,22.804,-0.9915,1.637
0054,5.07,-0.2204,-7.321,-1.015,0.0441,-8.529
0055,44.811,-1.9483,-3.959,13.839,-0.6017,-2.798
0056,130.18,-5.66,-3.153,5.123,-0.2227,-6.593
0057,127.689,-5.5517,-6.76,35.154,-1.5284,-2.933
0058,120.853,-5.2545,-6.771,12.318,-0.5356,-7.338
0059,58.549,-2.5456,-0.201,13.611,-0.5918,1.4
0060,8.437,-0.3668,-8.35,-1.732,0.0753,-8.271
0061,138.758,-6.033,-8.231,60.857,-2.646,-1.887
0062,31.035,-1.3493,-6.346,5.778,-0.2512,-7.966
0063,26.411,-1.1483,-5.654,6.511,-0.2831,-5.212
0064,113.156,-4.9198,-8.781,0.958,-0.0417,-8.835
0065,46.015,-2.0007,-3.447,13.957,-0.6068,-0.81
0066,95.622,-4.1575,-4.973,19.588,-0.8517,-6.392
0067,126.024,-5.4793,109.887,96.26,-4.1852,-3.444
0068,91.688,-3.9864,-7.067,5.877,-0.2555,-7.539
0069,95.85,-4.1674,2.9,11.65,-0.5065,-0.642
0070,113.814,-4.9484,24.07,53.866,-2.342,-2.952
0071,61.142,-2.6583,6.409,14.333,-0.6232,-4.919
0072,42.486,-1.8472,-6.892,-5.886,0.2559,-8.332
0073,135.738,-5.9017,30.96,110.887,-4.8212,22.677
0074,134.354,-5.8415,-6.438,55.1,-2.3957,-8.008
