mol_id,vina_score_before,ligand_efficiency_before,vina_min_before,vina_score_after,ligand_efficiency_after,vina_min_after
0000,-6.149,0.4099,-6.513,-4.677,0.3118,-6.342
0001,-6.161,0.4107,-6.053,-4.585,0.3057,-5.977
0002,-8.284,0.436,-8.28,-7.429,0.391,-8.202
0003,-6.897,0.2759,-7.047,-6.897,0.2759,-7.047
0004,-7.266,0.4037,-8.041,-5.334,0.2963,-7.705
0005,-7.911,0.293,-10.192,-7.44,0.2756,-10.34
0007,-8.608,0.3743,-9.236,-7.177,0.312,-9.17
0008,-5.754,0.2615,-7.269,-5.754,0.2615,-7.269
0009,-5.839,0.1884,-5.987,-5.839,0.1884,-5.987
0010,-5.912,0.3478,-6.854,-5.676,0.3339,-6.349
0011,-10.121,0.3163,-10.858,-5.599,0.175,-9.37
0012,-9.765,0.4439,-10.039,-7.933,0.3606,-10.201
0013,-7.723,0.2663,-8.459,-5.652,0.1949,-8.636
0016,-8.359,0.4179,-8.675,-6.004,0.3002,-8.657
0017,-7.367,0.2947,-7.367,-6.045,0.2418,-8.435
0018,-5.972,0.3981,-6.042,-5.972,0.3981,-6.042
0019,-8.436,0.4687,-7.954,-4.991,0.2773,-8.073
0020,-5.616,0.216,-5.805,-3.494,0.1344,-4.904
0021,-7.609,0.3308,-7.588,-3.858,0.1677,-7.423
0022,-8.141,0.2467,-8.908,-4.334,0.1313,-8.011
0023,-8.62,0.3918,-9.261,-6.991,0.3178,-9.301
0024,-7.939,0.378,-7.815,-5.727,0.2727,-7.431
0025,-6.004,0.5458,-6.107,-4.657,0.4234,-6.131
0026,-4.217,0.1757,-4.591,0.538,-0.0224,-3.09
0027,-9.139,0.4569,-9.194,-4.658,0.2329,-7.927
0028,-4.037,0.1302,-4.777,-0.023,0.0007,-2.541
0029,-7.673,0.2475,-8.17,-6.916,0.2231,-8.656
0030,-9.937,0.523,-10.27,-6.956,0.3661,-10.233
0031,-7.05,0.4406,-7.199,-5.608,0.3505,-7.17
0032,-6.537,0.2179,-6.537,-0.511,0.017,-6.978
0033,-5.835,0.4168,-5.967,-3.44,0.2457,-6.033
0034,-9.227,0.2636,-10.321,-6.738,0.1925,-10.277
0035,-8.718,0.3963,-9.194,-5.686,0.2585,-9.175
0036,-7.114,0.2453,-7.114,-5.054,0.1743,-6.336
0037,-8.919,0.3303,-9.227,-6.387,0.2366,-9.077
0038,-9.856,0.3791,-10.775,-8.904,0.3425,-10.744
0039,-8.353,0.5221,-8.422,-3.462,0.2164,-8.378
0040,-7.909,0.4394,-8.352,-5.093,0.2829,-8.386
0041,-8.606,0.3074,-8.606,-8.606,0.3074,-8.606
0042,-7.303,0.2608,-8.37,-4.8,0.1714,-7.242
0043,-8.455,0.4026,-8.597,-5.198,0.2475,-8.417
0044,-7.598,0.3799,-7.829,2.938,-0.1469,-7.532
0045,-6.626,0.4141,-6.785,-3.104,0.194,-6.361
0046,-7.204,0.2324,-7.937,2.32,-0.0748,-5.989
0047,-7.121,0.5478,-7.198,-5.655,0.435,-7.062
