mol_id,vina_score_before,ligand_efficiency_before,vina_min_before,vina_score_after,ligand_efficiency_after,vina_min_after
0000,-6.149,0.4099,-6.513,-2.249,0.1499,-6.304
0001,-6.161,0.4107,-6.053,-3.08,0.2053,-5.953
0002,-8.284,0.436,-8.28,-7.333,0.3859,-7.847
0003,-6.897,0.2759,-7.047,-2.176,0.087,-6.838
0004,-7.266,0.4037,-8.041,-5.886,0.327,-7.627
0005,-7.911,0.293,-10.192,-6.885,0.255,-9.831
0007,-8.608,0.3743,-9.236,1.185,-0.0515,-8.378
0008,-5.754,0.2615,-7.269,-4.088,0.1858,-5.812
0009,-5.839,0.1884,-5.987,-2.981,0.0962,-6.288
0010,-5.912,0.3478,-6.854,-2.446,0.1439,-6.634
0011,-10.121,0.3163,-10.858,-2.894,0.0904,-9.412
0012,-9.765,0.4439,-10.039,-9.765,0.4439,-10.039
0013,-7.723,0.2663,-8.459,-6.688,0.2306,-8.735
0016,-8.359,0.4179,-8.675,-2.475,0.1237,-7.332
0017,-7.367,0.2947,-7.367,-6.054,0.2422,-7.611
0018,-5.972,0.3981,-6.042,-5.972,0.3981,-6.042
0019,-8.436,0.4687,-7.954,-5.637,0.3132,-7.877
0020,-5.616,0.216,-5.805,-4.428,0.1703,-5.244
0021,-7.609,0.3308,-7.588,-2.789,0.1213,-7.205
0022,-8.141,0.2467,-8.908,6.782,-0.2055,-8.676
0023,-8.62,0.3918,-9.261,-2.516,0.1144,-8.638
0024,-7.939,0.378,-7.815,-5.422,0.2582,-8.189
0025,-6.004,0.5458,-6.107,-3.688,0.3353,-6.081
0026,-4.217,0.1757,-4.591,-3.393,0.1414,-5.455
0027,-9.139,0.4569,-9.194,-4.684,0.2342,-8.937
0028,-4.037,0.1302,-4.777,0.916,-0.0295,-4.165
0029,-7.673,0.2475,-8.17,1.61,-0.0519,-7.444
0030,-9.937,0.523,-10.27,-0.851,0.0448,-9.494
0031,-7.05,0.4406,-7.199,-6.614,0.4134,-7.135
0032,-6.537,0.2179,-6.537,-0.016,0.0005,-5.443
0033,-5.835,0.4168,-5.967,-5.135,0.3668,-6.071
0034,-9.227,0.2636,-10.321,-5.866,0.1676,-9.884
0035,-8.718,0.3963,-9.194,3.219,-0.1463,-9.068
0036,-7.114,0.2453,-7.114,-2.456,0.0847,-6.707
0037,-8.919,0.3303,-9.227,-3.689,0.1366,-8.928
0038,-9.856,0.3791,-10.775,-4.647,0.1787,-10.198
0039,-8.353,0.5221,-8.422,4.813,-0.3008,-8.267
0040,-7.909,0.4394,-8.352,-3.219,0.1788,-8.213
0041,-8.606,0.3074,-8.606,-8.606,0.3074,-8.606
0042,-7.303,0.2608,-8.37,-2.933,0.1047,-7.902
0043,-8.455,0.4026,-8.597,-5.951,0.2834,-8.345
0044,-7.598,0.3799,-7.829,-5.785,0.2893,-7.41
0045,-6.626,0.4141,-6.785,-4.537,0.2836,-6.626
0046,-7.204,0.2324,-7.937,1.321,-0.0426,-7.365
0047,-7.121,0.5478,-7.198,-4.508,0.3468,-7.068
0048,-7.648,0.3187,-7.697,-4.781,0.1992,-6.18
0049,-6.621,0.3678,-4.754,-6.767,0.3759,-6.922
0050,-6.579,0.387,-6.579,-6.579,0.387,-6.579
0051,-8.483,0.3393,-8.679,-3.751,0.15,-8.055
0052,-7.265,0.2794,-7.795,-3.787,0.1457,-7.695
0053,-7.357,0.2943,-7.514,-7.357,0.2943,-7.514
0054,-5.109,0.5109,-5.244,-4.368,0.4368,-5.328
0055,-4.423,0.1638,-8.016,-2.962,0.1097,-7.614
0056,-8.069,0.3668,-8.925,4.765,-0.2166,-8.233
0057,-6.214,0.3107,-6.362,-2.029,0.1014,-6.202
0058,-6.76,0.52,-6.895,-5.368,0.4129,-6.206
0059,-11.644,0.4658,-11.714,-7.517,0.3007,-11.687
0060,-6.854,0.2636,-7.236,-2.892,0.1112,-7.051
0061,-6.627,0.2008,-7.754,5.008,-0.1518,-8.22
0062,-7.357,0.283,-7.357,-4.776,0.1837,-7.258
0063,-7.441,0.372,-7.669,2.163,-0.1081,-5.2
0064,-7.641,0.2315,-7.641,-2.537,0.0769,-7.532
0065,-7.065,0.6423,-7.438,-7.065,0.6423,-7.438
0066,-8.404,0.5252,-9.009,-5.462,0.3414,-8.422
0067,-3.949,0.1362,-5.849,4.877,-0.1682,-8.954
0068,-6.901,0.3,-7.119,-6.16,0.2678,-6.534
0069,-6.191,0.4127,-6.776,-0.217,0.0145,-6.309
0070,-10.331,0.3444,-10.864,-3.608,0.1203,-10.983
0071,-6.728,0.3541,-6.958,-4.557,0.2398,-7.124
0072,-6.63,0.4144,-7.157,-6.405,0.4003,-7.267
0073,-9.28,0.2994,-10.925,-5.563,0.1795,-10.897
0074,-11.634,0.4475,-11.656,-2.345,0.0902,-9.835
0075,-7.431,0.3096,-8.072,-4.224,0.176,-7.992
0076,-9.048,0.3231,-9.844,-7.232,0.2583,-9.279
0078,-6.792,0.4528,-7.336,-4.442,0.2961,-7.406
0079,-6.257,0.2317,-6.463,-1.81,0.067,-6.04
0080,-7.346,0.4321,-7.348,-7.346,0.4321,-7.348
0081,-7.987,0.6144,-8.544,-0.242,0.0186,-7.916
0082,-8.397,0.323,-8.515,-6.124,0.2355,-8.665
0083,-8.475,0.4036,-8.475,-0.259,0.0123,-8.628
0084,-8.023,0.382,-8.856,-3.251,0.1548,-8.363
0085,-4.709,0.1811,-5.775,-2.808,0.108,-6.052
0086,-7.591,0.2811,-8.604,-4.618,0.171,-6.752
0087,-6.662,0.3506,-6.97,-3.483,0.1833,-6.481
0088,-10.865,0.4346,-11.372,-0.457,0.0183,-11.473
0089,-7.882,0.3753,-7.882,-7.882,0.3753,-7.882
0090,-8.281,0.3312,-8.281,-8.281,0.3312,-8.281
0091,-7.658,0.3191,-8.31,-7.658,0.3191,-8.31
0092,-8.153,0.3545,-8.848,-5.726,0.249,-9.003
0093,-8.146,0.3017,-8.146,-8.146,0.3017,-8.146
0094,-7.335,0.3056,-7.618,-7.335,0.3056,-7.618
