mol_id,vina_score_before,ligand_efficiency_before,vina_min_before,vina_score_after,ligand_efficiency_after,vina_min_after
0000,-6.149,0.4099,-6.513,-1.264,0.0843,-6.246
0001,-6.161,0.4107,-6.053,-6.161,0.4107,-6.053
0002,-8.284,0.436,-8.28,-5.825,0.3066,-8.449
0003,-6.897,0.2759,-7.047,-4.226,0.169,-6.519
0004,-7.266,0.4037,-8.041,-5.564,0.3091,-7.696
0005,-7.911,0.293,-10.192,-4.949,0.1833,-9.457
0007,-8.608,0.3743,-9.236,-0.912,0.0397,-9.109
0008,-5.754,0.2615,-7.269,-0.613,0.0279,-5.882
0009,-5.839,0.1884,-5.987,-5.839,0.1884,-5.987
0010,-5.912,0.3478,-6.854,-4.928,0.2899,-6.498
0011,-10.121,0.3163,-10.858,-7.297,0.228,-10.765
0012,-9.765,0.4439,-10.039,-9.765,0.4439,-10.039
0013,-7.723,0.2663,-8.459,-6.092,0.2101,-8.792
0016,-8.359,0.4179,-8.675,-1.992,0.0996,-7.967
0017,-7.367,0.2947,-7.367,-5.61,0.2244,-7.972
0018,-5.972,0.3981,-6.042,-5.972,0.3981,-6.042
0019,-8.436,0.4687,-7.954,-6.884,0.3824,-7.56
0020,-5.616,0.216,-5.805,-4.725,0.1817,-5.35
0021,-7.609,0.3308,-7.588,-3.568,0.1551,-7.103
0022,-8.141,0.2467,-8.908,0.136,-0.0041,-8.77
0023,-8.62,0.3918,-9.261,-6.099,0.2772,-9.271
0024,-7.939,0.378,-7.815,-6.254,0.2978,-7.157
0025,-6.004,0.5458,-6.107,-5.634,0.5122,-6.236
0026,-4.217,0.1757,-4.591,0.394,-0.0164,0.394
0027,-9.139,0.4569,-9.194,-5.771,0.2885,-8.407
0028,-4.037,0.1302,-4.777,-0.628,0.0203,-2.781
0029,-7.673,0.2475,-8.17,-1.742,0.0562,-7.377
0030,-9.937,0.523,-10.27,-7.278,0.3831,-10.149
0031,-7.05,0.4406,-7.199,-2.539,0.1587,-7.02
0032,-6.537,0.2179,-6.537,1.687,-0.0562,-6.786
0033,-5.835,0.4168,-5.967,-4.152,0.2966,-6.013
0034,-9.227,0.2636,-10.321,-6.859,0.196,-10.074
