mol_id,vina_score_before,ligand_efficiency_before,vina_min_before,vina_score_after,ligand_efficiency_after,vina_min_after
0000,-5.413,0.6014,-5.781,-5.413,0.6014,-5.781
0001,-4.222,0.4691,-5.848,-4.222,0.4691,-5.848
0002,-3.728,0.4142,-5.866,-5.044,0.5604,-5.878
0003,-5.151,0.5723,-5.918,-4.7,0.5222,-5.903
0004,-5.43,0.6033,-5.815,-5.43,0.6033,-5.815
0005,-5.528,0.6142,-5.83,-5.528,0.6142,-5.83
0006,-1.203,0.1337,-5.845,-1.203,0.1337,-5.845
0007,-0.197,0.0219,-5.806,-2.496,0.2773,-5.771
0008,-1.9,0.2111,-5.822,-1.9,0.2111,-5.822
0009,-2.536,0.2818,-5.727,-3.755,0.4172,-5.735
0010,-2.774,0.3082,-5.614,-4.464,0.496,-5.7
0011,0.787,-0.0874,-5.848,0.787,-0.0874,-5.848
0012,-4.142,0.4602,-5.537,-4.142,0.4602,-5.537
0013,1.18,-0.1311,-5.857,1.18,-0.1311,-5.857
0014,-1.293,0.1437,-5.5,7.606,-0.8451,-4.964
0015,2.596,-0.2884,-5.731,-2.776,0.3084,-5.787
0016,6.632,-0.7369,-5.783,2.141,-0.2379,-5.853
0017,0.682,-0.0758,-5.96,-3.711,0.4123,-5.72
0018,4.588,-0.5098,-5.728,-0.611,0.0679,-5.092
0019,7.842,-0.8713,-4.607,0.431,-0.0479,-5.807
0020,-3.351,0.3723,-5.706,-0.63,0.07,-5.669
0021,-2.494,0.2771,-5.179,-3.686,0.4096,-5.597
0022,3.856,-0.4284,-5.643,5.399,-0.5999,-5.802
0023,3.955,-0.4394,-5.436,1.181,-0.1312,-5.594
0024,-2.001,0.2223,-5.204,-0.385,0.0428,-4.906
0025,-0.788,0.0876,-5.148,14.393,-1.5992,-4.188
0026,6.124,-0.6804,-3.988,0.76,-0.0844,-5.226
0027,7.656,-0.8507,-5.278,2.878,-0.3198,-5.801
0028,2.81,-0.3122,-4.698,-1.854,0.206,-5.675
0029,12.99,-1.4433,-5.26,1.416,-0.1573,-5.787
0030,5.924,-0.6582,-3.864,5.409,-0.601,-4.122
0031,7.476,-0.8307,-4.23,-4.69,0.5211,-5.386
0032,18.439,-2.0488,-4.464,-2.125,0.2361,-5.713
0033,7.794,-0.866,-4.151,-3.428,0.3809,-3.428
0034,11.236,-1.2484,-3.796,-0.567,0.063,-5.605
0035,2.148,-0.2387,-5.547,-1.973,0.2192,-4.764
0036,23.985,-2.665,-3.75,14.437,-1.6041,-4.073
0037,19.524,-2.1693,-3.7,-5.268,0.5853,-5.901
0038,17.499,-1.9443,-5.593,-3.179,0.3532,-4.413
0039,8.808,-0.9787,-5.518,-3.415,0.3794,-5.686
0040,16.078,-1.7864,-4.287,3.702,-0.4113,-5.044
0041,26.021,-2.8912,-1.915,14.017,-1.5574,-4.987
0042,31.875,-3.5417,-2.121,18.44,-2.0489,-4.804
0043,42.366,-4.7073,-2.557,22.474,-2.4971,-4.785
0044,24.101,-2.6779,-2.907,3.154,-0.3504,-5.803
0045,36.403,-4.0448,-2.142,8.498,-0.9442,-4.031
0046,9.92,-1.1022,-3.325,1.396,-0.1551,-4.811
0047,32.558,-3.6176,-3.552,-3.999,0.4443,-5.796
0048,3.952,-0.4391,-4.327,-0.036,0.004,-5.299
0049,18.238,-2.0264,-5.234,7.275,-0.8083,-4.705
0050,-0.354,0.0393,-4.56,-1.773,0.197,-5.551
0051,27.559,-3.0621,-2.394,-3.709,0.4121,-5.931
0052,8.466,-0.9407,-3.793,-3.254,0.3616,-5.85
0053,45.099,-5.011,-3.89,3.2,-0.3556,-4.251
0054,23.429,-2.6032,-1.685,-3.093,0.3437,-5.11
0055,31.543,-3.5048,-1.509,6.622,-0.7358,-4.101
0056,27.286,-3.0318,-3.537,3.6,-0.4,-5.564
0057,16.484,-1.8316,-3.541,18.848,-2.0942,-4.894
0058,27.023,-3.0026,-3.818,4.121,-0.4579,-4.911
0059,3.365,-0.3739,-4.18,-4.592,0.5102,-4.914
0060,50.943,-5.6603,-5.377,12.916,-1.4351,-4.805
0061,-2.509,0.2788,-4.935,-3.672,0.408,-4.829
0062,8.165,-0.9072,-4.177,-0.186,0.0207,-5.801
0063,63.495,-7.055,-3.916,-0.443,0.0492,-4.721
0064,29.422,-3.2691,-3.834,11.019,-1.2243,-4.779
0065,48.069,-5.341,-4.8,5.383,-0.5981,-3.994
0066,62.139,-6.9043,-3.172,1.413,-0.157,-2.052
0067,11.758,-1.3064,-4.695,-3.976,0.4418,-5.509
