mol_id,vina_score_before,ligand_efficiency_before,vina_min_before,vina_score_after,ligand_efficiency_after,vina_min_after
0000,-5.413,0.6014,-5.781,-5.413,0.6014,-5.781
0001,-4.222,0.4691,-5.848,-4.222,0.4691,-5.848
0002,-3.728,0.4142,-5.866,-4.813,0.5348,-5.86
0003,-5.151,0.5723,-5.918,-4.334,0.4816,-5.922
0004,-5.43,0.6033,-5.815,-5.43,0.6033,-5.815
0005,-5.528,0.6142,-5.83,-5.528,0.6142,-5.83
0006,-1.203,0.1337,-5.845,-1.203,0.1337,-5.845
0007,-0.197,0.0219,-5.806,-1.271,0.1412,-5.869
0008,-1.9,0.2111,-5.822,-1.9,0.2111,-5.822
0009,-2.536,0.2818,-5.727,-2.682,0.298,-5.72
0010,-2.774,0.3082,-5.614,-5.0,0.5556,-5.708
0011,0.787,-0.0874,-5.848,0.787,-0.0874,-5.848
0012,-4.142,0.4602,-5.537,-4.142,0.4602,-5.537
0013,1.18,-0.1311,-5.857,1.18,-0.1311,-5.857
0014,-1.293,0.1437,-5.5,-4.591,0.5101,-5.598
0015,2.596,-0.2884,-5.731,0.814,-0.0904,-5.808
0016,6.632,-0.7369,-5.783,2.141,-0.2379,-5.853
0017,0.682,-0.0758,-5.96,-2.58,0.2867,-5.741
0018,4.588,-0.5098,-5.728,-5.442,0.6047,-5.708
0019,7.842,-0.8713,-4.607,1.966,-0.2184,-5.825
0020,-3.351,0.3723,-5.706,-2.034,0.226,-5.824
0021,-2.494,0.2771,-5.179,-4.394,0.4882,-5.651
0022,3.856,-0.4284,-5.643,-1.656,0.184,-5.737
0023,3.955,-0.4394,-5.436,1.181,-0.1312,-5.594
0024,-2.001,0.2223,-5.204,0.022,-0.0024,-4.84
0025,-0.788,0.0876,-5.148,-4.62,0.5133,-5.788
0026,6.124,-0.6804,-3.988,9.643,-1.0714,-1.848
0027,7.656,-0.8507,-5.278,2.079,-0.231,-5.812
0028,2.81,-0.3122,-4.698,1.515,-0.1683,-4.868
0029,12.99,-1.4433,-5.26,-0.092,0.0102,-5.869
0030,5.924,-0.6582,-3.864,-4.518,0.502,-5.733
0031,7.476,-0.8307,-4.23,7.938,-0.882,-2.439
0032,18.439,-2.0488,-4.464,-2.944,0.3271,-5.849
0033,7.794,-0.866,-4.151,-0.349,0.0388,-5.654
0034,11.236,-1.2484,-3.796,-3.219,0.3577,-5.639
0035,2.148,-0.2387,-5.547,-3.174,0.3527,-5.399
0036,23.985,-2.665,-3.75,9.825,-1.0917,-4.982
0037,19.524,-2.1693,-3.7,10.903,-1.2114,-4.886
0038,17.499,-1.9443,-5.593,1.247,-0.1386,-5.768
0039,8.808,-0.9787,-5.518,-2.588,0.2876,-5.749
0040,16.078,-1.7864,-4.287,-0.069,0.0077,-5.061
0041,26.021,-2.8912,-1.915,12.108,-1.3453,-1.914
0042,31.875,-3.5417,-2.121,12.013,-1.3348,-5.013
0043,42.366,-4.7073,-2.557,6.479,-0.7199,-5.062
0044,24.101,-2.6779,-2.907,7.567,-0.8408,-2.26
0045,36.403,-4.0448,-2.142,15.07,-1.6744,-3.616
0046,9.92,-1.1022,-3.325,6.334,-0.7038,-5.011
0047,32.558,-3.6176,-3.552,23.419,-2.6021,-4.487
0048,3.952,-0.4391,-4.327,3.623,-0.4026,-4.265
0049,18.238,-2.0264,-5.234,6.093,-0.677,-4.701
0050,-0.354,0.0393,-4.56,-1.763,0.1959,-4.031
0051,27.559,-3.0621,-2.394,8.615,-0.9572,-2.453
0052,8.466,-0.9407,-3.793,7.605,-0.845,-4.825
0053,45.099,-5.011,-3.89,18.538,-2.0598,-4.718
0054,23.429,-2.6032,-1.685,4.075,-0.4528,-4.571
0055,31.543,-3.5048,-1.509,16.478,-1.8309,-3.982
0056,27.286,-3.0318,-3.537,20.332,-2.2591,-4.214
0057,16.484,-1.8316,-3.541,21.231,-2.359,-3.72
0058,27.023,-3.0026,-3.818,12.366,-1.374,-4.861
0059,3.365,-0.3739,-4.18,2.283,-0.2537,-4.264
0060,50.943,-5.6603,-5.377,19.605,-2.1783,-4.89
0061,-2.509,0.2788,-4.935,-0.831,0.0923,-5.601
0062,8.165,-0.9072,-4.177,2.824,-0.3138,-3.491
0063,63.495,-7.055,-3.916,43.298,-4.8109,-4.236
0064,29.422,-3.2691,-3.834,52.039,-5.7821,-1.725
0065,48.069,-5.341,-4.8,14.864,-1.6516,-4.679
0066,62.139,-6.9043,-3.172,38.316,-4.2573,-1.851
0067,11.758,-1.3064,-4.695,7.607,-0.8452,-3.414
