mol_id,vina_score_before,ligand_efficiency_before,vina_min_before,vina_score_after,ligand_efficiency_after,vina_min_after
0000,9.825,-0.655,3.265,4.852,-0.3235,2.917
0002,24.026,-0.775,11.128,28.012,-0.9036,12.925
0005,26.301,-1.4612,16.696,27.314,-1.5174,11.306
0006,23.624,-0.875,9.668,47.248,-1.7499,-3.717
0008,43.193,-1.2341,-1.611,20.266,-0.579,14.751
0009,37.019,-1.6827,18.857,35.118,-1.5963,15.759
0011,17.907,-1.0534,9.369,32.335,-1.9021,7.721
0012,39.563,-1.2363,10.303,34.639,-1.0825,34.639
0014,50.288,-1.4368,36.987,50.288,-1.4368,36.987
0015,36.975,-1.5406,19.902,37.724,-1.5718,21.694
0016,23.466,-0.7822,20.245,27.194,-0.9065,20.58
0019,13.518,-0.9012,0.358,13.324,-0.8883,0.825
0020,24.271,-1.3484,11.924,34.442,-1.9134,17.291
0022,11.749,-0.5108,4.762,11.651,-0.5066,4.712
0023,29.448,-0.8924,26.292,30.498,-0.9242,26.932
0024,25.631,-1.165,20.94,27.062,-1.2301,20.802
0025,37.744,-1.7973,27.492,34.551,-1.6453,26.66
0026,5.955,-0.5414,-0.692,15.278,-1.3889,-0.259
0027,38.814,-1.6173,29.976,34.054,-1.4189,27.483
0028,27.334,-1.3667,13.922,23.674,-1.1837,12.951
0029,36.367,-1.1731,28.559,53.523,-1.7265,26.965
0030,36.065,-1.1634,-5.349,45.765,-1.4763,16.034
0031,35.685,-1.8782,29.763,37.493,-1.9733,29.945
0033,23.556,-0.7852,21.099,22.068,-0.7356,20.689
0034,16.112,-1.1509,2.218,8.651,-0.6179,1.059
0036,19.909,-0.905,15.045,43.564,-1.9802,12.374
0038,38.548,-1.3292,19.211,49.992,-1.7239,19.304
0041,11.17,-0.6981,2.117,11.521,-0.7201,2.465
0043,21.134,-0.7548,-6.698,14.832,-0.5297,3.908
0044,20.413,-0.729,13.421,18.323,-0.6544,6.071
0045,61.779,-2.9419,42.306,65.35,-3.1119,44.501
0046,49.931,-2.4966,38.687,44.594,-2.2297,38.174
0047,15.644,-0.4889,11.852,16.991,-0.531,10.813
0049,17.49,-1.3454,-0.466,16.049,-1.2345,4.125
0050,47.868,-1.9945,27.529,32.229,-1.3429,27.732
0051,29.981,-1.6656,19.053,39.771,-2.2095,22.606
0052,14.029,-0.8252,8.181,9.15,-0.5382,7.63
0053,16.755,-0.6702,10.062,23.437,-0.9375,16.975
0055,32.3,-1.292,15.428,26.713,-1.0685,15.701
0056,15.479,-1.5479,-1.941,5.486,-0.5486,0.157
0058,26.162,-1.1892,-4.069,42.343,-1.9247,38.183
0059,19.667,-0.894,9.154,28.353,-1.2888,5.346
0061,8.676,-0.6674,-2.126,9.364,-0.7203,-3.286
0062,16.43,-0.6572,8.475,13.212,-0.5285,13.212
0063,52.197,-2.0076,47.233,55.712,-2.1428,10.283
0065,36.188,-1.3918,15.778,22.511,-0.8658,16.174
0066,37.792,-1.3032,24.749,27.778,-0.9579,22.957
0069,38.357,-2.3973,10.485,36.51,-2.2819,9.972
0070,37.01,-1.2762,29.935,44.7,-1.5414,29.893
0071,29.796,-1.2955,20.064,23.555,-1.0241,13.624
0072,8.34,-0.556,-1.205,16.409,-1.0939,-1.217
0076,37.187,-1.0625,20.642,31.804,-0.9087,31.804
0077,29.675,-1.3489,27.448,29.648,-1.3476,27.223
0078,34.378,-1.2733,30.8,27.566,-1.021,17.395
0079,32.15,-1.3978,30.408,36.639,-1.593,29.389
0082,22.224,-1.4816,-2.398,21.867,-1.4578,-3.926
0083,48.175,-1.7843,34.571,39.497,-1.4629,-1.879
0084,28.574,-0.9525,21.276,26.41,-0.8803,22.274
0085,28.528,-1.6781,16.145,28.528,-1.6781,16.145
0089,24.593,-1.1711,18.386,28.454,-1.355,19.072
0091,63.399,-2.3481,27.203,43.263,-1.6023,28.022
0092,41.11,-1.2091,26.445,46.589,-1.3703,22.356
0093,26.65,-1.066,19.416,30.203,-1.2081,19.13
0094,31.605,-1.3741,29.786,34.102,-1.4827,1.453
0095,25.609,-1.067,18.643,19.779,-0.8241,18.467
0096,25.842,-1.0767,4.655,31.253,-1.3022,3.288
0097,21.504,-0.7964,16.23,46.991,-1.7404,14.884
0098,23.299,-0.9708,16.454,39.532,-1.6472,14.37
