mol_id,vina_score_before,ligand_efficiency_before,vina_min_before,vina_score_after,ligand_efficiency_after,vina_min_after
0000,-5.99,0.3524,-6.196,-5.99,0.3524,-6.196
0001,-4.195,0.2468,-6.071,-2.034,0.1196,-6.083
0002,-4.777,0.281,-6.161,-4.777,0.281,-6.161
0003,-4.19,0.2465,-6.098,0.245,-0.0144,-5.748
0004,-5.042,0.2966,-6.182,-4.86,0.2859,-6.176
0005,-4.227,0.2486,-6.089,-3.593,0.2114,-6.055
0006,-1.856,0.1092,-6.084,-2.439,0.1435,-6.178
0007,0.233,-0.0137,-6.017,-2.047,0.1204,-4.224
0008,-0.5,0.0294,-6.196,-3.625,0.2132,-6.121
0009,0.68,-0.04,-5.91,0.023,-0.0014,-6.096
0010,-1.445,0.085,-6.03,-3.174,0.1867,-5.803
0011,-1.316,0.0774,-5.767,4.5,-0.2647,-6.076
0012,1.158,-0.0681,-6.025,1.341,-0.0789,-6.163
0013,1.379,-0.0811,-5.807,5.164,-0.3038,-5.047
0014,-1.024,0.0602,-6.095,4.972,-0.2925,-5.438
0015,2.289,-0.1346,-5.995,2.998,-0.1764,-6.055
0016,-2.006,0.118,-6.041,-3.076,0.1809,-6.144
0017,-1.874,0.1102,-6.086,0.9,-0.0529,-2.377
0018,6.644,-0.3908,-6.165,4.544,-0.2673,-4.879
0019,10.134,-0.5961,-5.555,9.907,-0.5828,-2.312
0020,-5.455,0.3209,-6.116,-1.869,0.1099,-6.159
0021,-4.564,0.2685,-5.861,-3.398,0.1999,-5.103
0022,11.202,-0.6589,-5.747,5.998,-0.3528,-4.929
0023,8.175,-0.4809,-6.066,3.357,-0.1975,-2.926
0024,2.763,-0.1625,-5.95,2.753,-0.1619,-1.873
0025,-0.552,0.0325,-5.501,-0.361,0.0212,-6.087
0026,1.322,-0.0778,-5.558,3.051,-0.1795,-6.077
0027,10.335,-0.6079,-5.019,18.546,-1.0909,-5.659
0028,9.572,-0.5631,-5.003,-0.101,0.0059,-6.179
0029,-1.686,0.0992,-5.65,1.528,-0.0899,-5.406
0030,6.39,-0.3759,-6.096,-2.861,0.1683,-6.166
0031,5.027,-0.2957,-5.632,-1.213,0.0714,-6.085
0032,6.214,-0.3655,-5.254,4.288,-0.2522,-2.651
0033,38.117,-2.2422,-4.257,17.54,-1.0318,-5.607
0034,44.974,-2.6455,-5.646,5.367,-0.3157,-5.587
0035,5.729,-0.337,-2.748,8.564,-0.5038,-4.766
0036,-0.884,0.052,-5.745,-1.526,0.0898,-5.998
0037,-2.777,0.1634,-5.492,-4.252,0.2501,-6.15
0038,-0.209,0.0123,-5.654,0.409,-0.0241,-5.627
0039,36.774,-2.1632,-4.076,3.463,-0.2037,-2.651
0040,5.58,-0.3282,-5.174,-2.268,0.1334,-6.084
0041,15.082,-0.8872,-4.757,-1.079,0.0635,-6.105
0042,34.299,-2.0176,-6.071,-5.781,0.3401,-6.202
0043,47.974,-2.822,-4.646,10.906,-0.6415,-5.609
0044,20.261,-1.1918,-1.877,-2.538,0.1493,-5.14
0045,17.233,-1.0137,-5.58,-4.883,0.2872,-6.045
0046,4.183,-0.2461,-5.059,-2.39,0.1406,-6.196
0047,7.164,-0.4214,-5.59,-4.482,0.2636,-5.986
0048,7.182,-0.4225,-5.219,9.783,-0.5755,-5.945
0049,17.337,-1.0198,-4.578,3.787,-0.2228,-4.924
0050,62.633,-3.6843,-4.941,24.312,-1.4301,-5.869
0051,35.809,-2.1064,-5.138,17.243,-1.0143,-2.002
0052,12.098,-0.7116,-5.657,-3.711,0.2183,-5.808
0053,41.24,-2.4259,-5.005,0.516,-0.0304,-5.973
0054,20.897,-1.2292,-5.927,-3.757,0.221,-6.153
0055,26.989,-1.5876,-2.775,13.968,-0.8216,-6.094
0056,26.289,-1.5464,-4.73,1.47,-0.0865,-4.07
0057,29.13,-1.7135,-5.582,0.393,-0.0231,-6.055
0058,13.839,-0.8141,-5.272,9.689,-0.5699,-5.911
0059,1.471,-0.0865,-2.718,4.293,-0.2525,-5.312
0060,7.348,-0.4322,-3.656,-2.144,0.1261,-6.189
0061,2.435,-0.1432,-5.418,-2.211,0.1301,-4.537
0062,-4.115,0.2421,-4.703,8.069,-0.4746,-6.053
0063,59.551,-3.503,-1.959,4.421,-0.2601,-5.06
0064,13.957,-0.821,-6.015,9.494,-0.5585,-4.935
0065,61.042,-3.5907,-5.993,0.128,-0.0075,-5.634
0066,24.737,-1.4551,-5.687,21.077,-1.2398,-5.482
0067,42.498,-2.4999,-4.224,31.116,-1.8304,-5.268
0068,84.573,-4.9749,-3.31,16.549,-0.9735,-5.722
0069,70.115,-4.1244,-5.863,39.577,-2.3281,-4.688
0070,26.852,-1.5795,-5.392,-2.4,0.1412,-5.846
0071,61.19,-3.5994,-3.653,98.465,-5.7921,-3.228
0072,41.027,-2.4134,-3.039,9.264,-0.5449,-5.602
0073,20.757,-1.221,-5.516,28.078,-1.6516,-5.343
0074,5.725,-0.3368,-5.326,-2.811,0.1654,-5.972
0075,15.798,-0.9293,-5.699,-1.031,0.0606,-5.622
0076,41.686,-2.4521,-3.749,55.632,-3.2725,-4.813
0077,44.305,-2.6062,44.305,49.189,-2.8935,-3.67
0078,0.89,-0.0524,-4.887,0.388,-0.0228,-5.254
0079,14.506,-0.8533,-5.584,22.614,-1.3302,-5.633
0080,69.171,-4.0689,-5.846,36.642,-2.1554,-4.986
0081,43.474,-2.5573,-5.839,35.11,-2.0653,-5.596
0082,53.647,-3.1557,-3.907,7.201,-0.4236,-5.814
0083,18.592,-1.0936,-5.939,28.197,-1.6586,-5.45
0084,38.5,-2.2647,-5.115,62.544,-3.6791,-1.362
0085,19.165,-1.1274,-6.064,3.746,-0.2204,-5.848
0086,11.369,-0.6688,-2.174,6.772,-0.3984,-3.739
0087,51.238,-3.014,-5.696,55.227,-3.2486,-5.573
0088,31.545,-1.8556,-5.666,9.819,-0.5776,-5.059
0089,23.243,-1.3672,-5.393,8.411,-0.4948,-4.972
0090,20.214,-1.1891,-4.598,23.446,-1.3792,-5.332
0091,93.722,-5.5131,-4.968,40.874,-2.4044,-5.868
0092,27.436,-1.6139,-5.846,15.914,-0.9361,-1.585
0093,41.418,-2.4364,-5.136,33.622,-1.9778,-4.985
0094,10.573,-0.6219,-4.235,18.678,-1.0987,-5.84
0095,8.045,-0.4732,-5.021,-2.136,0.1256,-4.496
0096,-3.115,0.1832,-5.556,-2.953,0.1737,-5.283
0097,5.481,-0.3224,-5.924,1.497,-0.0881,-3.653
0098,25.153,-1.4796,-3.274,16.429,-0.9664,-4.961
0099,99.039,-5.8258,-5.848,28.798,-1.694,-4.87
