mol_id,vina_score_before,ligand_efficiency_before,vina_min_before,vina_score_after,ligand_efficiency_after,vina_min_after
0000,-5.99,0.3524,-6.196,-5.99,0.3524,-6.196
0001,-4.195,0.2468,-6.071,-2.833,0.1666,-5.873
0002,-4.777,0.281,-6.161,-4.777,0.281,-6.161
0003,-4.19,0.2465,-6.098,-2.952,0.1736,-6.09
0004,-5.042,0.2966,-6.182,-4.07,0.2394,-6.193
0005,-4.227,0.2486,-6.089,-2.674,0.1573,-6.083
0006,-1.856,0.1092,-6.084,-4.833,0.2843,-6.141
0007,0.233,-0.0137,-6.017,-0.423,0.0249,-6.078
0008,-0.5,0.0294,-6.196,-4.978,0.2928,-6.187
0009,0.68,-0.04,-5.91,0.441,-0.0259,-6.03
0010,-1.445,0.085,-6.03,-3.12,0.1835,-6.099
0011,-1.316,0.0774,-5.767,-1.981,0.1165,-6.09
0012,1.158,-0.0681,-6.025,-0.254,0.0149,-5.254
0013,1.379,-0.0811,-5.807,-4.619,0.2717,-6.099
0014,-1.024,0.0602,-6.095,-3.331,0.1959,-6.155
0015,2.289,-0.1346,-5.995,-3.669,0.2158,-6.051
0016,-2.006,0.118,-6.041,-4.999,0.2941,-6.172
0017,-1.874,0.1102,-6.086,-2.982,0.1754,-6.095
0018,6.644,-0.3908,-6.165,-2.282,0.1342,-6.159
0019,10.134,-0.5961,-5.555,-3.284,0.1932,-6.037
0020,-5.455,0.3209,-6.116,-3.71,0.2182,-6.15
0021,-4.564,0.2685,-5.861,-2.226,0.1309,-5.978
0022,11.202,-0.6589,-5.747,-2.412,0.1419,-6.176
0023,8.175,-0.4809,-6.066,-1.177,0.0692,-5.947
0024,2.763,-0.1625,-5.95,2.087,-0.1228,-5.35
0025,-0.552,0.0325,-5.501,-0.578,0.034,-6.049
0026,1.322,-0.0778,-5.558,-4.061,0.2389,-6.149
0027,10.335,-0.6079,-5.019,-4.257,0.2504,-5.942
0028,9.572,-0.5631,-5.003,-0.679,0.0399,-6.167
0029,-1.686,0.0992,-5.65,-4.16,0.2447,-5.886
0030,6.39,-0.3759,-6.096,-1.644,0.0967,-6.165
0031,5.027,-0.2957,-5.632,-2.044,0.1202,-6.089
0032,6.214,-0.3655,-5.254,6.994,-0.4114,-5.337
0033,38.117,-2.2422,-4.257,23.213,-1.3655,-5.174
0034,44.974,-2.6455,-5.646,10.852,-0.6384,-6.187
0035,5.729,-0.337,-2.748,-0.278,0.0164,-5.88
0036,-0.884,0.052,-5.745,-2.034,0.1196,-5.474
0037,-2.777,0.1634,-5.492,-3.359,0.1976,-5.709
0038,-0.209,0.0123,-5.654,-4.988,0.2934,-5.653
0039,36.774,-2.1632,-4.076,29.422,-1.7307,-3.172
0040,5.58,-0.3282,-5.174,-0.348,0.0205,-5.052
0041,15.082,-0.8872,-4.757,8.712,-0.5125,-5.416
0042,34.299,-2.0176,-6.071,12.106,-0.7121,-4.784
0043,47.974,-2.822,-4.646,28.867,-1.6981,28.867
0044,20.261,-1.1918,-1.877,9.277,-0.5457,-5.052
0045,17.233,-1.0137,-5.58,4.662,-0.2742,-5.38
0046,4.183,-0.2461,-5.059,1.218,-0.0716,-5.051
0047,7.164,-0.4214,-5.59,6.032,-0.3548,-5.194
0048,7.182,-0.4225,-5.219,-0.366,0.0215,-6.025
0049,17.337,-1.0198,-4.578,7.167,-0.4216,-5.699
0050,62.633,-3.6843,-4.941,52.655,-3.0974,-4.65
0051,35.809,-2.1064,-5.138,37.852,-2.2266,-4.86
0052,12.098,-0.7116,-5.657,5.022,-0.2954,-2.261
0053,41.24,-2.4259,-5.005,25.885,-1.5226,-1.746
0054,20.897,-1.2292,-5.927,3.917,-0.2304,-5.045
0055,26.989,-1.5876,-2.775,16.161,-0.9506,-5.312
0056,26.289,-1.5464,-4.73,26.253,-1.5443,-4.819
0057,29.13,-1.7135,-5.582,12.769,-0.7511,-2.482
0058,13.839,-0.8141,-5.272,11.417,-0.6716,-5.776
0059,1.471,-0.0865,-2.718,2.318,-0.1364,-4.605
0060,7.348,-0.4322,-3.656,1.11,-0.0653,-5.943
0061,2.435,-0.1432,-5.418,4.905,-0.2885,-5.921
0062,-4.115,0.2421,-4.703,-1.119,0.0658,-4.947
0063,59.551,-3.503,-1.959,44.097,-2.5939,-3.146
0064,13.957,-0.821,-6.015,6.986,-0.4109,-5.91
0065,61.042,-3.5907,-5.993,24.246,-1.4262,-5.928
0066,24.737,-1.4551,-5.687,19.847,-1.1675,-5.85
0067,42.498,-2.4999,-4.224,17.237,-1.0139,-5.344
0068,84.573,-4.9749,-3.31,77.679,-4.5694,-5.934
0069,70.115,-4.1244,-5.863,63.974,-3.7632,63.974
0070,26.852,-1.5795,-5.392,2.999,-0.1764,-5.528
0071,61.19,-3.5994,-3.653,61.617,-3.6245,-5.054
0072,41.027,-2.4134,-3.039,29.127,-1.7134,-4.161
0073,20.757,-1.221,-5.516,32.842,-1.9319,-5.263
0074,5.725,-0.3368,-5.326,1.326,-0.078,-5.964
0075,15.798,-0.9293,-5.699,25.112,-1.4772,-4.841
0076,41.686,-2.4521,-3.749,41.491,-2.4406,-4.278
0077,44.305,-2.6062,44.305,36.596,-2.1527,-5.179
0078,0.89,-0.0524,-4.887,-4.315,0.2538,-5.41
0079,14.506,-0.8533,-5.584,8.659,-0.5094,-6.117
0080,69.171,-4.0689,-5.846,41.101,-2.4177,-5.034
0081,43.474,-2.5573,-5.839,25.624,-1.5073,-5.554
0082,53.647,-3.1557,-3.907,25.766,-1.5156,-2.675
0083,18.592,-1.0936,-5.939,10.719,-0.6305,-0.337
0084,38.5,-2.2647,-5.115,31.848,-1.8734,-5.524
0085,19.165,-1.1274,-6.064,7.594,-0.4467,-5.662
0086,11.369,-0.6688,-2.174,4.068,-0.2393,-4.46
0087,51.238,-3.014,-5.696,52.397,-3.0822,-4.904
0088,31.545,-1.8556,-5.666,33.705,-1.9826,-5.116
0089,23.243,-1.3672,-5.393,19.296,-1.1351,-4.856
0090,20.214,-1.1891,-4.598,13.996,-0.8233,-1.724
0091,93.722,-5.5131,-4.968,91.73,-5.3959,-5.124
0092,27.436,-1.6139,-5.846,50.61,-2.9771,-2.223
0093,41.418,-2.4364,-5.136,45.353,-2.6678,-0.643
0094,10.573,-0.6219,-4.235,5.398,-0.3175,-5.488
0095,8.045,-0.4732,-5.021,12.034,-0.7079,-5.009
0096,-3.115,0.1832,-5.556,-4.597,0.2704,-5.535
0097,5.481,-0.3224,-5.924,-3.02,0.1776,-5.334
0098,25.153,-1.4796,-3.274,20.422,-1.2013,-5.009
0099,99.039,-5.8258,-5.848,86.031,-5.0606,-5.384
