mol_id,vina_score_before,ligand_efficiency_before,vina_min_before,vina_score_after,ligand_efficiency_after,vina_min_after
0000,-3.569,0.4461,-3.666,-2.434,0.3043,-3.639
0001,-6.831,0.6831,-6.946,-6.831,0.6831,-6.946
0002,-9.903,0.5502,-10.75,-9.549,0.5305,-10.199
0003,-6.785,0.4846,-6.828,-4.349,0.3106,-6.777
0004,-6.411,0.3771,-6.928,-4.132,0.2431,-7.341
0005,-5.472,0.2027,-8.883,2.258,-0.0836,-8.838
0006,-8.265,0.435,-8.921,3.046,-0.1603,-8.723
0007,-5.875,0.2938,-6.299,-0.911,0.0456,-5.33
0008,-7.984,0.4696,-6.147,-7.984,0.4696,-6.147
0009,-5.243,0.4766,-5.355,-4.562,0.4147,-5.19
0010,-6.728,0.3738,-8.21,-4.81,0.2672,-7.826
0011,-6.78,0.2608,-6.78,-5.894,0.2267,-5.894
0012,-5.255,0.4777,-5.255,-2.414,0.2195,-5.135
0013,-7.239,0.4258,-7.296,-2.932,0.1725,-7.373
0014,-9.749,0.4062,-10.026,-5.619,0.2341,-9.832
0016,-2.933,0.4888,-3.086,-2.038,0.3397,-2.781
0017,-6.61,0.4131,-7.054,-6.61,0.4131,-7.054
0018,-7.481,0.34,-8.945,-7.709,0.3504,-9.134
0019,-8.801,0.4191,-9.578,2.76,-0.1314,-9.17
0020,-7.468,0.4979,-7.739,-5.522,0.3681,-7.712
0021,-6.527,0.5934,-6.656,-5.493,0.4994,-6.513
0022,-6.925,0.5327,-6.953,-6.925,0.5327,-6.953
0023,-6.734,0.5612,-6.795,-5.408,0.4507,-7.274
0024,-6.542,0.3848,-7.451,-3.688,0.2169,-7.36
0025,-9.134,0.5373,-9.325,1.964,-0.1155,-8.511
0026,-4.007,0.2504,-4.583,-4.007,0.2504,-4.583
0028,-7.453,0.2662,-9.446,5.328,-0.1903,-8.185
0029,-1.877,0.0552,-9.196,2.339,-0.0688,-8.978
0030,-4.72,0.3631,-5.899,-0.605,0.0465,-6.348
0031,-7.921,0.5281,-8.32,-1.825,0.1217,-8.064
0032,-6.305,0.4203,-6.305,-6.305,0.4203,-6.305
0033,-8.82,0.588,-8.829,-3.453,0.2302,-8.931
0034,-4.933,0.1762,-4.933,-4.933,0.1762,-4.933
0035,-8.731,0.3492,-9.128,-3.949,0.158,-9.206
0036,-4.473,0.4066,-4.572,-4.473,0.4066,-4.572
0037,-8.586,0.4089,-8.978,3.484,-0.1659,-9.005
0038,-12.25,0.4537,-13.291,-12.25,0.4537,-13.291
0039,-8.26,0.3304,-8.533,3.195,-0.1278,-8.658
0040,-8.549,0.3562,-10.409,-8.501,0.3542,-9.626
0041,-8.984,0.2642,-9.47,3.776,-0.1111,-9.952
0042,-5.462,0.6069,-5.751,-5.462,0.6069,-5.751
0043,4.034,-0.1345,-0.467,13.182,-0.4394,-1.019
0044,-5.98,0.4271,-6.037,-2.858,0.2041,-6.02
0045,-6.393,0.6393,-6.483,-6.393,0.6393,-6.483
0046,-7.815,0.6512,-7.957,-6.315,0.5262,-7.844
0047,-5.353,0.2676,-6.114,-2.835,0.1417,-4.565
0048,-5.679,0.5163,-6.98,-0.932,0.0847,-6.275
0049,-5.286,0.5286,-5.277,-3.652,0.3652,-4.852
0050,-4.786,0.5982,-4.948,-4.786,0.5982,-4.948
0051,-7.069,0.3073,-7.214,3.093,-0.1345,-7.075
0052,-5.771,0.4809,-5.87,-4.983,0.4152,-5.635
0053,-5.808,0.528,-6.49,-5.009,0.4554,-6.385
0054,-5.112,0.568,-5.48,-5.112,0.568,-5.48
0055,-8.748,0.3976,-7.623,-7.677,0.349,-4.949
0056,-6.247,0.2499,-7.549,-6.247,0.2499,-7.549
0057,-6.445,0.3581,-6.549,-6.445,0.3581,-6.549
0059,-5.61,0.3506,-5.61,-2.834,0.1771,-5.561
0060,-8.052,0.2982,-8.737,-5.156,0.191,-8.802
0061,-4.992,0.1849,-5.796,-4.992,0.1849,-5.796
0062,-2.501,0.0758,-2.501,-1.272,0.0385,-1.272
0063,-7.09,0.3732,-7.135,-7.09,0.3732,-7.135
0064,-5.836,0.4489,-9.363,-5.672,0.4363,-9.084
0065,-8.829,0.3396,-9.11,-8.539,0.3284,-9.025
0066,-6.622,0.3895,-7.143,-3.477,0.2045,-6.834
0067,-7.285,0.3834,-6.746,1.813,-0.0954,-5.747
0068,-6.711,0.4794,-6.768,-1.863,0.1331,-5.52
0069,-6.663,0.3029,-7.524,-6.324,0.2875,-6.732
0070,-6.666,0.5128,-7.134,-4.554,0.3503,-6.986
0071,-7.824,0.2898,-8.751,-6.006,0.2224,-8.847
0072,-4.837,0.5374,-5.555,-0.113,0.0126,-0.113
0073,-4.875,0.5417,-5.291,-4.875,0.5417,-5.291
0074,-6.518,0.3834,-6.612,-2.498,0.1469,-6.442
0075,-6.161,0.308,-6.684,3.283,-0.1641,-6.5
0076,-6.692,0.478,-6.847,-6.038,0.4313,-6.718
0077,-5.594,0.6216,-5.546,-5.594,0.6216,-5.546
0078,-3.85,0.1426,-5.771,-2.178,0.0807,-4.274
0079,28.215,-0.7837,1.49,28.215,-0.7837,1.49
0080,-8.547,0.2849,-8.439,-0.992,0.0331,-7.644
0081,-3.994,0.6657,-4.043,-3.283,0.5472,-4.032
0082,-7.272,0.2797,-7.272,-5.455,0.2098,-9.353
0083,-1.531,0.0528,-2.013,-1.531,0.0528,-2.013
0084,-8.168,0.4538,-8.288,-5.986,0.3326,-8.434
0085,-6.024,0.5476,-5.962,-6.024,0.5476,-5.962
0086,-4.538,0.5042,-4.555,-4.538,0.5042,-4.555
0087,-9.62,0.5659,-10.422,-9.62,0.5659,-10.422
0088,-2.185,0.0809,-7.045,-2.185,0.0809,-7.045
0089,-5.448,0.4953,-6.378,-4.774,0.434,-6.34
0090,-5.868,0.652,-6.243,-5.248,0.5831,-6.215
0091,-9.039,0.4519,-9.115,-9.039,0.4519,-9.115
0092,-8.619,0.4309,-9.506,-8.619,0.4309,-9.506
0093,-7.587,0.3993,-7.667,-4.553,0.2396,-7.044
0094,-9.434,0.5896,-9.592,-6.829,0.4268,-9.05
0095,-5.807,0.3416,-6.262,-5.566,0.3274,-6.389
0096,-7.213,0.5152,-7.971,-5.711,0.4079,-7.872
