mol_id,vina_score_before,ligand_efficiency_before,vina_min_before,vina_score_after,ligand_efficiency_after,vina_min_after
0000,-3.569,0.4461,-3.666,-2.83,0.3538,-3.636
0001,-6.831,0.6831,-6.946,-6.831,0.6831,-6.946
0002,-9.903,0.5502,-10.75,-9.541,0.5301,-10.606
0003,-6.785,0.4846,-6.828,-6.266,0.4476,-6.81
0004,-6.411,0.3771,-6.928,-6.006,0.3533,-7.036
0005,-5.472,0.2027,-8.883,-2.745,0.1017,-8.553
0006,-8.265,0.435,-8.921,-5.329,0.2805,-8.51
0007,-5.875,0.2938,-6.299,0.346,-0.0173,-5.638
0008,-7.984,0.4696,-6.147,-7.984,0.4696,-6.147
0009,-5.243,0.4766,-5.355,-4.239,0.3854,-5.279
0010,-6.728,0.3738,-8.21,-4.393,0.2441,-7.5
0011,-6.78,0.2608,-6.78,-5.8,0.2231,-6.917
0012,-5.255,0.4777,-5.255,-3.725,0.3386,-5.635
0013,-7.239,0.4258,-7.296,-5.033,0.2961,-7.34
0014,-9.749,0.4062,-10.026,-9.292,0.3872,-10.072
0016,-2.933,0.4888,-3.086,-1.727,0.2878,-2.908
0017,-6.61,0.4131,-7.054,-6.61,0.4131,-7.054
0018,-7.481,0.34,-8.945,-7.487,0.3403,-8.973
0019,-8.801,0.4191,-9.578,-1.462,0.0696,-9.152
0020,-7.468,0.4979,-7.739,-4.44,0.296,-7.724
0021,-6.527,0.5934,-6.656,-4.492,0.4084,-6.447
0022,-6.925,0.5327,-6.953,-6.925,0.5327,-6.953
0023,-6.734,0.5612,-6.795,-4.919,0.4099,-7.24
0024,-6.542,0.3848,-7.451,-3.424,0.2014,-7.368
0025,-9.134,0.5373,-9.325,-9.134,0.5373,-9.325
0026,-4.007,0.2504,-4.583,-4.007,0.2504,-4.583
0028,-7.453,0.2662,-9.446,-0.783,0.028,-9.354
0029,-1.877,0.0552,-9.196,-0.838,0.0246,-9.141
0030,-4.72,0.3631,-5.899,-4.71,0.3623,-6.189
0031,-7.921,0.5281,-8.32,-5.225,0.3483,-8.115
0032,-6.305,0.4203,-6.305,-6.305,0.4203,-6.305
0033,-8.82,0.588,-8.829,-7.323,0.4882,-8.874
0034,-4.933,0.1762,-4.933,-4.807,0.1717,-5.317
0035,-8.731,0.3492,-9.128,-7.293,0.2917,-9.232
0036,-4.473,0.4066,-4.572,-4.473,0.4066,-4.572
0037,-8.586,0.4089,-8.978,-8.054,0.3835,-9.067
0038,-12.25,0.4537,-13.291,-12.25,0.4537,-13.291
0039,-8.26,0.3304,-8.533,6.724,-0.269,-7.645
0040,-8.549,0.3562,-10.409,2.976,-0.124,-9.795
0041,-8.984,0.2642,-9.47,-0.568,0.0167,-9.022
0042,-5.462,0.6069,-5.751,-5.462,0.6069,-5.751
0043,4.034,-0.1345,-0.467,-0.461,0.0154,-5.386
0044,-5.98,0.4271,-6.037,-2.091,0.1494,-6.049
0045,-6.393,0.6393,-6.483,-6.393,0.6393,-6.483
0046,-7.815,0.6512,-7.957,-7.349,0.6124,-7.944
0047,-5.353,0.2676,-6.114,-2.254,0.1127,-5.172
0048,-5.679,0.5163,-6.98,-4.746,0.4315,-6.325
0049,-5.286,0.5286,-5.277,-2.303,0.2303,-5.172
0050,-4.786,0.5982,-4.948,-4.786,0.5982,-4.948
0051,-7.069,0.3073,-7.214,-6.571,0.2857,-7.485
0052,-5.771,0.4809,-5.87,-3.235,0.2696,-5.439
0053,-5.808,0.528,-6.49,-6.078,0.5525,-6.463
0054,-5.112,0.568,-5.48,-5.112,0.568,-5.48
0055,-8.748,0.3976,-7.623,-7.255,0.3298,-7.285
0056,-6.247,0.2499,-7.549,-6.247,0.2499,-7.549
0057,-6.445,0.3581,-6.549,-6.445,0.3581,-6.549
0059,-5.61,0.3506,-5.61,-4.649,0.2906,-5.511
0060,-8.052,0.2982,-8.737,-5.128,0.1899,-8.801
0061,-4.992,0.1849,-5.796,-4.992,0.1849,-5.796
0062,-2.501,0.0758,-2.501,-1.564,0.0474,-5.515
0063,-7.09,0.3732,-7.135,-7.09,0.3732,-7.135
0064,-5.836,0.4489,-9.363,-6.784,0.5218,-9.328
