mol_id,vina_score_before,ligand_efficiency_before,vina_min_before,vina_score_after,ligand_efficiency_after,vina_min_after
0000,-3.01,0.3762,-3.203,-1.271,0.1589,-3.245
0001,-4.204,0.4204,-4.272,2.306,-0.2306,-4.032
0002,-5.226,0.2903,-5.574,-4.527,0.2515,-5.633
0003,-4.046,0.289,-4.046,0.183,-0.0131,-3.408
0004,-5.722,0.3366,-5.882,-0.512,0.0301,-2.239
0005,0.959,-0.0355,-2.171,4.319,-0.16,-1.837
0006,-6.644,0.3497,-7.527,-6.279,0.3305,-7.358
0007,-5.497,0.2748,-6.603,-3.247,0.1623,-6.871
0009,-4.983,0.453,-5.499,-3.929,0.3572,-5.415
0011,-4.34,0.3945,-4.976,0.075,-0.0068,-3.38
0012,-4.526,0.2662,-5.462,-4.526,0.2662,-5.462
0013,-4.181,0.1742,-5.409,5.287,-0.2203,-5.895
0014,-5.851,0.2167,-5.994,-2.183,0.0809,-6.641
0015,-2.475,0.4125,-2.58,-1.244,0.2073,-2.175
0016,-5.589,0.3493,-6.448,4.446,-0.2779,-6.188
0017,-4.579,0.2081,-4.801,-3.838,0.1745,-4.929
0018,-2.921,0.1391,-4.863,0.617,-0.0294,-4.174
0019,-4.79,0.3193,-4.965,-0.63,0.042,-4.516
0020,-4.313,0.3921,-4.435,-3.703,0.3366,-4.512
0021,-4.214,0.3242,-4.405,0.188,-0.0145,-4.244
0022,-5.208,0.434,-5.357,-4.43,0.3692,-5.438
0023,-5.653,0.3325,-5.76,3.021,-0.1777,-5.814
0024,-7.12,0.4188,-7.146,-5.544,0.3261,-7.007
0025,-3.694,0.2309,-3.903,1.059,-0.0662,-3.839
0026,-2.42,0.0756,-2.857,-1.387,0.0433,-2.64
0027,-5.548,0.1981,-6.849,-1.016,0.0363,-5.824
0028,-2.898,0.0852,-4.072,8.474,-0.2492,-3.931
0029,-6.048,0.4652,-6.203,-4.628,0.356,-6.29
0030,-4.301,0.2867,-5.687,-0.297,0.0198,-3.651
0031,-5.491,0.3661,-5.754,-1.345,0.0897,-5.827
0032,-5.615,0.3743,-5.694,-2.105,0.1403,-5.64
0033,-5.468,0.1953,-5.468,-2.301,0.0822,-5.364
0035,-3.817,0.347,-4.27,-2.273,0.2066,-4.272
0036,-4.26,0.355,-4.659,-2.663,0.2219,-4.756
0037,-5.966,0.2841,-6.79,3.456,-0.1646,-6.746
0039,-4.953,0.1981,-5.356,-4.111,0.1644,-5.264
0040,-5.735,0.239,-5.735,-3.06,0.1275,-5.198
0041,-2.043,0.0601,-5.774,-0.95,0.0279,-5.509
0042,-3.533,0.3926,-3.425,-2.135,0.2372,-2.395
