mol_id,vina_score_before,ligand_efficiency_before,vina_min_before,vina_score_after,ligand_efficiency_after,vina_min_after
0000,-3.01,0.3762,-3.203,1.494,-0.1867,-3.199
0001,-4.204,0.4204,-4.272,-3.889,0.3889,-4.248
0002,-5.226,0.2903,-5.574,-3.589,0.1994,-5.567
0003,-4.046,0.289,-4.046,-2.764,0.1974,-4.275
0004,-5.722,0.3366,-5.882,-0.749,0.0441,-3.758
0005,0.959,-0.0355,-2.171,1.166,-0.0432,-2.951
0006,-6.644,0.3497,-7.527,-6.365,0.335,-7.001
0007,-5.497,0.2748,-6.603,-4.311,0.2155,-6.704
0009,-4.983,0.453,-5.499,2.987,-0.2715,-4.588
0011,-4.34,0.3945,-4.976,-4.125,0.375,-4.895
0012,-4.526,0.2662,-5.462,-4.526,0.2662,-5.462
0013,-4.181,0.1742,-5.409,-3.252,0.1355,-6.089
0014,-5.851,0.2167,-5.994,-3.042,0.1127,-6.689
0015,-2.475,0.4125,-2.58,-1.582,0.2637,-2.371
0016,-5.589,0.3493,-6.448,-4.204,0.2627,-6.186
0017,-4.579,0.2081,-4.801,-3.043,0.1383,-4.812
0018,-2.921,0.1391,-4.863,0.101,-0.0048,-4.768
0019,-4.79,0.3193,-4.965,2.221,-0.1481,-4.443
0020,-4.313,0.3921,-4.435,-3.703,0.3366,-4.512
0021,-4.214,0.3242,-4.405,-2.261,0.1739,-4.254
0022,-5.208,0.434,-5.357,-4.326,0.3605,-5.409
0023,-5.653,0.3325,-5.76,-5.342,0.3142,-5.847
0024,-7.12,0.4188,-7.146,-4.215,0.2479,-6.124
0025,-3.694,0.2309,-3.903,-0.316,0.0198,-4.447
0026,-2.42,0.0756,-2.857,-2.704,0.0845,-5.072
0027,-5.548,0.1981,-6.849,-0.012,0.0004,-5.81
0028,-2.898,0.0852,-4.072,0.576,-0.0169,-4.648
0029,-6.048,0.4652,-6.203,-4.989,0.3838,-6.189
0030,-4.301,0.2867,-5.687,2.933,-0.1955,-5.794
0031,-5.491,0.3661,-5.754,-2.731,0.1821,-5.523
0032,-5.615,0.3743,-5.694,-4.828,0.3219,-4.828
0033,-5.468,0.1953,-5.468,-0.347,0.0124,-5.04
0035,-3.817,0.347,-4.27,-1.121,0.1019,-4.26
0036,-4.26,0.355,-4.659,-3.485,0.2904,-4.803
0037,-5.966,0.2841,-6.79,0.444,-0.0211,-6.576
0039,-4.953,0.1981,-5.356,-3.31,0.1324,-5.418
0040,-5.735,0.239,-5.735,-4.351,0.1813,-6.16
0041,-2.043,0.0601,-5.774,-2.77,0.0815,-5.922
0042,-3.533,0.3926,-3.425,-1.743,0.1937,-3.108
0043,4.861,-0.162,1.437,1.074,-0.0358,-0.12
0044,-3.363,0.4804,-3.476,-1.957,0.2796,-3.466
0045,-3.961,0.3961,-4.04,-2.714,0.2714,-4.245
0046,-5.483,0.4569,-6.01,-1.472,0.1227,-5.909
0047,-3.744,0.1872,-4.194,-3.744,0.1872,-4.674
0048,-5.239,0.4763,-5.28,-3.706,0.3369,-5.144
0049,-3.779,0.3779,-4.254,-2.545,0.2545,-4.697
0050,-2.762,0.3453,-3.441,1.641,-0.2051,-3.348
0051,-3.98,0.173,-4.404,-1.946,0.0846,-3.523
0052,-4.642,0.3868,-4.735,-3.409,0.2841,-4.626
0053,-4.758,0.4325,-4.983,-2.764,0.2513,-4.99
0054,-2.982,0.3313,-4.025,-2.982,0.3313,-4.025
0055,-4.588,0.2085,-5.391,-4.741,0.2155,-5.564
0056,-3.343,0.1337,-3.875,-2.301,0.092,-4.309
0057,-4.235,0.2353,-5.974,-1.058,0.0588,-5.636
0058,-1.37,0.0507,-2.056,-1.097,0.0406,-2.164
0059,-4.671,0.2919,-4.342,-4.671,0.2919,-4.342
0060,-6.636,0.2458,-7.116,-4.071,0.1508,-6.947
