показатель,значение,единица
"3war: скор нативной позы, минимум по наборам",1,скор
"3war: скор нативной позы, максимум по наборам",1,скор
"6fnk: скор нативной позы, минимум по наборам",1,скор
"6fnk: скор нативной позы, максимум по наборам",1,скор
"6tgu: скор нативной позы, минимум по наборам",1,скор
"6tgu: скор нативной позы, максимум по наборам",1,скор
"3war, все семь типов: наборов поз",10,наборов
"3war, все семь типов: ROC-AUC, медиана",0.9870,AUC
"3war, все семь типов: ROC-AUC, минимум",0.9624,AUC
"3war, все семь типов: ROC-AUC, максимум",0.9918,AUC
"3war, все семь типов: Спирмен с отклонением, медиана",-0.7924,ро
"3war, все семь типов: Спирмен с отклонением, минимум",-0.8379,ро
"3war, все семь типов: Спирмен с отклонением, максимум",-0.7662,ро
"3war, все семь типов: наихудший ранг нативной позы",1,ранг
"3war, все семь типов: ничьих с нативной позой, медиана",4,поз
"3war, все семь типов: наборов, где нативная строго первая",0,наборов
"6fnk, все семь типов: наборов поз",10,наборов
"6fnk, все семь типов: ROC-AUC, медиана",0.9921,AUC
"6fnk, все семь типов: ROC-AUC, минимум",0.9369,AUC
"6fnk, все семь типов: ROC-AUC, максимум",1,AUC
"6fnk, все семь типов: Спирмен с отклонением, медиана",-0.7538,ро
"6fnk, все семь типов: Спирмен с отклонением, минимум",-0.8050,ро
"6fnk, все семь типов: Спирмен с отклонением, максимум",-0.6867,ро
"6fnk, все семь типов: наихудший ранг нативной позы",1,ранг
"6fnk, все семь типов: ничьих с нативной позой, медиана",0.5000,поз
"6fnk, все семь типов: наборов, где нативная строго первая",5,наборов
"6tgu, все семь типов: наборов поз",10,наборов
"6tgu, все семь типов: ROC-AUC, медиана",0.9965,AUC
"6tgu, все семь типов: ROC-AUC, минимум",0.9817,AUC
"6tgu, все семь типов: ROC-AUC, максимум",1,AUC
"6tgu, все семь типов: Спирмен с отклонением, медиана",-0.8176,ро
"6tgu, все семь типов: Спирмен с отклонением, минимум",-0.8438,ро
"6tgu, все семь типов: Спирмен с отклонением, максимум",-0.7623,ро
"6tgu, все семь типов: наихудший ранг нативной позы",1,ранг
"6tgu, все семь типов: ничьих с нативной позой, медиана",1,поз
"6tgu, все семь типов: наборов, где нативная строго первая",0,наборов
"3war, направленные: наборов поз",10,наборов
"3war, направленные: ROC-AUC, медиана",0.9667,AUC
"3war, направленные: ROC-AUC, минимум",0.9315,AUC
"3war, направленные: ROC-AUC, максимум",0.9879,AUC
"3war, направленные: Спирмен с отклонением, медиана",-0.6969,ро
"3war, направленные: Спирмен с отклонением, минимум",-0.7838,ро
"3war, направленные: Спирмен с отклонением, максимум",-0.6713,ро
"3war, направленные: наихудший ранг нативной позы",1,ранг
"3war, направленные: ничьих с нативной позой, медиана",6.5000,поз
"3war, направленные: наборов, где нативная строго первая",0,наборов
"6fnk, направленные: наборов поз",10,наборов
"6fnk, направленные: ROC-AUC, медиана",0.9665,AUC
"6fnk, направленные: ROC-AUC, минимум",0.8396,AUC
"6fnk, направленные: ROC-AUC, максимум",0.9924,AUC
"6fnk, направленные: Спирмен с отклонением, медиана",-0.6374,ро
"6fnk, направленные: Спирмен с отклонением, минимум",-0.6875,ро
"6fnk, направленные: Спирмен с отклонением, максимум",-0.5428,ро
"6fnk, направленные: наихудший ранг нативной позы",1,ранг
"6fnk, направленные: ничьих с нативной позой, медиана",2,поз
"6fnk, направленные: наборов, где нативная строго первая",0,наборов
"6tgu, направленные: наборов поз",10,наборов
"6tgu, направленные: ROC-AUC, медиана",0.9586,AUC
"6tgu, направленные: ROC-AUC, минимум",0.9375,AUC
"6tgu, направленные: ROC-AUC, максимум",0.9886,AUC
"6tgu, направленные: Спирмен с отклонением, медиана",-0.7270,ро
"6tgu, направленные: Спирмен с отклонением, минимум",-0.8155,ро
"6tgu, направленные: Спирмен с отклонением, максимум",-0.6659,ро
"6tgu, направленные: наихудший ранг нативной позы",1,ранг
"6tgu, направленные: ничьих с нативной позой, медиана",2,поз
"6tgu, направленные: наборов, где нативная строго первая",0,наборов
2026-08-24-6tgu-s0-n100-seed1: молекул,95,молекул
2026-08-24-6tgu-s0-n100-seed1: нечитаемых записей SDF,0,записей
2026-08-24-6tgu-s0-n100-seed1: молекул в топе 20 %,19,молекул
"2026-08-24-6tgu-s0-n100-seed1: скор, все семь типов, весь прогон",0.7647,медиана или доля
"2026-08-24-6tgu-s0-n100-seed1: скор, все семь типов, топ 20 %",0.8235,медиана или доля
"2026-08-24-6tgu-s0-n100-seed1: скор, все семь типов, p топ против отбракованных",6.85e-11,p
"2026-08-24-6tgu-s0-n100-seed1: скор, направленные типы, весь прогон",0.4000,медиана или доля
"2026-08-24-6tgu-s0-n100-seed1: скор, направленные типы, топ 20 %",0.6000,медиана или доля
"2026-08-24-6tgu-s0-n100-seed1: скор, направленные типы, p топ против отбракованных",2.52e-07,p
"2026-08-24-6tgu-s0-n100-seed1: скор на тяжёлый атом, весь прогон",0.0327,медиана или доля
"2026-08-24-6tgu-s0-n100-seed1: скор на тяжёлый атом, топ 20 %",0.0336,медиана или доля
"2026-08-24-6tgu-s0-n100-seed1: скор на тяжёлый атом, p топ против отбракованных",0.8160,p
"2026-08-24-6tgu-s0-n100-seed1: Танимото к эталону, весь прогон",0.6316,медиана или доля
"2026-08-24-6tgu-s0-n100-seed1: Танимото к эталону, топ 20 %",0.7143,медиана или доля
"2026-08-24-6tgu-s0-n100-seed1: Танимото к эталону, p топ против отбракованных",4.30e-06,p
"2026-08-24-6tgu-s0-n100-seed1: доля с ключевой водородной связью, весь прогон",0.8316,медиана или доля
"2026-08-24-6tgu-s0-n100-seed1: доля с ключевой водородной связью, топ 20 %",1,медиана или доля
"2026-08-24-6tgu-s0-n100-seed1: доля с ключевой водородной связью, p топ против отбракованных",0.0297,p
"2026-08-24-6tgu-s0-n100-seed1: qed, весь прогон",0.5972,медиана или доля
"2026-08-24-6tgu-s0-n100-seed1: qed, топ 20 %",0.5656,медиана или доля
"2026-08-24-6tgu-s0-n100-seed1: qed, p топ против отбракованных",0.5179,p
"2026-08-24-6tgu-s0-n100-seed1: sa_score, весь прогон",7.3561,медиана или доля
"2026-08-24-6tgu-s0-n100-seed1: sa_score, топ 20 %",7.7514,медиана или доля
"2026-08-24-6tgu-s0-n100-seed1: sa_score, p топ против отбракованных",0.0748,p
"2026-08-24-6tgu-s0-n100-seed1: n_heavy_atoms, весь прогон",24,медиана или доля
"2026-08-24-6tgu-s0-n100-seed1: n_heavy_atoms, топ 20 %",26,медиана или доля
"2026-08-24-6tgu-s0-n100-seed1: n_heavy_atoms, p топ против отбракованных",0.0028,p
2026-08-24-6tgu-s0-n100-seed1: расхождение со score_before уточнения позы,4.71e-07,скор
2026-08-23-6tgu-s0-n100-prep: молекул,98,молекул
2026-08-23-6tgu-s0-n100-prep: нечитаемых записей SDF,0,записей
2026-08-23-6tgu-s0-n100-prep: молекул в топе 20 %,20,молекул
"2026-08-23-6tgu-s0-n100-prep: скор, все семь типов, весь прогон",0.7647,медиана или доля
"2026-08-23-6tgu-s0-n100-prep: скор, все семь типов, топ 20 %",0.8235,медиана или доля
"2026-08-23-6tgu-s0-n100-prep: скор, все семь типов, p топ против отбракованных",3.18e-12,p
"2026-08-23-6tgu-s0-n100-prep: скор, направленные типы, весь прогон",0.4000,медиана или доля
"2026-08-23-6tgu-s0-n100-prep: скор, направленные типы, топ 20 %",0.6000,медиана или доля
"2026-08-23-6tgu-s0-n100-prep: скор, направленные типы, p топ против отбракованных",8.12e-05,p
"2026-08-23-6tgu-s0-n100-prep: скор на тяжёлый атом, весь прогон",0.0330,медиана или доля
"2026-08-23-6tgu-s0-n100-prep: скор на тяжёлый атом, топ 20 %",0.0311,медиана или доля
"2026-08-23-6tgu-s0-n100-prep: скор на тяжёлый атом, p топ против отбракованных",0.0635,p
"2026-08-23-6tgu-s0-n100-prep: Танимото к эталону, весь прогон",0.6471,медиана или доля
"2026-08-23-6tgu-s0-n100-prep: Танимото к эталону, топ 20 %",0.7368,медиана или доля
"2026-08-23-6tgu-s0-n100-prep: Танимото к эталону, p топ против отбракованных",2.67e-05,p
"2026-08-23-6tgu-s0-n100-prep: доля с ключевой водородной связью, весь прогон",0.9286,медиана или доля
"2026-08-23-6tgu-s0-n100-prep: доля с ключевой водородной связью, топ 20 %",1,медиана или доля
"2026-08-23-6tgu-s0-n100-prep: доля с ключевой водородной связью, p топ против отбракованных",0.1697,p
"2026-08-23-6tgu-s0-n100-prep: qed, весь прогон",0.6488,медиана или доля
"2026-08-23-6tgu-s0-n100-prep: qed, топ 20 %",0.5734,медиана или доля
"2026-08-23-6tgu-s0-n100-prep: qed, p топ против отбракованных",0.0509,p
"2026-08-23-6tgu-s0-n100-prep: sa_score, весь прогон",7.5962,медиана или доля
"2026-08-23-6tgu-s0-n100-prep: sa_score, топ 20 %",7.8068,медиана или доля
"2026-08-23-6tgu-s0-n100-prep: sa_score, p топ против отбракованных",0.0387,p
"2026-08-23-6tgu-s0-n100-prep: n_heavy_atoms, весь прогон",22,медиана или доля
"2026-08-23-6tgu-s0-n100-prep: n_heavy_atoms, топ 20 %",27,медиана или доля
"2026-08-23-6tgu-s0-n100-prep: n_heavy_atoms, p топ против отбракованных",1.04e-05,p
2026-08-23-6tgu-s0-n100-prep: расхождение со score_before уточнения позы,4.71e-07,скор
