run_id,mol_id,score_all7,score_scoring6,tanimoto,key_hbond,n_heavy
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0001,0.529412,0.0,0.5,0,15
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0003,0.705882,0.6,0.631579,1,15
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0004,0.764706,0.6,0.764706,1,19
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0005,0.823529,0.6,0.538462,1,25
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0006,0.588235,0.2,0.5,1,18
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0007,0.647059,0.2,0.55,1,27
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0008,0.705882,0.4,0.48,1,35
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0009,0.647059,0.4,0.5,1,23
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0010,0.647059,0.2,0.578947,0,22
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0011,0.823529,0.6,0.777778,1,31
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0012,0.705882,0.6,0.705882,1,17
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0013,0.823529,0.4,0.583333,1,32
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0014,0.882353,0.6,0.714286,1,22
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0015,0.882353,0.8,0.714286,1,29
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0016,0.823529,0.6,0.736842,1,24
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0017,0.764706,0.4,0.590909,1,30
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0018,0.588235,0.2,0.454545,1,20
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0019,0.764706,0.4,0.684211,1,25
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0020,0.647059,0.4,0.611111,1,15
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0021,0.705882,0.6,0.631579,1,18
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0022,0.764706,0.2,0.619048,1,26
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0023,0.823529,0.6,0.7,1,23
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0024,0.764706,0.4,0.541667,1,33
2026-08-24-6tgu-s0-n100-seed1,2026-08-24-6tgu-s0-n100-seed1-0025,0.588235,0.0,0.5,0,22
