run_id,pdb_id,kinase,seed,n_poses,n_near,n_far,roc_auc,spearman_rho,native_rank,native_ties
2026-08-23-6tgu-s0-n100,6tgu,CK2a2,0,100,12,66,1.0000,-0.7965,1,1
2026-08-23-6tgu-s0-n100-r1,6tgu,CK2a2,1,100,12,66,0.9848,-0.8076,1,2
2026-08-23-6tgu-s0-n100-r2,6tgu,CK2a2,2,100,12,66,0.9981,-0.7821,1,1
2026-08-23-6tgu-s0-n100-r3,6tgu,CK2a2,3,100,12,66,0.9817,-0.8276,1,1
2026-08-23-6tgu-s0-n100-r4,6tgu,CK2a2,4,100,12,66,0.9830,-0.7679,1,1
2026-08-23-6tgu-s0-n100-r5,6tgu,CK2a2,5,100,12,66,1.0000,-0.8438,1,2
2026-08-23-6tgu-s0-n100-r6,6tgu,CK2a2,6,100,12,66,0.9962,-0.8287,1,1
2026-08-23-6tgu-s0-n100-r7,6tgu,CK2a2,7,100,12,66,0.9994,-0.8416,1,1
2026-08-23-6tgu-s0-n100-r8,6tgu,CK2a2,8,100,12,66,0.9968,-0.8372,1,1
2026-08-23-6tgu-s0-n100-r9,6tgu,CK2a2,9,100,12,66,0.9867,-0.7623,1,2
2026-09-16-3war-s0-n100,3war,CK2a1,0,95,12,61,0.9918,-0.8379,1,8
2026-09-17-6fnk-s0-n100,6fnk,EphB4,0,100,12,66,0.9937,-0.6867,1,1
2026-09-18-3war-s0-n100-r1,3war,CK2a1,1,96,12,62,0.9872,-0.7945,1,4
2026-09-18-3war-s0-n100-r2,3war,CK2a1,2,97,12,63,0.9821,-0.8067,1,7
2026-09-18-3war-s0-n100-r3,3war,CK2a1,3,96,12,62,0.9819,-0.7817,1,7
2026-09-18-3war-s0-n100-r4,3war,CK2a1,4,97,12,63,0.9868,-0.7903,1,4
2026-09-18-3war-s0-n100-r5,3war,CK2a1,5,96,12,62,0.9913,-0.8298,1,4
2026-09-18-3war-s0-n100-r6,3war,CK2a1,6,96,12,62,0.9624,-0.7662,1,2
2026-09-18-3war-s0-n100-r7,3war,CK2a1,7,96,12,62,0.9886,-0.7698,1,5
2026-09-18-3war-s0-n100-r8,3war,CK2a1,8,97,12,63,0.9749,-0.7735,1,3
2026-09-18-3war-s0-n100-r9,3war,CK2a1,9,96,12,62,0.9886,-0.8170,1,4
2026-09-18-6fnk-s0-n100-r1,6fnk,EphB4,1,100,12,66,0.9987,-0.6985,1,0
2026-09-18-6fnk-s0-n100-r2,6fnk,EphB4,2,100,12,66,0.9369,-0.7630,1,1
2026-09-18-6fnk-s0-n100-r3,6fnk,EphB4,3,100,12,66,1.0000,-0.7495,1,0
2026-09-18-6fnk-s0-n100-r4,6fnk,EphB4,4,100,12,66,0.9962,-0.7889,1,0
2026-09-18-6fnk-s0-n100-r5,6fnk,EphB4,5,100,12,66,0.9867,-0.7330,1,0
2026-09-18-6fnk-s0-n100-r6,6fnk,EphB4,6,100,12,66,0.9899,-0.7611,1,1
2026-09-18-6fnk-s0-n100-r7,6fnk,EphB4,7,100,12,66,0.9899,-0.7580,1,1
2026-09-18-6fnk-s0-n100-r8,6fnk,EphB4,8,100,12,66,0.9905,-0.8050,1,0
2026-09-18-6fnk-s0-n100-r9,6fnk,EphB4,9,100,12,66,0.9987,-0.7337,1,3
