mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,objective_before,objective_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-23-6tgu-s0-n100-prep-0001,0.647059,0.823529,0.5,0.666667,1,1,0.647059,0.823529,0.8856,2.4014,2.4314,230
2026-08-23-6tgu-s0-n100-prep-0002,0.647059,0.823529,0.611111,0.736842,1,1,0.647059,0.823529,0.6833,2.8468,2.4936,404
2026-08-23-6tgu-s0-n100-prep-0003,0.764706,0.823529,0.65,0.777778,1,1,0.764706,0.823529,0.9431,2.8508,2.9091,380
2026-08-23-6tgu-s0-n100-prep-0004,0.705882,0.764706,0.705882,0.764706,1,1,0.705882,0.764706,0.5878,2.7607,2.7789,403
2026-08-23-6tgu-s0-n100-prep-0005,0.647059,0.823529,0.647059,0.777778,1,1,0.647059,0.823529,0.7413,3.1725,3.1856,440
2026-08-23-6tgu-s0-n100-prep-0006,0.764706,0.823529,0.619048,0.7,1,1,0.764706,0.823529,0.8718,2.6313,2.4068,313
2026-08-23-6tgu-s0-n100-prep-0007,0.764706,0.882353,0.619048,0.789474,1,1,0.764706,0.882353,1.129,2.8034,2.5067,319
2026-08-23-6tgu-s0-n100-prep-0008,0.705882,0.764706,0.705882,0.764706,1,1,0.705882,0.764706,0.7947,2.6435,2.5744,362
2026-08-23-6tgu-s0-n100-prep-0009,0.823529,0.882353,0.736842,0.833333,1,1,0.823529,0.882353,0.7452,3.052,2.7237,342
2026-08-23-6tgu-s0-n100-prep-0010,0.588235,0.647059,0.588235,0.647059,1,1,0.588235,0.647059,0.6635,3.267,2.9218,475
2026-08-23-6tgu-s0-n100-prep-0011,0.764706,0.823529,0.65,0.777778,1,1,0.764706,0.819071,1.0657,3.1639,2.4304,421
2026-08-23-6tgu-s0-n100-prep-0012,0.764706,0.882353,0.65,0.833333,1,1,0.764706,0.882353,0.7886,2.6984,2.5463,348
2026-08-23-6tgu-s0-n100-prep-0013,0.647059,0.764706,0.578947,0.722222,1,1,0.647059,0.764706,0.8077,2.8111,2.9065,410
2026-08-23-6tgu-s0-n100-prep-0014,0.705882,0.764706,0.631579,0.722222,1,1,0.705882,0.764706,0.6286,2.7745,2.6554,370
2026-08-23-6tgu-s0-n100-prep-0015,0.764706,0.764706,0.619048,0.619048,1,1,0.764706,0.764706,0.0,2.5782,2.5782,331
2026-08-23-6tgu-s0-n100-prep-0016,0.941176,0.941176,0.761905,0.761905,1,1,0.941176,0.941176,0.0,2.7398,2.7398,327
2026-08-23-6tgu-s0-n100-prep-0017,0.823529,0.882353,0.608696,0.652174,1,1,0.753776,0.882353,1.0605,1.59,2.2995,258
2026-08-23-6tgu-s0-n100-prep-0018,0.529412,0.647059,0.473684,0.611111,0,1,0.529412,0.647059,0.4888,3.245,3.0906,461
2026-08-23-6tgu-s0-n100-prep-0019,0.764706,0.823529,0.722222,0.823529,1,1,0.764706,0.823529,0.4071,2.8545,2.5226,386
2026-08-23-6tgu-s0-n100-prep-0020,0.647059,0.764706,0.578947,0.684211,1,1,0.647059,0.764706,0.5861,2.9578,3.1127,406
2026-08-23-6tgu-s0-n100-prep-0021,0.941176,0.941176,0.761905,0.761905,1,1,0.941176,0.941176,0.0,2.7319,2.7319,342
2026-08-23-6tgu-s0-n100-prep-0022,0.882353,0.941176,0.681818,0.761905,1,1,0.882353,0.941176,0.4497,2.5129,2.3631,223
2026-08-23-6tgu-s0-n100-prep-0023,0.764706,0.764706,0.722222,0.722222,1,1,0.764706,0.764706,0.0,2.8764,2.8764,409
2026-08-23-6tgu-s0-n100-prep-0024,0.705882,0.764706,0.521739,0.722222,1,1,0.705882,0.744254,1.4916,2.5141,2.2939,369
2026-08-23-6tgu-s0-n100-prep-0026,0.588235,0.764706,0.5,0.684211,1,1,0.588235,0.764706,0.7681,2.8195,2.9875,408
2026-08-23-6tgu-s0-n100-prep-0027,0.647059,0.764706,0.647059,0.722222,1,1,0.647059,0.764706,0.8808,2.9636,2.7709,421
2026-08-23-6tgu-s0-n100-prep-0028,0.705882,0.764706,0.461538,0.52,1,1,0.643922,0.711093,1.0228,1.8179,2.2468,255
2026-08-23-6tgu-s0-n100-prep-0029,0.764706,0.882353,0.541667,0.789474,1,1,0.585056,0.882353,1.4603,1.1912,2.462,326
2026-08-23-6tgu-s0-n100-prep-0030,0.764706,0.823529,0.541667,0.636364,1,1,0.521584,0.823529,1.4021,1.5591,2.5252,238
2026-08-23-6tgu-s0-n100-prep-0031,0.588235,0.647059,0.526316,0.611111,1,0,0.588235,0.647059,1.1553,3.2018,3.1695,448
2026-08-23-6tgu-s0-n100-prep-0032,0.705882,0.823529,0.705882,0.823529,1,1,0.705882,0.823529,0.9844,2.9808,2.8685,447
2026-08-23-6tgu-s0-n100-prep-0033,0.647059,0.823529,0.647059,0.823529,1,1,0.647059,0.823529,0.7747,3.1318,2.5712,388
2026-08-23-6tgu-s0-n100-prep-0034,0.647059,0.705882,0.647059,0.705882,1,1,0.647059,0.705882,0.707,3.1793,2.5147,422
2026-08-23-6tgu-s0-n100-prep-0035,0.764706,0.882353,0.65,0.789474,1,1,0.764706,0.882353,0.4086,2.7502,3.0484,372
2026-08-23-6tgu-s0-n100-prep-0036,0.764706,0.941176,0.764706,0.941176,1,1,0.764706,0.941176,1.1242,2.6564,2.744,312
2026-08-23-6tgu-s0-n100-prep-0037,0.823529,0.882353,0.56,0.625,1,1,0.80262,0.882353,0.9204,2.1534,2.3258,194
2026-08-23-6tgu-s0-n100-prep-0038,0.529412,0.647059,0.529412,0.647059,0,0,0.529412,0.647059,1.1059,3.3679,2.9672,473
2026-08-23-6tgu-s0-n100-prep-0039,0.764706,0.941176,0.65,0.888889,1,1,0.764706,0.941176,1.1197,2.9243,2.8066,389
2026-08-23-6tgu-s0-n100-prep-0040,0.882353,0.882353,0.833333,0.833333,1,1,0.882353,0.882353,0.0,2.7723,2.7723,297
2026-08-23-6tgu-s0-n100-prep-0041,0.823529,0.882353,0.777778,0.789474,1,1,0.823529,0.882353,0.5361,2.9942,2.9262,407
2026-08-23-6tgu-s0-n100-prep-0042,0.764706,0.823529,0.722222,0.823529,1,1,0.764706,0.823529,0.579,2.9496,2.8218,389
2026-08-23-6tgu-s0-n100-prep-0043,0.705882,0.823529,0.5,0.666667,1,1,0.685333,0.812966,1.4095,2.2695,2.3452,260
2026-08-23-6tgu-s0-n100-prep-0044,0.647059,0.705882,0.647059,0.705882,1,1,0.647059,0.705882,0.6218,2.9871,2.7671,411
2026-08-23-6tgu-s0-n100-prep-0045,0.764706,0.823529,0.722222,0.777778,1,1,0.764706,0.823529,1.0496,2.8584,2.5248,359
2026-08-23-6tgu-s0-n100-prep-0046,0.647059,0.764706,0.458333,0.65,1,1,0.59024,0.760448,0.949,2.0785,2.3596,161
2026-08-23-6tgu-s0-n100-prep-0047,0.647059,0.705882,0.52381,0.631579,0,0,0.647059,0.705882,0.5216,2.6919,2.9277,382
2026-08-23-6tgu-s0-n100-prep-0048,0.823529,0.882353,0.736842,0.833333,1,1,0.823529,0.882353,0.3507,2.9286,2.8971,305
2026-08-23-6tgu-s0-n100-prep-0049,0.823529,0.882353,0.823529,0.833333,1,1,0.823529,0.882353,0.5355,2.8233,2.698,372
2026-08-23-6tgu-s0-n100-prep-0050,0.823529,0.823529,0.823529,0.823529,1,1,0.823529,0.823529,0.0,2.812,2.812,352
