mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,objective_before,objective_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-23-6tgu-s0-n100-prep-0001,0.647059,0.823529,0.5,0.666667,1,1,0.647059,0.823529,0.5959,2.4014,2.534,133
2026-08-23-6tgu-s0-n100-prep-0002,0.647059,0.823529,0.611111,0.777778,1,1,0.647059,0.823529,1.039,2.8468,2.547,332
2026-08-23-6tgu-s0-n100-prep-0003,0.764706,0.764706,0.65,0.65,1,1,0.764706,0.764706,0.0,2.8508,2.8508,254
2026-08-23-6tgu-s0-n100-prep-0004,0.705882,0.764706,0.705882,0.764706,1,1,0.705882,0.764706,0.4363,2.7607,2.5437,383
2026-08-23-6tgu-s0-n100-prep-0005,0.647059,0.823529,0.647059,0.823529,1,1,0.647059,0.823529,0.9032,3.1725,2.7188,339
2026-08-23-6tgu-s0-n100-prep-0006,0.764706,0.823529,0.619048,0.7,1,1,0.764706,0.823529,0.9823,2.6313,2.507,206
2026-08-23-6tgu-s0-n100-prep-0007,0.764706,0.882353,0.619048,0.789474,1,1,0.764706,0.882353,0.8079,2.8034,2.708,194
2026-08-23-6tgu-s0-n100-prep-0008,0.705882,0.764706,0.705882,0.764706,1,1,0.705882,0.764706,0.7767,2.6435,2.6053,268
2026-08-23-6tgu-s0-n100-prep-0009,0.823529,0.882353,0.736842,0.833333,1,1,0.823529,0.882353,0.86,3.052,2.6508,302
2026-08-23-6tgu-s0-n100-prep-0010,0.588235,0.647059,0.588235,0.647059,1,1,0.588235,0.647059,0.5422,3.267,2.876,389
2026-08-23-6tgu-s0-n100-prep-0011,0.764706,0.764706,0.65,0.65,1,1,0.764706,0.764706,0.0,3.1639,3.1639,392
2026-08-23-6tgu-s0-n100-prep-0012,0.764706,0.882353,0.65,0.789474,1,1,0.764706,0.882353,0.6326,2.6984,2.4542,215
2026-08-23-6tgu-s0-n100-prep-0013,0.647059,0.764706,0.578947,0.722222,1,1,0.647059,0.764706,0.5468,2.8111,2.6468,323
2026-08-23-6tgu-s0-n100-prep-0014,0.705882,0.764706,0.631579,0.722222,1,1,0.705882,0.764706,0.6871,2.7745,2.5067,263
2026-08-23-6tgu-s0-n100-prep-0015,0.764706,0.764706,0.619048,0.619048,1,1,0.764706,0.764706,0.0,2.5782,2.5782,190
2026-08-23-6tgu-s0-n100-prep-0016,0.941176,0.941176,0.761905,0.761905,1,1,0.941176,0.941176,0.0,2.7398,2.7398,181
2026-08-23-6tgu-s0-n100-prep-0017,0.823529,0.882353,0.608696,0.625,1,1,-0.571544,0.856086,1.1186,1.59,2.2744,37
2026-08-23-6tgu-s0-n100-prep-0018,0.529412,0.647059,0.473684,0.611111,0,1,0.529412,0.647059,0.6667,3.245,3.0633,342
2026-08-23-6tgu-s0-n100-prep-0019,0.764706,0.823529,0.722222,0.823529,1,1,0.764706,0.823529,0.3799,2.8545,2.7934,259
