mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,objective_before,objective_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-23-6tgu-s0-n100-prep-0001,0.647059,0.823529,0.5,0.666667,1,1,0.647059,0.823529,0.727,2.4014,2.6446,181
2026-08-23-6tgu-s0-n100-prep-0002,0.647059,0.823529,0.611111,0.666667,1,1,0.647059,0.823529,0.639,2.8468,2.6044,341
2026-08-23-6tgu-s0-n100-prep-0003,0.764706,0.823529,0.65,0.777778,1,1,0.764706,0.823529,0.8219,2.8508,2.8715,350
2026-08-23-6tgu-s0-n100-prep-0004,0.705882,0.764706,0.705882,0.764706,1,1,0.705882,0.764706,0.5322,2.7607,2.9129,398
2026-08-23-6tgu-s0-n100-prep-0005,0.647059,0.823529,0.647059,0.823529,1,1,0.647059,0.823529,0.2759,3.1725,3.1162,393
2026-08-23-6tgu-s0-n100-prep-0006,0.764706,0.823529,0.619048,0.736842,1,1,0.764706,0.823529,0.99,2.6313,2.6119,245
2026-08-23-6tgu-s0-n100-prep-0007,0.764706,0.882353,0.619048,0.789474,1,1,0.764706,0.882353,1.0429,2.8034,2.796,289
2026-08-23-6tgu-s0-n100-prep-0008,0.705882,0.764706,0.705882,0.764706,1,1,0.705882,0.764706,0.7219,2.6435,2.5998,318
2026-08-23-6tgu-s0-n100-prep-0009,0.823529,0.882353,0.736842,0.75,1,1,0.823529,0.882353,0.82,3.052,2.887,323
2026-08-23-6tgu-s0-n100-prep-0010,0.588235,0.647059,0.588235,0.647059,1,1,0.588235,0.647059,0.5422,3.267,2.876,419
2026-08-23-6tgu-s0-n100-prep-0011,0.764706,0.823529,0.65,0.736842,1,1,0.764706,0.823529,0.8986,3.1639,2.49,392
2026-08-23-6tgu-s0-n100-prep-0012,0.764706,0.882353,0.65,0.789474,1,1,0.764706,0.882353,0.5406,2.6984,2.5719,301
2026-08-23-6tgu-s0-n100-prep-0013,0.647059,0.764706,0.578947,0.722222,1,1,0.647059,0.764706,0.7242,2.8111,2.9163,373
2026-08-23-6tgu-s0-n100-prep-0014,0.705882,0.823529,0.631579,0.736842,1,1,0.705882,0.823529,1.0705,2.7745,2.4222,331
2026-08-23-6tgu-s0-n100-prep-0015,0.764706,0.764706,0.619048,0.619048,1,1,0.764706,0.764706,0.0,2.5782,2.5782,226
2026-08-23-6tgu-s0-n100-prep-0016,0.941176,0.941176,0.761905,0.761905,1,1,0.941176,0.941176,0.0,2.7398,2.7398,285
2026-08-23-6tgu-s0-n100-prep-0017,0.823529,0.882353,0.608696,0.652174,1,1,0.474761,0.882353,1.0962,1.59,2.3961,132
2026-08-23-6tgu-s0-n100-prep-0018,0.529412,0.647059,0.473684,0.55,0,1,0.529412,0.647059,0.5576,3.245,2.8128,426
2026-08-23-6tgu-s0-n100-prep-0019,0.764706,0.823529,0.722222,0.823529,1,1,0.764706,0.823529,0.3899,2.8545,2.7304,344
2026-08-23-6tgu-s0-n100-prep-0020,0.647059,0.764706,0.578947,0.722222,1,1,0.647059,0.764706,0.5586,2.9578,2.9761,332
2026-08-23-6tgu-s0-n100-prep-0021,0.941176,0.941176,0.761905,0.761905,1,1,0.941176,0.941176,0.0,2.7319,2.7319,281
2026-08-23-6tgu-s0-n100-prep-0022,0.882353,0.941176,0.681818,0.761905,1,1,0.882353,0.941176,0.4497,2.5129,2.3631,219
2026-08-23-6tgu-s0-n100-prep-0023,0.764706,0.764706,0.722222,0.722222,1,1,0.764706,0.764706,0.0,2.8764,2.8764,376
2026-08-23-6tgu-s0-n100-prep-0024,0.705882,0.705882,0.521739,0.521739,1,1,0.705882,0.705882,0.0,2.5141,2.5141,232
