mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,objective_before,objective_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-23-6tgu-s0-n100-prep-0001,0.647059,0.705882,0.5,0.545455,1,1,0.294118,0.352941,0.5805,2.4014,2.4798,218
2026-08-23-6tgu-s0-n100-prep-0002,0.647059,0.470588,0.611111,0.421053,1,1,0.235294,0.294118,0.7059,2.8468,2.8693,351
2026-08-23-6tgu-s0-n100-prep-0003,0.764706,0.764706,0.65,0.65,1,1,0.294118,0.294118,0.0,2.8508,2.8508,399
2026-08-23-6tgu-s0-n100-prep-0004,0.705882,0.588235,0.705882,0.47619,1,0,0.235294,0.294118,1.2326,2.7607,2.6292,468
2026-08-23-6tgu-s0-n100-prep-0005,0.647059,0.647059,0.647059,0.5,1,1,0.235294,0.294118,0.9298,3.1725,2.5815,426
2026-08-23-6tgu-s0-n100-prep-0006,0.764706,0.764706,0.619048,0.619048,1,1,0.294118,0.294118,0.0,2.6313,2.6313,298
2026-08-23-6tgu-s0-n100-prep-0007,0.764706,0.647059,0.619048,0.5,1,1,0.235294,0.294118,0.5451,2.8034,2.7393,302
2026-08-23-6tgu-s0-n100-prep-0008,0.705882,0.705882,0.705882,0.666667,1,1,0.235294,0.294118,0.5419,2.6435,2.62,325
2026-08-23-6tgu-s0-n100-prep-0009,0.823529,0.764706,0.736842,0.65,1,1,0.235294,0.294118,0.5697,3.052,2.3688,374
2026-08-23-6tgu-s0-n100-prep-0010,0.588235,0.588235,0.588235,0.588235,1,0,0.176471,0.235294,0.6468,3.267,2.9805,503
2026-08-23-6tgu-s0-n100-prep-0011,0.764706,0.588235,0.65,0.454545,1,1,0.235294,0.294118,0.8564,3.1639,2.4872,416
2026-08-23-6tgu-s0-n100-prep-0012,0.764706,0.764706,0.65,0.65,1,1,0.235294,0.294118,0.4396,2.6984,2.8648,265
2026-08-23-6tgu-s0-n100-prep-0013,0.647059,0.647059,0.578947,0.578947,1,1,0.294118,0.294118,0.0,2.8111,2.8111,416
2026-08-23-6tgu-s0-n100-prep-0014,0.705882,0.705882,0.631579,0.631579,1,1,0.294118,0.294118,0.0,2.7745,2.7745,348
2026-08-23-6tgu-s0-n100-prep-0015,0.764706,0.764706,0.619048,0.619048,1,1,0.294118,0.294118,0.0,2.5782,2.5782,246
2026-08-23-6tgu-s0-n100-prep-0016,0.941176,0.941176,0.761905,0.761905,1,1,0.294118,0.294118,0.0,2.7398,2.7398,304
2026-08-23-6tgu-s0-n100-prep-0017,0.823529,0.823529,0.608696,0.608696,1,1,-0.054651,0.294118,0.9336,1.59,2.4132,150
2026-08-23-6tgu-s0-n100-prep-0018,0.529412,0.470588,0.473684,0.4,0,0,0.235294,0.294118,0.4981,3.245,2.9408,423
2026-08-23-6tgu-s0-n100-prep-0019,0.764706,0.705882,0.722222,0.631579,1,1,0.235294,0.294118,0.4015,2.8545,2.8912,366
2026-08-23-6tgu-s0-n100-prep-0020,0.647059,0.647059,0.578947,0.55,1,1,0.235294,0.294118,0.5249,2.9578,2.5422,423
2026-08-23-6tgu-s0-n100-prep-0021,0.941176,0.941176,0.761905,0.761905,1,1,0.294118,0.294118,0.0,2.7319,2.7319,331
2026-08-23-6tgu-s0-n100-prep-0022,0.882353,0.882353,0.681818,0.681818,1,1,0.235294,0.294118,0.4438,2.5129,2.563,238
2026-08-23-6tgu-s0-n100-prep-0023,0.764706,0.588235,0.722222,0.47619,1,1,0.235294,0.294118,1.2201,2.8764,2.6977,427
2026-08-23-6tgu-s0-n100-prep-0024,0.705882,0.705882,0.521739,0.521739,1,1,0.294118,0.294118,0.0,2.5141,2.5141,305
2026-08-23-6tgu-s0-n100-prep-0026,0.588235,0.529412,0.5,0.45,1,1,0.235294,0.294118,0.5542,2.8195,2.6391,385
2026-08-23-6tgu-s0-n100-prep-0027,0.647059,0.647059,0.647059,0.647059,1,1,0.235294,0.235294,0.0,2.9636,2.9636,422
2026-08-23-6tgu-s0-n100-prep-0028,0.705882,0.588235,0.461538,0.37037,1,1,-0.015684,0.352941,0.9616,1.8179,2.4501,122
