mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-23-6tgu-s0-n100-prep-0001,0.647059,0.647059,0.5,0.478261,1,1,0.3679,2.4014,2.5463,252
2026-08-23-6tgu-s0-n100-prep-0002,0.647059,0.705882,0.611111,0.6,1,1,0.6193,2.8468,2.6227,468
2026-08-23-6tgu-s0-n100-prep-0003,0.764706,0.764706,0.65,0.65,1,1,0.0,2.8508,2.8508,445
2026-08-23-6tgu-s0-n100-prep-0004,0.705882,0.705882,0.705882,0.705882,1,1,0.0,2.7607,2.7607,497
2026-08-23-6tgu-s0-n100-prep-0005,0.647059,0.588235,0.647059,0.47619,1,1,0.9703,3.1725,2.8787,482
2026-08-23-6tgu-s0-n100-prep-0006,0.764706,0.588235,0.619048,0.454545,1,1,1.0569,2.6313,2.1581,352
2026-08-23-6tgu-s0-n100-prep-0007,0.764706,0.647059,0.619048,0.478261,1,1,0.6158,2.8034,2.3934,399
2026-08-23-6tgu-s0-n100-prep-0008,0.705882,0.647059,0.705882,0.578947,1,1,0.5173,2.6435,2.6951,406
2026-08-23-6tgu-s0-n100-prep-0009,0.823529,0.764706,0.736842,0.65,1,1,0.613,3.052,2.5219,399
2026-08-23-6tgu-s0-n100-prep-0010,0.588235,0.588235,0.588235,0.588235,1,0,0.6468,3.267,2.9805,463
2026-08-23-6tgu-s0-n100-prep-0011,0.764706,0.588235,0.65,0.454545,1,1,0.7127,3.1639,2.9438,517
2026-08-23-6tgu-s0-n100-prep-0012,0.764706,0.764706,0.65,0.619048,1,1,0.3681,2.6984,2.4939,390
2026-08-23-6tgu-s0-n100-prep-0013,0.647059,0.647059,0.578947,0.578947,1,1,0.0,2.8111,2.8111,417
2026-08-23-6tgu-s0-n100-prep-0014,0.705882,0.705882,0.631579,0.631579,1,1,0.0,2.7745,2.7745,426
2026-08-23-6tgu-s0-n100-prep-0015,0.764706,0.764706,0.619048,0.619048,1,1,0.0,2.5782,2.5782,349
2026-08-23-6tgu-s0-n100-prep-0016,0.941176,0.941176,0.761905,0.761905,1,1,0.0,2.7398,2.7398,376
2026-08-23-6tgu-s0-n100-prep-0017,0.823529,0.823529,0.608696,0.608696,1,1,0.0,1.59,1.59,353
2026-08-23-6tgu-s0-n100-prep-0018,0.529412,0.470588,0.473684,0.4,0,0,0.5739,3.245,2.9183,491
2026-08-23-6tgu-s0-n100-prep-0019,0.764706,0.705882,0.722222,0.571429,1,1,0.6794,2.8545,2.6612,448
2026-08-23-6tgu-s0-n100-prep-0020,0.647059,0.529412,0.578947,0.409091,1,1,0.7322,2.9578,2.5294,446
2026-08-23-6tgu-s0-n100-prep-0021,0.941176,0.941176,0.761905,0.761905,1,1,0.0,2.7319,2.7319,441
2026-08-23-6tgu-s0-n100-prep-0022,0.882353,0.941176,0.681818,0.727273,1,1,0.3601,2.5129,2.5625,283
2026-08-23-6tgu-s0-n100-prep-0023,0.764706,0.647059,0.722222,0.52381,1,1,1.0046,2.8764,2.0098,527
2026-08-23-6tgu-s0-n100-prep-0024,0.705882,0.705882,0.521739,0.521739,1,1,0.0,2.5141,2.5141,378
2026-08-23-6tgu-s0-n100-prep-0026,0.588235,0.588235,0.5,0.47619,1,1,0.4284,2.8195,2.9282,497
2026-08-23-6tgu-s0-n100-prep-0027,0.647059,0.647059,0.647059,0.647059,1,1,0.0,2.9636,2.9636,465
2026-08-23-6tgu-s0-n100-prep-0028,0.705882,0.705882,0.461538,0.444444,1,1,0.5731,1.8179,2.2118,303
2026-08-23-6tgu-s0-n100-prep-0029,0.764706,0.764706,0.541667,0.541667,1,1,0.0,1.1912,1.1912,435
2026-08-23-6tgu-s0-n100-prep-0030,0.764706,0.705882,0.541667,0.48,1,1,0.5254,1.5591,1.9693,274
2026-08-23-6tgu-s0-n100-prep-0031,0.588235,0.588235,0.526316,0.526316,1,1,0.0,3.2018,3.2018,515
2026-08-23-6tgu-s0-n100-prep-0032,0.705882,0.647059,0.705882,0.55,1,1,0.6956,2.9808,2.8558,528
2026-08-23-6tgu-s0-n100-prep-0033,0.647059,0.647059,0.647059,0.647059,1,1,0.0,3.1318,3.1318,470
2026-08-23-6tgu-s0-n100-prep-0034,0.647059,0.529412,0.647059,0.5,1,1,0.8832,3.1793,2.8371,482
2026-08-23-6tgu-s0-n100-prep-0035,0.764706,0.705882,0.65,0.571429,1,1,0.5859,2.7502,2.7302,454
2026-08-23-6tgu-s0-n100-prep-0036,0.764706,0.647059,0.764706,0.611111,1,1,0.7684,2.6564,2.1783,375
2026-08-23-6tgu-s0-n100-prep-0037,0.823529,0.823529,0.56,0.56,1,1,0.0,2.1534,2.1534,196
2026-08-23-6tgu-s0-n100-prep-0038,0.529412,0.529412,0.529412,0.473684,0,0,0.6003,3.3679,2.8718,530
2026-08-23-6tgu-s0-n100-prep-0039,0.764706,0.823529,0.65,0.666667,1,1,0.5052,2.9243,2.6853,457
2026-08-23-6tgu-s0-n100-prep-0040,0.882353,0.882353,0.833333,0.75,1,1,0.5411,2.7723,2.9161,367
2026-08-23-6tgu-s0-n100-prep-0041,0.823529,0.823529,0.777778,0.7,1,1,0.5161,2.9942,2.8188,424
2026-08-23-6tgu-s0-n100-prep-0042,0.764706,0.705882,0.722222,0.6,1,1,0.4028,2.9496,2.8975,487
2026-08-23-6tgu-s0-n100-prep-0043,0.705882,0.647059,0.5,0.44,1,1,0.7186,2.2695,2.0175,227
2026-08-23-6tgu-s0-n100-prep-0044,0.647059,0.647059,0.647059,0.55,1,1,0.4725,2.9871,2.5586,413
2026-08-23-6tgu-s0-n100-prep-0045,0.764706,0.588235,0.722222,0.47619,1,0,0.7669,2.8584,2.5273,401
2026-08-23-6tgu-s0-n100-prep-0046,0.647059,0.588235,0.458333,0.416667,1,1,0.9518,2.0785,2.1935,206
2026-08-23-6tgu-s0-n100-prep-0047,0.647059,0.647059,0.52381,0.52381,0,0,0.0,2.6919,2.6919,415
2026-08-23-6tgu-s0-n100-prep-0048,0.823529,0.705882,0.736842,0.6,1,1,0.8276,2.9286,2.6207,397
2026-08-23-6tgu-s0-n100-prep-0049,0.823529,0.647059,0.823529,0.52381,1,1,1.2523,2.8233,2.0816,495
2026-08-23-6tgu-s0-n100-prep-0050,0.823529,0.647059,0.823529,0.578947,1,1,0.8637,2.812,2.3342,375
2026-08-23-6tgu-s0-n100-prep-0051,0.529412,0.529412,0.5,0.5,1,1,0.8333,3.0898,2.3847,486
2026-08-23-6tgu-s0-n100-prep-0052,0.764706,0.764706,0.65,0.65,1,1,0.0,2.3919,2.3919,377
2026-08-23-6tgu-s0-n100-prep-0053,0.764706,0.705882,0.764706,0.6,1,1,1.2776,2.8872,2.5437,426
2026-08-23-6tgu-s0-n100-prep-0054,0.529412,0.529412,0.529412,0.529412,0,0,0.0,3.2597,3.2597,519
2026-08-23-6tgu-s0-n100-prep-0055,0.647059,0.647059,0.647059,0.647059,1,1,0.0,3.1694,3.1694,525
2026-08-23-6tgu-s0-n100-prep-0056,0.588235,0.529412,0.5,0.428571,1,1,1.05,2.268,2.443,367
2026-08-23-6tgu-s0-n100-prep-0057,0.823529,0.823529,0.736842,0.636364,1,1,0.6004,2.6667,2.6256,430
2026-08-23-6tgu-s0-n100-prep-0058,0.705882,0.764706,0.6,0.619048,1,1,0.4793,2.3676,2.4571,312
2026-08-23-6tgu-s0-n100-prep-0059,0.705882,0.647059,0.705882,0.55,1,1,1.1351,3.005,2.4623,454
2026-08-23-6tgu-s0-n100-prep-0060,0.705882,0.647059,0.571429,0.52381,1,1,0.7487,2.1766,2.2821,309
2026-08-23-6tgu-s0-n100-prep-0061,0.764706,0.705882,0.722222,0.6,1,1,0.5967,2.7871,2.8553,499
2026-08-23-6tgu-s0-n100-prep-0062,0.882353,0.705882,0.75,0.6,1,1,1.3376,1.7487,1.9937,429
2026-08-23-6tgu-s0-n100-prep-0063,0.705882,0.647059,0.631579,0.52381,1,1,0.5206,2.3657,2.3977,414
2026-08-23-6tgu-s0-n100-prep-0064,0.823529,0.823529,0.538462,0.538462,1,1,0.0,1.4452,1.4452,378
2026-08-23-6tgu-s0-n100-prep-0065,0.647059,0.647059,0.578947,0.5,1,1,0.5749,2.4077,2.0534,367
2026-08-23-6tgu-s0-n100-prep-0066,0.647059,0.647059,0.611111,0.611111,1,1,0.0,3.0078,3.0078,456
2026-08-23-6tgu-s0-n100-prep-0067,0.764706,0.647059,0.722222,0.611111,1,1,0.9218,2.4485,2.6343,412
2026-08-23-6tgu-s0-n100-prep-0068,0.764706,0.647059,0.764706,0.578947,1,1,0.6784,3.0391,2.7434,453
2026-08-23-6tgu-s0-n100-prep-0069,0.764706,0.647059,0.722222,0.55,1,1,0.6112,2.2075,2.5552,318
2026-08-23-6tgu-s0-n100-prep-0070,0.823529,0.823529,0.636364,0.636364,1,1,0.0,2.782,2.782,396
2026-08-23-6tgu-s0-n100-prep-0071,0.588235,0.588235,0.434783,0.434783,1,1,0.0,2.2937,2.2937,340
2026-08-23-6tgu-s0-n100-prep-0072,0.588235,0.588235,0.526316,0.47619,1,1,0.5964,2.7499,2.6114,388
2026-08-23-6tgu-s0-n100-prep-0073,0.470588,0.529412,0.363636,0.409091,1,1,0.3435,3.0294,3.0762,491
2026-08-23-6tgu-s0-n100-prep-0074,0.705882,0.705882,0.6,0.545455,1,1,0.644,2.1754,2.3572,345
2026-08-23-6tgu-s0-n100-prep-0075,0.764706,0.764706,0.65,0.65,1,1,0.0,2.5445,2.5445,355
2026-08-23-6tgu-s0-n100-prep-0076,0.823529,0.823529,0.777778,0.7,1,1,0.4358,2.472,2.1757,314
2026-08-23-6tgu-s0-n100-prep-0077,0.764706,0.764706,0.541667,0.541667,1,1,0.0,3.0176,3.0176,402
2026-08-23-6tgu-s0-n100-prep-0078,0.764706,0.764706,0.65,0.65,1,1,0.0,2.8065,2.8065,377
2026-08-23-6tgu-s0-n100-prep-0079,0.764706,0.764706,0.684211,0.684211,1,1,0.0,2.6525,2.6525,359
2026-08-23-6tgu-s0-n100-prep-0080,0.588235,0.647059,0.526316,0.55,1,1,0.4351,2.6265,2.731,418
2026-08-23-6tgu-s0-n100-prep-0081,0.705882,0.705882,0.6,0.6,1,1,0.0,2.8113,2.8113,447
2026-08-23-6tgu-s0-n100-prep-0082,0.764706,0.764706,0.619048,0.619048,1,1,0.0,2.3613,2.3613,365
2026-08-23-6tgu-s0-n100-prep-0083,0.764706,0.705882,0.590909,0.461538,1,1,1.483,0.5358,0.8339,353
2026-08-23-6tgu-s0-n100-prep-0084,0.882353,0.882353,0.714286,0.714286,1,1,0.0,2.4046,2.4046,362
2026-08-23-6tgu-s0-n100-prep-0085,0.764706,0.764706,0.590909,0.590909,1,1,0.0,2.6393,2.6393,401
2026-08-23-6tgu-s0-n100-prep-0086,0.823529,0.764706,0.7,0.619048,1,1,0.3586,2.7602,2.6172,396
2026-08-23-6tgu-s0-n100-prep-0087,0.823529,0.882353,0.666667,0.681818,1,1,0.6053,2.8997,2.3212,393
2026-08-23-6tgu-s0-n100-prep-0088,0.764706,0.647059,0.764706,0.578947,1,1,1.1743,2.831,2.3653,484
2026-08-23-6tgu-s0-n100-prep-0089,0.764706,0.705882,0.5,0.461538,1,1,0.5352,2.5332,2.3662,256
2026-08-23-6tgu-s0-n100-prep-0090,0.705882,0.647059,0.666667,0.55,1,1,0.9076,2.8053,2.4985,427
2026-08-23-6tgu-s0-n100-prep-0092,0.823529,0.823529,0.7,0.7,1,1,0.0,2.7015,2.7015,391
2026-08-23-6tgu-s0-n100-prep-0093,0.705882,0.647059,0.545455,0.5,1,1,1.172,2.8031,2.4743,398
2026-08-23-6tgu-s0-n100-prep-0094,0.705882,0.705882,0.571429,0.571429,1,1,0.569,2.7547,2.5873,387
2026-08-23-6tgu-s0-n100-prep-0095,0.705882,0.705882,0.6,0.6,1,1,0.4203,2.8707,2.2497,438
2026-08-23-6tgu-s0-n100-prep-0096,0.647059,0.647059,0.578947,0.578947,1,1,0.0,2.4261,2.4261,264
2026-08-23-6tgu-s0-n100-prep-0097,0.823529,0.647059,0.823529,0.578947,1,1,1.2611,2.8472,2.5746,467
2026-08-23-6tgu-s0-n100-prep-0098,0.647059,0.588235,0.647059,0.526316,1,1,0.904,2.9322,3.0686,487
2026-08-23-6tgu-s0-n100-prep-0099,0.588235,0.588235,0.5,0.5,1,1,0.0,3.1668,3.1668,484
2026-08-23-6tgu-s0-n100-prep-0100,0.764706,0.705882,0.684211,0.6,1,1,0.6491,2.7265,2.4555,458
