mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,objective_before,objective_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-23-6tgu-s0-n100-prep-0001,0.647059,0.823529,0.5,0.7,1,1,0.647059,0.823529,0.8363,2.4014,2.5662,232
2026-08-23-6tgu-s0-n100-prep-0002,0.647059,0.764706,0.611111,0.722222,1,1,0.647059,0.764706,0.3959,2.8468,2.7582,417
2026-08-23-6tgu-s0-n100-prep-0003,0.764706,0.823529,0.65,0.777778,1,1,0.764706,0.823529,1.6177,2.8508,2.7526,406
2026-08-23-6tgu-s0-n100-prep-0004,0.705882,0.764706,0.705882,0.764706,1,1,0.705882,0.764706,0.3782,2.7607,2.6448,446
2026-08-23-6tgu-s0-n100-prep-0005,0.647059,0.823529,0.647059,0.823529,1,1,0.647059,0.823529,0.6641,3.1725,2.7566,412
2026-08-23-6tgu-s0-n100-prep-0006,0.764706,0.882353,0.619048,0.833333,1,1,0.764706,0.882353,1.7874,2.6313,2.4882,298
2026-08-23-6tgu-s0-n100-prep-0007,0.764706,0.882353,0.619048,0.75,1,1,0.764706,0.882353,0.9545,2.8034,2.7718,336
2026-08-23-6tgu-s0-n100-prep-0008,0.705882,0.823529,0.705882,0.823529,1,1,0.705882,0.823529,1.6794,2.6435,3.0273,374
2026-08-23-6tgu-s0-n100-prep-0009,0.823529,0.882353,0.736842,0.882353,1,1,0.823529,0.882353,1.3252,3.052,3.1735,361
2026-08-23-6tgu-s0-n100-prep-0010,0.588235,0.705882,0.588235,0.705882,1,1,0.588235,0.705882,1.8312,3.267,3.0654,487
2026-08-23-6tgu-s0-n100-prep-0011,0.764706,0.764706,0.65,0.65,1,1,0.764706,0.764706,0.0,3.1639,3.1639,471
2026-08-23-6tgu-s0-n100-prep-0012,0.764706,0.882353,0.65,0.789474,1,1,0.764706,0.882353,0.5406,2.6984,2.5719,297
2026-08-23-6tgu-s0-n100-prep-0013,0.647059,0.823529,0.578947,0.823529,1,1,0.647059,0.823529,1.7706,2.8111,2.7969,401
2026-08-23-6tgu-s0-n100-prep-0014,0.705882,0.764706,0.631579,0.722222,1,1,0.705882,0.764706,0.6708,2.7745,2.7556,344
2026-08-23-6tgu-s0-n100-prep-0015,0.764706,0.823529,0.619048,0.823529,1,1,0.764706,0.823529,1.4435,2.5782,2.394,229
2026-08-23-6tgu-s0-n100-prep-0016,0.941176,0.941176,0.761905,0.761905,1,1,0.941176,0.941176,0.0,2.7398,2.7398,295
2026-08-23-6tgu-s0-n100-prep-0017,0.823529,0.882353,0.608696,0.652174,1,1,0.474761,0.878768,1.5257,1.59,2.2803,132
2026-08-23-6tgu-s0-n100-prep-0018,0.529412,0.647059,0.473684,0.55,0,1,0.529412,0.647059,0.7326,3.245,2.763,454
2026-08-23-6tgu-s0-n100-prep-0019,0.764706,0.823529,0.722222,0.823529,1,1,0.764706,0.823529,0.5744,2.8545,2.8864,400
2026-08-23-6tgu-s0-n100-prep-0020,0.647059,0.764706,0.578947,0.684211,1,1,0.647059,0.764706,0.7225,2.9578,3.1016,394
2026-08-23-6tgu-s0-n100-prep-0021,0.941176,0.941176,0.761905,0.761905,1,1,0.941176,0.941176,0.0,2.7319,2.7319,334
2026-08-23-6tgu-s0-n100-prep-0022,0.882353,0.941176,0.681818,0.761905,1,1,0.882353,0.941176,0.4497,2.5129,2.3631,253
2026-08-23-6tgu-s0-n100-prep-0023,0.764706,0.764706,0.722222,0.722222,1,1,0.764706,0.764706,0.0,2.8764,2.8764,346
2026-08-23-6tgu-s0-n100-prep-0024,0.705882,0.764706,0.521739,0.722222,1,1,0.705882,0.764706,1.9166,2.5141,2.6642,269
2026-08-23-6tgu-s0-n100-prep-0026,0.588235,0.823529,0.5,0.777778,1,1,0.588235,0.823529,2.1298,2.8195,3.0808,371
2026-08-23-6tgu-s0-n100-prep-0027,0.647059,0.764706,0.647059,0.684211,1,1,0.647059,0.764706,1.1235,2.9636,2.646,408
2026-08-23-6tgu-s0-n100-prep-0028,0.705882,0.764706,0.461538,0.541667,1,1,0.396081,0.752829,2.1028,1.8179,2.5262,165
2026-08-23-6tgu-s0-n100-prep-0029,0.764706,0.882353,0.541667,0.625,1,1,-0.133544,0.882353,1.0457,1.1912,2.3836,237
2026-08-23-6tgu-s0-n100-prep-0030,0.764706,0.882353,0.541667,0.789474,1,1,-0.450901,0.882353,2.2722,1.5591,2.591,244
2026-08-23-6tgu-s0-n100-prep-0031,0.588235,0.647059,0.526316,0.578947,1,0,0.588235,0.647059,1.4252,3.2018,2.5916,423
2026-08-23-6tgu-s0-n100-prep-0032,0.705882,0.764706,0.705882,0.722222,1,1,0.705882,0.764706,1.0384,2.9808,2.5805,434
2026-08-23-6tgu-s0-n100-prep-0033,0.647059,0.764706,0.647059,0.764706,1,1,0.647059,0.764706,0.9088,3.1318,2.8586,419
2026-08-23-6tgu-s0-n100-prep-0034,0.647059,0.705882,0.647059,0.705882,1,1,0.647059,0.705882,1.7959,3.1793,3.0237,432
2026-08-23-6tgu-s0-n100-prep-0035,0.764706,0.882353,0.65,0.75,1,1,0.764706,0.882353,1.0559,2.7502,3.03,405
2026-08-23-6tgu-s0-n100-prep-0036,0.764706,0.941176,0.764706,0.941176,1,1,0.764706,0.941176,1.3614,2.6564,2.7042,322
2026-08-23-6tgu-s0-n100-prep-0037,0.823529,0.882353,0.56,0.6,1,1,0.71898,0.882353,0.4815,2.1534,2.3555,124
2026-08-23-6tgu-s0-n100-prep-0038,0.529412,0.647059,0.529412,0.647059,0,0,0.529412,0.647059,1.7307,3.3679,2.488,457
2026-08-23-6tgu-s0-n100-prep-0039,0.764706,0.882353,0.65,0.833333,1,1,0.764706,0.882353,0.9154,2.9243,3.0976,429
2026-08-23-6tgu-s0-n100-prep-0040,0.882353,0.882353,0.833333,0.833333,1,1,0.882353,0.882353,0.0,2.7723,2.7723,309
2026-08-23-6tgu-s0-n100-prep-0041,0.823529,0.882353,0.777778,0.882353,1,1,0.823529,0.882353,0.5845,2.9942,2.7954,343
2026-08-23-6tgu-s0-n100-prep-0042,0.764706,0.823529,0.722222,0.7,1,1,0.764706,0.823529,0.5265,2.9496,2.5476,414
2026-08-23-6tgu-s0-n100-prep-0043,0.705882,0.823529,0.5,0.7,1,1,0.603138,0.823529,1.6425,2.2695,2.4534,297
2026-08-23-6tgu-s0-n100-prep-0044,0.647059,0.764706,0.647059,0.764706,1,1,0.647059,0.764706,1.7713,2.9871,2.4471,386
2026-08-23-6tgu-s0-n100-prep-0045,0.764706,0.823529,0.722222,0.736842,1,1,0.764706,0.823529,0.4699,2.8584,2.6765,364
2026-08-23-6tgu-s0-n100-prep-0046,0.647059,0.823529,0.458333,0.7,1,1,0.362965,0.823529,1.9389,2.0785,2.4651,155
2026-08-23-6tgu-s0-n100-prep-0047,0.647059,0.705882,0.52381,0.6,0,1,0.647059,0.705882,0.9308,2.6919,2.6308,392
2026-08-23-6tgu-s0-n100-prep-0048,0.823529,0.882353,0.736842,0.833333,1,1,0.823529,0.882353,0.5435,2.9286,2.6033,334
2026-08-23-6tgu-s0-n100-prep-0049,0.823529,0.882353,0.823529,0.833333,1,1,0.823529,0.882353,0.6989,2.8233,2.6814,397
2026-08-23-6tgu-s0-n100-prep-0050,0.823529,0.823529,0.823529,0.823529,1,1,0.823529,0.823529,0.0,2.812,2.812,326
2026-08-23-6tgu-s0-n100-prep-0051,0.529412,0.588235,0.5,0.555556,1,1,0.529412,0.588235,0.7198,3.0898,3.1591,504
2026-08-23-6tgu-s0-n100-prep-0052,0.764706,0.823529,0.65,0.777778,1,1,0.764706,0.823529,0.9592,2.3919,2.4048,347
2026-08-23-6tgu-s0-n100-prep-0053,0.764706,0.823529,0.764706,0.777778,1,1,0.764706,0.823529,0.5799,2.8872,2.7184,363
2026-08-23-6tgu-s0-n100-prep-0054,0.529412,0.647059,0.529412,0.647059,0,0,0.529412,0.647059,1.4264,3.2597,2.7807,556
2026-08-23-6tgu-s0-n100-prep-0055,0.647059,0.764706,0.647059,0.764706,1,1,0.647059,0.764706,1.7756,3.1694,2.7952,422
2026-08-23-6tgu-s0-n100-prep-0056,0.588235,0.705882,0.5,0.631579,1,1,0.503488,0.705882,1.4108,2.268,2.7455,359
2026-08-23-6tgu-s0-n100-prep-0057,0.823529,0.941176,0.736842,0.888889,1,1,0.823529,0.941176,0.5451,2.6667,2.7535,338
2026-08-23-6tgu-s0-n100-prep-0058,0.705882,0.823529,0.6,0.666667,1,1,0.652181,0.823529,0.6407,2.3676,2.4501,239
2026-08-23-6tgu-s0-n100-prep-0059,0.705882,0.764706,0.705882,0.764706,1,1,0.705882,0.764706,0.5095,3.005,2.6706,404
2026-08-23-6tgu-s0-n100-prep-0060,0.705882,0.823529,0.571429,0.736842,1,1,0.556679,0.823529,1.4985,2.1766,2.7105,246
2026-08-23-6tgu-s0-n100-prep-0061,0.764706,0.823529,0.722222,0.823529,1,1,0.764706,0.823529,1.3842,2.7871,2.545,432
2026-08-23-6tgu-s0-n100-prep-0062,0.882353,0.882353,0.75,0.75,1,1,0.506548,0.882353,0.7387,1.7487,2.5112,345
2026-08-23-6tgu-s0-n100-prep-0063,0.705882,0.882353,0.631579,0.882353,1,1,0.705882,0.882353,1.7956,2.3657,2.907,370
2026-08-23-6tgu-s0-n100-prep-0064,0.823529,0.823529,0.538462,0.636364,1,1,0.319033,0.823529,0.8581,1.4452,2.3578,259
2026-08-23-6tgu-s0-n100-prep-0065,0.647059,0.764706,0.578947,0.684211,1,1,0.647059,0.764706,1.1675,2.4077,2.6723,300
2026-08-23-6tgu-s0-n100-prep-0066,0.647059,0.705882,0.611111,0.705882,1,1,0.647059,0.705882,0.6933,3.0078,2.7419,481
2026-08-23-6tgu-s0-n100-prep-0067,0.764706,0.882353,0.722222,0.833333,1,1,0.764706,0.882353,0.8675,2.4485,2.8866,343
2026-08-23-6tgu-s0-n100-prep-0068,0.764706,0.764706,0.764706,0.764706,1,1,0.764706,0.764706,0.0,3.0391,3.0391,465
2026-08-23-6tgu-s0-n100-prep-0069,0.764706,0.882353,0.722222,0.833333,1,1,0.687218,0.882353,1.2301,2.2075,2.6886,338
2026-08-23-6tgu-s0-n100-prep-0070,0.823529,0.823529,0.636364,0.636364,1,1,0.823529,0.823529,0.0,2.782,2.782,307
2026-08-23-6tgu-s0-n100-prep-0071,0.588235,0.823529,0.434783,0.7,1,1,0.516334,0.823529,1.4731,2.2937,2.6991,311
2026-08-23-6tgu-s0-n100-prep-0072,0.588235,0.823529,0.526316,0.777778,1,1,0.588235,0.823529,1.2616,2.7499,2.5456,367
2026-08-23-6tgu-s0-n100-prep-0073,0.470588,0.705882,0.363636,0.571429,1,1,0.470588,0.705882,1.0292,3.0294,2.6955,449
2026-08-23-6tgu-s0-n100-prep-0074,0.705882,0.764706,0.6,0.65,1,1,0.556093,0.764706,0.5031,2.1754,2.5363,331
2026-08-23-6tgu-s0-n100-prep-0075,0.764706,0.941176,0.65,0.888889,1,1,0.764706,0.924895,1.7804,2.5445,2.3299,312
2026-08-23-6tgu-s0-n100-prep-0076,0.823529,0.941176,0.777778,0.888889,1,1,0.823529,0.941176,0.7715,2.472,2.9119,359
2026-08-23-6tgu-s0-n100-prep-0077,0.764706,0.882353,0.541667,0.681818,1,1,0.764706,0.882353,0.5035,3.0176,3.0132,296
2026-08-23-6tgu-s0-n100-prep-0078,0.764706,0.823529,0.65,0.736842,1,1,0.764706,0.823529,0.5394,2.8065,2.3932,351
2026-08-23-6tgu-s0-n100-prep-0079,0.764706,0.882353,0.684211,0.714286,1,1,0.764706,0.882353,1.1304,2.6525,2.4141,340
2026-08-23-6tgu-s0-n100-prep-0080,0.588235,0.823529,0.526316,0.823529,1,1,0.588235,0.823529,2.1067,2.6265,2.8702,411
2026-08-23-6tgu-s0-n100-prep-0081,0.705882,0.823529,0.6,0.777778,1,1,0.705882,0.823529,1.4848,2.8113,2.7255,364
2026-08-23-6tgu-s0-n100-prep-0082,0.764706,0.823529,0.619048,0.7,1,1,0.764706,0.823529,2.2279,2.3613,2.7918,345
2026-08-23-6tgu-s0-n100-prep-0083,0.764706,0.588235,0.590909,0.434783,1,1,-6.916864,-0.668819,2.9772,0.5358,1.8689,37
2026-08-23-6tgu-s0-n100-prep-0084,0.882353,0.882353,0.714286,0.714286,1,1,0.882353,0.882353,0.0,2.4046,2.4046,299
2026-08-23-6tgu-s0-n100-prep-0085,0.764706,0.941176,0.590909,0.842105,1,1,0.764706,0.941176,0.9816,2.6393,2.8086,350
2026-08-23-6tgu-s0-n100-prep-0086,0.823529,0.823529,0.7,0.7,1,1,0.823529,0.823529,0.0,2.7602,2.7602,359
2026-08-23-6tgu-s0-n100-prep-0087,0.823529,0.823529,0.666667,0.666667,1,1,0.823529,0.823529,0.0,2.8997,2.8997,348
2026-08-23-6tgu-s0-n100-prep-0088,0.764706,0.882353,0.764706,0.882353,1,1,0.764706,0.882353,0.9353,2.831,2.5813,441
2026-08-23-6tgu-s0-n100-prep-0089,0.764706,0.882353,0.5,0.714286,1,1,0.764706,0.882353,2.4704,2.5332,2.4347,207
2026-08-23-6tgu-s0-n100-prep-0090,0.705882,0.764706,0.666667,0.764706,1,1,0.705882,0.764706,0.6257,2.8053,2.8288,373
2026-08-23-6tgu-s0-n100-prep-0092,0.823529,0.823529,0.7,0.7,1,1,0.823529,0.823529,0.0,2.7015,2.7015,313
