mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,objective_before,objective_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-23-6tgu-s0-n100-prep-0001,0.647059,0.882353,0.5,0.75,1,1,0.647059,0.882353,1.6305,2.4014,2.2186,307
2026-08-23-6tgu-s0-n100-prep-0002,0.647059,0.823529,0.611111,0.823529,1,1,0.647059,0.823529,1.0982,2.8468,2.2366,420
2026-08-23-6tgu-s0-n100-prep-0003,0.764706,0.764706,0.65,0.65,1,1,0.764706,0.764706,0.0,2.8508,2.8508,395
2026-08-23-6tgu-s0-n100-prep-0004,0.705882,0.764706,0.705882,0.722222,1,1,0.705882,0.764706,1.1589,2.7607,2.5949,518
2026-08-23-6tgu-s0-n100-prep-0005,0.647059,0.882353,0.647059,0.882353,1,1,0.647059,0.882353,2.6817,3.1725,2.7355,471
2026-08-23-6tgu-s0-n100-prep-0006,0.764706,0.823529,0.619048,0.666667,1,1,0.764706,0.823529,1.0481,2.6313,2.0906,355
2026-08-23-6tgu-s0-n100-prep-0007,0.764706,0.882353,0.619048,0.75,1,1,0.764706,0.882353,1.1861,2.8034,2.4435,397
2026-08-23-6tgu-s0-n100-prep-0008,0.705882,0.764706,0.705882,0.764706,1,1,0.705882,0.764706,0.8504,2.6435,2.2249,414
2026-08-23-6tgu-s0-n100-prep-0009,0.823529,0.882353,0.736842,0.882353,1,1,0.823529,0.882353,1.6124,3.052,2.9076,452
2026-08-23-6tgu-s0-n100-prep-0010,0.588235,0.647059,0.588235,0.647059,1,1,0.588235,0.647059,1.1698,3.267,2.6731,454
2026-08-23-6tgu-s0-n100-prep-0011,0.764706,0.764706,0.65,0.65,1,1,0.764706,0.764706,0.0,3.1639,3.1639,526
2026-08-23-6tgu-s0-n100-prep-0012,0.764706,0.882353,0.65,0.882353,1,1,0.764706,0.882353,1.3965,2.6984,2.2971,337
2026-08-23-6tgu-s0-n100-prep-0013,0.647059,0.764706,0.578947,0.722222,1,1,0.647059,0.764706,1.0768,2.8111,2.4827,427
2026-08-23-6tgu-s0-n100-prep-0014,0.705882,0.764706,0.631579,0.722222,1,1,0.705882,0.764706,0.5754,2.7745,2.8886,378
2026-08-23-6tgu-s0-n100-prep-0015,0.764706,0.823529,0.619048,0.823529,1,1,0.764706,0.823529,1.4577,2.5782,2.3586,335
2026-08-23-6tgu-s0-n100-prep-0016,0.941176,0.941176,0.761905,0.761905,1,1,0.941176,0.941176,0.0,2.7398,2.7398,347
2026-08-23-6tgu-s0-n100-prep-0017,0.823529,0.882353,0.608696,0.714286,1,1,0.823529,0.882353,0.9812,1.59,1.7101,238
2026-08-23-6tgu-s0-n100-prep-0018,0.529412,0.647059,0.473684,0.611111,0,1,0.529412,0.647059,0.6488,3.245,2.8404,468
2026-08-23-6tgu-s0-n100-prep-0019,0.764706,0.823529,0.722222,0.823529,1,1,0.764706,0.823529,1.2819,2.8545,2.0902,374
2026-08-23-6tgu-s0-n100-prep-0020,0.647059,0.764706,0.578947,0.684211,1,1,0.647059,0.764706,0.893,2.9578,2.8236,444
2026-08-23-6tgu-s0-n100-prep-0021,0.941176,0.941176,0.761905,0.761905,1,1,0.941176,0.941176,0.0,2.7319,2.7319,411
