mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,objective_before,objective_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-23-6tgu-s0-n100-prep-0001,0.647059,0.764706,0.5,0.684211,1,1,0.882745,0.974553,1.4855,2.4014,2.4619,250
2026-08-23-6tgu-s0-n100-prep-0002,0.647059,0.764706,0.611111,0.65,1,1,0.882745,0.950117,1.2489,2.8468,2.05,441
2026-08-23-6tgu-s0-n100-prep-0003,0.764706,0.823529,0.65,0.777778,1,1,0.860552,0.925832,1.2405,2.8508,2.3235,378
2026-08-23-6tgu-s0-n100-prep-0004,0.705882,0.764706,0.705882,0.722222,1,1,0.835501,0.921962,1.3127,2.7607,2.424,402
2026-08-23-6tgu-s0-n100-prep-0005,0.647059,0.823529,0.647059,0.823529,1,1,0.800563,0.924054,0.8599,3.1725,2.9534,431
2026-08-23-6tgu-s0-n100-prep-0006,0.764706,0.823529,0.619048,0.7,1,1,0.921962,0.922577,1.0998,2.6313,2.3641,307
2026-08-23-6tgu-s0-n100-prep-0007,0.764706,0.882353,0.619048,0.75,1,1,0.860552,0.987857,0.9053,2.8034,2.7445,330
2026-08-23-6tgu-s0-n100-prep-0008,0.705882,0.764706,0.705882,0.764706,1,1,0.895434,0.921962,0.5776,2.6435,2.4071,372
2026-08-23-6tgu-s0-n100-prep-0009,0.823529,0.823529,0.736842,0.823529,1,1,0.924054,0.962806,1.226,3.052,2.3473,383
2026-08-23-6tgu-s0-n100-prep-0010,0.588235,0.647059,0.588235,0.647059,1,1,0.742913,0.808522,0.533,3.267,2.8584,383
2026-08-23-6tgu-s0-n100-prep-0011,0.764706,0.764706,0.65,0.684211,1,1,0.897526,0.921962,1.2926,3.1639,2.4422,421
2026-08-23-6tgu-s0-n100-prep-0012,0.764706,0.882353,0.65,0.882353,1,1,0.952305,0.987857,0.4903,2.6984,2.4946,327
2026-08-23-6tgu-s0-n100-prep-0013,0.647059,0.705882,0.578947,0.705882,1,0,0.824999,0.939615,1.4195,2.8111,2.657,381
2026-08-23-6tgu-s0-n100-prep-0014,0.705882,0.764706,0.631579,0.722222,1,1,0.843459,0.905485,0.6754,2.7745,2.8844,347
2026-08-23-6tgu-s0-n100-prep-0015,0.764706,0.823529,0.619048,0.7,1,1,0.88764,0.922577,0.9105,2.5782,2.3681,298
2026-08-23-6tgu-s0-n100-prep-0016,0.941176,0.941176,0.761905,0.761905,1,1,0.997908,0.997908,0.0,2.7398,2.7398,340
2026-08-23-6tgu-s0-n100-prep-0017,0.823529,0.882353,0.608696,0.681818,1,1,0.970765,0.997293,0.9408,1.59,1.9392,291
2026-08-23-6tgu-s0-n100-prep-0018,0.529412,0.647059,0.473684,0.578947,0,1,0.785782,0.860497,0.4255,3.245,3.1672,430
2026-08-23-6tgu-s0-n100-prep-0019,0.764706,0.823529,0.722222,0.823529,1,1,0.921962,0.987242,0.3394,2.8545,2.5022,367
2026-08-23-6tgu-s0-n100-prep-0020,0.647059,0.764706,0.578947,0.764706,1,1,0.824999,0.921962,0.8568,2.9578,2.5089,419
2026-08-23-6tgu-s0-n100-prep-0021,0.941176,0.941176,0.761905,0.761905,1,1,0.98995,0.98995,0.0,2.7319,2.7319,358
2026-08-23-6tgu-s0-n100-prep-0022,0.882353,0.941176,0.681818,0.727273,1,1,0.89419,0.997908,0.3576,2.5129,2.5239,278
2026-08-23-6tgu-s0-n100-prep-0023,0.764706,0.764706,0.722222,0.722222,1,1,0.905485,0.905485,0.0,2.8764,2.8764,423
2026-08-23-6tgu-s0-n100-prep-0024,0.705882,0.764706,0.521739,0.619048,1,1,0.895434,0.921962,1.1952,2.5141,2.0514,297
2026-08-23-6tgu-s0-n100-prep-0026,0.588235,0.764706,0.5,0.684211,1,1,0.699676,0.921962,0.8619,2.8195,3.0096,385
2026-08-23-6tgu-s0-n100-prep-0027,0.647059,0.705882,0.647059,0.666667,1,1,0.800563,0.895434,1.1936,2.9636,2.6481,423
2026-08-23-6tgu-s0-n100-prep-0028,0.705882,0.764706,0.461538,0.541667,1,1,0.909272,0.921962,0.9689,1.8179,2.0056,310
2026-08-23-6tgu-s0-n100-prep-0029,0.764706,0.882353,0.541667,0.681818,1,1,0.913142,0.987857,0.7259,1.1912,1.7283,432
2026-08-23-6tgu-s0-n100-prep-0030,0.764706,0.882353,0.541667,0.652174,1,1,0.909888,0.987857,1.4266,1.5591,2.5329,268
2026-08-23-6tgu-s0-n100-prep-0031,0.588235,0.647059,0.526316,0.647059,1,0,0.787874,0.849899,1.2214,3.2018,2.2867,427
2026-08-23-6tgu-s0-n100-prep-0032,0.705882,0.823529,0.705882,0.823529,1,1,0.843459,0.932012,1.3556,2.9808,2.6085,370
2026-08-23-6tgu-s0-n100-prep-0033,0.647059,0.823529,0.647059,0.823529,1,1,0.808522,0.932012,1.0121,3.1318,2.5568,395
2026-08-23-6tgu-s0-n100-prep-0034,0.647059,0.705882,0.647059,0.705882,1,1,0.833409,0.895434,1.0126,3.1793,2.6046,409
2026-08-23-6tgu-s0-n100-prep-0035,0.764706,0.882353,0.65,0.789474,1,1,0.909888,0.97726,0.4674,2.7502,3.0985,400
2026-08-23-6tgu-s0-n100-prep-0036,0.764706,0.882353,0.764706,0.882353,1,1,0.905485,0.997293,0.8237,2.6564,2.736,353
2026-08-23-6tgu-s0-n100-prep-0037,0.823529,0.941176,0.56,0.615385,1,1,0.91198,0.98995,0.7685,2.1534,2.136,195
2026-08-23-6tgu-s0-n100-prep-0038,0.529412,0.588235,0.529412,0.588235,0,0,0.785782,0.851062,1.0584,3.3679,2.7368,506
2026-08-23-6tgu-s0-n100-prep-0039,0.764706,0.882353,0.65,0.789474,1,1,0.860552,0.989334,0.7373,2.9243,2.9878,378
2026-08-23-6tgu-s0-n100-prep-0040,0.882353,0.941176,0.833333,0.941176,1,1,0.987857,0.98995,0.5829,2.7723,2.5035,336
2026-08-23-6tgu-s0-n100-prep-0041,0.823529,0.882353,0.777778,0.882353,1,1,0.95292,0.987857,0.3778,2.9942,2.8874,418
2026-08-23-6tgu-s0-n100-prep-0042,0.764706,0.823529,0.722222,0.777778,1,1,0.921962,0.987242,0.1894,2.9496,3.0916,369
2026-08-23-6tgu-s0-n100-prep-0043,0.705882,0.823529,0.5,0.608696,1,1,0.876427,0.942323,1.4967,2.2695,2.1477,272
2026-08-23-6tgu-s0-n100-prep-0044,0.647059,0.764706,0.647059,0.764706,1,1,0.860497,0.921962,1.3349,2.9871,2.9022,359
2026-08-23-6tgu-s0-n100-prep-0045,0.764706,0.764706,0.722222,0.565217,1,1,0.89605,0.974553,1.4173,2.8584,2.1653,354
2026-08-23-6tgu-s0-n100-prep-0046,0.647059,0.764706,0.458333,0.5,1,1,0.882745,0.960714,1.3063,2.0785,2.166,162
2026-08-23-6tgu-s0-n100-prep-0047,0.647059,0.705882,0.52381,0.6,0,1,0.87759,0.939615,0.6959,2.6919,2.5848,354
2026-08-23-6tgu-s0-n100-prep-0048,0.823529,0.882353,0.736842,0.789474,1,1,0.987242,0.987857,0.5803,2.9286,2.6326,352
