mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-23-6tgu-s0-n100-prep-0001,0.647059,0.823529,0.5,0.666667,1,1,0.9455,2.4014,2.414,281
2026-08-23-6tgu-s0-n100-prep-0002,0.647059,0.823529,0.611111,0.777778,1,1,0.4748,2.8468,2.6717,351
2026-08-23-6tgu-s0-n100-prep-0003,0.764706,0.823529,0.65,0.736842,1,1,1.4366,2.8508,2.3507,416
2026-08-23-6tgu-s0-n100-prep-0004,0.705882,0.764706,0.705882,0.764706,1,1,0.3398,2.7607,2.6573,402
2026-08-23-6tgu-s0-n100-prep-0005,0.647059,0.764706,0.647059,0.764706,1,1,0.4161,3.1725,3.2253,402
2026-08-23-6tgu-s0-n100-prep-0006,0.764706,0.823529,0.619048,0.7,1,1,0.8982,2.6313,2.0043,319
2026-08-23-6tgu-s0-n100-prep-0007,0.764706,0.882353,0.619048,0.833333,1,1,1.0344,2.8034,2.2402,352
2026-08-23-6tgu-s0-n100-prep-0008,0.705882,0.764706,0.705882,0.764706,1,1,0.7051,2.6435,2.5855,322
2026-08-23-6tgu-s0-n100-prep-0009,0.823529,0.882353,0.736842,0.833333,1,1,0.5832,3.052,2.8091,403
2026-08-23-6tgu-s0-n100-prep-0010,0.588235,0.647059,0.588235,0.647059,1,1,0.6998,3.267,3.1305,462
2026-08-23-6tgu-s0-n100-prep-0011,0.764706,0.823529,0.65,0.777778,1,1,0.9873,3.1639,2.6757,406
2026-08-23-6tgu-s0-n100-prep-0012,0.764706,0.882353,0.65,0.789474,1,1,0.5401,2.6984,2.4814,344
2026-08-23-6tgu-s0-n100-prep-0013,0.647059,0.764706,0.578947,0.722222,1,1,0.8077,2.8111,2.9065,389
2026-08-23-6tgu-s0-n100-prep-0014,0.705882,0.764706,0.631579,0.722222,1,1,0.5754,2.7745,2.8886,408
2026-08-23-6tgu-s0-n100-prep-0015,0.764706,0.823529,0.619048,0.608696,1,1,0.8044,2.5782,2.0679,290
2026-08-23-6tgu-s0-n100-prep-0016,0.941176,0.941176,0.761905,0.761905,1,1,0.0,2.7398,2.7398,367
2026-08-23-6tgu-s0-n100-prep-0017,0.823529,0.882353,0.608696,0.714286,1,1,0.6497,1.59,1.7728,298
2026-08-23-6tgu-s0-n100-prep-0018,0.529412,0.647059,0.473684,0.611111,0,1,0.6667,3.245,3.0633,427
2026-08-23-6tgu-s0-n100-prep-0019,0.764706,0.823529,0.722222,0.823529,1,1,0.2181,2.8545,2.7463,422
2026-08-23-6tgu-s0-n100-prep-0020,0.647059,0.764706,0.578947,0.684211,1,1,0.7323,2.9578,2.8388,401
2026-08-23-6tgu-s0-n100-prep-0021,0.941176,0.941176,0.761905,0.761905,1,1,0.0,2.7319,2.7319,373
2026-08-23-6tgu-s0-n100-prep-0022,0.882353,0.941176,0.681818,0.761905,1,1,0.4396,2.5129,2.385,261
2026-08-23-6tgu-s0-n100-prep-0023,0.764706,0.764706,0.722222,0.722222,1,1,0.0,2.8764,2.8764,409
2026-08-23-6tgu-s0-n100-prep-0024,0.705882,0.705882,0.521739,0.521739,1,1,0.0,2.5141,2.5141,315
2026-08-23-6tgu-s0-n100-prep-0026,0.588235,0.764706,0.5,0.684211,1,1,0.8713,2.8195,2.985,344
2026-08-23-6tgu-s0-n100-prep-0027,0.647059,0.764706,0.647059,0.722222,1,1,0.5725,2.9636,2.98,413
2026-08-23-6tgu-s0-n100-prep-0028,0.705882,0.764706,0.461538,0.541667,1,1,0.8666,1.8179,2.0459,267
2026-08-23-6tgu-s0-n100-prep-0029,0.764706,0.882353,0.541667,0.714286,1,1,0.5994,1.1912,1.358,424
2026-08-23-6tgu-s0-n100-prep-0030,0.764706,0.823529,0.541667,0.583333,1,1,0.5528,1.5591,1.7276,254
2026-08-23-6tgu-s0-n100-prep-0031,0.588235,0.647059,0.526316,0.611111,1,0,1.1967,3.2018,2.851,464
2026-08-23-6tgu-s0-n100-prep-0032,0.705882,0.823529,0.705882,0.823529,1,1,1.1744,2.9808,2.7146,433
2026-08-23-6tgu-s0-n100-prep-0033,0.647059,0.823529,0.647059,0.823529,1,1,0.5222,3.1318,2.9836,389
2026-08-23-6tgu-s0-n100-prep-0034,0.647059,0.705882,0.647059,0.705882,1,1,0.7146,3.1793,2.9236,451
2026-08-23-6tgu-s0-n100-prep-0035,0.764706,0.941176,0.65,0.842105,1,1,1.0983,2.7502,2.854,379
2026-08-23-6tgu-s0-n100-prep-0036,0.764706,0.882353,0.764706,0.882353,1,1,0.5398,2.6564,2.676,333
2026-08-23-6tgu-s0-n100-prep-0037,0.823529,0.941176,0.56,0.592593,1,1,0.6321,2.1534,2.4566,166
2026-08-23-6tgu-s0-n100-prep-0038,0.529412,0.647059,0.529412,0.647059,0,0,1.1683,3.3679,2.4135,493
2026-08-23-6tgu-s0-n100-prep-0039,0.764706,0.882353,0.65,0.833333,1,1,0.9549,2.9243,2.7576,400
