mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-24-6tgu-s0-n100-0001,1.0,0.705882,1.0,0.631579,1,1,1.163,2.6598,2.6798,430
2026-08-24-6tgu-s0-n100-0002,0.941176,0.647059,0.941176,0.578947,1,1,1.4737,2.751,2.3319,399
2026-08-24-6tgu-s0-n100-0003,0.941176,0.823529,0.888889,0.736842,1,1,1.1933,2.8419,2.5635,429
2026-08-24-6tgu-s0-n100-0004,1.0,1.0,1.0,0.894737,1,1,0.9999,2.4946,2.4553,450
2026-08-24-6tgu-s0-n100-0005,0.882353,0.764706,0.833333,0.684211,1,1,1.0065,2.7907,2.4674,425
2026-08-24-6tgu-s0-n100-0006,0.882353,0.764706,0.833333,0.684211,1,1,1.0812,2.6264,2.5302,393
2026-08-24-6tgu-s0-n100-0007,0.941176,0.764706,0.941176,0.684211,1,1,1.2275,2.402,2.7509,415
2026-08-24-6tgu-s0-n100-0008,0.882353,0.823529,0.882353,0.736842,1,1,1.3244,1.9735,2.1657,403
2026-08-24-6tgu-s0-n100-0009,0.882353,0.705882,0.833333,0.631579,1,1,1.0506,2.9941,2.5498,413
2026-08-24-6tgu-s0-n100-0010,0.882353,0.764706,0.833333,0.684211,1,1,0.9879,2.8676,2.5922,386
2026-08-24-6tgu-s0-n100-0011,0.882353,0.882353,0.882353,0.882353,1,1,0.0,1.5909,1.5909,452
2026-08-24-6tgu-s0-n100-0012,0.941176,0.941176,0.941176,0.941176,1,1,0.0,1.7221,1.7221,426
2026-08-24-6tgu-s0-n100-0013,0.882353,0.705882,0.882353,0.631579,1,1,1.1952,2.629,2.1316,433
2026-08-24-6tgu-s0-n100-0014,0.823529,0.823529,0.823529,0.823529,1,1,0.0,2.6613,2.6613,423
2026-08-24-6tgu-s0-n100-0015,0.705882,0.705882,0.705882,0.631579,1,1,1.1943,1.5544,1.8554,427
2026-08-24-6tgu-s0-n100-0016,0.647059,0.705882,0.647059,0.666667,1,1,1.161,1.3808,1.7235,429
2026-08-24-6tgu-s0-n100-0017,0.705882,0.647059,0.705882,0.578947,1,1,0.6036,1.8357,1.9723,384
2026-08-24-6tgu-s0-n100-0018,0.764706,0.764706,0.722222,0.684211,1,1,0.8786,2.4334,2.5856,389
2026-08-24-6tgu-s0-n100-0019,0.941176,0.941176,0.941176,0.941176,1,1,0.0,1.7771,1.7771,389
2026-08-24-6tgu-s0-n100-0020,0.941176,0.941176,0.941176,0.941176,1,1,0.0,1.6739,1.6739,339
2026-08-24-6tgu-s0-n100-0021,0.529412,0.705882,0.529412,0.631579,1,1,1.0013,1.4561,1.8461,363
2026-08-24-6tgu-s0-n100-0022,0.882353,0.882353,0.882353,0.882353,1,1,0.0,1.4982,1.4982,431
2026-08-24-6tgu-s0-n100-0023,0.705882,0.823529,0.666667,0.7,1,1,1.2745,2.074,2.5041,374
2026-08-24-6tgu-s0-n100-0024,0.764706,0.764706,0.764706,0.764706,1,1,0.0,1.4713,1.4713,323
2026-08-24-6tgu-s0-n100-0025,0.705882,0.705882,0.705882,0.705882,1,1,0.0,2.1327,2.1327,390
2026-08-24-6tgu-s0-n100-0026,0.941176,0.941176,0.941176,0.941176,1,1,0.0,1.9002,1.9002,249
2026-08-24-6tgu-s0-n100-0027,0.764706,0.941176,0.722222,0.8,1,1,1.256,2.2811,2.4608,386
2026-08-24-6tgu-s0-n100-0028,0.882353,0.882353,0.882353,0.882353,1,1,0.0,1.6375,1.6375,397
2026-08-24-6tgu-s0-n100-0029,0.705882,0.764706,0.666667,0.684211,1,1,0.8385,2.2001,2.0623,343
2026-08-24-6tgu-s0-n100-0030,0.764706,0.764706,0.764706,0.764706,1,1,0.0,1.613,1.613,275
2026-08-24-6tgu-s0-n100-0031,0.647059,0.823529,0.611111,0.777778,0,1,1.153,1.7136,2.207,374
2026-08-24-6tgu-s0-n100-0032,0.823529,0.823529,0.823529,0.823529,1,1,0.0,1.7409,1.7409,321
2026-08-24-6tgu-s0-n100-0033,0.647059,0.411765,0.647059,0.35,1,0,1.4224,1.0848,1.475,438
2026-08-24-6tgu-s0-n100-0034,0.705882,0.705882,0.705882,0.705882,1,1,0.0,1.489,1.489,342
2026-08-24-6tgu-s0-n100-0035,0.470588,0.470588,0.444444,0.444444,0,0,0.0,0.8983,0.8983,236
2026-08-24-6tgu-s0-n100-0036,0.588235,0.764706,0.555556,0.764706,0,1,0.8,1.8398,1.8485,145
2026-08-24-6tgu-s0-n100-0037,0.705882,0.647059,0.666667,0.55,1,0,0.9032,0.3775,0.6235,434
2026-08-24-6tgu-s0-n100-0038,0.764706,0.764706,0.764706,0.764706,1,1,0.0,1.3823,1.3823,370
2026-08-24-6tgu-s0-n100-0039,0.647059,0.705882,0.611111,0.6,0,1,1.3082,1.7242,2.6245,416
2026-08-24-6tgu-s0-n100-0040,0.823529,0.823529,0.823529,0.823529,1,1,0.0,1.2171,1.2171,425
2026-08-24-6tgu-s0-n100-0041,0.647059,0.882353,0.611111,0.882353,0,1,1.1717,1.9311,2.5336,301
2026-08-24-6tgu-s0-n100-0042,0.588235,0.588235,0.555556,0.555556,0,0,0.0,0.6035,0.6035,321
2026-08-24-6tgu-s0-n100-0043,0.647059,0.823529,0.578947,0.777778,0,0,1.0859,1.9034,1.9585,350
2026-08-24-6tgu-s0-n100-0044,0.588235,0.588235,0.555556,0.526316,0,0,1.276,0.6448,0.8586,431
2026-08-24-6tgu-s0-n100-0045,0.529412,0.588235,0.5,0.555556,0,0,0.4547,1.3693,1.428,329
2026-08-24-6tgu-s0-n100-0046,0.588235,0.764706,0.555556,0.722222,0,1,1.225,1.1306,1.2479,325
2026-08-24-6tgu-s0-n100-0047,0.705882,0.705882,0.631579,0.631579,1,1,0.0,0.8344,0.8344,298
2026-08-24-6tgu-s0-n100-0048,0.588235,0.588235,0.588235,0.588235,0,0,0.0,1.3559,1.3559,414
2026-08-24-6tgu-s0-n100-0049,0.647059,0.647059,0.611111,0.611111,0,0,0.0,0.9109,0.9109,382
2026-08-24-6tgu-s0-n100-0050,0.705882,0.705882,0.666667,0.666667,1,1,0.0,1.6281,1.6281,370
2026-08-24-6tgu-s0-n100-0051,0.588235,0.647059,0.526316,0.578947,0,0,1.1708,0.2221,0.3899,484
2026-08-24-6tgu-s0-n100-0052,0.529412,0.529412,0.473684,0.473684,0,0,0.0,1.3227,1.3227,197
2026-08-24-6tgu-s0-n100-0053,0.588235,0.588235,0.5,0.5,0,0,0.0,1.1516,1.1516,352
2026-08-24-6tgu-s0-n100-0054,0.588235,0.705882,0.526316,0.666667,0,0,0.8726,0.5869,0.8047,453
2026-08-24-6tgu-s0-n100-0055,0.529412,0.588235,0.529412,0.526316,0,1,1.018,1.3107,1.9958,408
2026-08-24-6tgu-s0-n100-0056,0.588235,0.588235,0.555556,0.555556,0,0,0.0,1.1034,1.1034,372
2026-08-24-6tgu-s0-n100-0057,0.411765,0.411765,0.35,0.35,0,0,0.0,0.66,0.66,296
2026-08-24-6tgu-s0-n100-0058,0.647059,0.588235,0.55,0.5,1,1,0.9485,0.3677,0.6655,443
2026-08-24-6tgu-s0-n100-0059,0.529412,0.352941,0.473684,0.3,0,0,1.2213,0.6642,0.794,288
2026-08-24-6tgu-s0-n100-0060,0.588235,0.705882,0.526316,0.666667,0,1,0.9314,0.8558,1.2003,384
2026-08-24-6tgu-s0-n100-0061,0.588235,0.647059,0.526316,0.55,1,0,0.85,1.3525,1.6195,385
2026-08-24-6tgu-s0-n100-0062,0.470588,0.529412,0.4,0.45,0,0,0.6342,0.4878,0.5769,360
2026-08-24-6tgu-s0-n100-0063,0.588235,0.647059,0.526316,0.578947,1,1,0.8272,1.0067,1.2968,411
2026-08-24-6tgu-s0-n100-0064,0.588235,0.588235,0.588235,0.588235,0,0,0.0,1.3697,1.3697,305
2026-08-24-6tgu-s0-n100-0065,0.588235,0.529412,0.526316,0.409091,0,0,1.2188,0.773,1.1159,203
2026-08-24-6tgu-s0-n100-0066,0.529412,0.588235,0.529412,0.526316,0,0,1.1089,1.251,1.6463,342
2026-08-24-6tgu-s0-n100-0067,0.529412,0.529412,0.409091,0.409091,1,1,1.1351,0.9757,1.0115,356
2026-08-24-6tgu-s0-n100-0068,0.470588,0.588235,0.421053,0.526316,0,1,0.814,0.7198,0.8702,191
2026-08-24-6tgu-s0-n100-0069,0.647059,0.647059,0.55,0.55,1,1,0.0,1.3292,1.3292,199
2026-08-24-6tgu-s0-n100-0070,0.529412,0.647059,0.5,0.578947,0,0,0.9323,0.8595,0.9336,335
2026-08-24-6tgu-s0-n100-0071,0.529412,0.470588,0.428571,0.32,1,1,1.4224,0.4598,0.7323,436
2026-08-24-6tgu-s0-n100-0072,0.588235,0.647059,0.555556,0.578947,1,1,0.5453,1.0114,1.1195,267
2026-08-24-6tgu-s0-n100-0073,0.411765,0.411765,0.388889,0.35,0,0,1.0641,1.4156,1.6696,325
2026-08-24-6tgu-s0-n100-0074,0.352941,0.352941,0.272727,0.272727,0,0,0.0,0.8568,0.8568,158
2026-08-24-6tgu-s0-n100-0075,0.588235,0.647059,0.555556,0.52381,0,0,1.4613,0.4098,0.7639,407
2026-08-24-6tgu-s0-n100-0076,0.588235,0.588235,0.526316,0.526316,0,0,0.0,0.6928,0.6928,358
2026-08-24-6tgu-s0-n100-0077,0.470588,0.529412,0.4,0.428571,0,0,1.4234,0.2778,0.5667,466
2026-08-24-6tgu-s0-n100-0078,0.588235,0.588235,0.454545,0.434783,1,1,0.7455,0.6584,0.9075,292
2026-08-24-6tgu-s0-n100-0079,0.647059,0.647059,0.5,0.5,0,0,0.0,0.6404,0.6404,368
2026-08-24-6tgu-s0-n100-0080,0.588235,0.647059,0.555556,0.611111,0,0,0.9885,0.7619,1.1473,331
2026-08-24-6tgu-s0-n100-0081,0.470588,0.529412,0.421053,0.45,0,1,0.8478,0.7505,1.034,324
2026-08-24-6tgu-s0-n100-0082,0.588235,0.705882,0.5,0.6,1,1,1.1622,1.5124,1.997,190
2026-08-24-6tgu-s0-n100-0083,0.647059,0.529412,0.52381,0.409091,0,0,0.4121,0.9421,1.0393,310
2026-08-24-6tgu-s0-n100-0084,0.529412,0.529412,0.45,0.428571,0,0,0.5354,1.3154,1.3375,391
2026-08-24-6tgu-s0-n100-0085,0.411765,0.470588,0.35,0.347826,0,0,0.8336,0.9115,1.0553,214
2026-08-24-6tgu-s0-n100-0086,0.470588,0.588235,0.4,0.47619,0,0,0.9398,0.4801,1.3787,469
2026-08-24-6tgu-s0-n100-0087,0.588235,0.588235,0.47619,0.47619,1,1,0.7284,0.6569,0.7613,269
2026-08-24-6tgu-s0-n100-0088,0.470588,0.529412,0.347826,0.375,0,1,1.359,0.8322,0.8433,265
2026-08-24-6tgu-s0-n100-0089,0.470588,0.470588,0.363636,0.363636,1,1,0.0,0.3791,0.3791,472
2026-08-24-6tgu-s0-n100-0090,0.647059,0.647059,0.478261,0.5,1,1,0.8263,0.3387,0.5092,468
2026-08-24-6tgu-s0-n100-0091,0.705882,0.705882,0.6,0.6,1,1,0.0,0.7002,0.7002,292
2026-08-24-6tgu-s0-n100-0092,0.470588,0.647059,0.380952,0.55,0,0,0.7085,0.4791,0.6039,392
2026-08-24-6tgu-s0-n100-0093,0.470588,0.529412,0.380952,0.409091,0,0,0.5432,1.5988,1.6518,175
