mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-24-6tgu-s0-n100-0001,1.0,1.0,1.0,1.0,1,1,0.0,2.6598,2.6598,354
2026-08-24-6tgu-s0-n100-0002,0.941176,1.0,0.941176,1.0,1,1,0.3832,2.751,2.7885,344
2026-08-24-6tgu-s0-n100-0003,0.941176,1.0,0.888889,0.944444,1,1,0.4364,2.8419,3.0283,358
2026-08-24-6tgu-s0-n100-0004,1.0,1.0,1.0,1.0,1,1,0.0,2.4946,2.4946,331
2026-08-24-6tgu-s0-n100-0005,0.882353,1.0,0.833333,0.944444,1,1,0.2443,2.7907,2.8877,363
2026-08-24-6tgu-s0-n100-0006,0.882353,1.0,0.833333,0.944444,1,1,0.6151,2.6264,2.7331,347
2026-08-24-6tgu-s0-n100-0007,0.941176,1.0,0.941176,0.944444,1,1,0.3412,2.402,2.5762,352
2026-08-24-6tgu-s0-n100-0008,0.882353,1.0,0.882353,1.0,1,1,0.706,1.9735,2.5419,296
2026-08-24-6tgu-s0-n100-0009,0.882353,1.0,0.833333,0.944444,1,1,0.4673,2.9941,3.1117,340
2026-08-24-6tgu-s0-n100-0010,0.882353,1.0,0.833333,0.944444,1,1,0.5373,2.8676,2.8474,344
2026-08-24-6tgu-s0-n100-0011,0.882353,1.0,0.882353,0.944444,1,1,0.866,1.5909,2.188,361
2026-08-24-6tgu-s0-n100-0012,0.941176,1.0,0.941176,1.0,1,1,0.5285,1.7221,2.4872,355
2026-08-24-6tgu-s0-n100-0013,0.882353,1.0,0.882353,0.944444,1,1,0.772,2.629,2.8442,358
2026-08-24-6tgu-s0-n100-0014,0.823529,1.0,0.823529,0.944444,1,1,0.6214,2.6613,2.9398,335
2026-08-24-6tgu-s0-n100-0015,0.705882,1.0,0.705882,1.0,1,1,1.0996,1.5544,2.9732,323
2026-08-24-6tgu-s0-n100-0016,0.647059,1.0,0.647059,1.0,1,1,0.8317,1.3808,2.503,331
2026-08-24-6tgu-s0-n100-0017,0.705882,1.0,0.705882,0.944444,1,1,0.8806,1.8357,2.8418,337
2026-08-24-6tgu-s0-n100-0018,0.764706,1.0,0.722222,0.894737,1,1,0.8216,2.4334,2.4109,341
2026-08-24-6tgu-s0-n100-0019,0.941176,1.0,0.941176,0.944444,1,1,0.7837,1.7771,1.8162,300
2026-08-24-6tgu-s0-n100-0020,0.941176,1.0,0.941176,1.0,1,1,0.8938,1.6739,1.7956,330
2026-08-24-6tgu-s0-n100-0021,0.529412,1.0,0.529412,0.944444,1,1,1.15,1.4561,2.6998,283
2026-08-24-6tgu-s0-n100-0022,0.882353,1.0,0.882353,1.0,1,1,0.812,1.4982,1.499,341
2026-08-24-6tgu-s0-n100-0023,0.705882,1.0,0.666667,0.944444,1,1,1.1201,2.074,2.1859,366
2026-08-24-6tgu-s0-n100-0024,0.764706,1.0,0.764706,1.0,1,1,1.185,1.4713,1.871,292
2026-08-24-6tgu-s0-n100-0025,0.705882,1.0,0.705882,0.944444,1,1,0.936,2.1327,2.8436,300
2026-08-24-6tgu-s0-n100-0026,0.941176,1.0,0.941176,1.0,1,1,0.8512,1.9002,2.3094,217
2026-08-24-6tgu-s0-n100-0027,0.764706,1.0,0.722222,0.944444,1,1,0.7541,2.2811,2.5334,320
2026-08-24-6tgu-s0-n100-0028,0.882353,1.0,0.882353,1.0,1,1,0.6548,1.6375,1.9409,308
2026-08-24-6tgu-s0-n100-0029,0.705882,1.0,0.666667,0.944444,1,1,1.0236,2.2001,2.4259,302
2026-08-24-6tgu-s0-n100-0030,0.764706,0.941176,0.764706,0.941176,1,1,0.689,1.613,1.6331,242
2026-08-24-6tgu-s0-n100-0031,0.647059,0.941176,0.611111,0.888889,0,1,1.3521,1.7136,2.4486,275
2026-08-24-6tgu-s0-n100-0032,0.823529,1.0,0.823529,1.0,1,1,0.8312,1.7409,2.3096,241
2026-08-24-6tgu-s0-n100-0033,0.647059,1.0,0.647059,0.944444,1,1,1.3709,1.0848,2.4251,294
2026-08-24-6tgu-s0-n100-0034,0.705882,1.0,0.705882,1.0,1,1,0.856,1.489,1.8482,334
2026-08-24-6tgu-s0-n100-0035,0.470588,1.0,0.444444,1.0,0,1,1.4313,0.8983,1.9619,196
2026-08-24-6tgu-s0-n100-0036,0.588235,0.941176,0.555556,0.941176,0,1,1.1574,1.8398,1.9918,133
2026-08-24-6tgu-s0-n100-0037,0.705882,0.882353,0.666667,0.833333,1,1,1.0099,0.3775,0.8178,397
2026-08-24-6tgu-s0-n100-0038,0.764706,0.941176,0.764706,0.888889,1,1,0.8381,1.3823,1.4686,316
2026-08-24-6tgu-s0-n100-0039,0.647059,0.941176,0.611111,0.888889,0,1,1.3348,1.7242,2.3398,344
2026-08-24-6tgu-s0-n100-0040,0.823529,1.0,0.823529,1.0,1,1,1.3541,1.2171,2.1609,345
2026-08-24-6tgu-s0-n100-0041,0.647059,0.941176,0.611111,0.888889,0,1,1.4307,1.9311,2.5413,257
2026-08-24-6tgu-s0-n100-0042,0.588235,0.764706,0.555556,0.684211,0,1,1.3397,0.6035,1.2357,332
2026-08-24-6tgu-s0-n100-0043,0.647059,0.941176,0.578947,0.888889,0,1,1.2464,1.9034,2.1599,237
2026-08-24-6tgu-s0-n100-0044,0.588235,0.941176,0.555556,0.941176,0,1,1.478,0.6448,1.3478,339
2026-08-24-6tgu-s0-n100-0045,0.529412,0.764706,0.5,0.722222,0,0,1.3285,1.3693,2.0543,345
2026-08-24-6tgu-s0-n100-0046,0.588235,0.941176,0.555556,0.941176,0,1,1.3419,1.1306,1.5201,278
2026-08-24-6tgu-s0-n100-0047,0.705882,0.941176,0.631579,0.842105,1,1,1.3684,0.8344,0.9258,210
2026-08-24-6tgu-s0-n100-0048,0.588235,0.941176,0.588235,0.941176,0,1,1.381,1.3559,1.5354,287
2026-08-24-6tgu-s0-n100-0049,0.647059,0.823529,0.611111,0.777778,0,1,1.1745,0.9109,0.9763,303
2026-08-24-6tgu-s0-n100-0050,0.705882,0.941176,0.666667,0.941176,1,1,1.0679,1.6281,1.7382,275
2026-08-24-6tgu-s0-n100-0051,0.588235,0.823529,0.526316,0.777778,0,1,1.4233,0.2221,1.1279,401
2026-08-24-6tgu-s0-n100-0052,0.529412,0.823529,0.473684,0.823529,0,1,1.3945,1.3227,1.4116,183
2026-08-24-6tgu-s0-n100-0053,0.588235,0.764706,0.5,0.722222,0,0,1.4462,1.1516,1.825,295
2026-08-24-6tgu-s0-n100-0054,0.588235,0.823529,0.526316,0.777778,0,1,1.4919,0.5869,1.6592,421
2026-08-24-6tgu-s0-n100-0055,0.529412,0.823529,0.529412,0.823529,0,1,1.0705,1.3107,1.7573,346
2026-08-24-6tgu-s0-n100-0056,0.588235,0.705882,0.555556,0.705882,0,1,1.4687,1.1034,1.5497,403
2026-08-24-6tgu-s0-n100-0057,0.411765,0.647059,0.35,0.52381,0,1,1.3908,0.66,0.9186,224
2026-08-24-6tgu-s0-n100-0058,0.647059,0.823529,0.55,0.777778,1,1,1.3175,0.3677,0.5976,374
2026-08-24-6tgu-s0-n100-0059,0.529412,0.882353,0.473684,0.789474,0,1,1.2462,0.6642,0.6967,197
2026-08-24-6tgu-s0-n100-0060,0.588235,0.882353,0.526316,0.789474,0,1,1.3459,0.8558,1.4126,334
2026-08-24-6tgu-s0-n100-0061,0.588235,0.882353,0.526316,0.789474,1,1,1.0452,1.3525,1.7684,370
2026-08-24-6tgu-s0-n100-0062,0.470588,0.705882,0.4,0.631579,0,1,1.1162,0.4878,0.5164,332
2026-08-24-6tgu-s0-n100-0063,0.588235,0.705882,0.526316,0.666667,1,1,1.2123,1.0067,2.0328,375
2026-08-24-6tgu-s0-n100-0064,0.588235,0.882353,0.588235,0.833333,0,1,1.4473,1.3697,1.6075,321
2026-08-24-6tgu-s0-n100-0065,0.588235,0.705882,0.526316,0.6,0,0,1.1586,0.773,0.969,192
2026-08-24-6tgu-s0-n100-0066,0.529412,0.647059,0.529412,0.611111,0,0,1.198,1.251,1.2746,341
2026-08-24-6tgu-s0-n100-0067,0.529412,0.529412,0.409091,0.409091,1,1,0.0,0.9757,0.9757,310
2026-08-24-6tgu-s0-n100-0068,0.470588,0.705882,0.421053,0.6,0,1,1.1768,0.7198,0.9963,196
2026-08-24-6tgu-s0-n100-0069,0.647059,0.823529,0.55,0.7,1,1,1.2718,1.3292,1.4827,210
2026-08-24-6tgu-s0-n100-0070,0.529412,0.823529,0.5,0.823529,0,1,0.9586,0.8595,1.0957,340
2026-08-24-6tgu-s0-n100-0071,0.529412,0.764706,0.428571,0.590909,1,1,0.9344,0.4598,0.4993,301
2026-08-24-6tgu-s0-n100-0072,0.588235,0.823529,0.555556,0.736842,1,1,1.1081,1.0114,1.3258,232
2026-08-24-6tgu-s0-n100-0073,0.411765,0.647059,0.388889,0.578947,0,0,1.3887,1.4156,1.874,280
2026-08-24-6tgu-s0-n100-0074,0.352941,0.647059,0.272727,0.52381,0,1,1.3194,0.8568,0.9434,67
2026-08-24-6tgu-s0-n100-0075,0.588235,0.588235,0.555556,0.555556,0,0,0.0,0.4098,0.4098,438
2026-08-24-6tgu-s0-n100-0076,0.588235,0.705882,0.526316,0.631579,0,0,1.3676,0.6928,0.8886,359
2026-08-24-6tgu-s0-n100-0077,0.470588,0.647059,0.4,0.52381,0,1,1.3893,0.2778,0.7845,459
2026-08-24-6tgu-s0-n100-0078,0.588235,0.823529,0.454545,0.636364,1,1,1.1104,0.6584,0.8804,202
