mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-24-6tgu-s0-n100-0001,1.0,1.0,1.0,1.0,1,1,0.0,2.6598,2.6598,280
2026-08-24-6tgu-s0-n100-0002,0.8,1.0,0.941176,1.0,1,1,0.1776,2.751,2.8687,285
2026-08-24-6tgu-s0-n100-0003,0.8,1.0,0.888889,0.944444,1,1,0.5188,2.8419,3.104,307
2026-08-24-6tgu-s0-n100-0004,1.0,1.0,1.0,1.0,1,1,0.0,2.4946,2.4946,267
2026-08-24-6tgu-s0-n100-0005,0.8,1.0,0.833333,0.882353,1,1,0.3248,2.7907,2.4418,299
2026-08-24-6tgu-s0-n100-0006,0.6,1.0,0.833333,0.944444,1,1,0.6384,2.6264,2.8445,279
2026-08-24-6tgu-s0-n100-0007,0.8,1.0,0.941176,0.944444,1,1,0.2895,2.402,2.5165,304
2026-08-24-6tgu-s0-n100-0008,0.6,1.0,0.882353,1.0,1,1,0.6386,1.9735,2.2477,283
2026-08-24-6tgu-s0-n100-0009,0.8,1.0,0.833333,0.941176,1,1,0.5276,2.9941,3.0687,303
2026-08-24-6tgu-s0-n100-0010,0.8,1.0,0.833333,0.944444,1,1,0.5373,2.8676,2.8474,290
2026-08-24-6tgu-s0-n100-0011,0.6,1.0,0.882353,1.0,1,1,0.6403,1.5909,2.3885,307
2026-08-24-6tgu-s0-n100-0012,0.8,1.0,0.941176,1.0,1,1,0.5285,1.7221,2.4872,258
2026-08-24-6tgu-s0-n100-0013,0.8,1.0,0.882353,0.941176,1,1,0.7099,2.629,2.738,280
2026-08-24-6tgu-s0-n100-0014,0.6,1.0,0.823529,0.941176,1,1,0.4264,2.6613,2.9617,274
2026-08-24-6tgu-s0-n100-0015,0.4,1.0,0.705882,0.882353,1,1,0.533,1.5544,1.993,270
2026-08-24-6tgu-s0-n100-0016,0.6,1.0,0.647059,0.941176,1,1,0.8167,1.3808,2.1759,287
2026-08-24-6tgu-s0-n100-0017,0.4,1.0,0.705882,0.777778,1,1,0.7565,1.8357,2.0931,279
2026-08-24-6tgu-s0-n100-0018,0.6,1.0,0.722222,0.944444,1,1,0.6778,2.4334,2.6393,293
2026-08-24-6tgu-s0-n100-0019,0.8,1.0,0.941176,0.944444,1,1,0.855,1.7771,2.3898,255
2026-08-24-6tgu-s0-n100-0020,1.0,1.0,0.941176,0.941176,1,1,0.0,1.6739,1.6739,302
2026-08-24-6tgu-s0-n100-0021,0.4,1.0,0.529412,0.882353,1,1,0.7256,1.4561,2.2066,215
2026-08-24-6tgu-s0-n100-0022,0.8,1.0,0.882353,0.941176,1,1,0.6865,1.4982,2.1589,356
2026-08-24-6tgu-s0-n100-0023,0.6,1.0,0.666667,0.842105,1,1,1.0036,2.074,2.3081,292
2026-08-24-6tgu-s0-n100-0024,0.6,1.0,0.764706,0.941176,1,1,0.49,1.4713,1.6763,227
2026-08-24-6tgu-s0-n100-0025,0.4,1.0,0.705882,0.833333,1,1,0.8376,2.1327,2.8568,268
2026-08-24-6tgu-s0-n100-0026,1.0,1.0,0.941176,0.941176,1,1,0.0,1.9002,1.9002,210
2026-08-24-6tgu-s0-n100-0027,0.4,1.0,0.722222,0.842105,1,1,0.745,2.2811,2.2652,255
2026-08-24-6tgu-s0-n100-0028,0.6,1.0,0.882353,0.941176,1,1,0.5867,1.6375,2.1606,232
2026-08-24-6tgu-s0-n100-0029,0.6,1.0,0.666667,0.888889,1,1,0.9493,2.2001,2.3636,253
2026-08-24-6tgu-s0-n100-0030,0.6,1.0,0.764706,0.842105,1,1,0.9021,1.613,1.8318,186
2026-08-24-6tgu-s0-n100-0031,0.2,0.8,0.611111,0.882353,0,1,1.2752,1.7136,2.4028,260
2026-08-24-6tgu-s0-n100-0032,0.8,1.0,0.823529,0.833333,1,1,0.4225,1.7409,2.1231,249
2026-08-24-6tgu-s0-n100-0033,0.4,0.8,0.647059,0.882353,1,1,0.9224,1.0848,1.1819,222
2026-08-24-6tgu-s0-n100-0034,0.6,1.0,0.705882,0.882353,1,1,0.5618,1.489,1.623,288
2026-08-24-6tgu-s0-n100-0035,0.0,1.0,0.444444,0.941176,0,1,1.324,0.8983,1.662,132
2026-08-24-6tgu-s0-n100-0036,0.2,1.0,0.555556,0.941176,0,1,1.248,1.8398,1.9675,97
2026-08-24-6tgu-s0-n100-0037,0.6,0.8,0.666667,0.722222,1,1,0.8917,0.3775,0.6239,332
2026-08-24-6tgu-s0-n100-0038,0.6,1.0,0.764706,0.882353,1,1,0.6592,1.3823,1.5084,251
2026-08-24-6tgu-s0-n100-0039,0.4,1.0,0.611111,0.888889,0,1,1.1962,1.7242,2.656,386
2026-08-24-6tgu-s0-n100-0040,0.8,1.0,0.823529,0.882353,1,1,0.7034,1.2171,1.6788,305
2026-08-24-6tgu-s0-n100-0041,0.2,0.8,0.611111,0.882353,0,1,1.1366,1.9311,2.5249,141
2026-08-24-6tgu-s0-n100-0042,0.0,0.8,0.555556,0.777778,0,1,1.4516,0.6035,0.7871,228
2026-08-24-6tgu-s0-n100-0043,0.2,1.0,0.578947,0.789474,0,1,1.4117,1.9034,2.2614,220
2026-08-24-6tgu-s0-n100-0044,0.2,1.0,0.555556,0.941176,0,1,1.405,0.6448,1.0366,257
2026-08-24-6tgu-s0-n100-0045,0.2,0.6,0.5,0.666667,0,1,1.2135,1.3693,1.7013,290
2026-08-24-6tgu-s0-n100-0046,0.4,1.0,0.555556,0.941176,0,1,1.2346,1.1306,1.3425,290
2026-08-24-6tgu-s0-n100-0047,0.6,0.8,0.631579,0.684211,1,1,0.7917,0.8344,1.1925,182
2026-08-24-6tgu-s0-n100-0048,0.2,1.0,0.588235,0.882353,0,1,1.2907,1.3559,1.8446,222
2026-08-24-6tgu-s0-n100-0049,0.2,0.6,0.611111,0.777778,0,1,0.9262,0.9109,1.0248,176
2026-08-24-6tgu-s0-n100-0050,0.6,1.0,0.666667,0.882353,1,1,0.9289,1.6281,1.6682,218
2026-08-24-6tgu-s0-n100-0051,0.2,0.6,0.526316,0.5,0,1,0.9759,0.2221,0.8183,344
2026-08-24-6tgu-s0-n100-0052,0.2,0.8,0.473684,0.722222,0,1,1.1023,1.3227,1.5608,165
2026-08-24-6tgu-s0-n100-0053,0.2,0.6,0.5,0.578947,0,1,1.3154,1.1516,1.2091,298
2026-08-24-6tgu-s0-n100-0054,0.4,1.0,0.526316,0.823529,0,1,1.35,0.5869,1.3467,388
2026-08-24-6tgu-s0-n100-0055,0.2,0.8,0.529412,0.833333,0,1,1.1778,1.3107,2.2033,257
2026-08-24-6tgu-s0-n100-0056,0.2,0.4,0.555556,0.588235,0,1,1.392,1.1034,1.2379,363
2026-08-24-6tgu-s0-n100-0057,0.0,0.8,0.35,0.619048,0,1,1.4295,0.66,0.7407,165
2026-08-24-6tgu-s0-n100-0058,0.4,0.8,0.55,0.666667,1,1,1.2459,0.3677,0.7732,239
2026-08-24-6tgu-s0-n100-0059,0.2,0.8,0.473684,0.666667,0,1,0.9464,0.6642,0.8796,97
2026-08-24-6tgu-s0-n100-0060,0.2,1.0,0.526316,0.888889,0,1,1.4757,0.8558,1.6286,142
2026-08-24-6tgu-s0-n100-0061,0.2,0.8,0.526316,0.789474,1,1,0.9284,1.3525,2.0346,255
2026-08-24-6tgu-s0-n100-0062,0.2,0.4,0.4,0.5,0,1,0.7996,0.4878,0.6448,283
2026-08-24-6tgu-s0-n100-0063,0.4,0.4,0.526316,0.526316,1,1,0.0,1.0067,1.0067,390
2026-08-24-6tgu-s0-n100-0064,0.2,1.0,0.588235,0.882353,0,1,1.2882,1.3697,1.7255,200
2026-08-24-6tgu-s0-n100-0065,0.2,0.2,0.526316,0.526316,0,0,0.0,0.773,0.773,200
2026-08-24-6tgu-s0-n100-0066,0.2,0.2,0.529412,0.529412,0,0,0.0,1.251,1.251,265
2026-08-24-6tgu-s0-n100-0067,0.2,0.2,0.409091,0.409091,1,1,0.0,0.9757,0.9757,316
2026-08-24-6tgu-s0-n100-0068,0.2,0.4,0.421053,0.526316,0,1,0.7167,0.7198,0.7206,174
2026-08-24-6tgu-s0-n100-0069,0.4,0.8,0.55,0.619048,1,1,1.1198,1.3292,1.5119,132
2026-08-24-6tgu-s0-n100-0070,0.2,0.8,0.5,0.722222,0,1,1.0257,0.8595,1.0446,204
2026-08-24-6tgu-s0-n100-0071,0.2,0.6,0.428571,0.571429,1,1,0.8328,0.4598,0.6406,220
2026-08-24-6tgu-s0-n100-0072,0.4,0.8,0.555556,0.777778,1,1,1.221,1.0114,1.1367,206
2026-08-24-6tgu-s0-n100-0073,0.0,0.6,0.388889,0.555556,0,1,1.4053,1.4156,1.424,254
2026-08-24-6tgu-s0-n100-0074,0.0,0.6,0.272727,0.52381,0,1,1.0952,0.8568,0.8928,74
2026-08-24-6tgu-s0-n100-0075,0.2,0.2,0.555556,0.555556,0,0,0.0,0.4098,0.4098,473
2026-08-24-6tgu-s0-n100-0076,0.2,0.4,0.526316,0.55,0,0,0.6609,0.6928,0.7717,271
2026-08-24-6tgu-s0-n100-0077,0.2,0.2,0.4,0.4,0,0,0.0,0.2778,0.2778,511
2026-08-24-6tgu-s0-n100-0078,0.4,0.8,0.454545,0.52381,1,1,0.7028,0.6584,1.1066,200
2026-08-24-6tgu-s0-n100-0079,0.2,0.4,0.5,0.521739,0,1,0.4062,0.6404,0.8109,350
2026-08-24-6tgu-s0-n100-0080,0.4,0.6,0.555556,0.647059,0,1,1.003,0.7619,1.1936,287
2026-08-24-6tgu-s0-n100-0081,0.0,0.2,0.421053,0.473684,0,0,0.3036,0.7505,0.7708,343
2026-08-24-6tgu-s0-n100-0082,0.4,0.8,0.5,0.823529,1,1,1.4731,1.5124,1.5873,175
2026-08-24-6tgu-s0-n100-0083,0.4,0.4,0.52381,0.52381,0,0,0.0,0.9421,0.9421,245
2026-08-24-6tgu-s0-n100-0084,0.0,0.6,0.45,0.647059,0,1,1.4619,1.3154,1.9749,351
2026-08-24-6tgu-s0-n100-0085,0.0,0.2,0.35,0.4,0,0,0.8186,0.9115,0.9362,216
2026-08-24-6tgu-s0-n100-0086,0.0,0.6,0.4,0.571429,0,0,1.0701,0.4801,0.8104,328
2026-08-24-6tgu-s0-n100-0087,0.2,0.6,0.47619,0.52381,1,1,1.2519,0.6569,1.1095,244
2026-08-24-6tgu-s0-n100-0088,0.4,0.4,0.347826,0.347826,0,0,0.0,0.8322,0.8322,241
2026-08-24-6tgu-s0-n100-0089,0.0,0.4,0.363636,0.5,1,1,1.0586,0.3791,0.7926,284
2026-08-24-6tgu-s0-n100-0090,0.4,0.4,0.478261,0.478261,1,1,0.0,0.3387,0.3387,344
2026-08-24-6tgu-s0-n100-0091,0.6,0.6,0.6,0.6,1,1,0.0,0.7002,0.7002,268
2026-08-24-6tgu-s0-n100-0092,0.0,0.6,0.380952,0.631579,0,0,1.0325,0.4791,0.485,325
2026-08-24-6tgu-s0-n100-0093,0.2,0.2,0.380952,0.380952,0,0,0.0,1.5988,1.5988,181
2026-08-24-6tgu-s0-n100-0094,0.0,0.2,0.409091,0.473684,1,1,1.0603,0.5763,0.6317,349
2026-08-24-6tgu-s0-n100-0095,0.0,0.6,0.421053,0.631579,1,1,1.1374,1.5941,1.8995,242
2026-08-24-6tgu-s0-n100-0096,0.0,0.4,0.409091,0.5,1,0,1.2797,0.6578,0.7218,168
2026-08-24-6tgu-s0-n100-0097,0.0,0.2,0.35,0.421053,0,0,0.4865,1.6572,1.7406,252
2026-08-24-6tgu-s0-n100-0098,0.0,0.4,0.380952,0.47619,0,0,0.9805,0.4809,0.488,264
2026-08-24-6tgu-s0-n100-0099,0.0,0.2,0.409091,0.409091,0,0,1.051,0.7767,0.8998,217
2026-08-24-6tgu-s0-n100-0100,0.2,0.4,0.391304,0.478261,1,1,1.3179,1.0104,1.1503,112
