mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,objective_before,objective_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-24-6tgu-s0-n100-seed1-0001,0.529412,0.647059,0.5,0.611111,0,0,0.529412,0.647059,0.7874,3.0671,2.8501,422
2026-08-24-6tgu-s0-n100-seed1-0003,0.705882,0.764706,0.631579,0.684211,1,1,0.705882,0.764706,0.6067,3.0082,2.796,388
2026-08-24-6tgu-s0-n100-seed1-0004,0.764706,0.823529,0.764706,0.823529,1,1,0.764706,0.823529,0.6091,3.0042,2.9735,363
2026-08-24-6tgu-s0-n100-seed1-0005,0.823529,0.823529,0.538462,0.538462,1,1,0.823529,0.823529,0.0,2.7169,2.7169,271
2026-08-24-6tgu-s0-n100-seed1-0006,0.588235,0.705882,0.5,0.705882,1,1,0.588235,0.705882,1.415,2.7354,2.8767,356
2026-08-24-6tgu-s0-n100-seed1-0007,0.647059,0.764706,0.55,0.684211,1,1,0.647059,0.764706,0.8174,2.4113,2.6316,215
2026-08-24-6tgu-s0-n100-seed1-0008,0.705882,0.823529,0.48,0.583333,1,1,0.698238,0.823529,0.8357,2.4222,2.5954,207
2026-08-24-6tgu-s0-n100-seed1-0009,0.647059,0.823529,0.5,0.608696,1,1,0.647059,0.813563,0.4994,2.3829,2.3426,270
2026-08-24-6tgu-s0-n100-seed1-0010,0.647059,0.647059,0.578947,0.578947,0,0,0.647059,0.647059,0.0,2.7089,2.7089,302
2026-08-24-6tgu-s0-n100-seed1-0011,0.823529,0.823529,0.777778,0.777778,1,1,0.823529,0.823529,0.0,2.7698,2.7698,277
2026-08-24-6tgu-s0-n100-seed1-0012,0.705882,0.823529,0.705882,0.823529,1,1,0.705882,0.823529,1.114,2.8032,3.2678,356
2026-08-24-6tgu-s0-n100-seed1-0013,0.823529,0.882353,0.583333,0.625,1,1,0.823529,0.882353,0.8438,2.6467,2.6303,216
2026-08-24-6tgu-s0-n100-seed1-0014,0.882353,0.941176,0.714286,0.842105,1,1,0.882353,0.941176,0.9552,2.8732,2.6575,368
