mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,objective_before,objective_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-24-6tgu-s0-n100-seed1-0001,0.529412,0.470588,0.5,0.4,0,0,0.235294,0.294118,0.9978,3.0671,2.7044,428
2026-08-24-6tgu-s0-n100-seed1-0003,0.705882,0.588235,0.631579,0.5,1,1,0.235294,0.294118,1.225,3.0082,2.6456,463
2026-08-24-6tgu-s0-n100-seed1-0004,0.764706,0.588235,0.764706,0.526316,1,1,0.235294,0.294118,0.8745,3.0042,2.6381,387
2026-08-24-6tgu-s0-n100-seed1-0005,0.823529,0.823529,0.538462,0.538462,1,1,0.294118,0.294118,0.0,2.7169,2.7169,302
2026-08-24-6tgu-s0-n100-seed1-0006,0.588235,0.588235,0.5,0.47619,1,1,0.235294,0.294118,0.4111,2.7354,2.402,432
2026-08-24-6tgu-s0-n100-seed1-0007,0.647059,0.647059,0.55,0.55,1,1,0.294118,0.294118,0.0,2.4113,2.4113,263
2026-08-24-6tgu-s0-n100-seed1-0008,0.705882,0.705882,0.48,0.5,1,1,0.286473,0.352941,0.546,2.4222,2.3815,255
2026-08-24-6tgu-s0-n100-seed1-0009,0.647059,0.647059,0.5,0.52381,1,1,0.294118,0.312767,1.2959,2.3829,2.4862,283
2026-08-24-6tgu-s0-n100-seed1-0010,0.647059,0.647059,0.578947,0.578947,0,0,0.294118,0.294118,0.0,2.7089,2.7089,282
2026-08-24-6tgu-s0-n100-seed1-0011,0.823529,0.823529,0.777778,0.777778,1,1,0.294118,0.294118,0.0,2.7698,2.7698,321
2026-08-24-6tgu-s0-n100-seed1-0012,0.705882,0.705882,0.705882,0.631579,1,1,0.235294,0.294118,0.5982,2.8032,2.7642,405
2026-08-24-6tgu-s0-n100-seed1-0013,0.823529,0.823529,0.583333,0.583333,1,1,0.294118,0.294118,0.0,2.6467,2.6467,229
2026-08-24-6tgu-s0-n100-seed1-0014,0.882353,0.882353,0.714286,0.714286,1,1,0.294118,0.294118,0.0,2.8732,2.8732,387
2026-08-24-6tgu-s0-n100-seed1-0015,0.882353,0.882353,0.714286,0.714286,1,1,0.294118,0.294118,0.0,2.5306,2.5306,244
2026-08-24-6tgu-s0-n100-seed1-0016,0.823529,0.823529,0.736842,0.736842,1,1,0.294118,0.294118,0.0,2.8879,2.8879,352
2026-08-24-6tgu-s0-n100-seed1-0017,0.764706,0.647059,0.590909,0.5,1,1,0.224416,0.294118,0.3076,2.3356,2.4954,276
2026-08-24-6tgu-s0-n100-seed1-0018,0.588235,0.588235,0.454545,0.454545,1,1,0.294118,0.294118,0.0,2.8088,2.8088,356
2026-08-24-6tgu-s0-n100-seed1-0019,0.764706,0.764706,0.684211,0.619048,1,1,0.235294,0.294118,0.5469,2.6029,2.5106,290
2026-08-24-6tgu-s0-n100-seed1-0020,0.647059,0.470588,0.611111,0.380952,1,1,0.235294,0.294118,0.819,3.0753,2.5176,442
2026-08-24-6tgu-s0-n100-seed1-0021,0.705882,0.588235,0.631579,0.5,1,1,0.235294,0.294118,0.4001,3.0522,2.5527,413
2026-08-24-6tgu-s0-n100-seed1-0022,0.764706,0.764706,0.619048,0.619048,1,1,0.294118,0.294118,0.0,2.7325,2.7325,286
2026-08-24-6tgu-s0-n100-seed1-0023,0.823529,0.823529,0.7,0.7,1,1,0.294118,0.294118,0.0,2.7142,2.7142,356
2026-08-24-6tgu-s0-n100-seed1-0024,0.764706,0.705882,0.541667,0.461538,1,1,0.294118,0.352941,0.5323,2.7274,2.5414,229
2026-08-24-6tgu-s0-n100-seed1-0025,0.588235,0.647059,0.5,0.52381,1,1,0.235294,0.294118,0.3478,2.8405,2.7178,378
2026-08-24-6tgu-s0-n100-seed1-0026,0.647059,0.529412,0.611111,0.473684,1,1,0.235294,0.294118,0.6219,2.8834,2.5191,383
2026-08-24-6tgu-s0-n100-seed1-0027,0.470588,0.529412,0.470588,0.45,0,0,0.176471,0.294118,1.0033,3.4239,3.2102,507
2026-08-24-6tgu-s0-n100-seed1-0028,0.647059,0.647059,0.578947,0.578947,0,0,0.234518,0.294118,0.5034,2.2808,2.5996,328
2026-08-24-6tgu-s0-n100-seed1-0029,0.705882,0.705882,0.545455,0.545455,1,1,0.294118,0.294118,0.0,2.7297,2.7297,340
2026-08-24-6tgu-s0-n100-seed1-0030,0.647059,0.705882,0.458333,0.5,1,1,0.252475,0.294118,0.5704,2.2792,2.526,202
