mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-24-6tgu-s0-n100-seed1-0001,0.529412,0.529412,0.5,0.45,0,0,0.7281,3.0671,2.5709,574
2026-08-24-6tgu-s0-n100-seed1-0003,0.705882,0.588235,0.631579,0.5,1,1,0.8429,3.0082,2.2072,529
2026-08-24-6tgu-s0-n100-seed1-0004,0.764706,0.588235,0.764706,0.526316,1,1,1.0249,3.0042,2.3066,450
2026-08-24-6tgu-s0-n100-seed1-0005,0.823529,0.823529,0.538462,0.538462,1,1,0.0,2.7169,2.7169,365
2026-08-24-6tgu-s0-n100-seed1-0006,0.588235,0.647059,0.5,0.55,1,1,0.5788,2.7354,2.6351,427
2026-08-24-6tgu-s0-n100-seed1-0007,0.647059,0.647059,0.55,0.55,1,1,0.0,2.4113,2.4113,318
2026-08-24-6tgu-s0-n100-seed1-0008,0.705882,0.647059,0.48,0.458333,1,1,1.3566,2.4222,2.5844,320
2026-08-24-6tgu-s0-n100-seed1-0009,0.647059,0.529412,0.5,0.409091,1,1,1.4662,2.3829,2.4404,359
2026-08-24-6tgu-s0-n100-seed1-0010,0.647059,0.647059,0.578947,0.578947,0,0,0.0,2.7089,2.7089,405
2026-08-24-6tgu-s0-n100-seed1-0011,0.823529,0.705882,0.777778,0.545455,1,1,1.3121,2.7698,2.3534,342
2026-08-24-6tgu-s0-n100-seed1-0012,0.705882,0.647059,0.705882,0.52381,1,1,1.3677,2.8032,2.9046,454
2026-08-24-6tgu-s0-n100-seed1-0013,0.823529,0.823529,0.583333,0.583333,1,1,0.0,2.6467,2.6467,311
2026-08-24-6tgu-s0-n100-seed1-0014,0.882353,0.882353,0.714286,0.714286,1,1,0.0,2.8732,2.8732,487
2026-08-24-6tgu-s0-n100-seed1-0015,0.882353,0.882353,0.714286,0.714286,1,1,0.0,2.5306,2.5306,340
2026-08-24-6tgu-s0-n100-seed1-0016,0.823529,0.823529,0.736842,0.736842,1,1,0.0,2.8879,2.8879,394
2026-08-24-6tgu-s0-n100-seed1-0017,0.764706,0.764706,0.590909,0.590909,1,1,0.0,2.3356,2.3356,335
2026-08-24-6tgu-s0-n100-seed1-0018,0.588235,0.588235,0.454545,0.454545,1,1,0.0,2.8088,2.8088,491
2026-08-24-6tgu-s0-n100-seed1-0019,0.764706,0.764706,0.684211,0.619048,1,1,0.5572,2.6029,2.3378,345
2026-08-24-6tgu-s0-n100-seed1-0020,0.647059,0.588235,0.611111,0.5,1,1,0.8946,3.0753,2.5302,456
2026-08-24-6tgu-s0-n100-seed1-0021,0.705882,0.764706,0.631579,0.65,1,1,0.4217,3.0522,2.7797,432
2026-08-24-6tgu-s0-n100-seed1-0022,0.764706,0.764706,0.619048,0.619048,1,1,0.0,2.7325,2.7325,352
2026-08-24-6tgu-s0-n100-seed1-0023,0.823529,0.823529,0.7,0.7,1,1,0.0,2.7142,2.7142,387
2026-08-24-6tgu-s0-n100-seed1-0024,0.764706,0.764706,0.541667,0.52,1,1,0.602,2.7274,2.3884,313
2026-08-24-6tgu-s0-n100-seed1-0025,0.588235,0.588235,0.5,0.47619,1,1,0.4449,2.8405,2.9748,500
2026-08-24-6tgu-s0-n100-seed1-0026,0.647059,0.588235,0.611111,0.526316,1,1,0.5603,2.8834,2.904,471
2026-08-24-6tgu-s0-n100-seed1-0027,0.470588,0.529412,0.470588,0.473684,0,0,1.1454,3.4239,2.5363,478
2026-08-24-6tgu-s0-n100-seed1-0028,0.647059,0.647059,0.578947,0.578947,0,0,0.0,2.2808,2.2808,376
2026-08-24-6tgu-s0-n100-seed1-0029,0.705882,0.705882,0.545455,0.545455,1,1,0.0,2.7297,2.7297,334
2026-08-24-6tgu-s0-n100-seed1-0030,0.647059,0.705882,0.458333,0.48,1,1,1.3724,2.2792,2.1929,287
2026-08-24-6tgu-s0-n100-seed1-0031,0.764706,0.764706,0.619048,0.619048,1,1,0.0,2.7058,2.7058,297
2026-08-24-6tgu-s0-n100-seed1-0032,0.588235,0.647059,0.526316,0.52381,0,1,0.6373,2.7519,2.5875,492
2026-08-24-6tgu-s0-n100-seed1-0033,0.764706,0.529412,0.722222,0.45,1,1,0.7119,3.1578,2.7722,463
2026-08-24-6tgu-s0-n100-seed1-0034,0.823529,0.705882,0.777778,0.571429,1,1,0.748,2.8725,2.2186,336
2026-08-24-6tgu-s0-n100-seed1-0035,0.705882,0.705882,0.705882,0.705882,1,1,0.0,3.2272,3.2272,521
2026-08-24-6tgu-s0-n100-seed1-0036,0.764706,0.764706,0.565217,0.541667,1,1,1.2983,2.6746,2.1912,357
2026-08-24-6tgu-s0-n100-seed1-0037,0.823529,0.764706,0.823529,0.684211,1,1,0.6149,2.6012,2.6177,368
2026-08-24-6tgu-s0-n100-seed1-0039,0.823529,0.823529,0.7,0.666667,1,1,0.4233,2.6362,2.5597,364
2026-08-24-6tgu-s0-n100-seed1-0040,0.705882,0.705882,0.631579,0.631579,1,1,0.0,2.6977,2.6977,431
2026-08-24-6tgu-s0-n100-seed1-0041,0.882353,0.882353,0.681818,0.681818,1,1,0.0,2.8656,2.8656,353
2026-08-24-6tgu-s0-n100-seed1-0042,0.823529,0.647059,0.777778,0.55,1,1,1.3413,3.0138,2.4794,503
2026-08-24-6tgu-s0-n100-seed1-0043,0.764706,0.764706,0.65,0.65,1,1,0.524,2.8215,2.7617,482
2026-08-24-6tgu-s0-n100-seed1-0044,0.941176,0.941176,0.727273,0.727273,1,1,0.0,2.6523,2.6523,379
2026-08-24-6tgu-s0-n100-seed1-0045,0.823529,0.823529,0.608696,0.608696,1,1,0.0,2.4733,2.4733,344
2026-08-24-6tgu-s0-n100-seed1-0046,0.764706,0.529412,0.684211,0.409091,1,1,0.7573,2.845,2.3579,512
2026-08-24-6tgu-s0-n100-seed1-0047,0.764706,0.647059,0.65,0.5,1,1,0.4814,3.2557,2.9533,456
2026-08-24-6tgu-s0-n100-seed1-0048,0.705882,0.529412,0.666667,0.428571,1,1,1.0228,2.7819,2.2607,409
2026-08-24-6tgu-s0-n100-seed1-0049,0.823529,0.823529,0.666667,0.666667,1,1,0.0,2.627,2.627,338
2026-08-24-6tgu-s0-n100-seed1-0050,0.647059,0.647059,0.647059,0.647059,1,1,0.0,2.9746,2.9746,550
2026-08-24-6tgu-s0-n100-seed1-0051,0.705882,0.588235,0.666667,0.47619,1,1,0.9169,2.873,2.8368,427
2026-08-24-6tgu-s0-n100-seed1-0052,0.588235,0.647059,0.555556,0.578947,1,1,0.3891,3.0044,2.8637,493
2026-08-24-6tgu-s0-n100-seed1-0053,0.705882,0.705882,0.666667,0.631579,1,1,0.5855,2.9719,2.4199,479
2026-08-24-6tgu-s0-n100-seed1-0054,0.588235,0.588235,0.4,0.4,1,1,0.0,2.5615,2.5615,350
2026-08-24-6tgu-s0-n100-seed1-0055,0.705882,0.588235,0.545455,0.434783,1,0,0.8351,2.8081,2.267,387
2026-08-24-6tgu-s0-n100-seed1-0056,0.823529,0.647059,0.823529,0.55,1,0,0.6495,2.742,2.608,399
2026-08-24-6tgu-s0-n100-seed1-0057,0.411765,0.411765,0.411765,0.35,0,0,1.3429,3.2804,2.8061,416
2026-08-24-6tgu-s0-n100-seed1-0058,0.705882,0.705882,0.571429,0.571429,1,1,0.0,2.3966,2.3966,324
2026-08-24-6tgu-s0-n100-seed1-0060,0.764706,0.764706,0.619048,0.619048,1,1,0.0,2.4951,2.4951,380
2026-08-24-6tgu-s0-n100-seed1-0061,0.764706,0.764706,0.684211,0.684211,1,1,0.0,2.7555,2.7555,389
2026-08-24-6tgu-s0-n100-seed1-0062,0.705882,0.647059,0.666667,0.578947,1,1,0.549,2.8853,2.5667,453
2026-08-24-6tgu-s0-n100-seed1-0063,0.705882,0.705882,0.571429,0.571429,1,1,0.0,2.883,2.883,484
2026-08-24-6tgu-s0-n100-seed1-0064,0.882353,0.882353,0.714286,0.652174,1,1,0.3958,2.6429,2.5617,373
2026-08-24-6tgu-s0-n100-seed1-0065,0.705882,0.705882,0.545455,0.48,1,1,0.5913,2.6809,2.1658,323
2026-08-24-6tgu-s0-n100-seed1-0066,0.764706,0.529412,0.65,0.409091,1,1,1.4687,2.852,2.127,387
2026-08-24-6tgu-s0-n100-seed1-0067,0.705882,0.705882,0.5,0.5,1,1,0.0,2.74,2.74,355
2026-08-24-6tgu-s0-n100-seed1-0068,0.764706,0.764706,0.565217,0.590909,1,1,0.4067,2.2212,2.053,282
2026-08-24-6tgu-s0-n100-seed1-0069,0.647059,0.647059,0.647059,0.647059,1,1,0.0,3.0755,3.0755,555
2026-08-24-6tgu-s0-n100-seed1-0070,0.647059,0.647059,0.647059,0.578947,1,1,1.018,2.9057,2.9313,483
2026-08-24-6tgu-s0-n100-seed1-0071,0.764706,0.764706,0.619048,0.619048,1,1,0.0,1.3362,1.3362,457
2026-08-24-6tgu-s0-n100-seed1-0072,0.764706,0.764706,0.65,0.65,1,1,0.0,2.8101,2.8101,427
2026-08-24-6tgu-s0-n100-seed1-0073,0.705882,0.705882,0.666667,0.631579,1,1,0.5481,2.7918,2.4944,516
2026-08-24-6tgu-s0-n100-seed1-0074,0.764706,0.764706,0.565217,0.565217,1,1,0.0,2.8376,2.8376,374
2026-08-24-6tgu-s0-n100-seed1-0075,0.647059,0.647059,0.578947,0.578947,1,1,0.0,2.7717,2.7717,352
2026-08-24-6tgu-s0-n100-seed1-0076,0.705882,0.647059,0.631579,0.611111,1,1,0.8925,2.8235,2.366,392
2026-08-24-6tgu-s0-n100-seed1-0077,0.882353,0.882353,0.681818,0.652174,1,1,0.5031,2.5256,2.2447,334
2026-08-24-6tgu-s0-n100-seed1-0078,0.764706,0.764706,0.619048,0.619048,1,1,0.0,2.9479,2.9479,404
2026-08-24-6tgu-s0-n100-seed1-0080,0.764706,0.764706,0.65,0.619048,1,1,0.4446,2.7141,2.7091,346
2026-08-24-6tgu-s0-n100-seed1-0081,0.823529,0.823529,0.7,0.666667,1,1,0.5035,2.5664,2.6223,292
2026-08-24-6tgu-s0-n100-seed1-0082,0.823529,0.764706,0.5,0.464286,1,1,0.7822,0.1687,0.4681,429
2026-08-24-6tgu-s0-n100-seed1-0083,0.588235,0.588235,0.5,0.5,0,0,0.0,2.9614,2.9614,497
2026-08-24-6tgu-s0-n100-seed1-0084,0.705882,0.705882,0.571429,0.571429,1,1,0.0,2.5108,2.5108,348
2026-08-24-6tgu-s0-n100-seed1-0086,0.764706,0.705882,0.65,0.6,1,1,0.5972,2.9399,2.6828,426
2026-08-24-6tgu-s0-n100-seed1-0087,0.529412,0.588235,0.473684,0.47619,1,1,0.8775,2.935,2.7176,543
2026-08-24-6tgu-s0-n100-seed1-0088,0.941176,0.941176,0.727273,0.727273,1,1,0.0,2.4571,2.4571,374
2026-08-24-6tgu-s0-n100-seed1-0089,0.764706,0.588235,0.722222,0.555556,1,0,0.9517,3.0024,2.1455,509
2026-08-24-6tgu-s0-n100-seed1-0090,0.529412,0.529412,0.428571,0.428571,1,1,0.0,2.8462,2.8462,396
2026-08-24-6tgu-s0-n100-seed1-0091,0.823529,0.764706,0.636364,0.619048,1,1,1.1097,2.4761,2.2786,327
2026-08-24-6tgu-s0-n100-seed1-0092,0.764706,0.823529,0.65,0.636364,1,1,0.6366,2.2099,2.3175,384
2026-08-24-6tgu-s0-n100-seed1-0093,0.529412,0.588235,0.5,0.555556,0,0,0.6156,2.9641,2.9133,456
2026-08-24-6tgu-s0-n100-seed1-0094,0.647059,0.647059,0.52381,0.52381,1,1,0.0,2.8906,2.8906,385
2026-08-24-6tgu-s0-n100-seed1-0095,0.705882,0.705882,0.631579,0.6,1,1,0.3929,3.1232,3.101,536
2026-08-24-6tgu-s0-n100-seed1-0096,0.823529,0.823529,0.736842,0.7,1,1,0.4904,2.6868,2.7121,394
2026-08-24-6tgu-s0-n100-seed1-0097,0.941176,0.823529,0.842105,0.666667,1,1,0.8714,2.9596,2.579,440
2026-08-24-6tgu-s0-n100-seed1-0098,0.764706,0.705882,0.722222,0.6,1,1,0.9377,2.7887,2.6005,434
2026-08-24-6tgu-s0-n100-seed1-0099,0.823529,0.823529,0.666667,0.666667,1,1,0.0,2.7253,2.7253,371
2026-08-24-6tgu-s0-n100-seed1-0100,0.764706,0.764706,0.590909,0.590909,1,1,0.0,2.9781,2.9781,440
