mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,objective_before,objective_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-24-6tgu-s0-n100-seed1-0001,0.529412,0.647059,0.5,0.611111,0,0,0.785782,0.812925,0.7872,3.0671,2.8219,473
2026-08-24-6tgu-s0-n100-seed1-0003,0.705882,0.764706,0.631579,0.722222,1,1,0.835501,0.862028,0.734,3.0082,2.6386,437
2026-08-24-6tgu-s0-n100-seed1-0004,0.764706,0.823529,0.764706,0.823529,1,1,0.860552,0.925832,0.6195,3.0042,2.9603,397
2026-08-24-6tgu-s0-n100-seed1-0005,0.823529,0.882353,0.538462,0.714286,1,1,0.924054,0.989334,0.5743,2.7169,2.4361,292
2026-08-24-6tgu-s0-n100-seed1-0006,0.588235,0.647059,0.5,0.647059,1,0,0.798471,0.874335,0.9652,2.7354,2.5421,372
2026-08-24-6tgu-s0-n100-seed1-0007,0.647059,0.764706,0.55,0.684211,1,1,0.882745,0.921962,0.77,2.4113,2.2743,325
2026-08-24-6tgu-s0-n100-seed1-0008,0.705882,0.823529,0.48,0.608696,1,1,0.895434,0.987242,1.0893,2.4222,2.3884,269
2026-08-24-6tgu-s0-n100-seed1-0009,0.647059,0.705882,0.5,0.521739,1,1,0.833409,0.948025,1.3528,2.3829,2.034,220
2026-08-24-6tgu-s0-n100-seed1-0010,0.647059,0.705882,0.578947,0.705882,0,0,0.849899,0.876427,1.3872,2.7089,2.3936,362
2026-08-24-6tgu-s0-n100-seed1-0011,0.823529,0.823529,0.777778,0.823529,1,1,0.922577,0.975168,1.0089,2.7698,2.3159,332
2026-08-24-6tgu-s0-n100-seed1-0012,0.705882,0.823529,0.705882,0.777778,1,1,0.843459,0.932012,0.8924,2.8032,2.4816,423
2026-08-24-6tgu-s0-n100-seed1-0013,0.823529,0.882353,0.583333,0.625,1,1,0.95292,0.955012,0.7507,2.6467,2.0636,329
2026-08-24-6tgu-s0-n100-seed1-0014,0.882353,0.882353,0.714286,0.714286,1,1,0.997293,0.997293,0.0,2.8732,2.8732,416
2026-08-24-6tgu-s0-n100-seed1-0015,0.882353,0.941176,0.714286,0.8,1,1,0.932628,0.997908,0.4813,2.5306,2.312,310
2026-08-24-6tgu-s0-n100-seed1-0016,0.823529,0.823529,0.736842,0.777778,1,1,0.932012,0.970765,0.9946,2.8879,2.3279,424
2026-08-24-6tgu-s0-n100-seed1-0017,0.764706,0.823529,0.590909,0.666667,1,1,0.909888,0.975168,1.0578,2.3356,2.1316,290
2026-08-24-6tgu-s0-n100-seed1-0018,0.588235,0.647059,0.454545,0.5,1,1,0.820719,0.885999,1.0276,2.8088,2.1006,378
2026-08-24-6tgu-s0-n100-seed1-0019,0.764706,0.823529,0.684211,0.777778,1,1,0.921962,0.987242,0.4924,2.6029,2.7839,376
2026-08-24-6tgu-s0-n100-seed1-0020,0.647059,0.647059,0.611111,0.611111,1,1,0.833409,0.833409,0.0,3.0753,3.0753,435
2026-08-24-6tgu-s0-n100-seed1-0021,0.705882,0.823529,0.631579,0.777778,1,1,0.772176,0.935267,1.0604,3.0522,2.6473,355
2026-08-24-6tgu-s0-n100-seed1-0022,0.764706,0.823529,0.619048,0.666667,1,1,0.952305,0.987242,0.4474,2.7325,2.3285,340
2026-08-24-6tgu-s0-n100-seed1-0023,0.823529,0.882353,0.7,0.75,1,1,0.932012,0.997293,0.8985,2.7142,2.0588,366
2026-08-24-6tgu-s0-n100-seed1-0024,0.764706,0.764706,0.541667,0.52,1,1,0.921962,0.960714,1.3335,2.7274,2.0483,246
2026-08-24-6tgu-s0-n100-seed1-0025,0.588235,0.647059,0.5,0.55,1,1,0.847807,0.913087,1.2339,2.8405,2.1044,414
2026-08-24-6tgu-s0-n100-seed1-0026,0.647059,0.705882,0.611111,0.666667,1,1,0.860497,0.895434,0.8115,2.8834,2.3043,419
2026-08-24-6tgu-s0-n100-seed1-0027,0.470588,0.588235,0.470588,0.588235,0,1,0.682064,0.798471,0.594,3.4239,2.9935,509
2026-08-24-6tgu-s0-n100-seed1-0028,0.647059,0.705882,0.578947,0.666667,0,0,0.874335,0.939615,1.237,2.2808,2.468,348
2026-08-24-6tgu-s0-n100-seed1-0029,0.705882,0.764706,0.545455,0.619048,1,1,0.835501,0.897526,0.6677,2.7297,2.0794,320
2026-08-24-6tgu-s0-n100-seed1-0030,0.647059,0.823529,0.458333,0.56,1,1,0.860497,0.987242,1.0964,2.2792,2.2647,220
2026-08-24-6tgu-s0-n100-seed1-0031,0.764706,0.823529,0.619048,0.636364,1,1,0.88764,0.987242,1.1299,2.7058,2.1885,352
2026-08-24-6tgu-s0-n100-seed1-0032,0.588235,0.705882,0.526316,0.666667,0,0,0.812309,0.91518,1.184,2.7519,2.4593,423
2026-08-24-6tgu-s0-n100-seed1-0033,0.764706,0.823529,0.722222,0.823529,1,1,0.905485,0.907577,0.5244,3.1578,3.0984,397
2026-08-24-6tgu-s0-n100-seed1-0034,0.823529,0.823529,0.777778,0.777778,1,1,0.932012,0.987242,1.4369,2.8725,2.3626,340
2026-08-24-6tgu-s0-n100-seed1-0035,0.705882,0.764706,0.705882,0.764706,1,1,0.79843,0.919323,1.0222,3.2272,3.1247,390
2026-08-24-6tgu-s0-n100-seed1-0036,0.764706,0.823529,0.565217,0.636364,1,1,0.88764,0.922577,1.0372,2.6746,2.5216,318
2026-08-24-6tgu-s0-n100-seed1-0037,0.823529,0.941176,0.823529,0.941176,1,1,0.889732,0.98995,0.829,2.6012,2.1996,397
2026-08-24-6tgu-s0-n100-seed1-0039,0.823529,0.941176,0.7,0.888889,1,1,0.976645,0.98995,0.8772,2.6362,2.1108,352
2026-08-24-6tgu-s0-n100-seed1-0040,0.705882,0.764706,0.631579,0.764706,1,1,0.895434,0.974553,1.4639,2.6977,2.0499,351
2026-08-24-6tgu-s0-n100-seed1-0041,0.882353,0.941176,0.681818,0.727273,1,1,0.932628,0.997908,0.9954,2.8656,2.3019,341
2026-08-24-6tgu-s0-n100-seed1-0042,0.823529,0.823529,0.777778,0.777778,1,1,0.907577,0.932012,1.0231,3.0138,2.2195,461
2026-08-24-6tgu-s0-n100-seed1-0043,0.764706,0.882353,0.65,0.833333,1,1,0.897526,0.924669,0.8586,2.8215,2.5876,429
2026-08-24-6tgu-s0-n100-seed1-0044,0.941176,0.941176,0.727273,0.727273,1,1,0.98995,0.98995,0.0,2.6523,2.6523,355
2026-08-24-6tgu-s0-n100-seed1-0045,0.823529,0.823529,0.608696,0.666667,1,1,0.924054,0.987242,1.4118,2.4733,2.4466,324
2026-08-24-6tgu-s0-n100-seed1-0046,0.764706,0.882353,0.684211,0.789474,1,1,0.949666,0.986695,0.889,2.845,2.6117,385
2026-08-24-6tgu-s0-n100-seed1-0047,0.764706,0.764706,0.65,0.684211,1,1,0.862028,0.911365,1.0124,3.2557,3.0251,415
2026-08-24-6tgu-s0-n100-seed1-0048,0.705882,0.764706,0.666667,0.722222,1,1,0.862589,0.897526,0.7272,2.7819,2.5801,425
2026-08-24-6tgu-s0-n100-seed1-0049,0.823529,0.882353,0.666667,0.789474,1,1,0.987242,0.987857,1.0444,2.627,2.0327,349
2026-08-24-6tgu-s0-n100-seed1-0050,0.647059,0.705882,0.647059,0.705882,1,1,0.808522,0.870547,0.9884,2.9746,2.9029,362
2026-08-24-6tgu-s0-n100-seed1-0051,0.705882,0.823529,0.666667,0.823529,1,1,0.895434,0.924054,1.0208,2.873,2.9569,356
2026-08-24-6tgu-s0-n100-seed1-0052,0.588235,0.705882,0.555556,0.666667,1,1,0.78894,0.895434,0.5037,3.0044,2.8546,388
2026-08-24-6tgu-s0-n100-seed1-0053,0.705882,0.705882,0.666667,0.666667,1,1,0.895434,0.895434,0.0,2.9719,2.9719,389
2026-08-24-6tgu-s0-n100-seed1-0054,0.588235,0.764706,0.4,0.619048,1,1,0.820719,0.974553,0.9102,2.5615,2.468,337
2026-08-24-6tgu-s0-n100-seed1-0055,0.705882,0.764706,0.545455,0.65,1,0,0.876427,0.941707,0.7956,2.8081,2.7165,352
2026-08-24-6tgu-s0-n100-seed1-0056,0.823529,0.823529,0.823529,0.823529,1,1,0.987242,0.987242,0.0,2.742,2.742,394
2026-08-24-6tgu-s0-n100-seed1-0057,0.411765,0.470588,0.411765,0.444444,0,0,0.584253,0.687971,0.8154,3.2804,3.0048,466
2026-08-24-6tgu-s0-n100-seed1-0058,0.705882,0.823529,0.571429,0.666667,1,1,0.895434,0.922577,1.3888,2.3966,2.2516,306
2026-08-24-6tgu-s0-n100-seed1-0060,0.764706,0.764706,0.619048,0.684211,1,1,0.897526,0.921962,1.2584,2.4951,2.0801,315
2026-08-24-6tgu-s0-n100-seed1-0061,0.764706,0.823529,0.684211,0.736842,1,1,0.905485,0.932012,0.7793,2.7555,2.3089,387
2026-08-24-6tgu-s0-n100-seed1-0062,0.705882,0.764706,0.666667,0.764706,1,1,0.843459,0.905485,0.8936,2.8853,2.6163,387
2026-08-24-6tgu-s0-n100-seed1-0063,0.705882,0.823529,0.571429,0.666667,1,1,0.909272,0.922577,0.7209,2.883,2.5763,391
2026-08-24-6tgu-s0-n100-seed1-0064,0.882353,0.941176,0.714286,0.8,1,1,0.937359,0.999385,0.6113,2.6429,2.1289,338
2026-08-24-6tgu-s0-n100-seed1-0065,0.705882,0.882353,0.545455,0.714286,1,1,0.939615,0.989334,0.8712,2.6809,2.2177,340
2026-08-24-6tgu-s0-n100-seed1-0066,0.764706,0.823529,0.65,0.777778,1,1,0.925216,0.975168,0.984,2.852,2.7125,398
2026-08-24-6tgu-s0-n100-seed1-0067,0.705882,0.705882,0.5,0.571429,1,1,0.884837,0.909272,1.4169,2.74,2.4088,332
2026-08-24-6tgu-s0-n100-seed1-0068,0.764706,0.823529,0.565217,0.7,1,1,0.905485,0.932012,0.7775,2.2212,2.1475,242
2026-08-24-6tgu-s0-n100-seed1-0069,0.647059,0.647059,0.647059,0.647059,1,1,0.800563,0.800563,0.0,3.0755,3.0755,427
2026-08-24-6tgu-s0-n100-seed1-0070,0.647059,0.705882,0.647059,0.666667,1,1,0.800563,0.859936,1.1994,2.9057,3.0318,429
2026-08-24-6tgu-s0-n100-seed1-0071,0.764706,0.823529,0.619048,0.736842,1,1,0.921962,0.987242,1.1375,1.3362,2.2047,450
2026-08-24-6tgu-s0-n100-seed1-0072,0.764706,0.823529,0.65,0.636364,1,1,0.925216,0.987242,0.4739,2.8101,2.5449,395
2026-08-24-6tgu-s0-n100-seed1-0073,0.705882,0.823529,0.666667,0.823529,1,1,0.833928,0.932012,1.3953,2.7918,2.3485,404
2026-08-24-6tgu-s0-n100-seed1-0074,0.764706,0.823529,0.565217,0.736842,1,0,0.877043,0.942323,0.8403,2.8376,2.3082,369
2026-08-24-6tgu-s0-n100-seed1-0075,0.647059,0.705882,0.578947,0.705882,1,1,0.833409,0.895434,0.5113,2.7717,2.5854,329
2026-08-24-6tgu-s0-n100-seed1-0076,0.705882,0.764706,0.631579,0.684211,1,1,0.843459,0.905485,0.2875,2.8235,2.7484,345
2026-08-24-6tgu-s0-n100-seed1-0077,0.882353,0.941176,0.681818,0.842105,1,1,0.987857,0.98995,0.3853,2.5256,2.19,340
2026-08-24-6tgu-s0-n100-seed1-0078,0.764706,0.823529,0.619048,0.777778,1,1,0.921962,0.987242,1.2434,2.9479,2.3846,390
2026-08-24-6tgu-s0-n100-seed1-0080,0.764706,0.882353,0.65,0.833333,1,1,0.905485,0.932628,0.7541,2.7141,2.2152,304
2026-08-24-6tgu-s0-n100-seed1-0081,0.823529,0.941176,0.7,0.888889,1,1,0.976645,0.98995,1.3943,2.5664,2.6265,326
2026-08-24-6tgu-s0-n100-seed1-0082,0.823529,0.823529,0.5,0.5,1,1,0.987242,0.987242,0.0,0.1687,0.1687,443
2026-08-24-6tgu-s0-n100-seed1-0083,0.588235,0.647059,0.5,0.52381,0,0,0.812309,0.874335,0.8088,2.9614,2.5065,464
2026-08-24-6tgu-s0-n100-seed1-0084,0.705882,0.764706,0.571429,0.684211,1,1,0.895434,0.921962,0.7077,2.5108,2.2178,288
2026-08-24-6tgu-s0-n100-seed1-0086,0.764706,0.764706,0.65,0.65,1,1,0.897526,0.897526,0.0,2.9399,2.9399,431
2026-08-24-6tgu-s0-n100-seed1-0087,0.529412,0.705882,0.473684,0.705882,1,1,0.70066,0.835501,1.1624,2.935,2.3231,453
2026-08-24-6tgu-s0-n100-seed1-0088,0.941176,1.0,0.727273,0.85,1,1,0.937974,1.0,0.4532,2.4571,2.7077,313
2026-08-24-6tgu-s0-n100-seed1-0089,0.764706,0.764706,0.722222,0.722222,1,1,0.897526,0.950117,1.4119,3.0024,2.3838,386
2026-08-24-6tgu-s0-n100-seed1-0090,0.529412,0.705882,0.428571,0.631579,1,1,0.785782,0.884837,1.0748,2.8462,2.5113,351
