mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-24-6tgu-s0-n100-seed1-0001,0.529412,0.647059,0.5,0.611111,0,1,0.8278,3.0671,2.623,437
2026-08-24-6tgu-s0-n100-seed1-0003,0.705882,0.705882,0.631579,0.631579,1,1,0.0,3.0082,3.0082,464
2026-08-24-6tgu-s0-n100-seed1-0004,0.764706,0.823529,0.764706,0.823529,1,1,0.6642,3.0042,2.7645,409
2026-08-24-6tgu-s0-n100-seed1-0005,0.823529,0.882353,0.538462,0.681818,1,1,0.5747,2.7169,2.5455,349
2026-08-24-6tgu-s0-n100-seed1-0006,0.588235,0.647059,0.5,0.578947,1,1,0.5204,2.7354,2.8876,381
2026-08-24-6tgu-s0-n100-seed1-0007,0.647059,0.764706,0.55,0.684211,1,1,0.4916,2.4113,2.5595,324
2026-08-24-6tgu-s0-n100-seed1-0008,0.705882,0.823529,0.48,0.636364,1,1,1.1587,2.4222,2.6671,230
2026-08-24-6tgu-s0-n100-seed1-0009,0.647059,0.823529,0.5,0.636364,1,1,0.849,2.3829,2.0144,255
2026-08-24-6tgu-s0-n100-seed1-0010,0.647059,0.705882,0.578947,0.666667,0,0,1.4603,2.7089,2.4871,403
2026-08-24-6tgu-s0-n100-seed1-0011,0.823529,0.823529,0.777778,0.777778,1,1,0.0,2.7698,2.7698,342
2026-08-24-6tgu-s0-n100-seed1-0012,0.705882,0.823529,0.705882,0.823529,1,1,0.9032,2.8032,2.7672,398
2026-08-24-6tgu-s0-n100-seed1-0013,0.823529,0.882353,0.583333,0.681818,1,1,0.5887,2.6467,2.4826,289
2026-08-24-6tgu-s0-n100-seed1-0014,0.882353,0.882353,0.714286,0.714286,1,1,0.0,2.8732,2.8732,384
2026-08-24-6tgu-s0-n100-seed1-0015,0.882353,0.941176,0.714286,0.8,1,1,0.6099,2.5306,2.3188,274
2026-08-24-6tgu-s0-n100-seed1-0016,0.823529,0.882353,0.736842,0.789474,1,1,0.4595,2.8879,2.4506,344
2026-08-24-6tgu-s0-n100-seed1-0017,0.764706,0.823529,0.590909,0.736842,1,1,1.2156,2.3356,2.2652,267
2026-08-24-6tgu-s0-n100-seed1-0018,0.588235,0.705882,0.454545,0.521739,1,1,0.847,2.8088,2.252,398
2026-08-24-6tgu-s0-n100-seed1-0019,0.764706,0.823529,0.684211,0.777778,1,1,0.6711,2.6029,2.5833,327
2026-08-24-6tgu-s0-n100-seed1-0020,0.647059,0.647059,0.611111,0.611111,1,1,0.0,3.0753,3.0753,464
2026-08-24-6tgu-s0-n100-seed1-0021,0.705882,0.823529,0.631579,0.823529,1,1,1.1121,3.0522,2.983,384
2026-08-24-6tgu-s0-n100-seed1-0022,0.764706,0.823529,0.619048,0.636364,1,1,0.3767,2.7325,2.6306,324
2026-08-24-6tgu-s0-n100-seed1-0023,0.823529,0.882353,0.7,0.789474,1,1,0.813,2.7142,2.3578,381
2026-08-24-6tgu-s0-n100-seed1-0024,0.764706,0.823529,0.541667,0.583333,1,1,0.8877,2.7274,2.1777,269
2026-08-24-6tgu-s0-n100-seed1-0025,0.588235,0.705882,0.5,0.6,1,1,0.6676,2.8405,2.115,454
2026-08-24-6tgu-s0-n100-seed1-0026,0.647059,0.705882,0.611111,0.705882,1,1,0.743,2.8834,2.8525,430
2026-08-24-6tgu-s0-n100-seed1-0027,0.470588,0.529412,0.470588,0.529412,0,0,0.7528,3.4239,3.2018,431
2026-08-24-6tgu-s0-n100-seed1-0028,0.647059,0.705882,0.578947,0.6,0,1,0.7083,2.2808,2.2136,339
2026-08-24-6tgu-s0-n100-seed1-0029,0.705882,0.764706,0.545455,0.684211,1,1,0.6187,2.7297,2.6068,247
2026-08-24-6tgu-s0-n100-seed1-0030,0.647059,0.823529,0.458333,0.583333,1,1,0.9399,2.2792,2.3022,224
2026-08-24-6tgu-s0-n100-seed1-0031,0.764706,0.882353,0.619048,0.75,1,1,1.1862,2.7058,2.0749,340
2026-08-24-6tgu-s0-n100-seed1-0032,0.588235,0.705882,0.526316,0.666667,0,0,0.7315,2.7519,2.9102,417
2026-08-24-6tgu-s0-n100-seed1-0033,0.764706,0.823529,0.722222,0.823529,1,1,0.7684,3.1578,2.1432,457
2026-08-24-6tgu-s0-n100-seed1-0034,0.823529,0.882353,0.777778,0.789474,1,1,1.3377,2.8725,2.3073,318
2026-08-24-6tgu-s0-n100-seed1-0035,0.705882,0.823529,0.705882,0.823529,1,1,0.6943,3.2272,2.8988,415
2026-08-24-6tgu-s0-n100-seed1-0036,0.764706,0.823529,0.565217,0.666667,1,1,1.0344,2.6746,2.4673,287
2026-08-24-6tgu-s0-n100-seed1-0037,0.823529,0.941176,0.823529,0.888889,1,1,0.6782,2.6012,2.1943,323
2026-08-24-6tgu-s0-n100-seed1-0039,0.823529,0.941176,0.7,0.842105,1,1,1.1855,2.6362,2.2356,322
2026-08-24-6tgu-s0-n100-seed1-0040,0.705882,0.823529,0.631579,0.736842,1,1,0.7338,2.6977,2.3202,308
2026-08-24-6tgu-s0-n100-seed1-0041,0.882353,1.0,0.681818,0.708333,1,1,0.9951,2.8656,2.3838,313
2026-08-24-6tgu-s0-n100-seed1-0042,0.823529,0.941176,0.777778,0.888889,1,1,0.9969,3.0138,2.1316,397
2026-08-24-6tgu-s0-n100-seed1-0043,0.764706,0.823529,0.65,0.777778,1,1,0.8136,2.8215,2.708,410
2026-08-24-6tgu-s0-n100-seed1-0044,0.941176,0.941176,0.727273,0.727273,1,1,0.0,2.6523,2.6523,338
2026-08-24-6tgu-s0-n100-seed1-0045,0.823529,0.882353,0.608696,0.714286,1,1,1.1523,2.4733,2.1797,300
2026-08-24-6tgu-s0-n100-seed1-0046,0.764706,0.882353,0.684211,0.789474,1,1,1.2476,2.845,2.147,394
2026-08-24-6tgu-s0-n100-seed1-0047,0.764706,0.764706,0.65,0.65,1,1,0.0,3.2557,3.2557,490
2026-08-24-6tgu-s0-n100-seed1-0048,0.705882,0.823529,0.666667,0.777778,1,1,0.7242,2.7819,2.6508,382
2026-08-24-6tgu-s0-n100-seed1-0049,0.823529,0.882353,0.666667,0.833333,1,1,1.0537,2.627,2.2322,280
2026-08-24-6tgu-s0-n100-seed1-0050,0.647059,0.764706,0.647059,0.764706,1,1,0.7078,2.9746,2.79,413
2026-08-24-6tgu-s0-n100-seed1-0051,0.705882,0.823529,0.666667,0.823529,1,1,1.2647,2.873,2.8027,341
2026-08-24-6tgu-s0-n100-seed1-0052,0.588235,0.705882,0.555556,0.666667,1,1,1.1159,3.0044,2.4374,397
2026-08-24-6tgu-s0-n100-seed1-0053,0.705882,0.705882,0.666667,0.666667,1,1,0.0,2.9719,2.9719,398
2026-08-24-6tgu-s0-n100-seed1-0054,0.588235,0.764706,0.4,0.565217,1,1,1.0035,2.5615,2.0795,346
2026-08-24-6tgu-s0-n100-seed1-0055,0.705882,0.764706,0.545455,0.619048,1,1,0.8852,2.8081,2.3328,358
2026-08-24-6tgu-s0-n100-seed1-0056,0.823529,0.823529,0.823529,0.823529,1,1,0.0,2.742,2.742,395
2026-08-24-6tgu-s0-n100-seed1-0057,0.411765,0.470588,0.411765,0.470588,0,0,0.721,3.2804,3.3042,491
2026-08-24-6tgu-s0-n100-seed1-0058,0.705882,0.823529,0.571429,0.636364,1,1,0.9829,2.3966,2.1089,234
2026-08-24-6tgu-s0-n100-seed1-0060,0.764706,0.764706,0.619048,0.619048,1,1,0.0,2.4951,2.4951,331
2026-08-24-6tgu-s0-n100-seed1-0061,0.764706,0.823529,0.684211,0.736842,1,1,0.8566,2.7555,2.1303,400
2026-08-24-6tgu-s0-n100-seed1-0062,0.705882,0.823529,0.666667,0.823529,1,1,1.0373,2.8853,2.4895,420
2026-08-24-6tgu-s0-n100-seed1-0063,0.705882,0.882353,0.571429,0.789474,1,1,1.1953,2.883,2.1739,379
2026-08-24-6tgu-s0-n100-seed1-0064,0.882353,0.941176,0.714286,0.727273,1,1,0.6362,2.6429,2.4039,372
2026-08-24-6tgu-s0-n100-seed1-0065,0.705882,0.882353,0.545455,0.789474,1,1,1.2668,2.6809,2.2545,302
2026-08-24-6tgu-s0-n100-seed1-0066,0.764706,0.823529,0.65,0.777778,1,1,0.6003,2.852,2.6115,330
2026-08-24-6tgu-s0-n100-seed1-0067,0.705882,0.764706,0.5,0.619048,1,1,0.5322,2.74,2.4615,325
2026-08-24-6tgu-s0-n100-seed1-0068,0.764706,0.882353,0.565217,0.714286,1,1,0.9629,2.2212,2.0422,226
2026-08-24-6tgu-s0-n100-seed1-0069,0.647059,0.647059,0.647059,0.647059,1,1,0.0,3.0755,3.0755,504
2026-08-24-6tgu-s0-n100-seed1-0070,0.647059,0.705882,0.647059,0.705882,1,1,0.6489,2.9057,2.8524,421
2026-08-24-6tgu-s0-n100-seed1-0071,0.764706,0.823529,0.619048,0.7,1,1,0.7535,1.3362,1.495,382
2026-08-24-6tgu-s0-n100-seed1-0072,0.764706,0.823529,0.65,0.736842,1,1,0.4673,2.8101,2.5592,373
2026-08-24-6tgu-s0-n100-seed1-0073,0.705882,0.823529,0.666667,0.823529,1,1,1.357,2.7918,2.8066,415
