mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-08-24-6tgu-s0-n20-pocketids2-0001,0.647059,0.705882,0.392857,0.461538,1,0,0.8397,1.4232,1.4351,144
2026-08-24-6tgu-s0-n20-pocketids2-0002,0.411765,0.588235,0.259259,0.384615,1,1,0.6453,1.2408,1.2915,292
2026-08-24-6tgu-s0-n20-pocketids2-0003,0.529412,0.647059,0.333333,0.44,0,1,1.1806,1.4656,1.7073,282
2026-08-24-6tgu-s0-n20-pocketids2-0004,0.529412,0.705882,0.257143,0.387097,1,1,1.1158,0.7004,0.7381,229
2026-08-24-6tgu-s0-n20-pocketids2-0005,0.529412,0.647059,0.428571,0.5,1,1,1.2332,1.279,1.4581,306
2026-08-24-6tgu-s0-n20-pocketids2-0006,0.529412,0.647059,0.36,0.423077,0,1,0.598,0.7823,0.9735,232
2026-08-24-6tgu-s0-n20-pocketids2-0007,0.588235,0.647059,0.416667,0.458333,1,1,1.0171,1.3818,2.0017,301
2026-08-24-6tgu-s0-n20-pocketids2-0008,0.705882,0.705882,0.521739,0.521739,0,0,0.0,1.2561,1.2561,365
2026-08-24-6tgu-s0-n20-pocketids2-0009,0.529412,0.529412,0.375,0.375,1,1,0.0,1.7582,1.7582,85
2026-08-24-6tgu-s0-n20-pocketids2-0010,0.470588,0.529412,0.380952,0.428571,1,1,1.0967,1.5396,2.2195,435
2026-08-24-6tgu-s0-n20-pocketids2-0011,0.588235,0.705882,0.4,0.48,0,0,1.0675,0.9547,1.051,215
2026-08-24-6tgu-s0-n20-pocketids2-0012,0.411765,0.588235,0.291667,0.384615,0,0,1.3327,1.3592,1.3684,222
2026-08-24-6tgu-s0-n20-pocketids2-0013,0.470588,0.705882,0.333333,0.521739,0,0,1.3094,1.3331,1.8906,343
2026-08-24-6tgu-s0-n20-pocketids2-0014,0.470588,0.529412,0.333333,0.36,1,1,0.4739,1.8469,1.954,219
2026-08-24-6tgu-s0-n20-pocketids2-0015,0.588235,0.764706,0.4,0.565217,1,1,0.9021,1.5502,1.6682,247
2026-08-24-6tgu-s0-n20-pocketids2-0016,0.529412,0.588235,0.333333,0.384615,1,1,0.8568,1.2164,1.7056,307
2026-08-24-6tgu-s0-n20-pocketids2-0017,0.529412,0.705882,0.375,0.48,1,1,1.3447,1.2482,1.6705,285
2026-08-24-6tgu-s0-n20-pocketids2-0018,0.411765,0.470588,0.291667,0.380952,1,1,1.3099,1.7042,1.7061,214
2026-08-24-6tgu-s0-n20-pocketids2-0019,0.411765,0.529412,0.291667,0.409091,0,0,1.1475,0.769,1.0312,409
2026-08-24-6tgu-s0-n20-pocketids2-0020,0.411765,0.588235,0.28,0.434783,1,1,0.8992,1.7778,1.848,67
