mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-09-17-6fnk-s0-n100-0001,1.0,0.714286,1.0,0.666667,1,1,0.8571,2.882,2.4988,516
2026-09-17-6fnk-s0-n100-0002,0.857143,0.785714,0.857143,0.6875,1,1,0.9066,2.7609,2.275,484
2026-09-17-6fnk-s0-n100-0003,1.0,0.571429,1.0,0.533333,1,1,0.9762,2.7484,2.8124,482
2026-09-17-6fnk-s0-n100-0004,0.785714,0.571429,0.785714,0.470588,1,1,0.9913,2.4206,2.7972,493
2026-09-17-6fnk-s0-n100-0005,0.857143,0.714286,0.857143,0.625,1,1,1.0408,2.6938,2.3041,481
2026-09-17-6fnk-s0-n100-0006,0.785714,0.642857,0.733333,0.6,1,1,0.8467,2.6529,2.2915,532
2026-09-17-6fnk-s0-n100-0007,0.642857,0.642857,0.6,0.6,0,1,0.6286,2.4374,2.6021,493
2026-09-17-6fnk-s0-n100-0008,0.571429,0.571429,0.533333,0.533333,0,0,0.0,2.0367,2.0367,446
2026-09-17-6fnk-s0-n100-0009,0.785714,0.714286,0.785714,0.666667,1,1,1.077,2.5043,2.1228,492
2026-09-17-6fnk-s0-n100-0010,0.785714,0.714286,0.6875,0.588235,1,1,0.3878,2.5333,2.6185,507
2026-09-17-6fnk-s0-n100-0011,0.785714,0.785714,0.733333,0.733333,1,1,0.0,2.5206,2.5206,508
2026-09-17-6fnk-s0-n100-0012,0.714286,0.642857,0.625,0.5,0,1,0.8216,2.5186,2.5948,425
2026-09-17-6fnk-s0-n100-0013,0.714286,0.714286,0.666667,0.588235,1,1,0.7008,2.7792,2.2735,464
2026-09-17-6fnk-s0-n100-0014,0.714286,0.571429,0.625,0.470588,0,1,0.768,2.2688,2.4918,494
2026-09-17-6fnk-s0-n100-0015,0.785714,0.785714,0.6875,0.6875,1,1,0.0,2.4336,2.4336,468
2026-09-17-6fnk-s0-n100-0016,0.571429,0.642857,0.533333,0.6,0,1,0.9157,1.8834,1.98,453
2026-09-17-6fnk-s0-n100-0017,0.5,0.5,0.466667,0.466667,1,1,0.9016,2.4813,2.5429,472
2026-09-17-6fnk-s0-n100-0018,0.571429,0.571429,0.533333,0.533333,1,0,0.4554,1.9688,2.2389,507
2026-09-17-6fnk-s0-n100-0019,0.642857,0.571429,0.6,0.533333,0,1,1.2973,2.0675,2.1996,384
2026-09-17-6fnk-s0-n100-0020,0.5,0.714286,0.466667,0.666667,1,1,0.6859,1.2595,2.1302,469
2026-09-17-6fnk-s0-n100-0021,0.642857,0.642857,0.642857,0.642857,0,0,0.0,3.1465,3.1465,490
2026-09-17-6fnk-s0-n100-0022,0.571429,0.571429,0.5,0.470588,0,1,0.6694,3.0922,2.3041,459
2026-09-17-6fnk-s0-n100-0023,0.571429,0.714286,0.533333,0.666667,1,1,0.565,1.4891,1.7254,488
2026-09-17-6fnk-s0-n100-0024,0.785714,0.571429,0.647059,0.444444,1,1,0.6291,2.5904,2.4287,394
2026-09-17-6fnk-s0-n100-0025,0.428571,0.5,0.4,0.5,0,0,0.9349,1.5165,1.9098,446
2026-09-17-6fnk-s0-n100-0026,0.571429,0.571429,0.533333,0.533333,0,0,0.0,2.5744,2.5744,459
2026-09-17-6fnk-s0-n100-0027,0.5,0.571429,0.466667,0.470588,0,1,1.3714,2.2222,2.0502,419
2026-09-17-6fnk-s0-n100-0028,0.357143,0.5,0.294118,0.411765,0,0,0.7947,1.2807,1.8264,455
2026-09-17-6fnk-s0-n100-0029,0.357143,0.5,0.333333,0.4375,0,1,0.7348,1.9299,2.0711,370
2026-09-17-6fnk-s0-n100-0030,0.428571,0.642857,0.4,0.529412,0,1,0.9837,2.4563,2.7718,447
