mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-09-17-6fnk-s0-n100-0001,1.0,1.0,1.0,1.0,1,1,0.0,2.882,2.882,422
2026-09-17-6fnk-s0-n100-0002,0.857143,1.0,0.857143,1.0,1,1,0.9062,2.7609,2.3568,379
2026-09-17-6fnk-s0-n100-0003,1.0,1.0,1.0,1.0,1,1,0.0,2.7484,2.7484,406
2026-09-17-6fnk-s0-n100-0004,0.785714,0.928571,0.785714,0.866667,1,1,0.6555,2.4206,2.2881,408
2026-09-17-6fnk-s0-n100-0005,0.857143,1.0,0.857143,1.0,1,1,0.6151,2.6938,2.6328,474
2026-09-17-6fnk-s0-n100-0006,0.785714,1.0,0.733333,1.0,1,1,0.7598,2.6529,2.612,440
2026-09-17-6fnk-s0-n100-0007,0.642857,1.0,0.6,1.0,0,1,0.9758,2.4374,2.5213,428
2026-09-17-6fnk-s0-n100-0008,0.571429,1.0,0.533333,1.0,0,1,0.8758,2.0367,2.3674,468
2026-09-17-6fnk-s0-n100-0009,0.785714,1.0,0.785714,1.0,1,1,1.0066,2.5043,2.5323,416
2026-09-17-6fnk-s0-n100-0010,0.785714,0.928571,0.6875,0.928571,1,1,0.602,2.5333,2.263,387
2026-09-17-6fnk-s0-n100-0011,0.785714,0.928571,0.733333,0.866667,1,1,1.229,2.5206,2.4956,434
2026-09-17-6fnk-s0-n100-0012,0.714286,1.0,0.625,1.0,0,1,1.5106,2.5186,2.1431,428
2026-09-17-6fnk-s0-n100-0013,0.714286,1.0,0.666667,0.933333,1,1,1.471,2.7792,2.2226,371
2026-09-17-6fnk-s0-n100-0014,0.714286,1.0,0.625,0.933333,0,1,1.5593,2.2688,2.145,382
2026-09-17-6fnk-s0-n100-0015,0.785714,1.0,0.6875,0.933333,1,1,1.0203,2.4336,2.3065,417
2026-09-17-6fnk-s0-n100-0016,0.571429,1.0,0.533333,1.0,0,1,1.724,1.8834,2.052,434
2026-09-17-6fnk-s0-n100-0017,0.5,1.0,0.466667,1.0,1,1,1.2224,2.4813,2.287,459
2026-09-17-6fnk-s0-n100-0018,0.571429,1.0,0.533333,0.933333,1,1,1.8027,1.9688,2.2807,440
2026-09-17-6fnk-s0-n100-0019,0.642857,1.0,0.6,0.933333,0,1,1.1775,2.0675,2.2813,374
2026-09-17-6fnk-s0-n100-0020,0.5,1.0,0.466667,0.875,1,1,2.1304,1.2595,1.8762,541
2026-09-17-6fnk-s0-n100-0021,0.642857,1.0,0.642857,1.0,0,1,1.3775,3.1465,2.3589,497
2026-09-17-6fnk-s0-n100-0022,0.571429,1.0,0.5,1.0,0,1,1.5382,3.0922,2.4108,405
2026-09-17-6fnk-s0-n100-0023,0.571429,0.928571,0.533333,0.928571,1,1,1.6295,1.4891,1.9426,513
2026-09-17-6fnk-s0-n100-0024,0.785714,1.0,0.647059,1.0,1,1,1.7603,2.5904,2.2601,477
2026-09-17-6fnk-s0-n100-0025,0.428571,0.857143,0.4,0.8,0,1,1.8633,1.5165,1.9125,552
2026-09-17-6fnk-s0-n100-0026,0.571429,1.0,0.533333,1.0,0,1,1.7213,2.5744,2.1832,450
