mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-09-17-6fnk-s0-n100-0001,1.0,1.0,1.0,1.0,1,1,0.0,2.882,2.882,362
2026-09-17-6fnk-s0-n100-0002,0.857143,1.0,0.857143,1.0,1,1,0.8306,2.7609,2.4451,389
2026-09-17-6fnk-s0-n100-0003,1.0,1.0,1.0,1.0,1,1,0.0,2.7484,2.7484,392
2026-09-17-6fnk-s0-n100-0004,0.785714,1.0,0.785714,1.0,1,1,1.0028,2.4206,2.2829,397
2026-09-17-6fnk-s0-n100-0005,0.857143,1.0,0.857143,1.0,1,1,0.7253,2.6938,2.4422,408
2026-09-17-6fnk-s0-n100-0006,0.785714,1.0,0.733333,1.0,1,1,0.7542,2.6529,2.6027,363
2026-09-17-6fnk-s0-n100-0007,0.642857,1.0,0.6,1.0,0,1,0.841,2.4374,2.6968,363
2026-09-17-6fnk-s0-n100-0008,0.571429,1.0,0.533333,1.0,0,1,0.6062,2.0367,2.0855,352
2026-09-17-6fnk-s0-n100-0009,0.785714,1.0,0.785714,1.0,1,1,0.833,2.5043,2.4308,355
2026-09-17-6fnk-s0-n100-0010,0.785714,1.0,0.6875,1.0,1,1,1.0329,2.5333,2.384,364
2026-09-17-6fnk-s0-n100-0011,0.785714,1.0,0.733333,1.0,1,1,0.4229,2.5206,2.6223,364
2026-09-17-6fnk-s0-n100-0012,0.714286,1.0,0.625,1.0,0,1,0.9046,2.5186,2.275,389
2026-09-17-6fnk-s0-n100-0013,0.714286,1.0,0.666667,0.933333,1,1,0.8442,2.7792,2.4235,403
2026-09-17-6fnk-s0-n100-0014,0.714286,0.928571,0.625,0.866667,0,1,1.1461,2.2688,2.8386,381
2026-09-17-6fnk-s0-n100-0015,0.785714,1.0,0.6875,1.0,1,1,0.9408,2.4336,2.4568,362
2026-09-17-6fnk-s0-n100-0016,0.571429,1.0,0.533333,1.0,0,1,1.0901,1.8834,2.4974,388
2026-09-17-6fnk-s0-n100-0017,0.5,1.0,0.466667,1.0,1,1,1.0205,2.4813,2.7,346
2026-09-17-6fnk-s0-n100-0018,0.571429,1.0,0.533333,1.0,1,1,0.9026,1.9688,2.4176,270
2026-09-17-6fnk-s0-n100-0019,0.642857,1.0,0.6,1.0,0,1,1.0467,2.0675,2.4613,311
2026-09-17-6fnk-s0-n100-0020,0.5,1.0,0.466667,1.0,1,1,0.9666,1.2595,2.2882,362
2026-09-17-6fnk-s0-n100-0021,0.642857,1.0,0.642857,1.0,0,1,1.3392,3.1465,2.6007,367
2026-09-17-6fnk-s0-n100-0022,0.571429,1.0,0.5,1.0,0,1,1.3473,3.0922,2.3548,423
2026-09-17-6fnk-s0-n100-0023,0.571429,1.0,0.533333,1.0,1,1,1.342,1.4891,2.1974,349
2026-09-17-6fnk-s0-n100-0024,0.785714,0.928571,0.647059,0.866667,1,1,1.2552,2.5904,2.6979,352
2026-09-17-6fnk-s0-n100-0025,0.428571,1.0,0.4,1.0,0,1,1.4135,1.5165,2.0459,297
2026-09-17-6fnk-s0-n100-0026,0.571429,1.0,0.533333,1.0,0,1,1.0447,2.5744,2.3675,345
2026-09-17-6fnk-s0-n100-0027,0.5,0.928571,0.466667,0.928571,0,1,1.1257,2.2222,2.7768,312
2026-09-17-6fnk-s0-n100-0028,0.357143,0.928571,0.294118,0.928571,0,1,1.3501,1.2807,2.5551,358
2026-09-17-6fnk-s0-n100-0029,0.357143,1.0,0.333333,1.0,0,1,1.3014,1.9299,2.1099,266
2026-09-17-6fnk-s0-n100-0030,0.428571,0.857143,0.4,0.857143,0,1,1.3664,2.4563,2.7147,382
2026-09-17-6fnk-s0-n100-0031,0.5,1.0,0.466667,1.0,0,1,1.3719,1.8628,2.3927,261
2026-09-17-6fnk-s0-n100-0032,0.571429,0.928571,0.470588,0.928571,1,1,1.4047,1.5714,2.4119,333
2026-09-17-6fnk-s0-n100-0033,0.357143,0.714286,0.3125,0.625,0,1,1.1317,1.5546,1.9145,305
2026-09-17-6fnk-s0-n100-0034,0.571429,0.857143,0.5,0.75,0,1,1.2335,0.6738,1.2733,419
2026-09-17-6fnk-s0-n100-0035,0.5,0.857143,0.411765,0.75,0,1,1.0515,0.5371,1.7112,419
2026-09-17-6fnk-s0-n100-0036,0.571429,0.857143,0.571429,0.857143,1,1,0.9971,1.6939,2.4088,313
2026-09-17-6fnk-s0-n100-0037,0.571429,0.785714,0.533333,0.785714,0,1,1.3227,2.1784,2.3611,364
2026-09-17-6fnk-s0-n100-0038,0.571429,0.857143,0.571429,0.8,1,1,1.3679,2.3595,2.4817,375
2026-09-17-6fnk-s0-n100-0039,0.357143,0.642857,0.357143,0.6,1,1,1.3447,2.1498,3.0169,423
2026-09-17-6fnk-s0-n100-0040,0.642857,0.714286,0.5,0.555556,1,1,0.671,1.4318,1.7683,346
2026-09-17-6fnk-s0-n100-0041,0.428571,0.857143,0.428571,0.857143,0,1,1.4619,1.9504,2.0135,317
2026-09-17-6fnk-s0-n100-0042,0.5,0.642857,0.4375,0.5625,1,1,1.2717,0.8969,1.6423,431
2026-09-17-6fnk-s0-n100-0043,0.428571,0.714286,0.428571,0.666667,0,1,1.2831,1.2849,1.8627,378
2026-09-17-6fnk-s0-n100-0044,0.428571,0.785714,0.375,0.785714,1,1,1.3491,1.2897,1.307,276
2026-09-17-6fnk-s0-n100-0045,0.357143,0.785714,0.357143,0.733333,0,1,1.3571,1.1707,1.2897,309
2026-09-17-6fnk-s0-n100-0046,0.5,0.714286,0.4375,0.666667,0,1,1.3337,1.2214,2.0109,340
2026-09-17-6fnk-s0-n100-0047,0.5,0.571429,0.466667,0.533333,0,0,0.5074,1.642,1.9141,370
2026-09-17-6fnk-s0-n100-0048,0.428571,0.714286,0.352941,0.666667,0,1,1.1018,1.5623,2.1248,359
2026-09-17-6fnk-s0-n100-0049,0.428571,0.642857,0.4,0.5625,0,1,0.952,2.0054,2.4198,313
2026-09-17-6fnk-s0-n100-0050,0.428571,0.571429,0.375,0.571429,0,0,1.488,1.5076,1.8161,352
2026-09-17-6fnk-s0-n100-0051,0.571429,0.785714,0.5,0.6875,0,1,1.0352,0.8406,0.9091,422
2026-09-17-6fnk-s0-n100-0052,0.428571,0.714286,0.352941,0.625,0,0,1.4025,0.8272,0.9062,270
2026-09-17-6fnk-s0-n100-0053,0.357143,0.642857,0.294118,0.5625,0,1,1.0872,1.6175,2.0724,397
2026-09-17-6fnk-s0-n100-0054,0.5,0.714286,0.4375,0.625,1,1,1.3898,1.0003,1.2246,354
2026-09-17-6fnk-s0-n100-0055,0.428571,0.714286,0.375,0.625,0,1,1.4397,1.2117,1.799,313
2026-09-17-6fnk-s0-n100-0056,0.571429,0.785714,0.470588,0.6875,0,1,1.0738,1.4808,1.7927,378
2026-09-17-6fnk-s0-n100-0057,0.5,0.714286,0.411765,0.588235,1,1,1.04,1.2879,1.5898,289
2026-09-17-6fnk-s0-n100-0058,0.428571,0.714286,0.352941,0.666667,1,1,1.4435,1.0006,1.5052,409
2026-09-17-6fnk-s0-n100-0059,0.5,0.642857,0.388889,0.6,1,0,1.0304,1.6732,1.8917,392
2026-09-17-6fnk-s0-n100-0060,0.357143,0.571429,0.294118,0.5,0,0,1.1496,1.9409,2.4344,257
2026-09-17-6fnk-s0-n100-0061,0.357143,0.571429,0.294118,0.5,1,1,1.1308,2.0204,2.0346,255
2026-09-17-6fnk-s0-n100-0062,0.428571,0.571429,0.352941,0.533333,1,1,1.1545,2.3579,2.3357,409
2026-09-17-6fnk-s0-n100-0063,0.285714,0.642857,0.285714,0.5625,0,0,1.204,2.9232,2.2279,403
2026-09-17-6fnk-s0-n100-0064,0.428571,0.714286,0.375,0.666667,0,0,1.2383,0.5127,0.9577,388
2026-09-17-6fnk-s0-n100-0065,0.428571,0.642857,0.375,0.5,0,1,0.9893,1.6511,1.8755,415
2026-09-17-6fnk-s0-n100-0066,0.428571,0.571429,0.352941,0.5,0,1,1.3662,1.1953,1.5948,392
2026-09-17-6fnk-s0-n100-0067,0.428571,0.785714,0.352941,0.647059,0,1,0.9876,1.1009,1.114,316
2026-09-17-6fnk-s0-n100-0068,0.5,0.642857,0.411765,0.529412,0,1,1.1731,1.506,2.28,313
2026-09-17-6fnk-s0-n100-0069,0.5,0.571429,0.388889,0.444444,1,1,0.5394,0.8897,0.8954,310
2026-09-17-6fnk-s0-n100-0070,0.428571,0.571429,0.315789,0.470588,1,1,0.3819,0.6467,0.9326,392
2026-09-17-6fnk-s0-n100-0071,0.357143,0.5,0.294118,0.466667,0,0,1.3151,1.4717,1.9928,356
2026-09-17-6fnk-s0-n100-0072,0.5,0.642857,0.411765,0.529412,0,1,1.3338,0.5481,0.8403,453
2026-09-17-6fnk-s0-n100-0073,0.357143,0.428571,0.238095,0.333333,1,1,0.9059,1.5676,1.6576,320
2026-09-17-6fnk-s0-n100-0074,0.285714,0.5,0.2,0.368421,0,0,1.1759,1.0195,1.1652,414
2026-09-17-6fnk-s0-n100-0075,0.285714,0.5,0.25,0.411765,1,1,1.3448,1.7707,1.8333,371
2026-09-17-6fnk-s0-n100-0076,0.357143,0.5,0.277778,0.35,0,1,0.9853,1.513,1.5509,386
2026-09-17-6fnk-s0-n100-0077,0.428571,0.642857,0.333333,0.529412,1,1,1.0188,0.5808,0.7774,399
2026-09-17-6fnk-s0-n100-0078,0.5,0.571429,0.368421,0.380952,0,1,0.7561,1.3811,1.526,354
2026-09-17-6fnk-s0-n100-0079,0.357143,0.642857,0.333333,0.642857,0,0,1.0071,2.3776,2.8221,354
2026-09-17-6fnk-s0-n100-0080,0.428571,0.571429,0.315789,0.444444,1,1,1.316,1.4232,1.6723,394
2026-09-17-6fnk-s0-n100-0081,0.428571,0.571429,0.4,0.5,0,0,1.0027,0.8858,1.5536,368
2026-09-17-6fnk-s0-n100-0082,0.428571,0.571429,0.285714,0.470588,1,0,1.2961,1.3388,1.4088,370
2026-09-17-6fnk-s0-n100-0083,0.428571,0.5,0.333333,0.388889,0,0,1.4575,1.32,1.6457,374
2026-09-17-6fnk-s0-n100-0084,0.357143,0.571429,0.263158,0.5,1,1,1.4892,1.574,1.9101,350
2026-09-17-6fnk-s0-n100-0085,0.5,0.571429,0.411765,0.421053,0,0,0.9557,0.9999,1.1302,391
2026-09-17-6fnk-s0-n100-0086,0.285714,0.5,0.222222,0.368421,0,1,1.2822,2.0437,2.0418,227
2026-09-17-6fnk-s0-n100-0087,0.428571,0.714286,0.352941,0.625,0,0,1.403,1.5321,2.1905,369
2026-09-17-6fnk-s0-n100-0088,0.571429,0.714286,0.4,0.555556,0,1,1.3679,0.634,0.9221,468
2026-09-17-6fnk-s0-n100-0089,0.5,0.571429,0.411765,0.5,0,0,0.8869,1.2264,1.3123,409
2026-09-17-6fnk-s0-n100-0090,0.357143,0.5,0.333333,0.466667,0,0,1.066,0.7592,0.854,446
2026-09-17-6fnk-s0-n100-0091,0.5,0.642857,0.4375,0.529412,0,0,1.2931,1.0736,1.5732,463
2026-09-17-6fnk-s0-n100-0092,0.5,0.642857,0.35,0.473684,1,0,1.0426,0.6159,0.6166,416
2026-09-17-6fnk-s0-n100-0093,0.357143,0.5,0.3125,0.388889,0,0,1.3193,0.8465,0.963,460
2026-09-17-6fnk-s0-n100-0094,0.357143,0.428571,0.263158,0.375,1,0,1.3872,1.1688,1.3881,456
2026-09-17-6fnk-s0-n100-0095,0.357143,0.5,0.357143,0.466667,0,0,1.0815,1.3424,1.84,387
2026-09-17-6fnk-s0-n100-0096,0.214286,0.428571,0.166667,0.333333,1,1,1.0237,1.7049,1.917,372
2026-09-17-6fnk-s0-n100-0097,0.571429,0.714286,0.5,0.666667,0,0,0.5493,2.5617,2.716,380
2026-09-17-6fnk-s0-n100-0098,0.285714,0.571429,0.222222,0.444444,1,1,1.3939,1.9685,2.1879,331
2026-09-17-6fnk-s0-n100-0099,0.285714,0.428571,0.222222,0.315789,0,1,1.18,1.4279,1.6042,326
2026-09-17-6fnk-s0-n100-0100,0.357143,0.5,0.263158,0.411765,1,1,1.4508,0.8565,0.9724,312
