mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-09-18-3war-s0-n100-0001,0.636364,0.636364,0.269231,0.269231,1,1,0.0,0.9668,0.9668,348
2026-09-18-3war-s0-n100-0002,0.636364,0.636364,0.304348,0.304348,1,1,0.0,1.7579,1.7579,43
2026-09-18-3war-s0-n100-0003,0.454545,0.636364,0.3125,0.411765,0,1,0.7968,2.1119,2.0933,139
2026-09-18-3war-s0-n100-0004,0.636364,0.636364,0.233333,0.225806,1,1,0.4102,0.1664,0.1758,398
2026-09-18-3war-s0-n100-0005,0.636364,0.636364,0.5,0.5,1,1,0.0,1.3776,1.3776,406
2026-09-18-3war-s0-n100-0006,0.727273,0.727273,0.333333,0.347826,1,1,0.608,0.6995,0.7003,239
2026-09-18-3war-s0-n100-0007,0.636364,0.636364,0.304348,0.304348,0,0,0.0,0.8428,0.8428,352
2026-09-18-3war-s0-n100-0008,0.909091,0.909091,0.526316,0.526316,1,1,0.0,1.6105,1.6105,316
2026-09-18-3war-s0-n100-0009,0.727273,0.727273,0.347826,0.380952,1,0,1.3834,1.6049,1.8053,228
2026-09-18-3war-s0-n100-0010,0.636364,0.727273,0.4375,0.470588,1,1,0.6969,1.864,2.17,322
2026-09-18-3war-s0-n100-0011,0.727273,0.727273,0.307692,0.307692,1,1,0.0,1.2869,1.2869,112
2026-09-18-3war-s0-n100-0012,0.727273,0.727273,0.347826,0.347826,1,1,0.0,0.6961,0.6961,417
2026-09-18-3war-s0-n100-0013,0.636364,0.636364,0.28,0.28,0,0,0.0,0.936,0.936,285
2026-09-18-3war-s0-n100-0014,0.636364,0.636364,0.318182,0.318182,0,0,0.0,1.4952,1.4952,122
2026-09-18-3war-s0-n100-0015,0.727273,0.727273,0.4,0.363636,1,1,0.7919,1.3932,1.4392,262
2026-09-18-3war-s0-n100-0016,0.727273,0.727273,0.4,0.4,1,1,0.0,1.2519,1.2519,230
2026-09-18-3war-s0-n100-0017,0.636364,0.636364,0.259259,0.259259,1,1,0.0,0.8081,0.8081,296
2026-09-18-3war-s0-n100-0018,0.636364,0.636364,0.4375,0.4375,0,0,0.0,1.7943,1.7943,194
2026-09-18-3war-s0-n100-0019,0.727273,0.727273,0.333333,0.333333,1,1,0.0,1.3368,1.3368,229
2026-09-18-3war-s0-n100-0020,0.727273,0.727273,0.444444,0.444444,0,0,0.0,0.8316,0.8316,449
2026-09-18-3war-s0-n100-0021,0.636364,0.636364,0.25,0.21875,1,1,1.1096,0.8276,1.0019,272
2026-09-18-3war-s0-n100-0022,0.818182,0.636364,0.391304,0.318182,1,0,1.0129,1.2436,1.3625,161
2026-09-18-3war-s0-n100-0023,0.818182,0.818182,0.642857,0.642857,1,1,0.0,1.616,1.616,390
2026-09-18-3war-s0-n100-0024,0.636364,0.636364,0.35,0.35,0,0,0.0,1.4032,1.4032,250
2026-09-18-3war-s0-n100-0025,0.636364,0.545455,0.28,0.24,1,1,1.2198,0.7741,1.2251,186
2026-09-18-3war-s0-n100-0026,0.636364,0.636364,0.368421,0.368421,1,1,0.0,1.5678,1.5678,279
2026-09-18-3war-s0-n100-0027,0.727273,0.727273,0.5,0.5,1,1,0.0,2.0308,2.0308,103
2026-09-18-3war-s0-n100-0028,0.727273,0.636364,0.296296,0.259259,1,1,1.1679,0.9016,1.3173,341
2026-09-18-3war-s0-n100-0029,0.727273,0.727273,0.347826,0.347826,1,1,0.0,1.0212,1.0212,300
2026-09-18-3war-s0-n100-0030,0.727273,0.727273,0.307692,0.307692,1,1,0.0,1.0453,1.0453,323
2026-09-18-3war-s0-n100-0031,0.727273,0.727273,0.533333,0.533333,1,1,0.0,1.9254,1.9254,126
2026-09-18-3war-s0-n100-0032,0.636364,0.636364,0.411765,0.411765,1,1,0.0,1.9198,1.9198,70
2026-09-18-3war-s0-n100-0033,0.636364,0.727273,0.35,0.347826,1,1,1.1647,0.7658,0.9986,392
2026-09-18-3war-s0-n100-0034,0.636364,0.636364,0.259259,0.259259,1,1,0.0,0.5827,0.5827,344
2026-09-18-3war-s0-n100-0035,0.909091,0.818182,0.454545,0.391304,1,1,0.8149,0.4311,0.8254,362
2026-09-18-3war-s0-n100-0036,0.818182,0.818182,0.45,0.45,1,1,0.0,1.331,1.331,344
2026-09-18-3war-s0-n100-0037,0.636364,0.636364,0.318182,0.318182,1,1,0.0,0.9207,0.9207,305
2026-09-18-3war-s0-n100-0038,0.636364,0.636364,0.466667,0.466667,0,0,0.0,1.9096,1.9096,411
2026-09-18-3war-s0-n100-0039,0.636364,0.454545,0.28,0.227273,1,1,1.4997,1.2305,1.3369,309
2026-09-18-3war-s0-n100-0040,0.636364,0.636364,0.304348,0.304348,0,0,0.0,1.4512,1.4512,270
2026-09-18-3war-s0-n100-0041,0.636364,0.727273,0.333333,0.421053,1,1,1.4881,1.0546,1.1019,406
2026-09-18-3war-s0-n100-0042,0.636364,0.636364,0.368421,0.368421,0,0,0.0,1.5128,1.5128,175
2026-09-18-3war-s0-n100-0043,0.636364,0.636364,0.304348,0.304348,0,0,0.0,0.8895,0.8895,256
2026-09-18-3war-s0-n100-0044,0.818182,0.818182,0.321429,0.321429,1,1,0.8462,1.1154,1.2303,243
2026-09-18-3war-s0-n100-0045,0.636364,0.636364,0.318182,0.259259,0,0,0.7741,0.6072,0.8136,274
2026-09-18-3war-s0-n100-0046,0.636364,0.727273,0.28,0.307692,1,1,1.3924,1.371,1.3725,116
2026-09-18-3war-s0-n100-0047,0.636364,0.636364,0.333333,0.333333,0,0,0.0,1.4505,1.4505,244
2026-09-18-3war-s0-n100-0048,0.727273,0.727273,0.363636,0.363636,1,1,0.0,1.4339,1.4339,154
2026-09-18-3war-s0-n100-0049,0.636364,0.636364,0.368421,0.368421,1,1,0.0,1.316,1.316,372
2026-09-18-3war-s0-n100-0050,0.545455,0.818182,0.4,0.642857,1,1,0.6755,1.5871,1.8949,398
2026-09-18-3war-s0-n100-0051,0.727273,0.727273,0.4,0.4,0,0,0.3958,0.825,1.0281,396
2026-09-18-3war-s0-n100-0052,0.818182,0.818182,0.428571,0.428571,1,1,0.0,0.8662,0.8662,389
2026-09-18-3war-s0-n100-0053,0.727273,0.727273,0.444444,0.444444,1,1,0.0,1.1069,1.1069,390
2026-09-18-3war-s0-n100-0054,0.636364,0.727273,0.368421,0.470588,1,1,0.9443,1.2931,1.5745,395
2026-09-18-3war-s0-n100-0055,0.636364,0.636364,0.388889,0.388889,0,0,0.0,1.6485,1.6485,191
2026-09-18-3war-s0-n100-0056,0.727273,0.727273,0.533333,0.533333,0,0,0.0,1.477,1.477,295
2026-09-18-3war-s0-n100-0057,0.909091,0.818182,0.526316,0.473684,1,1,1.2242,1.3767,1.3929,307
2026-09-18-3war-s0-n100-0058,0.818182,0.818182,0.391304,0.391304,1,1,0.0,0.6414,0.6414,302
2026-09-18-3war-s0-n100-0059,0.818182,0.545455,0.45,0.3,1,1,1.3579,1.0536,1.4272,314
2026-09-18-3war-s0-n100-0060,0.727273,0.727273,0.363636,0.363636,1,1,0.0,1.2382,1.2382,347
2026-09-18-3war-s0-n100-0061,0.818182,0.818182,0.529412,0.529412,1,1,0.0,1.183,1.183,406
2026-09-18-3war-s0-n100-0062,0.727273,0.727273,0.333333,0.333333,0,0,0.0,0.3398,0.3398,460
2026-09-18-3war-s0-n100-0063,0.636364,0.636364,0.333333,0.35,1,0,1.1276,1.7475,1.8046,178
2026-09-18-3war-s0-n100-0064,0.636364,0.636364,0.259259,0.259259,0,0,0.0,1.197,1.197,253
2026-09-18-3war-s0-n100-0065,0.636364,0.636364,0.368421,0.35,0,0,1.0983,0.6971,1.1592,399
2026-09-18-3war-s0-n100-0066,0.636364,0.636364,0.304348,0.304348,1,1,0.0,1.4636,1.4636,226
2026-09-18-3war-s0-n100-0067,0.727273,0.727273,0.32,0.32,1,1,0.0,0.7085,0.7085,425
2026-09-18-3war-s0-n100-0068,0.636364,0.636364,0.4375,0.368421,1,1,1.3358,1.3911,1.7133,348
2026-09-18-3war-s0-n100-0069,0.818182,0.727273,0.375,0.363636,1,1,1.4769,1.2279,1.3517,245
2026-09-18-3war-s0-n100-0071,0.636364,0.636364,0.388889,0.368421,0,1,1.1221,1.4623,1.49,307
2026-09-18-3war-s0-n100-0072,0.545455,0.636364,0.333333,0.35,0,1,1.2608,1.6485,1.6537,166
2026-09-18-3war-s0-n100-0073,0.727273,0.727273,0.470588,0.470588,1,1,0.0,1.8245,1.8245,316
2026-09-18-3war-s0-n100-0074,0.636364,0.636364,0.318182,0.318182,0,0,0.0,0.7175,0.7175,368
2026-09-18-3war-s0-n100-0075,0.636364,0.636364,0.333333,0.333333,0,0,0.0,1.188,1.188,363
2026-09-18-3war-s0-n100-0076,0.636364,0.636364,0.318182,0.318182,1,1,0.0,1.2753,1.2753,292
2026-09-18-3war-s0-n100-0077,0.818182,0.727273,0.375,0.333333,1,1,1.0296,0.7742,0.8945,309
2026-09-18-3war-s0-n100-0078,0.818182,0.818182,0.5,0.5,1,1,0.0,1.3991,1.3991,325
2026-09-18-3war-s0-n100-0079,0.545455,0.636364,0.24,0.259259,1,0,0.7172,1.1093,1.2852,246
2026-09-18-3war-s0-n100-0080,1.0,0.818182,0.37931,0.310345,1,1,1.1693,0.8861,0.8978,301
2026-09-18-3war-s0-n100-0082,0.727273,0.818182,0.380952,0.428571,1,1,0.7087,0.5008,0.8895,413
2026-09-18-3war-s0-n100-0083,0.636364,0.636364,0.269231,0.269231,1,1,0.0,0.8561,0.8561,270
2026-09-18-3war-s0-n100-0084,0.636364,0.636364,0.333333,0.318182,1,1,0.5445,0.8971,1.2097,290
2026-09-18-3war-s0-n100-0085,0.636364,0.636364,0.35,0.35,1,1,0.0,1.8095,1.8095,86
2026-09-18-3war-s0-n100-0086,0.727273,0.545455,0.4,0.285714,1,0,1.4087,1.0844,1.4875,370
2026-09-18-3war-s0-n100-0087,0.636364,0.636364,0.318182,0.304348,1,1,0.5922,1.5583,1.6487,183
2026-09-18-3war-s0-n100-0088,0.727273,0.636364,0.444444,0.368421,0,0,1.1663,1.1157,1.3902,397
2026-09-18-3war-s0-n100-0089,0.727273,0.727273,0.333333,0.347826,1,1,1.415,0.6032,0.6874,350
2026-09-18-3war-s0-n100-0090,0.727273,0.727273,0.258065,0.258065,1,1,0.0,0.5547,0.5547,252
2026-09-18-3war-s0-n100-0091,0.545455,0.636364,0.214286,0.233333,1,1,1.478,0.6783,0.7835,277
2026-09-18-3war-s0-n100-0092,0.636364,0.636364,0.35,0.35,0,0,0.0,1.3874,1.3874,214
2026-09-18-3war-s0-n100-0093,0.636364,0.636364,0.35,0.35,1,1,0.0,1.4427,1.4427,282
2026-09-18-3war-s0-n100-0094,0.727273,0.727273,0.421053,0.380952,0,0,0.557,1.2774,1.3299,256
2026-09-18-3war-s0-n100-0095,0.636364,0.636364,0.35,0.368421,1,1,1.2283,1.8115,1.8596,151
2026-09-18-3war-s0-n100-0096,0.727273,0.727273,0.4,0.4,0,0,0.0,0.2494,0.2494,490
2026-09-18-3war-s0-n100-0097,0.727273,0.727273,0.333333,0.285714,0,1,1.0548,0.8072,1.1935,338
2026-09-18-3war-s0-n100-0098,0.636364,0.636364,0.4375,0.4375,0,0,0.0,1.6393,1.6393,292
2026-09-18-3war-s0-n100-0099,0.818182,0.818182,0.473684,0.473684,1,1,0.0,1.6569,1.6569,215
2026-09-18-3war-s0-n100-0100,0.636364,0.636364,0.5,0.5,0,0,0.0,1.5932,1.5932,330
