mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-09-18-3war-s0-n100-0001,0.636364,0.636364,0.269231,0.269231,1,1,0.0,0.9668,0.9668,320
2026-09-18-3war-s0-n100-0002,0.636364,0.727273,0.304348,0.380952,1,1,0.8692,1.7579,1.9645,39
2026-09-18-3war-s0-n100-0003,0.454545,0.636364,0.3125,0.411765,0,0,0.6449,2.1119,2.2053,107
2026-09-18-3war-s0-n100-0004,0.636364,0.727273,0.233333,0.275862,1,1,0.9234,0.1664,0.475,405
2026-09-18-3war-s0-n100-0005,0.636364,0.909091,0.5,0.666667,1,1,0.8763,1.3776,1.4549,222
2026-09-18-3war-s0-n100-0006,0.727273,0.727273,0.333333,0.333333,1,1,0.0,0.6995,0.6995,266
2026-09-18-3war-s0-n100-0007,0.636364,0.636364,0.304348,0.304348,0,0,0.0,0.8428,0.8428,339
2026-09-18-3war-s0-n100-0008,0.909091,1.0,0.526316,0.578947,1,1,0.9964,1.6105,1.6892,244
2026-09-18-3war-s0-n100-0009,0.727273,0.727273,0.347826,0.347826,1,1,0.0,1.6049,1.6049,171
2026-09-18-3war-s0-n100-0010,0.636364,0.727273,0.4375,0.5,1,1,0.5447,1.864,1.9236,248
2026-09-18-3war-s0-n100-0011,0.727273,0.818182,0.307692,0.375,1,1,1.4293,1.2869,1.3862,146
2026-09-18-3war-s0-n100-0012,0.727273,0.818182,0.347826,0.391304,1,1,1.1264,0.6961,1.1077,355
2026-09-18-3war-s0-n100-0013,0.636364,0.818182,0.28,0.36,0,1,0.7796,0.936,0.9511,238
2026-09-18-3war-s0-n100-0014,0.636364,0.636364,0.318182,0.318182,0,0,0.0,1.4952,1.4952,128
2026-09-18-3war-s0-n100-0015,0.727273,0.818182,0.4,0.409091,1,1,0.9601,1.3932,1.4021,226
2026-09-18-3war-s0-n100-0016,0.727273,0.818182,0.4,0.473684,1,1,0.3414,1.2519,1.3575,143
2026-09-18-3war-s0-n100-0017,0.636364,0.636364,0.259259,0.259259,1,1,0.0,0.8081,0.8081,277
2026-09-18-3war-s0-n100-0018,0.636364,0.818182,0.4375,0.5625,0,1,0.4766,1.7943,1.8563,155
2026-09-18-3war-s0-n100-0019,0.727273,0.727273,0.333333,0.333333,1,1,0.0,1.3368,1.3368,214
2026-09-18-3war-s0-n100-0020,0.727273,0.727273,0.444444,0.444444,0,0,0.0,0.8316,0.8316,460
2026-09-18-3war-s0-n100-0021,0.636364,0.818182,0.25,0.36,1,1,1.0478,0.8276,0.8482,167
2026-09-18-3war-s0-n100-0022,0.818182,0.909091,0.391304,0.47619,1,1,1.4504,1.2436,1.4129,175
2026-09-18-3war-s0-n100-0023,0.818182,0.818182,0.642857,0.642857,1,1,0.0,1.616,1.616,343
2026-09-18-3war-s0-n100-0024,0.636364,0.636364,0.35,0.35,0,0,0.0,1.4032,1.4032,244
2026-09-18-3war-s0-n100-0025,0.636364,0.818182,0.28,0.36,1,1,1.2275,0.7741,0.7994,182
2026-09-18-3war-s0-n100-0026,0.636364,0.727273,0.368421,0.444444,1,1,1.2595,1.5678,1.7829,272
2026-09-18-3war-s0-n100-0027,0.727273,0.727273,0.5,0.5,1,1,0.0,2.0308,2.0308,68
2026-09-18-3war-s0-n100-0028,0.727273,0.818182,0.296296,0.375,1,1,0.9938,0.9016,1.0935,261
2026-09-18-3war-s0-n100-0029,0.727273,0.818182,0.347826,0.428571,1,1,1.4598,1.0212,1.3712,272
2026-09-18-3war-s0-n100-0030,0.727273,0.727273,0.307692,0.307692,1,1,0.0,1.0453,1.0453,308
2026-09-18-3war-s0-n100-0031,0.727273,0.727273,0.533333,0.533333,1,1,0.0,1.9254,1.9254,145
2026-09-18-3war-s0-n100-0032,0.636364,0.727273,0.411765,0.5,1,1,0.9679,1.9198,2.0206,67
2026-09-18-3war-s0-n100-0033,0.636364,0.727273,0.35,0.4,1,1,0.9022,0.7658,1.2454,371
2026-09-18-3war-s0-n100-0034,0.636364,0.818182,0.259259,0.333333,1,1,0.9827,0.5827,1.3361,326
2026-09-18-3war-s0-n100-0035,0.909091,0.909091,0.454545,0.454545,1,1,0.0,0.4311,0.4311,377
2026-09-18-3war-s0-n100-0036,0.818182,0.909091,0.45,0.47619,1,1,0.7658,1.331,1.5835,270
2026-09-18-3war-s0-n100-0037,0.636364,0.636364,0.318182,0.318182,1,1,0.0,0.9207,0.9207,304
2026-09-18-3war-s0-n100-0038,0.636364,0.636364,0.466667,0.466667,0,0,0.0,1.9096,1.9096,331
2026-09-18-3war-s0-n100-0039,0.636364,0.636364,0.28,0.28,1,1,0.0,1.2305,1.2305,228
2026-09-18-3war-s0-n100-0040,0.636364,0.818182,0.304348,0.473684,0,1,0.7204,1.4512,1.7415,218
2026-09-18-3war-s0-n100-0041,0.636364,0.818182,0.333333,0.428571,1,1,0.6195,1.0546,1.2667,325
2026-09-18-3war-s0-n100-0042,0.636364,0.727273,0.368421,0.444444,0,1,1.0706,1.5128,1.5672,151
2026-09-18-3war-s0-n100-0043,0.636364,0.727273,0.304348,0.347826,0,1,1.4168,0.8895,1.2829,315
2026-09-18-3war-s0-n100-0044,0.818182,0.818182,0.321429,0.321429,1,1,0.0,1.1154,1.1154,243
2026-09-18-3war-s0-n100-0045,0.636364,0.727273,0.318182,0.296296,0,0,0.669,0.6072,0.8003,301
2026-09-18-3war-s0-n100-0046,0.636364,0.818182,0.28,0.36,1,1,0.6233,1.371,1.5423,101
2026-09-18-3war-s0-n100-0047,0.636364,0.727273,0.333333,0.380952,0,0,0.7417,1.4505,1.6133,233
2026-09-18-3war-s0-n100-0048,0.727273,0.727273,0.363636,0.363636,1,1,0.0,1.4339,1.4339,105
2026-09-18-3war-s0-n100-0049,0.636364,0.636364,0.368421,0.368421,1,1,0.0,1.316,1.316,372
2026-09-18-3war-s0-n100-0050,0.545455,0.818182,0.4,0.6,1,1,0.9484,1.5871,2.2047,361
2026-09-18-3war-s0-n100-0051,0.727273,0.818182,0.4,0.45,0,1,0.7879,0.825,1.2019,364
2026-09-18-3war-s0-n100-0052,0.818182,0.909091,0.428571,0.454545,1,1,0.775,0.8662,0.9735,329
2026-09-18-3war-s0-n100-0053,0.727273,0.818182,0.444444,0.5,1,1,0.7053,1.1069,1.2839,314
2026-09-18-3war-s0-n100-0054,0.636364,0.727273,0.368421,0.444444,1,1,0.8593,1.2931,1.7616,367
2026-09-18-3war-s0-n100-0055,0.636364,0.636364,0.388889,0.388889,0,0,0.0,1.6485,1.6485,168
2026-09-18-3war-s0-n100-0056,0.727273,0.909091,0.533333,0.625,0,1,1.4456,1.477,1.9045,191
2026-09-18-3war-s0-n100-0057,0.909091,0.909091,0.526316,0.526316,1,1,0.0,1.3767,1.3767,186
2026-09-18-3war-s0-n100-0058,0.818182,0.818182,0.391304,0.391304,1,1,0.0,0.6414,0.6414,312
2026-09-18-3war-s0-n100-0059,0.818182,0.818182,0.45,0.45,1,1,0.0,1.0536,1.0536,299
2026-09-18-3war-s0-n100-0060,0.727273,0.818182,0.363636,0.45,1,1,1.0808,1.2382,1.3304,248
2026-09-18-3war-s0-n100-0061,0.818182,0.818182,0.529412,0.529412,1,1,0.0,1.183,1.183,349
2026-09-18-3war-s0-n100-0062,0.727273,0.727273,0.333333,0.333333,0,0,0.0,0.3398,0.3398,413
2026-09-18-3war-s0-n100-0063,0.636364,0.636364,0.333333,0.333333,1,1,0.0,1.7475,1.7475,161
2026-09-18-3war-s0-n100-0064,0.636364,0.818182,0.259259,0.36,0,1,0.3938,1.197,1.2308,194
2026-09-18-3war-s0-n100-0065,0.636364,0.636364,0.368421,0.368421,0,0,0.0,0.6971,0.6971,391
2026-09-18-3war-s0-n100-0066,0.636364,0.636364,0.304348,0.304348,1,1,0.0,1.4636,1.4636,199
2026-09-18-3war-s0-n100-0067,0.727273,0.818182,0.32,0.375,1,1,0.978,0.7085,0.9051,424
2026-09-18-3war-s0-n100-0068,0.636364,0.636364,0.4375,0.4375,1,1,0.0,1.3911,1.3911,375
2026-09-18-3war-s0-n100-0069,0.818182,0.818182,0.375,0.375,1,1,0.0,1.2279,1.2279,235
