mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,objective_before,objective_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-09-18-3war-s0-n100-refligand-0001,0.636364,0.727273,0.583333,0.666667,1,1,0.636364,0.727273,0.5022,3.2959,3.2239,425
2026-09-18-3war-s0-n100-refligand-0002,0.909091,0.909091,0.909091,0.909091,1,1,0.909091,0.909091,0.0,3.0708,3.0708,448
2026-09-18-3war-s0-n100-refligand-0003,0.818182,0.909091,0.642857,0.714286,1,1,0.818182,0.909091,0.5468,3.1006,2.938,343
2026-09-18-3war-s0-n100-refligand-0004,0.818182,0.909091,0.692308,0.769231,1,1,0.818182,0.909091,0.5739,3.0231,3.1193,398
2026-09-18-3war-s0-n100-refligand-0005,0.818182,0.909091,0.642857,0.666667,1,1,0.818182,0.909091,0.5947,2.7449,2.6152,359
2026-09-18-3war-s0-n100-refligand-0006,0.727273,0.909091,0.470588,0.769231,1,1,0.727273,0.909091,0.7606,2.4075,2.5523,284
2026-09-18-3war-s0-n100-refligand-0007,0.727273,0.818182,0.615385,0.692308,1,1,0.727273,0.818182,1.4691,3.0077,2.6139,404
2026-09-18-3war-s0-n100-refligand-0008,0.727273,0.818182,0.533333,0.6,1,1,0.727273,0.818182,0.6781,2.4567,2.6906,343
2026-09-18-3war-s0-n100-refligand-0009,0.818182,0.818182,0.692308,0.692308,1,1,0.818182,0.818182,0.0,2.9466,2.9466,396
2026-09-18-3war-s0-n100-refligand-0010,0.818182,0.909091,0.818182,0.909091,1,1,0.818182,0.909091,0.6366,2.8737,2.8612,384
2026-09-18-3war-s0-n100-refligand-0011,0.727273,0.818182,0.615385,0.692308,1,1,0.727273,0.818182,0.8735,2.8912,2.5503,301
2026-09-18-3war-s0-n100-refligand-0012,0.727273,0.818182,0.5,0.5625,1,1,0.727273,0.818182,0.332,2.6105,2.5177,332
2026-09-18-3war-s0-n100-refligand-0013,0.636364,0.727273,0.583333,0.666667,0,0,0.636364,0.727273,0.6517,3.3551,3.0372,449
2026-09-18-3war-s0-n100-refligand-0014,0.818182,0.909091,0.642857,0.714286,1,1,0.818182,0.909091,0.6785,3.0485,2.9639,349
2026-09-18-3war-s0-n100-refligand-0015,0.727273,0.818182,0.533333,0.5625,1,1,0.727273,0.818182,0.4008,2.895,2.936,366
2026-09-18-3war-s0-n100-refligand-0016,0.818182,0.909091,0.45,0.526316,1,1,0.818182,0.909091,0.3767,2.7781,2.5689,272
2026-09-18-3war-s0-n100-refligand-0017,0.636364,0.727273,0.636364,0.727273,1,1,0.636364,0.727273,0.7329,2.851,2.8931,382
2026-09-18-3war-s0-n100-refligand-0018,0.818182,0.818182,0.692308,0.692308,1,1,0.818182,0.818182,0.0,3.1174,3.1174,347
2026-09-18-3war-s0-n100-refligand-0019,0.636364,0.818182,0.4375,0.5,1,1,0.636364,0.818182,1.2614,2.7708,2.6561,315
