mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,objective_before,objective_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-09-18-3war-s0-n100-refligand-0001,0.636364,0.454545,0.583333,0.416667,1,0,0.090909,0.181818,0.8043,3.2959,2.5359,572
2026-09-18-3war-s0-n100-refligand-0002,0.909091,0.909091,0.909091,0.909091,1,1,0.181818,0.181818,0.0,3.0708,3.0708,545
2026-09-18-3war-s0-n100-refligand-0003,0.818182,0.818182,0.642857,0.642857,1,1,0.181818,0.181818,0.0,3.1006,3.1006,505
2026-09-18-3war-s0-n100-refligand-0004,0.818182,0.818182,0.692308,0.692308,1,1,0.181818,0.181818,0.0,3.0231,3.0231,531
2026-09-18-3war-s0-n100-refligand-0005,0.818182,0.818182,0.642857,0.642857,1,1,0.181818,0.181818,0.0,2.7449,2.7449,470
2026-09-18-3war-s0-n100-refligand-0006,0.727273,0.727273,0.470588,0.470588,1,1,0.181818,0.181818,0.0,2.4075,2.4075,356
2026-09-18-3war-s0-n100-refligand-0007,0.727273,0.727273,0.615385,0.615385,1,1,0.181818,0.181818,0.0,3.0077,3.0077,479
2026-09-18-3war-s0-n100-refligand-0008,0.727273,0.727273,0.533333,0.533333,1,1,0.181818,0.181818,0.0,2.4567,2.4567,501
2026-09-18-3war-s0-n100-refligand-0009,0.818182,0.818182,0.692308,0.692308,1,1,0.181818,0.181818,0.0,2.9466,2.9466,536
2026-09-18-3war-s0-n100-refligand-0010,0.818182,0.818182,0.818182,0.818182,1,1,0.181818,0.181818,0.0,2.8737,2.8737,528
2026-09-18-3war-s0-n100-refligand-0011,0.727273,0.727273,0.615385,0.615385,1,1,0.181818,0.181818,0.0,2.8912,2.8912,499
2026-09-18-3war-s0-n100-refligand-0012,0.727273,0.727273,0.5,0.5,1,1,0.181818,0.181818,0.0,2.6105,2.6105,437
2026-09-18-3war-s0-n100-refligand-0013,0.636364,0.636364,0.583333,0.583333,0,0,0.181818,0.181818,0.0,3.3551,3.3551,528
2026-09-18-3war-s0-n100-refligand-0014,0.818182,0.818182,0.642857,0.642857,1,1,0.181818,0.181818,0.0,3.0485,3.0485,465
2026-09-18-3war-s0-n100-refligand-0015,0.727273,0.727273,0.533333,0.533333,1,1,0.181818,0.181818,0.0,2.895,2.895,425
2026-09-18-3war-s0-n100-refligand-0016,0.818182,0.818182,0.45,0.45,1,1,0.181818,0.181818,0.0,2.7781,2.7781,385
2026-09-18-3war-s0-n100-refligand-0017,0.636364,0.636364,0.636364,0.636364,1,1,0.090909,0.181818,0.4386,2.851,2.4655,557
2026-09-18-3war-s0-n100-refligand-0018,0.818182,0.818182,0.692308,0.692308,1,1,0.181818,0.181818,0.0,3.1174,3.1174,498
2026-09-18-3war-s0-n100-refligand-0019,0.636364,0.636364,0.4375,0.4375,1,1,0.181818,0.181818,0.0,2.7708,2.7708,451
2026-09-18-3war-s0-n100-refligand-0020,0.727273,0.727273,0.533333,0.533333,1,1,0.181818,0.181818,0.0,3.0311,3.0311,492
2026-09-18-3war-s0-n100-refligand-0021,0.818182,0.818182,0.692308,0.692308,1,1,0.181818,0.181818,0.0,2.8809,2.8809,575
2026-09-18-3war-s0-n100-refligand-0022,0.818182,0.818182,0.75,0.75,1,1,0.181818,0.181818,0.0,3.1253,3.1253,596
2026-09-18-3war-s0-n100-refligand-0023,0.818182,0.818182,0.75,0.75,1,1,0.181818,0.181818,0.0,2.7946,2.7946,465
2026-09-18-3war-s0-n100-refligand-0024,0.727273,0.727273,0.666667,0.666667,1,1,0.181818,0.181818,0.0,3.0785,3.0785,578
2026-09-18-3war-s0-n100-refligand-0025,0.818182,0.818182,0.642857,0.642857,1,1,0.181818,0.181818,0.0,2.8223,2.8223,484
2026-09-18-3war-s0-n100-refligand-0026,0.818182,0.818182,0.642857,0.642857,1,1,0.181818,0.181818,0.0,2.9708,2.9708,534
2026-09-18-3war-s0-n100-refligand-0027,0.909091,0.909091,0.625,0.625,1,1,0.181818,0.181818,0.0,2.9054,2.9054,476
