mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,objective_before,objective_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-09-18-3war-s0-n100-refligand-0001,0.636364,0.727273,0.583333,0.666667,1,1,0.636364,0.727273,0.6065,3.2959,3.0122,427
2026-09-18-3war-s0-n100-refligand-0002,0.909091,0.909091,0.909091,0.909091,1,1,0.909091,0.909091,0.0,3.0708,3.0708,443
2026-09-18-3war-s0-n100-refligand-0003,0.818182,0.909091,0.642857,0.714286,1,1,0.818182,0.909091,0.3361,3.1006,3.0366,379
2026-09-18-3war-s0-n100-refligand-0004,0.818182,0.909091,0.692308,0.833333,1,1,0.818182,0.909091,0.6501,3.0231,2.6367,400
2026-09-18-3war-s0-n100-refligand-0005,0.818182,0.909091,0.642857,0.769231,1,1,0.818182,0.909091,0.759,2.7449,2.4977,401
2026-09-18-3war-s0-n100-refligand-0006,0.727273,0.909091,0.470588,0.833333,1,1,0.727273,0.909091,1.0085,2.4075,2.3651,319
2026-09-18-3war-s0-n100-refligand-0007,0.727273,0.818182,0.615385,0.75,1,1,0.727273,0.818182,1.3361,3.0077,2.0134,453
2026-09-18-3war-s0-n100-refligand-0008,0.727273,0.818182,0.533333,0.529412,1,1,0.727273,0.818182,0.7974,2.4567,2.5373,400
2026-09-18-3war-s0-n100-refligand-0009,0.818182,0.818182,0.692308,0.692308,1,1,0.818182,0.818182,0.0,2.9466,2.9466,416
2026-09-18-3war-s0-n100-refligand-0010,0.818182,0.909091,0.818182,0.909091,1,1,0.818182,0.909091,0.5245,2.8737,2.5584,427
2026-09-18-3war-s0-n100-refligand-0011,0.727273,0.818182,0.615385,0.692308,1,1,0.727273,0.818182,0.8122,2.8912,2.2674,438
2026-09-18-3war-s0-n100-refligand-0012,0.727273,0.818182,0.5,0.529412,1,1,0.727273,0.818182,0.3343,2.6105,2.5235,377
2026-09-18-3war-s0-n100-refligand-0013,0.636364,0.727273,0.583333,0.666667,0,0,0.636364,0.727273,0.706,3.3551,2.9737,473
2026-09-18-3war-s0-n100-refligand-0014,0.818182,0.909091,0.642857,0.714286,1,1,0.818182,0.909091,0.6543,3.0485,2.6629,407
2026-09-18-3war-s0-n100-refligand-0015,0.727273,0.818182,0.533333,0.6,1,1,0.727273,0.818182,0.5659,2.895,2.4921,389
2026-09-18-3war-s0-n100-refligand-0016,0.818182,0.909091,0.45,0.454545,1,1,0.818182,0.909091,0.3107,2.7781,2.5042,322
2026-09-18-3war-s0-n100-refligand-0017,0.636364,0.727273,0.636364,0.727273,1,1,0.636364,0.727273,0.6441,2.851,2.7244,404
2026-09-18-3war-s0-n100-refligand-0018,0.818182,0.818182,0.692308,0.692308,1,1,0.818182,0.818182,0.0,3.1174,3.1174,425
2026-09-18-3war-s0-n100-refligand-0019,0.636364,0.818182,0.4375,0.5625,1,1,0.636364,0.818182,1.4223,2.7708,2.5505,382
2026-09-18-3war-s0-n100-refligand-0020,0.727273,0.818182,0.533333,0.642857,1,1,0.727273,0.818182,1.2615,3.0311,2.1972,413
