mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,objective_before,objective_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-09-18-6fnk-s0-n100-refligand-0001,0.571429,0.714286,0.571429,0.666667,1,1,0.571429,0.714286,0.9341,2.8767,2.6872,420
2026-09-18-6fnk-s0-n100-refligand-0002,0.5,0.642857,0.5,0.642857,0,1,0.5,0.642857,0.7149,2.7,2.8426,474
2026-09-18-6fnk-s0-n100-refligand-0003,0.571429,0.714286,0.5,0.625,1,1,0.571429,0.714286,0.7898,2.5691,2.4171,334
2026-09-18-6fnk-s0-n100-refligand-0004,0.357143,0.714286,0.3125,0.666667,0,1,0.357143,0.714286,1.0959,2.786,2.7246,404
2026-09-18-6fnk-s0-n100-refligand-0005,0.642857,0.785714,0.529412,0.647059,1,1,0.642857,0.785714,0.8664,2.8809,2.5196,364
2026-09-18-6fnk-s0-n100-refligand-0006,0.857143,0.928571,0.6,0.619048,1,1,0.637373,0.928571,1.143,2.243,2.5447,159
2026-09-18-6fnk-s0-n100-refligand-0007,0.642857,0.714286,0.5625,0.666667,1,1,0.642857,0.714286,0.2645,2.7481,2.4874,363
2026-09-18-6fnk-s0-n100-refligand-0008,0.714286,0.785714,0.625,0.578947,1,1,0.714286,0.785714,0.791,2.938,2.6625,347
2026-09-18-6fnk-s0-n100-refligand-0009,0.571429,0.785714,0.5,0.733333,1,1,0.571429,0.785714,1.013,3.1086,2.6925,365
2026-09-18-6fnk-s0-n100-refligand-0010,0.714286,0.857143,0.714286,0.857143,1,1,0.714286,0.82734,1.1648,2.7211,2.4154,381
2026-09-18-6fnk-s0-n100-refligand-0011,0.642857,0.785714,0.642857,0.733333,1,1,0.642857,0.785714,0.7966,2.7339,2.5121,355
2026-09-18-6fnk-s0-n100-refligand-0013,0.428571,0.714286,0.4,0.666667,0,1,0.428571,0.714286,1.0324,3.1249,2.9449,428
2026-09-18-6fnk-s0-n100-refligand-0014,0.714286,0.714286,0.625,0.625,1,1,0.714286,0.714286,0.0,2.8886,2.8886,346
2026-09-18-6fnk-s0-n100-refligand-0015,0.571429,0.785714,0.421053,0.55,1,1,0.571429,0.785714,1.0788,2.5615,2.5599,298
2026-09-18-6fnk-s0-n100-refligand-0016,0.642857,0.857143,0.5,0.571429,1,1,0.642857,0.856455,0.9762,2.694,2.6236,278
2026-09-18-6fnk-s0-n100-refligand-0017,0.5,0.571429,0.5,0.533333,0,0,0.5,0.571429,0.8984,3.3103,3.0451,441
2026-09-18-6fnk-s0-n100-refligand-0018,0.571429,0.714286,0.571429,0.666667,0,1,0.571429,0.714286,0.737,2.5604,2.3734,360
2026-09-18-6fnk-s0-n100-refligand-0019,0.642857,0.714286,0.5,0.526316,0,1,0.642857,0.714286,0.5389,2.7793,2.8237,268
2026-09-18-6fnk-s0-n100-refligand-0020,0.642857,0.785714,0.529412,0.578947,0,0,0.642857,0.785714,1.0009,2.5578,2.6412,327
2026-09-18-6fnk-s0-n100-refligand-0021,0.5,0.785714,0.411765,0.647059,1,1,0.5,0.785714,0.8963,2.9119,2.597,401
2026-09-18-6fnk-s0-n100-refligand-0022,0.571429,0.714286,0.571429,0.666667,0,1,0.571429,0.714286,0.3153,3.1458,3.0095,393
2026-09-18-6fnk-s0-n100-refligand-0023,0.5,0.714286,0.466667,0.666667,1,1,0.5,0.714286,0.8935,2.7003,2.6288,368
2026-09-18-6fnk-s0-n100-refligand-0024,0.571429,0.714286,0.533333,0.666667,1,1,0.571429,0.714286,0.5219,2.7848,2.5104,352
2026-09-18-6fnk-s0-n100-refligand-0025,0.642857,0.714286,0.5625,0.666667,1,1,0.642857,0.714286,0.5354,2.8683,2.7945,401
2026-09-18-6fnk-s0-n100-refligand-0026,0.642857,0.714286,0.6,0.625,1,1,0.642857,0.714286,1.3557,2.7044,2.5766,383
2026-09-18-6fnk-s0-n100-refligand-0027,0.285714,0.571429,0.222222,0.4,0,1,0.285714,0.571429,1.4221,2.9833,2.6212,366
2026-09-18-6fnk-s0-n100-refligand-0028,0.642857,0.785714,0.391304,0.52381,1,1,0.642857,0.785714,1.1375,2.3299,2.3871,182
2026-09-18-6fnk-s0-n100-refligand-0029,0.714286,0.857143,0.5,0.666667,1,1,0.714286,0.857143,0.921,2.7983,2.4859,279
2026-09-18-6fnk-s0-n100-refligand-0030,0.785714,0.857143,0.458333,0.5,1,1,0.762379,0.857143,1.1844,2.5033,2.4041,213
2026-09-18-6fnk-s0-n100-refligand-0031,0.642857,0.714286,0.642857,0.714286,1,1,0.642857,0.714286,0.3715,2.9258,2.6754,425
2026-09-18-6fnk-s0-n100-refligand-0032,0.428571,0.714286,0.352941,0.588235,1,1,0.428571,0.693431,1.1788,2.596,2.351,359
2026-09-18-6fnk-s0-n100-refligand-0033,0.642857,0.714286,0.6,0.625,1,1,0.642857,0.714286,1.3961,3.1087,2.6247,378
2026-09-18-6fnk-s0-n100-refligand-0034,0.642857,0.785714,0.6,0.733333,1,1,0.642857,0.785714,0.6257,3.1439,2.7855,380
2026-09-18-6fnk-s0-n100-refligand-0035,0.714286,0.857143,0.5,0.6,1,1,0.714286,0.857143,0.8661,2.8826,2.5006,309
2026-09-18-6fnk-s0-n100-refligand-0036,0.785714,0.857143,0.578947,0.6,1,1,0.785714,0.857143,1.0226,2.816,2.5343,296
2026-09-18-6fnk-s0-n100-refligand-0037,0.714286,0.785714,0.714286,0.733333,1,1,0.714286,0.785714,0.6408,2.9858,2.5082,424
2026-09-18-6fnk-s0-n100-refligand-0038,0.5,0.714286,0.5,0.714286,1,1,0.5,0.714286,0.6786,3.2227,2.6457,419
2026-09-18-6fnk-s0-n100-refligand-0039,0.642857,0.857143,0.473684,0.705882,1,1,0.642857,0.857143,1.1231,2.5159,2.6039,228
2026-09-18-6fnk-s0-n100-refligand-0040,0.785714,0.785714,0.578947,0.578947,1,1,0.785714,0.785714,0.0,2.3862,2.3862,307
2026-09-18-6fnk-s0-n100-refligand-0041,0.714286,0.857143,0.625,0.631579,1,1,0.714286,0.857143,0.9653,2.6702,2.6871,299
2026-09-18-6fnk-s0-n100-refligand-0042,0.642857,0.714286,0.529412,0.625,0,1,0.642857,0.714286,0.9221,2.5491,2.6214,256
2026-09-18-6fnk-s0-n100-refligand-0043,0.642857,0.785714,0.409091,0.55,1,0,0.642857,0.785714,1.1562,2.5598,2.5153,236
2026-09-18-6fnk-s0-n100-refligand-0044,0.5,0.714286,0.5,0.714286,0,1,0.5,0.714286,1.3324,3.5242,2.7726,478
2026-09-18-6fnk-s0-n100-refligand-0045,0.571429,0.571429,0.347826,0.380952,1,1,-0.615833,0.56426,1.4042,0.9816,2.4572,100
2026-09-18-6fnk-s0-n100-refligand-0046,0.357143,0.642857,0.333333,0.642857,1,1,0.357143,0.642857,0.9082,3.1377,2.86,452
2026-09-18-6fnk-s0-n100-refligand-0047,0.5,0.714286,0.5,0.714286,0,1,0.5,0.714286,1.0543,3.2963,2.7892,426
2026-09-18-6fnk-s0-n100-refligand-0048,0.571429,0.785714,0.571429,0.733333,1,1,0.571429,0.785714,1.1927,2.6284,2.4775,343
2026-09-18-6fnk-s0-n100-refligand-0049,0.642857,0.785714,0.529412,0.647059,0,1,0.613669,0.785714,0.5086,2.3791,2.4984,350
2026-09-18-6fnk-s0-n100-refligand-0050,0.571429,0.642857,0.571429,0.642857,1,1,0.571429,0.642857,0.996,2.6721,2.4995,416
2026-09-18-6fnk-s0-n100-refligand-0051,0.428571,0.642857,0.4,0.5625,0,1,0.428571,0.642857,1.4977,2.9344,2.7817,394
2026-09-18-6fnk-s0-n100-refligand-0052,0.357143,0.571429,0.357143,0.571429,1,1,0.357143,0.571429,1.4714,2.8419,2.4112,431
2026-09-18-6fnk-s0-n100-refligand-0053,0.5,0.714286,0.333333,0.5,1,1,0.5,0.714286,0.6751,2.6908,2.5657,259
2026-09-18-6fnk-s0-n100-refligand-0054,0.428571,0.642857,0.428571,0.642857,1,1,0.428571,0.642857,1.0405,3.0903,2.5329,376
2026-09-18-6fnk-s0-n100-refligand-0055,0.357143,0.571429,0.3125,0.533333,1,1,0.357143,0.571429,1.3593,3.1581,2.9378,456
