mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,objective_before,objective_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-09-18-6fnk-s0-n100-refligand-0001,0.571429,0.571429,0.571429,0.571429,1,1,0.142857,0.142857,0.0,2.8767,2.8767,505
2026-09-18-6fnk-s0-n100-refligand-0002,0.5,0.5,0.5,0.5,0,0,0.142857,0.142857,0.0,2.7,2.7,541
2026-09-18-6fnk-s0-n100-refligand-0003,0.571429,0.571429,0.5,0.533333,1,1,0.142857,0.214286,1.349,2.5691,2.6568,430
2026-09-18-6fnk-s0-n100-refligand-0004,0.357143,0.428571,0.3125,0.4,0,0,0.142857,0.214286,1.352,2.786,2.6718,491
2026-09-18-6fnk-s0-n100-refligand-0005,0.642857,0.571429,0.529412,0.444444,1,1,0.142857,0.214286,0.4619,2.8809,2.682,438
2026-09-18-6fnk-s0-n100-refligand-0006,0.857143,0.785714,0.6,0.55,1,1,-0.005485,0.214286,0.6216,2.243,2.5605,179
2026-09-18-6fnk-s0-n100-refligand-0007,0.642857,0.642857,0.5625,0.5625,1,1,0.142857,0.142857,0.0,2.7481,2.7481,439
2026-09-18-6fnk-s0-n100-refligand-0008,0.714286,0.714286,0.625,0.625,1,1,0.142857,0.142857,0.0,2.938,2.938,397
2026-09-18-6fnk-s0-n100-refligand-0009,0.571429,0.5,0.5,0.4375,1,1,0.142857,0.285714,1.2436,3.1086,2.5941,404
2026-09-18-6fnk-s0-n100-refligand-0010,0.714286,0.571429,0.714286,0.5,1,1,0.142857,0.214286,0.8382,2.7211,2.7479,486
2026-09-18-6fnk-s0-n100-refligand-0011,0.642857,0.642857,0.642857,0.529412,1,1,0.142857,0.214286,0.3993,2.7339,2.6694,419
2026-09-18-6fnk-s0-n100-refligand-0013,0.428571,0.428571,0.4,0.4,0,0,0.142857,0.142857,0.0,3.1249,3.1249,509
2026-09-18-6fnk-s0-n100-refligand-0014,0.714286,0.5,0.625,0.5,1,0,0.142857,0.214286,1.3512,2.8886,2.6021,436
2026-09-18-6fnk-s0-n100-refligand-0015,0.571429,0.571429,0.421053,0.380952,1,0,0.142857,0.285714,0.9629,2.5615,2.5453,274
2026-09-18-6fnk-s0-n100-refligand-0016,0.642857,0.642857,0.5,0.428571,1,1,0.142857,0.285714,1.0088,2.694,2.5212,272
2026-09-18-6fnk-s0-n100-refligand-0017,0.5,0.5,0.5,0.5,0,0,0.142857,0.142857,0.0,3.3103,3.3103,505
2026-09-18-6fnk-s0-n100-refligand-0018,0.571429,0.571429,0.571429,0.571429,0,0,0.142857,0.142857,0.0,2.5604,2.5604,523
2026-09-18-6fnk-s0-n100-refligand-0019,0.642857,0.571429,0.5,0.4,0,0,0.142857,0.214286,0.8576,2.7793,2.5924,337
2026-09-18-6fnk-s0-n100-refligand-0020,0.642857,0.642857,0.529412,0.5,0,0,0.142857,0.285714,1.3594,2.5578,2.5827,376
2026-09-18-6fnk-s0-n100-refligand-0021,0.5,0.714286,0.411765,0.588235,1,1,0.142857,0.214286,0.5944,2.9119,2.7992,448
2026-09-18-6fnk-s0-n100-refligand-0022,0.571429,0.571429,0.571429,0.571429,0,0,0.142857,0.142857,0.0,3.1458,3.1458,493
2026-09-18-6fnk-s0-n100-refligand-0023,0.5,0.5,0.466667,0.466667,1,1,0.214286,0.214286,0.0,2.7003,2.7003,428
2026-09-18-6fnk-s0-n100-refligand-0024,0.571429,0.357143,0.533333,0.333333,1,1,0.142857,0.214286,1.4109,2.7848,2.6579,501
2026-09-18-6fnk-s0-n100-refligand-0025,0.642857,0.642857,0.5625,0.642857,1,1,0.142857,0.214286,0.9917,2.8683,2.7453,413
2026-09-18-6fnk-s0-n100-refligand-0026,0.642857,0.642857,0.6,0.6,1,1,0.142857,0.214286,0.647,2.7044,2.7279,403
2026-09-18-6fnk-s0-n100-refligand-0027,0.285714,0.428571,0.222222,0.315789,0,0,0.142857,0.214286,0.9219,2.9833,2.6989,407
2026-09-18-6fnk-s0-n100-refligand-0028,0.642857,0.714286,0.391304,0.454545,1,1,0.142857,0.285714,1.1558,2.3299,2.6988,188
2026-09-18-6fnk-s0-n100-refligand-0029,0.714286,0.714286,0.5,0.526316,1,1,0.142857,0.266195,1.4741,2.7983,2.3259,318
2026-09-18-6fnk-s0-n100-refligand-0030,0.785714,0.785714,0.458333,0.458333,1,1,0.19095,0.214286,0.3488,2.5033,2.5174,270
2026-09-18-6fnk-s0-n100-refligand-0031,0.642857,0.642857,0.642857,0.642857,1,1,0.142857,0.142857,0.0,2.9258,2.9258,448
2026-09-18-6fnk-s0-n100-refligand-0032,0.428571,0.428571,0.352941,0.4,1,0,0.142857,0.214286,1.0981,2.596,2.5568,410
2026-09-18-6fnk-s0-n100-refligand-0033,0.642857,0.642857,0.6,0.6,1,1,0.142857,0.142857,0.0,3.1087,3.1087,516
2026-09-18-6fnk-s0-n100-refligand-0034,0.642857,0.571429,0.6,0.5,1,0,0.142857,0.214286,0.8254,3.1439,2.8039,469
2026-09-18-6fnk-s0-n100-refligand-0035,0.714286,0.5,0.5,0.368421,1,0,0.142857,0.214286,0.6671,2.8826,2.7101,343
2026-09-18-6fnk-s0-n100-refligand-0036,0.785714,0.785714,0.578947,0.578947,1,1,0.214286,0.214286,0.0,2.816,2.816,377
2026-09-18-6fnk-s0-n100-refligand-0037,0.714286,0.428571,0.714286,0.4,1,1,0.142857,0.214286,1.2321,2.9858,2.9399,467
2026-09-18-6fnk-s0-n100-refligand-0038,0.5,0.5,0.5,0.5,1,1,0.142857,0.142857,0.0,3.2227,3.2227,484
2026-09-18-6fnk-s0-n100-refligand-0039,0.642857,0.642857,0.473684,0.45,1,1,0.142857,0.214286,0.5065,2.5159,2.7849,386
2026-09-18-6fnk-s0-n100-refligand-0040,0.785714,0.785714,0.578947,0.578947,1,1,0.214286,0.214286,0.0,2.3862,2.3862,376
2026-09-18-6fnk-s0-n100-refligand-0041,0.714286,0.5,0.625,0.388889,1,1,0.214286,0.285714,1.0489,2.6702,2.7803,372
2026-09-18-6fnk-s0-n100-refligand-0042,0.642857,0.714286,0.529412,0.588235,0,1,0.142857,0.214286,1.0285,2.5491,2.5255,323
2026-09-18-6fnk-s0-n100-refligand-0043,0.642857,0.642857,0.409091,0.375,1,1,0.214286,0.285714,0.5009,2.5598,2.5451,260
2026-09-18-6fnk-s0-n100-refligand-0044,0.5,0.5,0.5,0.5,0,0,0.142857,0.142857,0.0,3.5242,3.5242,503
2026-09-18-6fnk-s0-n100-refligand-0045,0.571429,0.571429,0.347826,0.380952,1,1,-1.044405,0.142857,1.4404,0.9816,2.5416,86
2026-09-18-6fnk-s0-n100-refligand-0046,0.357143,0.357143,0.333333,0.333333,1,1,0.142857,0.142857,0.0,3.1377,3.1377,536
2026-09-18-6fnk-s0-n100-refligand-0047,0.5,0.5,0.5,0.5,0,0,0.142857,0.214286,0.6709,3.2963,3.0354,498
2026-09-18-6fnk-s0-n100-refligand-0048,0.571429,0.571429,0.571429,0.571429,1,1,0.142857,0.142857,0.0,2.6284,2.6284,432
2026-09-18-6fnk-s0-n100-refligand-0049,0.642857,0.571429,0.529412,0.470588,0,0,0.185098,0.214286,0.2913,2.3791,2.5684,404
2026-09-18-6fnk-s0-n100-refligand-0050,0.571429,0.5,0.571429,0.4375,1,1,0.142857,0.19874,1.2334,2.6721,2.5189,514
2026-09-18-6fnk-s0-n100-refligand-0051,0.428571,0.428571,0.4,0.4,0,0,0.142857,0.142857,0.0,2.9344,2.9344,463
2026-09-18-6fnk-s0-n100-refligand-0052,0.357143,0.357143,0.357143,0.357143,1,1,0.142857,0.142857,0.0,2.8419,2.8419,541
2026-09-18-6fnk-s0-n100-refligand-0053,0.5,0.642857,0.333333,0.428571,1,0,0.214286,0.285714,0.5024,2.6908,2.411,292
2026-09-18-6fnk-s0-n100-refligand-0054,0.428571,0.5,0.428571,0.466667,1,1,0.142857,0.214286,1.4171,3.0903,2.5143,486
2026-09-18-6fnk-s0-n100-refligand-0055,0.357143,0.357143,0.3125,0.3125,1,1,0.142857,0.142857,0.0,3.1581,3.1581,469
2026-09-18-6fnk-s0-n100-refligand-0056,0.571429,0.571429,0.571429,0.571429,1,1,0.142857,0.142857,0.0,2.8198,2.8198,573
2026-09-18-6fnk-s0-n100-refligand-0057,0.714286,0.714286,0.588235,0.588235,1,1,0.214286,0.214286,0.0,2.7923,2.7923,388
2026-09-18-6fnk-s0-n100-refligand-0058,0.642857,0.571429,0.45,0.421053,1,1,0.142857,0.214286,0.3902,2.7152,2.5174,279
2026-09-18-6fnk-s0-n100-refligand-0059,0.714286,0.785714,0.588235,0.578947,1,1,0.142857,0.214286,0.6233,2.7245,2.4392,420
2026-09-18-6fnk-s0-n100-refligand-0060,0.571429,0.5,0.4,0.318182,1,1,0.142857,0.161352,1.0692,2.5257,2.342,200
2026-09-18-6fnk-s0-n100-refligand-0061,0.642857,0.428571,0.5625,0.375,1,0,0.142857,0.214286,1.4447,2.8295,2.7899,460
2026-09-18-6fnk-s0-n100-refligand-0062,0.428571,0.642857,0.3,0.428571,1,1,0.142857,0.214286,0.6776,2.6614,2.4315,324
2026-09-18-6fnk-s0-n100-refligand-0063,0.785714,0.642857,0.52381,0.391304,1,1,0.214286,0.357143,1.1661,2.5262,2.5573,299
2026-09-18-6fnk-s0-n100-refligand-0064,0.571429,0.5,0.307692,0.291667,1,1,0.214286,0.285714,1.2436,2.5021,2.3738,223
2026-09-18-6fnk-s0-n100-refligand-0065,0.642857,0.571429,0.5,0.444444,1,1,0.142857,0.214286,0.9201,2.8288,2.58,409
2026-09-18-6fnk-s0-n100-refligand-0066,0.642857,0.642857,0.6,0.6,1,1,0.142857,0.142857,0.0,3.0518,3.0518,474
2026-09-18-6fnk-s0-n100-refligand-0067,0.571429,0.642857,0.380952,0.45,0,0,0.142857,0.214286,0.3589,2.4759,2.7079,307
2026-09-18-6fnk-s0-n100-refligand-0068,0.428571,0.571429,0.375,0.5,0,0,0.142857,0.214286,0.964,3.1046,2.5858,433
2026-09-18-6fnk-s0-n100-refligand-0070,0.642857,0.642857,0.473684,0.45,1,1,0.142857,0.214286,0.887,2.6449,2.5506,254
2026-09-18-6fnk-s0-n100-refligand-0071,0.428571,0.428571,0.428571,0.428571,1,1,0.214286,0.214286,0.0,2.9404,2.9404,498
2026-09-18-6fnk-s0-n100-refligand-0072,0.857143,0.857143,0.666667,0.666667,1,1,0.214286,0.214286,0.0,2.8405,2.8405,399
2026-09-18-6fnk-s0-n100-refligand-0073,0.5,0.5,0.5,0.5,0,0,0.142857,0.142857,0.0,3.1855,3.1855,509
2026-09-18-6fnk-s0-n100-refligand-0074,0.571429,0.571429,0.380952,0.380952,1,1,0.142857,0.214286,1.3192,2.7655,2.6764,316
2026-09-18-6fnk-s0-n100-refligand-0075,0.642857,0.5,0.409091,0.333333,1,1,0.142857,0.214286,1.3537,2.9182,2.4591,356
2026-09-18-6fnk-s0-n100-refligand-0076,0.285714,0.285714,0.285714,0.285714,0,0,0.142857,0.142857,0.0,3.1959,3.1959,560
2026-09-18-6fnk-s0-n100-refligand-0077,0.5,0.5,0.5,0.5,0,0,0.142857,0.142857,0.0,2.9421,2.9421,516
2026-09-18-6fnk-s0-n100-refligand-0078,0.642857,0.642857,0.5625,0.5625,1,1,0.214286,0.214286,0.0,2.5222,2.5222,444
2026-09-18-6fnk-s0-n100-refligand-0079,0.5,0.5,0.411765,0.411765,0,0,0.142857,0.165896,1.1518,2.7506,2.2503,418
2026-09-18-6fnk-s0-n100-refligand-0080,0.571429,0.571429,0.533333,0.533333,1,1,0.142857,0.214286,0.7593,2.7462,2.5758,484
2026-09-18-6fnk-s0-n100-refligand-0081,0.357143,0.357143,0.333333,0.333333,0,0,0.142857,0.142857,0.0,3.0089,3.0089,559
2026-09-18-6fnk-s0-n100-refligand-0082,0.785714,0.785714,0.55,0.578947,1,1,0.214286,0.285714,0.8779,2.7819,2.4904,282
2026-09-18-6fnk-s0-n100-refligand-0083,0.642857,0.785714,0.36,0.458333,1,1,0.157021,0.285714,0.4924,2.4355,2.5855,258
2026-09-18-6fnk-s0-n100-refligand-0084,0.571429,0.642857,0.363636,0.409091,1,1,-0.209141,0.182131,0.7485,1.846,2.4857,168
2026-09-18-6fnk-s0-n100-refligand-0085,0.285714,0.285714,0.285714,0.285714,0,0,0.142857,0.142857,0.0,3.055,3.055,533
2026-09-18-6fnk-s0-n100-refligand-0086,0.642857,0.642857,0.529412,0.529412,0,0,0.214286,0.214286,0.0,2.4738,2.4738,309
2026-09-18-6fnk-s0-n100-refligand-0087,0.642857,0.571429,0.5,0.4,1,1,-0.028864,0.285714,1.3649,2.0566,2.7229,271
2026-09-18-6fnk-s0-n100-refligand-0088,0.642857,0.571429,0.5625,0.5,1,1,0.142857,0.214286,0.7539,3.0321,2.3763,417
2026-09-18-6fnk-s0-n100-refligand-0089,0.714286,0.571429,0.454545,0.4,1,1,0.142857,0.214286,0.7894,2.3252,2.7612,296
2026-09-18-6fnk-s0-n100-refligand-0090,0.428571,0.428571,0.4,0.4,1,1,0.142857,0.142857,0.0,2.9798,2.9798,509
2026-09-18-6fnk-s0-n100-refligand-0091,0.571429,0.571429,0.533333,0.5,1,1,0.142857,0.214286,0.3605,2.9682,2.885,517
2026-09-18-6fnk-s0-n100-refligand-0092,0.571429,0.571429,0.363636,0.363636,1,1,0.142857,0.214286,1.0892,2.7136,2.3832,255
2026-09-18-6fnk-s0-n100-refligand-0093,0.428571,0.428571,0.4,0.4,1,1,0.142857,0.142857,0.0,2.9462,2.9462,462
2026-09-18-6fnk-s0-n100-refligand-0094,0.428571,0.428571,0.4,0.4,1,1,0.142857,0.142857,0.0,2.8864,2.8864,531
2026-09-18-6fnk-s0-n100-refligand-0095,0.642857,0.5,0.409091,0.333333,0,1,0.142857,0.214286,1.485,2.8715,2.5582,291
2026-09-18-6fnk-s0-n100-refligand-0098,0.714286,0.642857,0.625,0.6,1,1,0.142857,0.214286,0.4328,2.668,2.7587,377
2026-09-18-6fnk-s0-n100-refligand-0099,0.714286,0.714286,0.714286,0.714286,1,1,0.214286,0.214286,0.0,2.8366,2.8366,461
2026-09-18-6fnk-s0-n100-refligand-0100,0.571429,0.5,0.533333,0.411765,0,1,0.142857,0.214286,0.7864,2.7373,2.6189,516
