mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,objective_before,objective_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-09-18-6fnk-s0-n100-refligand-0001,0.571429,0.571429,0.571429,0.571429,1,1,0.142857,0.142857,0.0,2.8767,2.8767,529
2026-09-18-6fnk-s0-n100-refligand-0002,0.5,0.5,0.5,0.5,0,0,0.142857,0.142857,0.0,2.7,2.7,583
2026-09-18-6fnk-s0-n100-refligand-0003,0.571429,0.642857,0.5,0.6,1,1,0.142857,0.214286,1.3291,2.5691,2.3025,437
2026-09-18-6fnk-s0-n100-refligand-0004,0.357143,0.428571,0.3125,0.4,0,0,0.142857,0.214286,1.2929,2.786,2.9178,576
2026-09-18-6fnk-s0-n100-refligand-0005,0.642857,0.5,0.529412,0.466667,1,0,0.142857,0.214286,0.6415,2.8809,3.1117,478
2026-09-18-6fnk-s0-n100-refligand-0006,0.857143,0.857143,0.6,0.6,1,1,0.214286,0.214286,0.0,2.243,2.243,270
2026-09-18-6fnk-s0-n100-refligand-0007,0.642857,0.642857,0.5625,0.5625,1,1,0.142857,0.142857,0.0,2.7481,2.7481,491
2026-09-18-6fnk-s0-n100-refligand-0008,0.714286,0.714286,0.625,0.625,1,1,0.142857,0.142857,0.0,2.938,2.938,550
2026-09-18-6fnk-s0-n100-refligand-0009,0.571429,0.428571,0.5,0.333333,1,1,0.142857,0.285714,1.0605,3.1086,2.6286,495
2026-09-18-6fnk-s0-n100-refligand-0010,0.714286,0.571429,0.714286,0.470588,1,1,0.142857,0.214286,1.06,2.7211,2.2862,560
2026-09-18-6fnk-s0-n100-refligand-0011,0.642857,0.5,0.642857,0.388889,1,1,0.142857,0.214286,0.6424,2.7339,2.6574,414
2026-09-18-6fnk-s0-n100-refligand-0013,0.428571,0.428571,0.4,0.4,0,0,0.142857,0.142857,0.0,3.1249,3.1249,578
2026-09-18-6fnk-s0-n100-refligand-0014,0.714286,0.571429,0.625,0.533333,1,0,0.142857,0.214286,1.1695,2.8886,2.7784,462
2026-09-18-6fnk-s0-n100-refligand-0015,0.571429,0.5,0.421053,0.333333,1,0,0.142857,0.285714,0.9612,2.5615,2.3846,393
