mol_id,score_before,score_after,tanimoto_before,tanimoto_after,hbond_before,hbond_after,objective_before,objective_after,rmsd_shift,min_distance_before,min_distance_after,steps_accepted
2026-09-18-6fnk-s0-n100-refligand-0001,0.571429,0.714286,0.571429,0.666667,1,1,0.571429,0.714286,0.4919,2.8767,2.5843,438
2026-09-18-6fnk-s0-n100-refligand-0002,0.5,0.642857,0.5,0.6,0,1,0.5,0.642857,1.2233,2.7,2.1036,459
2026-09-18-6fnk-s0-n100-refligand-0003,0.571429,0.714286,0.5,0.714286,1,1,0.571429,0.714286,0.5796,2.5691,2.5917,348
2026-09-18-6fnk-s0-n100-refligand-0004,0.357143,0.714286,0.3125,0.666667,0,1,0.357143,0.714286,0.918,2.786,2.3731,425
2026-09-18-6fnk-s0-n100-refligand-0005,0.642857,0.857143,0.529412,0.857143,1,1,0.642857,0.857143,1.3738,2.8809,2.189,344
2026-09-18-6fnk-s0-n100-refligand-0006,0.857143,0.928571,0.6,0.65,1,1,0.857143,0.928571,0.7901,2.243,2.2557,201
2026-09-18-6fnk-s0-n100-refligand-0007,0.642857,0.714286,0.5625,0.666667,1,1,0.642857,0.714286,0.2918,2.7481,2.4149,374
2026-09-18-6fnk-s0-n100-refligand-0008,0.714286,0.785714,0.625,0.611111,1,1,0.714286,0.785714,0.7321,2.938,2.5034,388
2026-09-18-6fnk-s0-n100-refligand-0009,0.571429,0.714286,0.5,0.666667,1,1,0.571429,0.714286,0.6546,3.1086,2.8467,363
2026-09-18-6fnk-s0-n100-refligand-0010,0.714286,0.785714,0.714286,0.785714,1,1,0.714286,0.785714,0.302,2.7211,2.7136,416
2026-09-18-6fnk-s0-n100-refligand-0011,0.642857,0.785714,0.642857,0.6875,1,1,0.642857,0.785714,0.7237,2.7339,2.2383,316
2026-09-18-6fnk-s0-n100-refligand-0013,0.428571,0.714286,0.4,0.666667,0,1,0.428571,0.714286,0.9835,3.1249,2.4313,396
2026-09-18-6fnk-s0-n100-refligand-0014,0.714286,0.714286,0.625,0.625,1,1,0.714286,0.714286,0.0,2.8886,2.8886,392
2026-09-18-6fnk-s0-n100-refligand-0015,0.571429,0.785714,0.421053,0.55,1,1,0.571429,0.785714,0.9348,2.5615,2.2087,258
2026-09-18-6fnk-s0-n100-refligand-0016,0.642857,0.857143,0.5,0.631579,1,1,0.642857,0.857143,1.0918,2.694,2.5472,325
2026-09-18-6fnk-s0-n100-refligand-0017,0.5,0.571429,0.5,0.571429,0,0,0.5,0.571429,0.8651,3.3103,3.0167,464
2026-09-18-6fnk-s0-n100-refligand-0018,0.571429,0.714286,0.571429,0.666667,0,1,0.571429,0.714286,1.1318,2.5604,2.1778,369
2026-09-18-6fnk-s0-n100-refligand-0019,0.642857,0.714286,0.5,0.526316,0,1,0.642857,0.714286,0.4481,2.7793,2.624,350
2026-09-18-6fnk-s0-n100-refligand-0020,0.642857,0.785714,0.529412,0.6875,0,0,0.642857,0.785714,0.4189,2.5578,2.3279,409
2026-09-18-6fnk-s0-n100-refligand-0021,0.5,0.857143,0.411765,0.75,1,1,0.5,0.857143,1.0267,2.9119,2.4973,425
2026-09-18-6fnk-s0-n100-refligand-0022,0.571429,0.714286,0.571429,0.666667,0,1,0.571429,0.714286,0.3153,3.1458,3.0095,452
2026-09-18-6fnk-s0-n100-refligand-0023,0.5,0.714286,0.466667,0.714286,1,1,0.5,0.714286,0.8892,2.7003,2.64,388
2026-09-18-6fnk-s0-n100-refligand-0024,0.571429,0.714286,0.533333,0.666667,1,1,0.571429,0.714286,0.5816,2.7848,2.5314,476
2026-09-18-6fnk-s0-n100-refligand-0025,0.642857,0.785714,0.5625,0.6875,1,1,0.642857,0.785714,1.0346,2.8683,2.4062,383
2026-09-18-6fnk-s0-n100-refligand-0026,0.642857,0.714286,0.6,0.666667,1,1,0.642857,0.714286,0.779,2.7044,2.922,408
2026-09-18-6fnk-s0-n100-refligand-0027,0.285714,0.571429,0.222222,0.5,0,0,0.285714,0.571429,1.1526,2.9833,2.4156,375
2026-09-18-6fnk-s0-n100-refligand-0028,0.642857,0.785714,0.391304,0.52381,1,1,0.642857,0.785714,0.7941,2.3299,2.1918,276
2026-09-18-6fnk-s0-n100-refligand-0029,0.714286,0.857143,0.5,0.6,1,1,0.714286,0.857143,0.776,2.7983,2.1743,292
2026-09-18-6fnk-s0-n100-refligand-0030,0.785714,0.928571,0.458333,0.541667,1,1,0.785714,0.928571,0.8175,2.5033,2.2423,257
2026-09-18-6fnk-s0-n100-refligand-0031,0.642857,0.714286,0.642857,0.714286,1,1,0.642857,0.714286,0.4408,2.9258,2.8517,423
2026-09-18-6fnk-s0-n100-refligand-0032,0.428571,0.714286,0.352941,0.625,1,1,0.428571,0.714286,0.7879,2.596,2.2935,387
2026-09-18-6fnk-s0-n100-refligand-0033,0.642857,0.714286,0.6,0.625,1,1,0.642857,0.714286,1.2792,3.1087,2.4276,473
2026-09-18-6fnk-s0-n100-refligand-0034,0.642857,0.785714,0.6,0.733333,1,1,0.642857,0.785714,0.9766,3.1439,2.646,404
2026-09-18-6fnk-s0-n100-refligand-0035,0.714286,0.857143,0.5,0.6,1,1,0.714286,0.857143,0.8164,2.8826,2.4149,342
2026-09-18-6fnk-s0-n100-refligand-0036,0.785714,0.928571,0.578947,0.684211,1,1,0.785714,0.928571,1.2556,2.816,2.199,363
2026-09-18-6fnk-s0-n100-refligand-0037,0.714286,0.785714,0.714286,0.785714,1,1,0.714286,0.785714,0.4582,2.9858,2.6029,445
2026-09-18-6fnk-s0-n100-refligand-0038,0.5,0.714286,0.5,0.714286,1,1,0.5,0.714286,0.6882,3.2227,2.2856,440
2026-09-18-6fnk-s0-n100-refligand-0039,0.642857,0.928571,0.473684,0.684211,1,1,0.642857,0.928571,1.0264,2.5159,2.2107,316
