mol_id,ifp_score,ifp_score_norm,rank,selected
2026-08-23-6tgu-s0-n100-prep-0001,0.0,0.0,85,0
2026-08-23-6tgu-s0-n100-prep-0002,0.2,0.009091,56,0
2026-08-23-6tgu-s0-n100-prep-0003,0.4,0.019048,27,0
2026-08-23-6tgu-s0-n100-prep-0004,0.6,0.042857,4,1
2026-08-23-6tgu-s0-n100-prep-0005,0.4,0.023529,28,0
2026-08-23-6tgu-s0-n100-prep-0006,0.4,0.012121,29,0
2026-08-23-6tgu-s0-n100-prep-0007,0.2,0.008333,57,0
2026-08-23-6tgu-s0-n100-prep-0008,0.4,0.02,30,0
2026-08-23-6tgu-s0-n100-prep-0009,0.6,0.026087,5,1
2026-08-23-6tgu-s0-n100-prep-0010,0.4,0.036364,31,0
2026-08-23-6tgu-s0-n100-prep-0011,0.4,0.022222,32,0
2026-08-23-6tgu-s0-n100-prep-0012,0.0,0.0,86,0
2026-08-23-6tgu-s0-n100-prep-0013,0.2,0.009091,58,0
2026-08-23-6tgu-s0-n100-prep-0014,0.6,0.035294,6,1
2026-08-23-6tgu-s0-n100-prep-0015,0.2,0.008333,59,0
2026-08-23-6tgu-s0-n100-prep-0016,0.2,0.007407,60,0
2026-08-23-6tgu-s0-n100-prep-0017,0.6,0.015385,7,1
2026-08-23-6tgu-s0-n100-prep-0018,0.0,0.0,87,0
2026-08-23-6tgu-s0-n100-prep-0019,0.4,0.018182,33,0
2026-08-23-6tgu-s0-n100-prep-0020,0.4,0.019048,34,0
2026-08-23-6tgu-s0-n100-prep-0021,0.4,0.016,35,0
2026-08-23-6tgu-s0-n100-prep-0022,0.0,0.0,88,0
2026-08-23-6tgu-s0-n100-prep-0023,0.6,0.046154,8,1
2026-08-23-6tgu-s0-n100-prep-0024,0.4,0.018182,36,0
2026-08-23-6tgu-s0-n100-prep-0026,0.6,0.035294,9,1
2026-08-23-6tgu-s0-n100-prep-0027,0.4,0.025,37,0
2026-08-23-6tgu-s0-n100-prep-0028,0.2,0.00625,61,0
2026-08-23-6tgu-s0-n100-prep-0029,0.2,0.00625,62,0
2026-08-23-6tgu-s0-n100-prep-0030,0.0,0.0,89,0
2026-08-23-6tgu-s0-n100-prep-0031,0.2,0.015385,63,0
2026-08-23-6tgu-s0-n100-prep-0032,0.6,0.04,10,1
2026-08-23-6tgu-s0-n100-prep-0033,0.4,0.026667,38,0
2026-08-23-6tgu-s0-n100-prep-0034,0.4,0.026667,39,0
2026-08-23-6tgu-s0-n100-prep-0035,0.6,0.028571,11,1
2026-08-23-6tgu-s0-n100-prep-0036,0.6,0.024,12,1
2026-08-23-6tgu-s0-n100-prep-0037,0.4,0.010256,40,0
2026-08-23-6tgu-s0-n100-prep-0038,0.0,0.0,90,0
2026-08-23-6tgu-s0-n100-prep-0039,0.6,0.028571,13,1
2026-08-23-6tgu-s0-n100-prep-0040,0.2,0.007407,64,0
2026-08-23-6tgu-s0-n100-prep-0041,0.6,0.024,14,1
2026-08-23-6tgu-s0-n100-prep-0042,0.4,0.016667,41,0
2026-08-23-6tgu-s0-n100-prep-0043,0.0,0.0,91,0
2026-08-23-6tgu-s0-n100-prep-0044,0.2,0.009524,65,0
2026-08-23-6tgu-s0-n100-prep-0045,0.0,0.0,92,0
2026-08-23-6tgu-s0-n100-prep-0046,0.2,0.005405,66,0
2026-08-23-6tgu-s0-n100-prep-0047,0.2,0.007407,67,0
2026-08-23-6tgu-s0-n100-prep-0048,0.4,0.011765,42,0
2026-08-23-6tgu-s0-n100-prep-0049,0.6,0.03,15,1
2026-08-23-6tgu-s0-n100-prep-0050,0.4,0.017391,43,0
2026-08-23-6tgu-s0-n100-prep-0051,0.4,0.04,44,0
2026-08-23-6tgu-s0-n100-prep-0052,0.2,0.008333,68,0
2026-08-23-6tgu-s0-n100-prep-0053,0.4,0.017391,45,0
2026-08-23-6tgu-s0-n100-prep-0054,0.2,0.016667,69,0
2026-08-23-6tgu-s0-n100-prep-0055,0.2,0.013333,70,0
2026-08-23-6tgu-s0-n100-prep-0056,0.6,0.035294,16,1
2026-08-23-6tgu-s0-n100-prep-0057,0.8,0.036364,1,1
2026-08-23-6tgu-s0-n100-prep-0058,0.2,0.008,71,0
2026-08-23-6tgu-s0-n100-prep-0059,0.4,0.022222,46,0
2026-08-23-6tgu-s0-n100-prep-0060,0.2,0.007407,72,0
2026-08-23-6tgu-s0-n100-prep-0061,0.6,0.0375,17,1
2026-08-23-6tgu-s0-n100-prep-0062,0.6,0.022222,18,1
2026-08-23-6tgu-s0-n100-prep-0063,0.2,0.008,73,0
2026-08-23-6tgu-s0-n100-prep-0064,0.0,0.0,93,0
2026-08-23-6tgu-s0-n100-prep-0065,0.2,0.009524,74,0
2026-08-23-6tgu-s0-n100-prep-0066,0.4,0.030769,47,0
2026-08-23-6tgu-s0-n100-prep-0067,0.2,0.007692,75,0
2026-08-23-6tgu-s0-n100-prep-0068,0.6,0.035294,19,1
2026-08-23-6tgu-s0-n100-prep-0069,0.8,0.042105,2,1
2026-08-23-6tgu-s0-n100-prep-0070,0.2,0.006897,76,0
2026-08-23-6tgu-s0-n100-prep-0071,0.2,0.008333,77,0
2026-08-23-6tgu-s0-n100-prep-0072,0.0,0.0,94,0
2026-08-23-6tgu-s0-n100-prep-0073,0.4,0.023529,48,0
2026-08-23-6tgu-s0-n100-prep-0074,0.4,0.016667,49,0
2026-08-23-6tgu-s0-n100-prep-0075,0.0,0.0,95,0
2026-08-23-6tgu-s0-n100-prep-0076,0.6,0.019355,20,1
2026-08-23-6tgu-s0-n100-prep-0077,0.2,0.008,78,0
2026-08-23-6tgu-s0-n100-prep-0078,0.8,0.047059,3,1
2026-08-23-6tgu-s0-n100-prep-0079,0.6,0.03,21,0
2026-08-23-6tgu-s0-n100-prep-0080,0.2,0.014286,79,0
2026-08-23-6tgu-s0-n100-prep-0081,0.6,0.03,22,0
2026-08-23-6tgu-s0-n100-prep-0082,0.2,0.007407,80,0
2026-08-23-6tgu-s0-n100-prep-0083,0.0,0.0,96,0
2026-08-23-6tgu-s0-n100-prep-0084,0.6,0.02,23,0
2026-08-23-6tgu-s0-n100-prep-0085,0.4,0.017391,50,0
2026-08-23-6tgu-s0-n100-prep-0086,0.0,0.0,97,0
2026-08-23-6tgu-s0-n100-prep-0087,0.0,0.0,98,0
2026-08-23-6tgu-s0-n100-prep-0088,0.6,0.033333,24,0
2026-08-23-6tgu-s0-n100-prep-0089,0.2,0.005556,81,0
2026-08-23-6tgu-s0-n100-prep-0090,0.4,0.02,51,0
2026-08-23-6tgu-s0-n100-prep-0092,0.4,0.014815,52,0
2026-08-23-6tgu-s0-n100-prep-0093,0.4,0.016667,53,0
2026-08-23-6tgu-s0-n100-prep-0094,0.6,0.031579,25,0
2026-08-23-6tgu-s0-n100-prep-0095,0.2,0.01,82,0
2026-08-23-6tgu-s0-n100-prep-0096,0.4,0.02,54,0
2026-08-23-6tgu-s0-n100-prep-0097,0.2,0.009524,83,0
2026-08-23-6tgu-s0-n100-prep-0098,0.4,0.025,55,0
2026-08-23-6tgu-s0-n100-prep-0099,0.2,0.011765,84,0
2026-08-23-6tgu-s0-n100-prep-0100,0.6,0.042857,26,0
