mol_id,ifp_score,ifp_score_norm,rank,selected
2026-08-24-6tgu-s0-n100-seed1-0001,0.0,0.0,80,0
2026-08-24-6tgu-s0-n100-seed1-0003,0.4,0.026667,27,0
2026-08-24-6tgu-s0-n100-seed1-0004,0.4,0.021053,28,0
2026-08-24-6tgu-s0-n100-seed1-0005,0.4,0.016,29,0
2026-08-24-6tgu-s0-n100-seed1-0006,0.2,0.011111,59,0
2026-08-24-6tgu-s0-n100-seed1-0007,0.2,0.007407,60,0
2026-08-24-6tgu-s0-n100-seed1-0008,0.0,0.0,81,0
2026-08-24-6tgu-s0-n100-seed1-0009,0.6,0.026087,7,1
2026-08-24-6tgu-s0-n100-seed1-0010,0.0,0.0,82,0
2026-08-24-6tgu-s0-n100-seed1-0011,0.2,0.006452,61,0
2026-08-24-6tgu-s0-n100-seed1-0012,0.6,0.035294,8,1
2026-08-24-6tgu-s0-n100-seed1-0013,0.4,0.0125,30,0
2026-08-24-6tgu-s0-n100-seed1-0014,0.6,0.027273,9,1
2026-08-24-6tgu-s0-n100-seed1-0015,0.8,0.027586,1,1
2026-08-24-6tgu-s0-n100-seed1-0016,0.0,0.0,83,0
2026-08-24-6tgu-s0-n100-seed1-0017,0.4,0.013333,31,0
2026-08-24-6tgu-s0-n100-seed1-0018,0.2,0.01,62,0
2026-08-24-6tgu-s0-n100-seed1-0019,0.4,0.016,32,0
2026-08-24-6tgu-s0-n100-seed1-0020,0.2,0.013333,63,0
2026-08-24-6tgu-s0-n100-seed1-0021,0.6,0.033333,10,1
2026-08-24-6tgu-s0-n100-seed1-0022,0.2,0.007692,64,0
2026-08-24-6tgu-s0-n100-seed1-0023,0.6,0.026087,11,1
2026-08-24-6tgu-s0-n100-seed1-0024,0.4,0.012121,33,0
2026-08-24-6tgu-s0-n100-seed1-0025,0.0,0.0,84,0
2026-08-24-6tgu-s0-n100-seed1-0026,0.4,0.019048,34,0
2026-08-24-6tgu-s0-n100-seed1-0027,0.0,0.0,85,0
2026-08-24-6tgu-s0-n100-seed1-0028,0.0,0.0,86,0
2026-08-24-6tgu-s0-n100-seed1-0029,0.6,0.03,12,1
2026-08-24-6tgu-s0-n100-seed1-0030,0.2,0.006452,65,0
2026-08-24-6tgu-s0-n100-seed1-0031,0.4,0.012903,35,0
2026-08-24-6tgu-s0-n100-seed1-0032,0.2,0.010526,66,0
2026-08-24-6tgu-s0-n100-seed1-0033,0.6,0.0375,13,1
2026-08-24-6tgu-s0-n100-seed1-0034,0.6,0.02,14,1
2026-08-24-6tgu-s0-n100-seed1-0035,0.6,0.042857,15,1
2026-08-24-6tgu-s0-n100-seed1-0036,0.2,0.005714,67,0
2026-08-24-6tgu-s0-n100-seed1-0037,0.4,0.018182,36,0
2026-08-24-6tgu-s0-n100-seed1-0039,0.4,0.013793,37,0
2026-08-24-6tgu-s0-n100-seed1-0040,0.4,0.014815,38,0
2026-08-24-6tgu-s0-n100-seed1-0041,0.8,0.030769,2,1
2026-08-24-6tgu-s0-n100-seed1-0042,0.6,0.0375,16,1
2026-08-24-6tgu-s0-n100-seed1-0043,0.6,0.033333,17,1
2026-08-24-6tgu-s0-n100-seed1-0044,0.8,0.028571,3,1
2026-08-24-6tgu-s0-n100-seed1-0045,0.6,0.021429,18,1
2026-08-24-6tgu-s0-n100-seed1-0046,0.2,0.009524,68,0
2026-08-24-6tgu-s0-n100-seed1-0047,0.2,0.01,69,0
2026-08-24-6tgu-s0-n100-seed1-0048,0.4,0.025,39,0
2026-08-24-6tgu-s0-n100-seed1-0049,0.2,0.006452,70,0
2026-08-24-6tgu-s0-n100-seed1-0050,0.4,0.030769,40,0
2026-08-24-6tgu-s0-n100-seed1-0051,0.4,0.016667,41,0
2026-08-24-6tgu-s0-n100-seed1-0052,0.2,0.011111,71,0
2026-08-24-6tgu-s0-n100-seed1-0053,0.2,0.011765,72,0
2026-08-24-6tgu-s0-n100-seed1-0054,0.2,0.008,73,0
2026-08-24-6tgu-s0-n100-seed1-0055,0.2,0.007692,74,0
2026-08-24-6tgu-s0-n100-seed1-0056,0.4,0.016,42,0
2026-08-24-6tgu-s0-n100-seed1-0057,0.0,0.0,87,0
2026-08-24-6tgu-s0-n100-seed1-0058,0.2,0.007407,75,0
2026-08-24-6tgu-s0-n100-seed1-0060,0.4,0.018182,43,0
2026-08-24-6tgu-s0-n100-seed1-0061,0.6,0.03,19,1
2026-08-24-6tgu-s0-n100-seed1-0062,0.6,0.046154,20,0
2026-08-24-6tgu-s0-n100-seed1-0063,0.2,0.008,76,0
2026-08-24-6tgu-s0-n100-seed1-0064,0.8,0.030769,4,1
2026-08-24-6tgu-s0-n100-seed1-0065,0.0,0.0,88,0
2026-08-24-6tgu-s0-n100-seed1-0066,0.4,0.015385,44,0
2026-08-24-6tgu-s0-n100-seed1-0067,0.4,0.02,45,0
2026-08-24-6tgu-s0-n100-seed1-0068,0.6,0.018182,21,0
2026-08-24-6tgu-s0-n100-seed1-0069,0.4,0.036364,46,0
2026-08-24-6tgu-s0-n100-seed1-0070,0.4,0.025,47,0
2026-08-24-6tgu-s0-n100-seed1-0071,0.2,0.006897,77,0
2026-08-24-6tgu-s0-n100-seed1-0072,0.4,0.017391,48,0
2026-08-24-6tgu-s0-n100-seed1-0073,0.6,0.04,22,0
2026-08-24-6tgu-s0-n100-seed1-0074,0.0,0.0,89,0
2026-08-24-6tgu-s0-n100-seed1-0075,0.4,0.021053,49,0
2026-08-24-6tgu-s0-n100-seed1-0076,0.6,0.0375,23,0
2026-08-24-6tgu-s0-n100-seed1-0077,0.4,0.012903,50,0
2026-08-24-6tgu-s0-n100-seed1-0078,0.4,0.015385,51,0
2026-08-24-6tgu-s0-n100-seed1-0080,0.6,0.025,24,0
2026-08-24-6tgu-s0-n100-seed1-0081,0.4,0.014286,52,0
2026-08-24-6tgu-s0-n100-seed1-0082,0.0,0.0,90,0
2026-08-24-6tgu-s0-n100-seed1-0083,0.0,0.0,91,0
2026-08-24-6tgu-s0-n100-seed1-0084,0.2,0.007407,78,0
2026-08-24-6tgu-s0-n100-seed1-0086,0.6,0.035294,25,0
2026-08-24-6tgu-s0-n100-seed1-0087,0.4,0.030769,53,0
2026-08-24-6tgu-s0-n100-seed1-0088,0.8,0.030769,5,1
2026-08-24-6tgu-s0-n100-seed1-0089,0.2,0.009524,79,0
2026-08-24-6tgu-s0-n100-seed1-0090,0.0,0.0,92,0
2026-08-24-6tgu-s0-n100-seed1-0091,0.6,0.023077,26,0
2026-08-24-6tgu-s0-n100-seed1-0092,0.4,0.014815,54,0
2026-08-24-6tgu-s0-n100-seed1-0093,0.0,0.0,93,0
2026-08-24-6tgu-s0-n100-seed1-0094,0.0,0.0,94,0
2026-08-24-6tgu-s0-n100-seed1-0095,0.0,0.0,95,0
2026-08-24-6tgu-s0-n100-seed1-0096,0.4,0.016,55,0
2026-08-24-6tgu-s0-n100-seed1-0097,0.8,0.033333,6,1
2026-08-24-6tgu-s0-n100-seed1-0098,0.4,0.017391,56,0
2026-08-24-6tgu-s0-n100-seed1-0099,0.4,0.014815,57,0
2026-08-24-6tgu-s0-n100-seed1-0100,0.4,0.016667,58,0
