mol_id,ifp_score,ifp_score_norm,rank,selected
2026-08-24-6tgu-s0-n100-0001,1.0,0.043478,1,1
2026-08-24-6tgu-s0-n100-0002,1.0,0.043478,2,1
2026-08-24-6tgu-s0-n100-0003,0.8,0.034783,6,1
2026-08-24-6tgu-s0-n100-0004,1.0,0.043478,3,1
2026-08-24-6tgu-s0-n100-0005,0.8,0.034783,7,1
2026-08-24-6tgu-s0-n100-0006,0.6,0.026087,16,1
2026-08-24-6tgu-s0-n100-0007,0.8,0.034783,8,1
2026-08-24-6tgu-s0-n100-0008,1.0,0.043478,4,1
2026-08-24-6tgu-s0-n100-0009,0.6,0.026087,17,1
2026-08-24-6tgu-s0-n100-0010,0.6,0.026087,18,1
2026-08-24-6tgu-s0-n100-0011,0.6,0.026087,19,1
2026-08-24-6tgu-s0-n100-0012,1.0,0.043478,5,1
2026-08-24-6tgu-s0-n100-0013,0.8,0.034783,9,1
2026-08-24-6tgu-s0-n100-0014,0.8,0.034783,10,1
2026-08-24-6tgu-s0-n100-0015,0.6,0.026087,20,1
2026-08-24-6tgu-s0-n100-0016,0.8,0.034783,11,1
2026-08-24-6tgu-s0-n100-0017,0.6,0.026087,21,0
2026-08-24-6tgu-s0-n100-0018,0.6,0.026087,22,0
2026-08-24-6tgu-s0-n100-0019,0.8,0.034783,12,1
2026-08-24-6tgu-s0-n100-0020,0.6,0.026087,23,0
2026-08-24-6tgu-s0-n100-0021,0.6,0.026087,24,0
2026-08-24-6tgu-s0-n100-0022,0.4,0.017391,31,0
2026-08-24-6tgu-s0-n100-0023,0.4,0.017391,32,0
2026-08-24-6tgu-s0-n100-0024,0.6,0.026087,25,0
2026-08-24-6tgu-s0-n100-0025,0.6,0.026087,26,0
2026-08-24-6tgu-s0-n100-0026,0.6,0.026087,27,0
2026-08-24-6tgu-s0-n100-0027,0.8,0.034783,13,1
2026-08-24-6tgu-s0-n100-0028,0.8,0.034783,14,1
2026-08-24-6tgu-s0-n100-0029,0.4,0.017391,33,0
2026-08-24-6tgu-s0-n100-0030,0.6,0.026087,28,0
2026-08-24-6tgu-s0-n100-0031,0.4,0.017391,34,0
2026-08-24-6tgu-s0-n100-0032,0.8,0.034783,15,1
2026-08-24-6tgu-s0-n100-0033,0.4,0.017391,35,0
2026-08-24-6tgu-s0-n100-0034,0.6,0.026087,29,0
2026-08-24-6tgu-s0-n100-0035,0.4,0.017391,36,0
2026-08-24-6tgu-s0-n100-0036,0.2,0.008696,44,0
2026-08-24-6tgu-s0-n100-0037,0.2,0.008696,45,0
2026-08-24-6tgu-s0-n100-0038,0.6,0.026087,30,0
2026-08-24-6tgu-s0-n100-0039,0.2,0.008696,46,0
2026-08-24-6tgu-s0-n100-0040,0.4,0.017391,37,0
2026-08-24-6tgu-s0-n100-0041,0.2,0.008696,47,0
2026-08-24-6tgu-s0-n100-0042,0.2,0.008696,48,0
2026-08-24-6tgu-s0-n100-0043,0.0,0.0,72,0
2026-08-24-6tgu-s0-n100-0044,0.0,0.0,73,0
2026-08-24-6tgu-s0-n100-0045,0.2,0.008696,49,0
2026-08-24-6tgu-s0-n100-0046,0.2,0.008696,50,0
2026-08-24-6tgu-s0-n100-0047,0.4,0.017391,38,0
2026-08-24-6tgu-s0-n100-0048,0.2,0.008696,51,0
2026-08-24-6tgu-s0-n100-0049,0.2,0.008696,52,0
2026-08-24-6tgu-s0-n100-0050,0.4,0.017391,39,0
2026-08-24-6tgu-s0-n100-0051,0.0,0.0,74,0
2026-08-24-6tgu-s0-n100-0052,0.2,0.008696,53,0
2026-08-24-6tgu-s0-n100-0053,0.0,0.0,75,0
2026-08-24-6tgu-s0-n100-0054,0.2,0.008696,54,0
2026-08-24-6tgu-s0-n100-0055,0.2,0.008696,55,0
2026-08-24-6tgu-s0-n100-0056,0.0,0.0,76,0
2026-08-24-6tgu-s0-n100-0057,0.2,0.008696,56,0
2026-08-24-6tgu-s0-n100-0058,0.2,0.008696,57,0
2026-08-24-6tgu-s0-n100-0059,0.2,0.008696,58,0
2026-08-24-6tgu-s0-n100-0060,0.0,0.0,77,0
2026-08-24-6tgu-s0-n100-0061,0.2,0.008696,59,0
2026-08-24-6tgu-s0-n100-0062,0.0,0.0,78,0
2026-08-24-6tgu-s0-n100-0063,0.4,0.017391,40,0
2026-08-24-6tgu-s0-n100-0064,0.2,0.008696,60,0
2026-08-24-6tgu-s0-n100-0065,0.0,0.0,79,0
2026-08-24-6tgu-s0-n100-0066,0.0,0.0,80,0
2026-08-24-6tgu-s0-n100-0067,0.0,0.0,81,0
2026-08-24-6tgu-s0-n100-0068,0.0,0.0,82,0
2026-08-24-6tgu-s0-n100-0069,0.0,0.0,83,0
2026-08-24-6tgu-s0-n100-0070,0.2,0.008696,61,0
2026-08-24-6tgu-s0-n100-0071,0.0,0.0,84,0
2026-08-24-6tgu-s0-n100-0072,0.2,0.008696,62,0
2026-08-24-6tgu-s0-n100-0073,0.0,0.0,85,0
2026-08-24-6tgu-s0-n100-0074,0.2,0.008696,63,0
2026-08-24-6tgu-s0-n100-0075,0.0,0.0,86,0
2026-08-24-6tgu-s0-n100-0076,0.0,0.0,87,0
2026-08-24-6tgu-s0-n100-0077,0.0,0.0,88,0
2026-08-24-6tgu-s0-n100-0078,0.4,0.017391,41,0
2026-08-24-6tgu-s0-n100-0079,0.0,0.0,89,0
2026-08-24-6tgu-s0-n100-0080,0.2,0.008696,64,0
2026-08-24-6tgu-s0-n100-0081,0.0,0.0,90,0
2026-08-24-6tgu-s0-n100-0082,0.4,0.017391,42,0
2026-08-24-6tgu-s0-n100-0083,0.2,0.008696,65,0
2026-08-24-6tgu-s0-n100-0084,0.2,0.008696,66,0
2026-08-24-6tgu-s0-n100-0085,0.0,0.0,91,0
2026-08-24-6tgu-s0-n100-0086,0.2,0.008696,67,0
2026-08-24-6tgu-s0-n100-0087,0.4,0.017391,43,0
2026-08-24-6tgu-s0-n100-0088,0.2,0.008696,68,0
2026-08-24-6tgu-s0-n100-0089,0.0,0.0,92,0
2026-08-24-6tgu-s0-n100-0090,0.2,0.008696,69,0
2026-08-24-6tgu-s0-n100-0091,0.2,0.008696,70,0
2026-08-24-6tgu-s0-n100-0092,0.0,0.0,93,0
2026-08-24-6tgu-s0-n100-0093,0.0,0.0,94,0
2026-08-24-6tgu-s0-n100-0094,0.0,0.0,95,0
2026-08-24-6tgu-s0-n100-0095,0.0,0.0,96,0
2026-08-24-6tgu-s0-n100-0096,0.0,0.0,97,0
2026-08-24-6tgu-s0-n100-0097,0.0,0.0,98,0
2026-08-24-6tgu-s0-n100-0098,0.2,0.008696,71,0
2026-08-24-6tgu-s0-n100-0099,0.0,0.0,99,0
2026-08-24-6tgu-s0-n100-0100,0.0,0.0,100,0
