mol_id,ifp_score,ifp_score_norm,rank,selected
2026-08-24-6tgu-s0-n20-pocketids2-0001,0.0,0.0,7,0
2026-08-24-6tgu-s0-n20-pocketids2-0002,0.0,0.0,8,0
2026-08-24-6tgu-s0-n20-pocketids2-0003,0.2,0.009524,2,1
2026-08-24-6tgu-s0-n20-pocketids2-0004,0.0,0.0,9,0
2026-08-24-6tgu-s0-n20-pocketids2-0005,0.0,0.0,10,0
2026-08-24-6tgu-s0-n20-pocketids2-0006,0.0,0.0,11,0
2026-08-24-6tgu-s0-n20-pocketids2-0007,0.0,0.0,12,0
2026-08-24-6tgu-s0-n20-pocketids2-0008,0.2,0.01,3,1
2026-08-24-6tgu-s0-n20-pocketids2-0009,0.0,0.0,13,0
2026-08-24-6tgu-s0-n20-pocketids2-0010,0.2,0.018182,4,1
2026-08-24-6tgu-s0-n20-pocketids2-0011,0.0,0.0,14,0
2026-08-24-6tgu-s0-n20-pocketids2-0012,0.0,0.0,15,0
2026-08-24-6tgu-s0-n20-pocketids2-0013,0.0,0.0,16,0
2026-08-24-6tgu-s0-n20-pocketids2-0014,0.4,0.023529,1,1
2026-08-24-6tgu-s0-n20-pocketids2-0015,0.2,0.008333,5,0
2026-08-24-6tgu-s0-n20-pocketids2-0016,0.0,0.0,17,0
2026-08-24-6tgu-s0-n20-pocketids2-0017,0.2,0.006897,6,0
2026-08-24-6tgu-s0-n20-pocketids2-0018,0.0,0.0,18,0
2026-08-24-6tgu-s0-n20-pocketids2-0019,0.0,0.0,19,0
2026-08-24-6tgu-s0-n20-pocketids2-0020,0.0,0.0,20,0
