mol_id,ifp_score,ifp_score_norm,rank,selected
2026-08-24-6tgu-s0-n20-r7-0001,1.0,0.043478,1,1
2026-08-24-6tgu-s0-n20-r7-0002,0.4,0.017391,7,0
2026-08-24-6tgu-s0-n20-r7-0003,0.6,0.026087,4,1
2026-08-24-6tgu-s0-n20-r7-0004,0.6,0.026087,5,0
2026-08-24-6tgu-s0-n20-r7-0005,0.8,0.034783,2,1
2026-08-24-6tgu-s0-n20-r7-0006,0.8,0.034783,3,1
2026-08-24-6tgu-s0-n20-r7-0007,0.6,0.026087,6,0
2026-08-24-6tgu-s0-n20-r7-0008,0.4,0.017391,8,0
2026-08-24-6tgu-s0-n20-r7-0009,0.2,0.008696,12,0
2026-08-24-6tgu-s0-n20-r7-0010,0.4,0.017391,9,0
2026-08-24-6tgu-s0-n20-r7-0011,0.2,0.008696,13,0
2026-08-24-6tgu-s0-n20-r7-0012,0.4,0.017391,10,0
2026-08-24-6tgu-s0-n20-r7-0013,0.2,0.008696,14,0
2026-08-24-6tgu-s0-n20-r7-0014,0.2,0.008696,15,0
2026-08-24-6tgu-s0-n20-r7-0015,0.0,0.0,17,0
2026-08-24-6tgu-s0-n20-r7-0016,0.0,0.0,18,0
2026-08-24-6tgu-s0-n20-r7-0017,0.4,0.017391,11,0
2026-08-24-6tgu-s0-n20-r7-0018,0.0,0.0,19,0
2026-08-24-6tgu-s0-n20-r7-0019,0.0,0.0,20,0
2026-08-24-6tgu-s0-n20-r7-0020,0.2,0.008696,16,0
