mol_id,ifp_score,ifp_score_norm,rank,selected
2026-08-24-6tgu-s0-n20-refligand-0001,0.0,0.0,18,0
2026-08-24-6tgu-s0-n20-refligand-0002,0.2,0.009091,13,0
2026-08-24-6tgu-s0-n20-refligand-0003,0.4,0.019048,6,0
2026-08-24-6tgu-s0-n20-refligand-0004,0.6,0.042857,1,1
2026-08-24-6tgu-s0-n20-refligand-0005,0.4,0.023529,7,0
2026-08-24-6tgu-s0-n20-refligand-0006,0.4,0.012121,8,0
2026-08-24-6tgu-s0-n20-refligand-0007,0.2,0.008333,14,0
2026-08-24-6tgu-s0-n20-refligand-0008,0.4,0.02,9,0
2026-08-24-6tgu-s0-n20-refligand-0009,0.6,0.026087,2,1
2026-08-24-6tgu-s0-n20-refligand-0010,0.4,0.036364,10,0
2026-08-24-6tgu-s0-n20-refligand-0011,0.4,0.022222,11,0
2026-08-24-6tgu-s0-n20-refligand-0012,0.0,0.0,19,0
2026-08-24-6tgu-s0-n20-refligand-0013,0.2,0.009091,15,0
2026-08-24-6tgu-s0-n20-refligand-0014,0.6,0.035294,3,1
2026-08-24-6tgu-s0-n20-refligand-0015,0.2,0.008333,16,0
2026-08-24-6tgu-s0-n20-refligand-0016,0.6,0.022222,4,1
2026-08-24-6tgu-s0-n20-refligand-0017,0.6,0.015385,5,0
2026-08-24-6tgu-s0-n20-refligand-0018,0.0,0.0,20,0
2026-08-24-6tgu-s0-n20-refligand-0019,0.4,0.018182,12,0
2026-08-24-6tgu-s0-n20-refligand-0020,0.2,0.009524,17,0
