mol_id,ifp_score,ifp_score_norm,rank,selected
2026-09-18-3war-s0-n100-r2-0001,1.0,0.111111,1,1
2026-09-18-3war-s0-n100-r2-0002,0.75,0.083333,8,1
2026-09-18-3war-s0-n100-r2-0003,0.75,0.083333,9,1
2026-09-18-3war-s0-n100-r2-0004,1.0,0.111111,2,1
2026-09-18-3war-s0-n100-r2-0005,1.0,0.111111,3,1
2026-09-18-3war-s0-n100-r2-0006,0.5,0.055556,19,1
2026-09-18-3war-s0-n100-r2-0007,1.0,0.111111,4,1
2026-09-18-3war-s0-n100-r2-0008,0.75,0.083333,10,1
2026-09-18-3war-s0-n100-r2-0009,0.75,0.083333,11,1
2026-09-18-3war-s0-n100-r2-0010,1.0,0.111111,5,1
2026-09-18-3war-s0-n100-r2-0011,0.5,0.055556,20,1
2026-09-18-3war-s0-n100-r2-0012,0.5,0.055556,21,0
2026-09-18-3war-s0-n100-r2-0013,0.75,0.083333,12,1
2026-09-18-3war-s0-n100-r2-0014,0.75,0.083333,13,1
2026-09-18-3war-s0-n100-r2-0015,0.5,0.055556,22,0
2026-09-18-3war-s0-n100-r2-0016,1.0,0.111111,6,1
2026-09-18-3war-s0-n100-r2-0017,0.25,0.027778,37,0
2026-09-18-3war-s0-n100-r2-0018,1.0,0.111111,7,1
2026-09-18-3war-s0-n100-r2-0019,0.5,0.055556,23,0
2026-09-18-3war-s0-n100-r2-0020,0.75,0.083333,14,1
2026-09-18-3war-s0-n100-r2-0021,0.25,0.027778,38,0
2026-09-18-3war-s0-n100-r2-0022,0.5,0.055556,24,0
2026-09-18-3war-s0-n100-r2-0023,0.25,0.027778,39,0
2026-09-18-3war-s0-n100-r2-0024,0.5,0.055556,25,0
2026-09-18-3war-s0-n100-r2-0025,0.25,0.027778,40,0
2026-09-18-3war-s0-n100-r2-0026,0.25,0.027778,41,0
2026-09-18-3war-s0-n100-r2-0027,0.5,0.055556,26,0
2026-09-18-3war-s0-n100-r2-0028,0.5,0.055556,27,0
2026-09-18-3war-s0-n100-r2-0029,0.25,0.027778,42,0
2026-09-18-3war-s0-n100-r2-0030,0.5,0.055556,28,0
2026-09-18-3war-s0-n100-r2-0031,0.75,0.083333,15,1
2026-09-18-3war-s0-n100-r2-0032,0.25,0.027778,43,0
2026-09-18-3war-s0-n100-r2-0033,0.25,0.027778,44,0
2026-09-18-3war-s0-n100-r2-0034,0.25,0.027778,45,0
2026-09-18-3war-s0-n100-r2-0035,0.75,0.083333,16,1
2026-09-18-3war-s0-n100-r2-0036,0.5,0.055556,29,0
2026-09-18-3war-s0-n100-r2-0037,0.0,0.0,66,0
2026-09-18-3war-s0-n100-r2-0038,0.25,0.027778,46,0
2026-09-18-3war-s0-n100-r2-0039,0.75,0.083333,17,1
2026-09-18-3war-s0-n100-r2-0040,0.25,0.027778,47,0
2026-09-18-3war-s0-n100-r2-0041,0.25,0.027778,48,0
2026-09-18-3war-s0-n100-r2-0042,0.0,0.0,67,0
2026-09-18-3war-s0-n100-r2-0043,0.25,0.027778,49,0
2026-09-18-3war-s0-n100-r2-0044,0.5,0.055556,30,0
2026-09-18-3war-s0-n100-r2-0045,0.75,0.083333,18,1
2026-09-18-3war-s0-n100-r2-0046,0.25,0.027778,50,0
2026-09-18-3war-s0-n100-r2-0047,0.25,0.027778,51,0
2026-09-18-3war-s0-n100-r2-0048,0.25,0.027778,52,0
2026-09-18-3war-s0-n100-r2-0049,0.0,0.0,68,0
2026-09-18-3war-s0-n100-r2-0050,0.25,0.027778,53,0
2026-09-18-3war-s0-n100-r2-0051,0.25,0.027778,54,0
2026-09-18-3war-s0-n100-r2-0052,0.0,0.0,69,0
2026-09-18-3war-s0-n100-r2-0053,0.25,0.027778,55,0
2026-09-18-3war-s0-n100-r2-0054,0.25,0.027778,56,0
2026-09-18-3war-s0-n100-r2-0055,0.0,0.0,70,0
2026-09-18-3war-s0-n100-r2-0056,0.5,0.055556,31,0
2026-09-18-3war-s0-n100-r2-0057,0.0,0.0,71,0
2026-09-18-3war-s0-n100-r2-0058,0.0,0.0,72,0
2026-09-18-3war-s0-n100-r2-0059,0.25,0.027778,57,0
2026-09-18-3war-s0-n100-r2-0060,0.25,0.027778,58,0
2026-09-18-3war-s0-n100-r2-0061,0.25,0.027778,59,0
2026-09-18-3war-s0-n100-r2-0062,0.0,0.0,73,0
2026-09-18-3war-s0-n100-r2-0063,0.5,0.055556,32,0
2026-09-18-3war-s0-n100-r2-0064,0.0,0.0,74,0
2026-09-18-3war-s0-n100-r2-0065,0.0,0.0,75,0
2026-09-18-3war-s0-n100-r2-0066,0.25,0.027778,60,0
2026-09-18-3war-s0-n100-r2-0067,0.0,0.0,76,0
2026-09-18-3war-s0-n100-r2-0068,0.0,0.0,77,0
2026-09-18-3war-s0-n100-r2-0069,0.5,0.055556,33,0
2026-09-18-3war-s0-n100-r2-0070,0.25,0.027778,61,0
2026-09-18-3war-s0-n100-r2-0071,0.0,0.0,78,0
2026-09-18-3war-s0-n100-r2-0072,0.0,0.0,79,0
2026-09-18-3war-s0-n100-r2-0073,0.0,0.0,80,0
2026-09-18-3war-s0-n100-r2-0074,0.0,0.0,81,0
2026-09-18-3war-s0-n100-r2-0075,0.5,0.055556,34,0
2026-09-18-3war-s0-n100-r2-0076,0.0,0.0,82,0
2026-09-18-3war-s0-n100-r2-0077,0.5,0.055556,35,0
