mol_id,ifp_score,ifp_score_norm,rank,selected
2026-09-18-3war-s0-n100-refligand-seed1-0001,0.25,0.016667,47,0
2026-09-18-3war-s0-n100-refligand-seed1-0002,0.0,0.0,76,0
2026-09-18-3war-s0-n100-refligand-seed1-0003,0.25,0.022727,48,0
2026-09-18-3war-s0-n100-refligand-seed1-0004,0.25,0.013158,49,0
2026-09-18-3war-s0-n100-refligand-seed1-0005,0.0,0.0,77,0
2026-09-18-3war-s0-n100-refligand-seed1-0006,0.0,0.0,78,0
2026-09-18-3war-s0-n100-refligand-seed1-0007,0.5,0.055556,15,1
2026-09-18-3war-s0-n100-refligand-seed1-0008,0.0,0.0,79,0
2026-09-18-3war-s0-n100-refligand-seed1-0009,0.5,0.041667,16,1
2026-09-18-3war-s0-n100-refligand-seed1-0010,0.25,0.011364,50,0
2026-09-18-3war-s0-n100-refligand-seed1-0011,0.25,0.008065,51,0
2026-09-18-3war-s0-n100-refligand-seed1-0012,0.25,0.014706,52,0
2026-09-18-3war-s0-n100-refligand-seed1-0013,0.75,0.083333,2,1
2026-09-18-3war-s0-n100-refligand-seed1-0014,0.25,0.025,53,0
2026-09-18-3war-s0-n100-refligand-seed1-0015,0.0,0.0,80,0
2026-09-18-3war-s0-n100-refligand-seed1-0016,0.25,0.010417,54,0
2026-09-18-3war-s0-n100-refligand-seed1-0017,0.0,0.0,81,0
2026-09-18-3war-s0-n100-refligand-seed1-0018,0.5,0.025,17,1
2026-09-18-3war-s0-n100-refligand-seed1-0019,1.0,0.090909,1,1
2026-09-18-3war-s0-n100-refligand-seed1-0020,0.25,0.016667,55,0
2026-09-18-3war-s0-n100-refligand-seed1-0021,0.75,0.041667,3,1
2026-09-18-3war-s0-n100-refligand-seed1-0022,0.0,0.0,82,0
2026-09-18-3war-s0-n100-refligand-seed1-0023,0.25,0.025,56,0
2026-09-18-3war-s0-n100-refligand-seed1-0024,0.0,0.0,83,0
2026-09-18-3war-s0-n100-refligand-seed1-0025,0.5,0.022727,18,1
2026-09-18-3war-s0-n100-refligand-seed1-0026,0.75,0.035714,4,1
2026-09-18-3war-s0-n100-refligand-seed1-0027,0.5,0.045455,19,1
2026-09-18-3war-s0-n100-refligand-seed1-0028,0.25,0.010417,57,0
2026-09-18-3war-s0-n100-refligand-seed1-0029,0.25,0.0125,58,0
2026-09-18-3war-s0-n100-refligand-seed1-0030,0.5,0.016129,20,1
2026-09-18-3war-s0-n100-refligand-seed1-0031,0.5,0.045455,21,0
2026-09-18-3war-s0-n100-refligand-seed1-0032,0.5,0.026316,22,0
2026-09-18-3war-s0-n100-refligand-seed1-0033,0.5,0.03125,23,0
2026-09-18-3war-s0-n100-refligand-seed1-0034,0.0,0.0,84,0
2026-09-18-3war-s0-n100-refligand-seed1-0035,0.25,0.017857,59,0
2026-09-18-3war-s0-n100-refligand-seed1-0036,0.5,0.041667,24,0
2026-09-18-3war-s0-n100-refligand-seed1-0037,0.5,0.022727,25,0
2026-09-18-3war-s0-n100-refligand-seed1-0038,0.25,0.013158,60,0
2026-09-18-3war-s0-n100-refligand-seed1-0039,0.0,0.0,85,0
2026-09-18-3war-s0-n100-refligand-seed1-0040,0.25,0.009259,61,0
2026-09-18-3war-s0-n100-refligand-seed1-0041,0.5,0.045455,26,0
2026-09-18-3war-s0-n100-refligand-seed1-0042,0.5,0.03125,27,0
2026-09-18-3war-s0-n100-refligand-seed1-0043,0.5,0.027778,28,0
2026-09-18-3war-s0-n100-refligand-seed1-0044,0.0,0.0,86,0
2026-09-18-3war-s0-n100-refligand-seed1-0045,0.25,0.008929,62,0
2026-09-18-3war-s0-n100-refligand-seed1-0046,0.5,0.02381,29,0
2026-09-18-3war-s0-n100-refligand-seed1-0047,0.75,0.0375,5,1
2026-09-18-3war-s0-n100-refligand-seed1-0048,0.75,0.046875,6,1
2026-09-18-3war-s0-n100-refligand-seed1-0049,0.0,0.0,87,0
2026-09-18-3war-s0-n100-refligand-seed1-0050,0.0,0.0,88,0
2026-09-18-3war-s0-n100-refligand-seed1-0051,0.0,0.0,89,0
2026-09-18-3war-s0-n100-refligand-seed1-0052,0.0,0.0,90,0
2026-09-18-3war-s0-n100-refligand-seed1-0053,0.5,0.029412,30,0
2026-09-18-3war-s0-n100-refligand-seed1-0054,0.25,0.01,63,0
2026-09-18-3war-s0-n100-refligand-seed1-0055,0.5,0.0625,31,0
2026-09-18-3war-s0-n100-refligand-seed1-0056,0.5,0.025,32,0
2026-09-18-3war-s0-n100-refligand-seed1-0057,0.5,0.05,33,0
2026-09-18-3war-s0-n100-refligand-seed1-0058,0.5,0.0625,34,0
2026-09-18-3war-s0-n100-refligand-seed1-0059,0.5,0.022727,35,0
2026-09-18-3war-s0-n100-refligand-seed1-0060,0.0,0.0,91,0
2026-09-18-3war-s0-n100-refligand-seed1-0061,0.75,0.083333,7,1
2026-09-18-3war-s0-n100-refligand-seed1-0062,0.75,0.057692,8,1
2026-09-18-3war-s0-n100-refligand-seed1-0063,0.75,0.075,9,1
2026-09-18-3war-s0-n100-refligand-seed1-0064,0.0,0.0,92,0
2026-09-18-3war-s0-n100-refligand-seed1-0065,0.25,0.007576,64,0
2026-09-18-3war-s0-n100-refligand-seed1-0066,0.25,0.009615,65,0
2026-09-18-3war-s0-n100-refligand-seed1-0067,0.5,0.017241,36,0
2026-09-18-3war-s0-n100-refligand-seed1-0068,0.5,0.015152,37,0
