mol_id,ifp_score,ifp_score_norm,rank,selected
2026-09-18-3war-s0-n100-refligand-0001,0.25,0.03125,41,0
2026-09-18-3war-s0-n100-refligand-0002,0.5,0.05,14,1
2026-09-18-3war-s0-n100-refligand-0003,0.5,0.027778,15,1
2026-09-18-3war-s0-n100-refligand-0004,0.5,0.035714,16,1
2026-09-18-3war-s0-n100-refligand-0005,0.25,0.014706,42,0
2026-09-18-3war-s0-n100-refligand-0006,0.5,0.018519,17,1
2026-09-18-3war-s0-n100-refligand-0007,0.25,0.013158,43,0
2026-09-18-3war-s0-n100-refligand-0008,0.25,0.0125,44,0
2026-09-18-3war-s0-n100-refligand-0009,0.25,0.014706,45,0
2026-09-18-3war-s0-n100-refligand-0010,0.5,0.045455,18,1
2026-09-18-3war-s0-n100-refligand-0011,0.25,0.013889,46,0
2026-09-18-3war-s0-n100-refligand-0012,0.0,0.0,78,0
2026-09-18-3war-s0-n100-refligand-0013,0.0,0.0,79,0
2026-09-18-3war-s0-n100-refligand-0014,0.5,0.029412,19,1
2026-09-18-3war-s0-n100-refligand-0015,0.0,0.0,80,0
2026-09-18-3war-s0-n100-refligand-0016,0.25,0.009259,47,0
2026-09-18-3war-s0-n100-refligand-0017,0.0,0.0,81,0
2026-09-18-3war-s0-n100-refligand-0018,0.5,0.03125,20,1
2026-09-18-3war-s0-n100-refligand-0019,0.25,0.011364,48,0
2026-09-18-3war-s0-n100-refligand-0020,0.5,0.02381,21,0
2026-09-18-3war-s0-n100-refligand-0021,0.5,0.033333,22,0
2026-09-18-3war-s0-n100-refligand-0022,0.25,0.022727,49,0
2026-09-18-3war-s0-n100-refligand-0023,0.25,0.019231,50,0
2026-09-18-3war-s0-n100-refligand-0024,0.25,0.020833,51,0
2026-09-18-3war-s0-n100-refligand-0025,0.75,0.044118,2,1
2026-09-18-3war-s0-n100-refligand-0026,0.25,0.014706,52,0
2026-09-18-3war-s0-n100-refligand-0027,0.25,0.015625,53,0
2026-09-18-3war-s0-n100-refligand-0028,0.25,0.007812,54,0
2026-09-18-3war-s0-n100-refligand-0029,0.5,0.017857,23,0
2026-09-18-3war-s0-n100-refligand-0030,0.0,0.0,82,0
2026-09-18-3war-s0-n100-refligand-0031,0.0,0.0,83,0
