mol_id,ifp_score,ifp_score_norm,rank,selected
2026-09-18-5lvo-s0-n100-0002,0.142857,0.004762,24,0
2026-09-18-5lvo-s0-n100-0003,0.142857,0.006803,25,0
2026-09-18-5lvo-s0-n100-0004,0.285714,0.010989,7,1
2026-09-18-5lvo-s0-n100-0005,0.142857,0.008403,26,0
2026-09-18-5lvo-s0-n100-0006,0.285714,0.008658,8,1
2026-09-18-5lvo-s0-n100-0008,0.285714,0.014286,9,1
2026-09-18-5lvo-s0-n100-0009,0.142857,0.006211,27,0
2026-09-18-5lvo-s0-n100-0010,0.0,0.0,68,0
2026-09-18-5lvo-s0-n100-0011,0.428571,0.013825,1,1
2026-09-18-5lvo-s0-n100-0012,0.0,0.0,69,0
2026-09-18-5lvo-s0-n100-0013,0.142857,0.006494,28,0
2026-09-18-5lvo-s0-n100-0014,0.142857,0.008403,29,0
2026-09-18-5lvo-s0-n100-0015,0.285714,0.011905,10,1
2026-09-18-5lvo-s0-n100-0016,0.142857,0.005291,30,0
2026-09-18-5lvo-s0-n100-0017,0.142857,0.003663,31,0
2026-09-18-5lvo-s0-n100-0018,0.142857,0.008929,32,0
2026-09-18-5lvo-s0-n100-0019,0.285714,0.012987,11,1
2026-09-18-5lvo-s0-n100-0020,0.0,0.0,70,0
2026-09-18-5lvo-s0-n100-0021,0.142857,0.004464,33,0
2026-09-18-5lvo-s0-n100-0022,0.0,0.0,71,0
2026-09-18-5lvo-s0-n100-0023,0.142857,0.006494,34,0
2026-09-18-5lvo-s0-n100-0024,0.0,0.0,72,0
2026-09-18-5lvo-s0-n100-0025,0.0,0.0,73,0
2026-09-18-5lvo-s0-n100-0026,0.0,0.0,74,0
2026-09-18-5lvo-s0-n100-0027,0.0,0.0,75,0
2026-09-18-5lvo-s0-n100-0028,0.428571,0.013393,2,1
2026-09-18-5lvo-s0-n100-0029,0.0,0.0,76,0
2026-09-18-5lvo-s0-n100-0030,0.142857,0.004202,35,0
2026-09-18-5lvo-s0-n100-0031,0.142857,0.004464,36,0
2026-09-18-5lvo-s0-n100-0032,0.285714,0.014286,12,1
2026-09-18-5lvo-s0-n100-0033,0.0,0.0,77,0
2026-09-18-5lvo-s0-n100-0034,0.428571,0.010453,3,1
2026-09-18-5lvo-s0-n100-0035,0.142857,0.006803,37,0
2026-09-18-5lvo-s0-n100-0036,0.0,0.0,78,0
2026-09-18-5lvo-s0-n100-0037,0.142857,0.003663,38,0
2026-09-18-5lvo-s0-n100-0038,0.0,0.0,79,0
2026-09-18-5lvo-s0-n100-0039,0.142857,0.006803,39,0
2026-09-18-5lvo-s0-n100-0040,0.0,0.0,80,0
2026-09-18-5lvo-s0-n100-0041,0.142857,0.005714,40,0
2026-09-18-5lvo-s0-n100-0042,0.0,0.0,81,0
2026-09-18-5lvo-s0-n100-0043,0.0,0.0,82,0
2026-09-18-5lvo-s0-n100-0044,0.0,0.0,83,0
2026-09-18-5lvo-s0-n100-0045,0.142857,0.004762,41,0
2026-09-18-5lvo-s0-n100-0046,0.0,0.0,84,0
2026-09-18-5lvo-s0-n100-0047,0.285714,0.010582,13,1
2026-09-18-5lvo-s0-n100-0048,0.285714,0.008403,14,1
2026-09-18-5lvo-s0-n100-0049,0.285714,0.014286,15,1
2026-09-18-5lvo-s0-n100-0050,0.142857,0.006211,42,0
2026-09-18-5lvo-s0-n100-0052,0.0,0.0,85,0
2026-09-18-5lvo-s0-n100-0053,0.0,0.0,86,0
2026-09-18-5lvo-s0-n100-0054,0.0,0.0,87,0
2026-09-18-5lvo-s0-n100-0055,0.428571,0.016484,4,1
2026-09-18-5lvo-s0-n100-0056,0.142857,0.008403,43,0
2026-09-18-5lvo-s0-n100-0057,0.142857,0.006494,44,0
2026-09-18-5lvo-s0-n100-0058,0.0,0.0,88,0
2026-09-18-5lvo-s0-n100-0059,0.285714,0.015873,16,1
2026-09-18-5lvo-s0-n100-0060,0.142857,0.005291,45,0
2026-09-18-5lvo-s0-n100-0061,0.0,0.0,89,0
2026-09-18-5lvo-s0-n100-0062,0.0,0.0,90,0
2026-09-18-5lvo-s0-n100-0063,0.142857,0.005291,46,0
2026-09-18-5lvo-s0-n100-0064,0.142857,0.004329,47,0
2026-09-18-5lvo-s0-n100-0065,0.285714,0.013605,17,1
2026-09-18-5lvo-s0-n100-0066,0.285714,0.008929,18,1
2026-09-18-5lvo-s0-n100-0067,0.428571,0.016484,5,1
2026-09-18-5lvo-s0-n100-0068,0.142857,0.008403,48,0
2026-09-18-5lvo-s0-n100-0069,0.0,0.0,91,0
2026-09-18-5lvo-s0-n100-0070,0.142857,0.004926,49,0
2026-09-18-5lvo-s0-n100-0071,0.142857,0.005952,50,0
2026-09-18-5lvo-s0-n100-0072,0.142857,0.006494,51,0
2026-09-18-5lvo-s0-n100-0073,0.0,0.0,92,0
2026-09-18-5lvo-s0-n100-0074,0.428571,0.017857,6,1
2026-09-18-5lvo-s0-n100-0075,0.142857,0.006211,52,0
2026-09-18-5lvo-s0-n100-0076,0.0,0.0,93,0
2026-09-18-5lvo-s0-n100-0077,0.285714,0.008929,19,1
2026-09-18-5lvo-s0-n100-0078,0.142857,0.008403,53,0
2026-09-18-5lvo-s0-n100-0079,0.142857,0.007143,54,0
2026-09-18-5lvo-s0-n100-0080,0.142857,0.005291,55,0
2026-09-18-5lvo-s0-n100-0081,0.142857,0.004464,56,0
2026-09-18-5lvo-s0-n100-0082,0.142857,0.005291,57,0
2026-09-18-5lvo-s0-n100-0083,0.142857,0.003968,58,0
2026-09-18-5lvo-s0-n100-0084,0.142857,0.004762,59,0
2026-09-18-5lvo-s0-n100-0085,0.142857,0.006211,60,0
2026-09-18-5lvo-s0-n100-0086,0.142857,0.005495,61,0
2026-09-18-5lvo-s0-n100-0087,0.0,0.0,94,0
2026-09-18-5lvo-s0-n100-0088,0.142857,0.007937,62,0
2026-09-18-5lvo-s0-n100-0089,0.142857,0.003968,63,0
2026-09-18-5lvo-s0-n100-0090,0.285714,0.007937,20,0
2026-09-18-5lvo-s0-n100-0092,0.142857,0.005291,64,0
2026-09-18-5lvo-s0-n100-0093,0.285714,0.011905,21,0
2026-09-18-5lvo-s0-n100-0094,0.285714,0.010582,22,0
2026-09-18-5lvo-s0-n100-0095,0.285714,0.014286,23,0
2026-09-18-5lvo-s0-n100-0096,0.142857,0.007143,65,0
2026-09-18-5lvo-s0-n100-0098,0.0,0.0,95,0
2026-09-18-5lvo-s0-n100-0099,0.142857,0.008403,66,0
2026-09-18-5lvo-s0-n100-0100,0.142857,0.007143,67,0
