mol_id,ifp_score,ifp_score_norm,rank,selected
2026-09-18-6fnk-s0-n100-r4-0001,0.666667,0.039216,1,1
2026-09-18-6fnk-s0-n100-r4-0002,0.666667,0.039216,2,1
2026-09-18-6fnk-s0-n100-r4-0003,0.0,0.0,17,1
2026-09-18-6fnk-s0-n100-r4-0004,0.0,0.0,18,1
2026-09-18-6fnk-s0-n100-r4-0005,0.666667,0.039216,3,1
2026-09-18-6fnk-s0-n100-r4-0006,0.0,0.0,19,1
2026-09-18-6fnk-s0-n100-r4-0007,0.333333,0.019608,5,1
2026-09-18-6fnk-s0-n100-r4-0008,0.0,0.0,20,1
2026-09-18-6fnk-s0-n100-r4-0009,0.333333,0.019608,6,1
2026-09-18-6fnk-s0-n100-r4-0010,0.0,0.0,21,0
2026-09-18-6fnk-s0-n100-r4-0011,0.333333,0.019608,7,1
2026-09-18-6fnk-s0-n100-r4-0012,0.333333,0.019608,8,1
2026-09-18-6fnk-s0-n100-r4-0013,0.333333,0.019608,9,1
2026-09-18-6fnk-s0-n100-r4-0014,0.333333,0.019608,10,1
2026-09-18-6fnk-s0-n100-r4-0015,0.333333,0.019608,11,1
2026-09-18-6fnk-s0-n100-r4-0016,0.0,0.0,22,0
2026-09-18-6fnk-s0-n100-r4-0017,0.0,0.0,23,0
2026-09-18-6fnk-s0-n100-r4-0018,0.333333,0.019608,12,1
2026-09-18-6fnk-s0-n100-r4-0019,0.0,0.0,24,0
2026-09-18-6fnk-s0-n100-r4-0020,0.666667,0.039216,4,1
2026-09-18-6fnk-s0-n100-r4-0021,0.0,0.0,25,0
2026-09-18-6fnk-s0-n100-r4-0022,0.333333,0.019608,13,1
2026-09-18-6fnk-s0-n100-r4-0023,0.0,0.0,26,0
2026-09-18-6fnk-s0-n100-r4-0024,0.0,0.0,27,0
2026-09-18-6fnk-s0-n100-r4-0025,0.0,0.0,28,0
2026-09-18-6fnk-s0-n100-r4-0026,0.0,0.0,29,0
2026-09-18-6fnk-s0-n100-r4-0027,0.0,0.0,30,0
2026-09-18-6fnk-s0-n100-r4-0028,0.0,0.0,31,0
2026-09-18-6fnk-s0-n100-r4-0029,0.0,0.0,32,0
2026-09-18-6fnk-s0-n100-r4-0030,0.333333,0.019608,14,1
2026-09-18-6fnk-s0-n100-r4-0031,0.0,0.0,33,0
2026-09-18-6fnk-s0-n100-r4-0032,0.0,0.0,34,0
2026-09-18-6fnk-s0-n100-r4-0033,0.0,0.0,35,0
2026-09-18-6fnk-s0-n100-r4-0034,0.0,0.0,36,0
2026-09-18-6fnk-s0-n100-r4-0035,0.0,0.0,37,0
2026-09-18-6fnk-s0-n100-r4-0036,0.333333,0.019608,15,1
2026-09-18-6fnk-s0-n100-r4-0037,0.0,0.0,38,0
2026-09-18-6fnk-s0-n100-r4-0038,0.0,0.0,39,0
2026-09-18-6fnk-s0-n100-r4-0039,0.0,0.0,40,0
2026-09-18-6fnk-s0-n100-r4-0040,0.0,0.0,41,0
2026-09-18-6fnk-s0-n100-r4-0041,0.0,0.0,42,0
2026-09-18-6fnk-s0-n100-r4-0042,0.0,0.0,43,0
2026-09-18-6fnk-s0-n100-r4-0043,0.0,0.0,44,0
2026-09-18-6fnk-s0-n100-r4-0044,0.0,0.0,45,0
2026-09-18-6fnk-s0-n100-r4-0045,0.0,0.0,46,0
